Index,Arrival_Time,Creation_Time,x,y,z
101496,1425047341058,14072335314000,-0.19871874,-0.3357868,9.153631
101497,1425047341068,14072345235000,-0.19931729,-0.35793316,9.19553
101498,1425047341078,14072355334000,-0.2088941,-0.36032736,9.200318
101499,1425047341088,14072365230000,-0.2148796,-0.32621,9.201516
101500,1425047341099,14072375384000,-0.22804771,-0.35314476,9.185355
101501,1425047341108,14072385231000,-0.2172738,-0.350152,9.183559
101502,1425047341118,14072395210000,-0.2172738,-0.34117374,9.194932
101503,1425047341128,14072404874000,-0.19692309,-0.3477578,9.169792
101504,1425047341138,14072415169000,-0.18195933,-0.3429694,9.189545
101505,1425047341148,14072424749000,-0.17298107,-0.32680854,9.175778
101506,1425047341158,14072434780000,-0.18315643,-0.32621,9.178771
101507,1425047341168,14072444646000,-0.16699557,-0.3393781,9.205706
101508,1425047341178,14072454677000,-0.19033903,-0.3549404,9.191938
101509,1425047341187,14072464541000,-0.1921347,-0.30645782,9.154829
101510,1425047341198,14072474705000,-0.19093758,-0.33279404,9.191938
101511,1425047341207,14072484432000,-0.20530279,-0.35075054,9.193136
101512,1425047341217,14072494478000,-0.20111294,-0.350152,9.178771
101513,1425047341227,14072504323000,-0.20231004,-0.35434186,9.193734
101514,1425047341237,14072514371000,-0.21787235,-0.3477578,9.172187
101515,1425047341247,14072524224000,-0.24121583,-0.3333926,9.185355
101516,1425047341257,14072534397000,-0.21428105,-0.350152,9.162011
101517,1425047341267,14072544107000,-0.21428105,-0.3429694,9.153631
101518,1425047341277,14072554151000,-0.2160767,-0.34835634,9.188348
101519,1425047341287,14072564014000,-0.18555063,-0.3465607,9.173384
101520,1425047341297,14072574053000,-0.19153613,-0.3561375,9.203311
101521,1425047341307,14072583913000,-0.18974048,-0.33159694,9.192537
101522,1425047341317,14072594081000,-0.20290859,-0.3465607,9.148245
101523,1425047341327,14072603807000,-0.17477672,-0.34955344,9.1829605
101524,1425047341337,14072613839000,-0.19931729,-0.32561144,9.180567
101525,1425047341347,14072623701000,-0.20290859,-0.3333926,9.181764
101526,1425047341357,14072633730000,-0.2136825,-0.3465607,9.166202
101527,1425047341367,14072643595000,-0.20290859,-0.338181,9.184157
101528,1425047341377,14072653760000,-0.21906945,-0.33279404,9.168595
101529,1425047341386,14072663482000,-0.20530279,-0.32920274,9.172785
101530,1425047341396,14072673522000,-0.2088941,-0.33638534,9.169194
101531,1425047341406,14072683379000,-0.20051439,-0.3453636,9.161413
101532,1425047341416,14072693417000,-0.19931729,-0.33877954,9.2069025
101533,1425047341426,14072703269000,-0.18315643,-0.3250129,9.1829605
101534,1425047341436,14072713447000,-0.18794483,-0.34356794,9.184756
101535,1425047341446,14072723167000,-0.18854338,-0.3405752,9.148245
101536,1425047341456,14072733210000,-0.18555063,-0.3345897,9.153033
101537,1425047341466,14072743054000,-0.20171149,-0.34117374,9.173983
101538,1425047341476,14072753097000,-0.21068975,-0.34476504,9.190144
101539,1425047341486,14072762960000,-0.22505496,-0.3537433,9.18715
101540,1425047341496,14072773132000,-0.23403321,-0.3489549,9.207501
101541,1425047341506,14072782854000,-0.219668,-0.33997664,9.146449
101542,1425047341516,14072792885000,-0.19931729,-0.33758244,9.171588
101543,1425047341527,14072803204000,-0.23642741,-0.33997664,9.188348
101544,1425047341538,14072813085000,-0.2160767,-0.3250129,9.173384
101545,1425047341547,14072822895000,-0.20231004,-0.33997664,9.181165
101546,1425047341558,14072833070000,-0.20530279,-0.3465607,9.214086
101547,1425047341567,14072842791000,-0.19812019,-0.3298013,9.160814
101548,1425047341577,14072852813000,-0.17836803,-0.33039984,9.14226
101549,1425047341587,14072862667000,-0.18555063,-0.3226187,9.138069
101550,1425047341597,14072872698000,-0.18555063,-0.33159694,9.156026
101551,1425047341607,14072882558000,-0.19512744,-0.34596214,9.196728
101552,1425047341616,14072892458000,-0.19871874,-0.33518824,9.194932
101553,1425047341625,14072902179000,-0.19752164,-0.33758244,9.171588
101554,1425047341635,14072912198000,-0.22385786,-0.33399114,9.208099
101555,1425047341645,14072922061000,-0.20649989,-0.34955344,9.180567
101556,1425047341655,14072932097000,-0.2136825,-0.34955344,9.178172
101557,1425047341665,14072941946000,-0.2088941,-0.338181,9.184157
