Creation_Time,Sensor_Time,Arrival_Time,x,y,z
865683832000,865684,1398347034628,-0.12449849,0.16280572,9.80665
865693896000,865694,1398347034638,-0.12449849,0.16280572,9.787497
865703987000,865704,1398347034648,-0.095768064,0.19153613,9.77792
865714105000,865714,1398347034658,-0.11492168,0.15322891,9.77792
865724223000,865724,1398347034668,-0.11492168,0.1436521,9.816227
865734317000,865734,1398347034678,-0.10534488,0.17238252,9.816227
865744449000,865744,1398347034688,-0.10534488,0.1436521,9.787497
865754607000,865754,1398347034699,-0.1340753,0.16280572,9.787497
865764693000,865764,1398347034709,-0.11492168,0.16280572,9.768343
865774814000,865775,1398347034719,-0.11492168,0.17238252,9.797073
865784907000,865785,1398347034729,-0.1340753,0.17238252,9.787497
865795163000,865795,1398347034739,-0.15322891,0.1436521,9.797073
865805249000,865805,1398347034749,-0.1436521,0.15322891,9.787497
865815242000,865815,1398347034759,-0.15322891,0.16280572,9.787497
865825379000,865825,1398347034769,-0.10534488,0.15322891,9.80665
865835466000,865835,1398347034779,-0.10534488,0.1436521,9.797073
865845598000,865845,1398347034789,-0.10534488,0.16280572,9.77792
865855709000,865856,1398347034800,-0.10534488,0.16280572,9.787497
865865823000,865866,1398347034810,-0.11492168,0.16280572,9.758766
865875943000,865876,1398347034820,-0.1340753,0.17238252,9.787497
865886054000,865886,1398347034830,-0.11492168,0.15322891,9.816227
865896171000,865896,1398347034840,-0.1436521,0.1340753,9.787497
865906373000,865906,1398347034850,-0.12449849,0.1436521,9.816227
865916393000,865916,1398347034860,-0.10534488,0.16280572,9.787497
865926645000,865926,1398347034871,-0.10534488,0.17238252,9.768343
865936732000,865937,1398347034881,-0.10534488,0.16280572,9.749189
865946857000,865947,1398347034891,-0.10534488,0.17238252,9.758766
865956978000,865957,1398347034901,-0.11492168,0.15322891,9.77792
865967188000,865967,1398347034911,-0.10534488,0.16280572,9.749189
865977253000,865977,1398347034921,-0.11492168,0.15322891,9.768343
865987404000,865987,1398347034931,-0.12449849,0.15322891,9.758766
865997444000,865997,1398347034941,-0.1340753,0.16280572,9.77792
866007568000,866007,1398347034951,-0.1340753,0.16280572,9.797073
866017650000,866017,1398347034962,-0.12449849,0.17238252,9.730036
866027782000,866028,1398347034972,-0.11492168,0.15322891,9.730036
866037948000,866038,1398347034982,-0.1340753,0.1436521,9.710882
866048031000,866048,1398347034992,-0.1436521,0.17238252,9.720459
866058149000,866058,1398347035002,-0.1340753,0.19153613,9.730036
866068240000,866068,1398347035012,-0.11492168,0.18195933,9.787497
866078360000,866078,1398347035022,-0.12449849,0.19153613,9.797073
866088505000,866088,1398347035032,-0.12449849,0.19153613,9.768343
866098566000,866098,1398347035042,-0.12449849,0.19153613,9.739613
866108701000,866109,1398347035053,-0.10534488,0.17238252,9.739613
866118854000,866119,1398347035063,-0.11492168,0.16280572,9.768343
866128919000,866129,1398347035073,-0.12449849,0.16280572,9.739613
866139066000,866139,1398347035083,-0.095768064,0.18195933,9.768343
866149148000,866149,1398347035093,-0.16280572,0.20111294,9.720459
866159259000,866159,1398347035103,-0.17238252,0.16280572,9.739613
866169344000,866169,1398347035113,-0.15322891,0.11492168,9.710882
866179458000,866179,1398347035123,-0.10534488,0.12449849,9.739613
