Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1596304595949,1596305,1398347034633,-0.53588563,-0.22932312,9.196277
1596312927249,1596313,1398347034642,-0.38260436,-0.22932312,9.157956
1596321228030,1596322,1398347034650,-0.38260436,-0.1910028,9.119636
1596329528811,1596330,1398347034658,-0.38260436,-0.26764342,9.311237
1596337829593,1596338,1398347034667,-0.4209247,5.987549E-4,9.157956
1596346160891,1596346,1398347034675,-0.30596375,-0.22932312,9.157956
1596354492190,1596355,1398347034683,-0.4209247,-0.26764342,9.196277
1596362762454,1596363,1398347034692,-0.4209247,-0.1526825,9.234596
1596371124270,1596372,1398347034700,-0.38260436,-0.1526825,9.157956
1596379394534,1596380,1398347034708,-0.38260436,-0.07604187,9.349558
1596387695315,1596388,1398347034716,-0.4975653,-0.07604187,9.311237
1596395996096,1596396,1398347034725,-0.34428406,-0.1526825,9.081315
1596404327395,1596405,1398347034733,-0.34428406,-0.1526825,9.272917
1596412628176,1596413,1398347034741,-0.4975653,-0.11436218,9.119636
1596420959475,1596421,1398347034750,-0.4209247,-0.1526825,9.234596
1596429656985,1596430,1398347034758,-0.53588563,-0.11436218,9.119636
1596437561038,1596438,1398347034766,-0.459245,-0.26764342,9.157956
1596445861819,1596446,1398347034775,-0.34428406,-0.1526825,9.196277
1596454193118,1596455,1398347034783,-0.4209247,-0.22932312,9.234596
1596462493899,1596463,1398347034791,-0.61252624,-0.1526825,9.234596
1596470794680,1596471,1398347034800,-0.30596375,-0.1910028,9.196277
1596479125979,1596479,1398347034808,-0.38260436,-0.1910028,9.196277
1596487426760,1596488,1398347034816,-0.459245,-0.11436218,9.234596
1596495758059,1596496,1398347034824,-0.38260436,-0.22932312,9.272917
1596504058840,1596504,1398347034833,-0.4209247,-0.1526825,9.119636
1596512359621,1596513,1398347034841,-0.57420594,-0.1526825,9.119636
1596520660403,1596521,1398347034849,-0.38260436,-0.1526825,9.119636
1596528961184,1596529,1398347034858,-0.34428406,-0.1526825,9.234596
1596537292483,1596538,1398347034866,-0.34428406,-0.07604187,9.196277
1596545623781,1596547,1398347034875,-0.38260436,-0.1526825,9.081315
1596553894044,1596555,1398347034883,-0.4209247,-0.1910028,9.157956
1596562194826,1596563,1398347034891,-0.26764342,-0.1526825,9.081315
1596570556643,1596571,1398347034900,-0.4209247,-0.1526825,9.272917
1596578826906,1596579,1398347034907,-0.4209247,-0.1526825,9.234596
1596587127688,1596587,1398347034916,-0.38260436,-0.1526825,9.119636
1596595733645,1596596,1398347034924,-0.57420594,-0.03772156,9.157956
1596603729250,1596604,1398347034932,-0.34428406,-0.1526825,9.234596
1596612457277,1596613,1398347034941,-0.34428406,-0.1526825,9.157956
1596620330812,1596621,1398347034949,-0.34428406,-0.30596375,9.349558
1596628662111,1596633,1398347034960,-0.30596375,-0.03772156,9.311237
1596636962893,1596638,1398347034966,-0.4209247,-0.11436218,9.196277
1596645263674,1596646,1398347034974,-0.4209247,-0.1526825,9.234596
1596653564455,1596655,1398347034984,-0.53588563,5.987549E-4,9.119636
1596661865237,1596663,1398347034991,-0.38260436,-0.1526825,9.272917
1596670623782,1596673,1398347035001,-0.4975653,-0.1526825,9.157956
1596678497317,1596680,1398347035008,-0.38260436,-0.26764342,9.196277
1596686798098,1596688,1398347035016,-0.38260436,-0.1910028,9.157956
1596695404056,1596696,1398347035024,-0.53588563,-0.1526825,9.196277
1596703857425,1596705,1398347035034,-0.30596375,-0.1526825,9.196277
1596712158206,1596712,1398347035041,-0.459245,-0.1910028,9.272917
1596720001224,1596720,1398347035049,-0.53588563,-0.1910028,9.157956
1596728729251,1596729,1398347035057,-0.4975653,-0.03772156,9.196277
1596736633303,1596737,1398347035065,-0.4209247,-0.03772156,9.081315
1596744934085,1596745,1398347035074,-0.26764342,-0.1910028,9.157956
1596753234866,1596754,1398347035082,-0.34428406,-0.22932312,9.426198
1596761535647,1596762,1398347035091,-0.4209247,-0.1526825,9.119636
1596769927981,1596771,1398347035099,-0.4209247,-0.30596375,9.234596
1596778137210,1596779,1398347035107,-0.57420594,-0.11436218,9.349558
1596787078860,1596788,1398347035116,-0.4975653,5.987549E-4,9.196277
1596794769289,1596795,1398347035124,-0.57420594,-0.1910028,9.196277
1596803070071,1596803,1398347035132,-0.30596375,-0.1910028,9.196277
1596811370852,1596812,1398347035140,-0.459245,-0.26764342,9.081315
1596819671633,1596820,1398347035149,-0.34428406,-0.1526825,9.387877
1596828002932,1596829,1398347035157,-0.4975653,-0.11436218,9.234596
1596836273196,1596836,1398347035165,-0.4209247,-0.22932312,9.234596
1596844604495,1596845,1398347035173,-0.459245,-0.1910028,9.157956
1596852874759,1596853,1398347035181,-0.4209247,-0.07604187,9.234596
1596861206057,1596861,1398347035190,-0.30596375,-0.1526825,9.234596
1596869476321,1596870,1398347035198,-0.4209247,-0.07604187,9.234596
1596877777102,1596878,1398347035206,-0.38260436,-0.1910028,9.196277
1596886108401,1596886,1398347035215,-0.38260436,-0.1910028,9.081315
1596894409182,1596895,1398347035223,-0.30596375,-0.07604187,9.272917
1596903167727,1596904,1398347035232,-0.34428406,-0.26764342,9.119636
1596911071780,1596912,1398347035240,-0.4209247,-0.11436218,9.157956
1596919311526,1596920,1398347035248,-0.38260436,-0.22932312,9.119636
1596927642825,1596929,1398347035257,-0.4209247,-0.1526825,9.157956
1596935943606,1596936,1398347035265,-0.459245,-0.22932312,9.272917
1596944244387,1596945,1398347035273,-0.4975653,-0.30596375,9.234596
1596952545168,1596953,1398347035282,-0.4975653,-0.26764342,9.081315
1596960876467,1596962,1398347035291,-0.4975653,-0.11436218,9.196277
1596969177249,1596970,1398347035298,-0.34428406,-0.26764342,9.157956
1596977478030,1596978,1398347035307,-0.34428406,-0.1910028,9.196277
1596986358645,1596987,1398347035315,-0.4975653,-0.11436218,9.234596
1596994079593,1596995,1398347035323,-0.53588563,-0.22932312,9.081315
1597002838137,1597003,1398347035332,-0.4209247,-0.22932312,9.157956
1597010711673,1597012,1398347035341,-0.4975653,-0.30596375,9.157956
1597018981936,1597019,1398347035348,-0.4209247,-0.11436218,9.157956
1597027313235,1597029,1398347035358,-0.30596375,-0.34428406,9.196277
1597035583499,1597036,1398347035364,-0.34428406,-0.26764342,9.196277
1597043884280,1597044,1398347035373,-0.34428406,-0.1910028,9.311237
1597052612307,1597053,1398347035381,-0.4975653,-0.07604187,9.119636
1597060485842,1597061,1398347035389,-0.38260436,-0.1526825,9.349558
1597068817141,1597069,1398347035398,-0.34428406,-0.1910028,9.234596
1597077087405,1597078,1398347035407,-0.4209247,-0.11436218,9.272917
1597085418703,1597086,1398347035414,-0.38260436,-0.1910028,9.119636
1597093719485,1597097,1398347035425,-0.4975653,-0.30596375,9.272917
1597102233890,1597103,1398347035431,-0.38260436,-0.1526825,9.119636
1597110321048,1597112,1398347035441,-0.26764342,-0.1910028,9.081315
1597118652347,1597119,1398347035448,-0.30596375,-0.1526825,9.081315
1597126953128,1597128,1398347035457,-0.30596375,-0.1526825,9.234596
1597135253909,1597136,1398347035464,-0.38260436,-0.1526825,9.119636
1597143554690,1597144,1398347035472,-0.38260436,-0.30596375,9.157956
1597151855471,1597152,1398347035481,-0.4209247,-0.22932312,9.272917
1597160156253,1597160,1398347035489,-0.4209247,-0.30596375,9.311237
1597168487551,1597169,1398347035497,-0.26764342,-0.22932312,9.196277
1597177093508,1597177,1398347035506,-0.459245,-0.22932312,9.234596
1597185089114,1597185,1398347035514,-0.4975653,-0.11436218,9.234596
1597193389895,1597194,1398347035522,-0.34428406,-0.11436218,9.119636
1597201721194,1597202,1398347035530,-0.38260436,-0.11436218,9.311237
1597210021975,1597210,1398347035539,-0.1910028,-0.1910028,9.311237
1597218322756,1597220,1398347035548,-0.459245,-0.22932312,9.119636
1597226654056,1597227,1398347035556,-0.459245,5.987549E-4,9.272917
1597234924319,1597236,1398347035564,-0.4209247,-0.30596375,9.272917
1597243255618,1597244,1398347035572,-0.26764342,-0.11436218,9.272917
1597251556399,1597252,1398347035581,-0.4209247,-0.11436218,9.272917
1597259857180,1597260,1398347035589,-0.459245,-0.1526825,9.196277
1597268157962,1597268,1398347035597,-0.34428406,-0.07604187,9.234596
1597276824954,1597277,1398347035605,-0.30596375,-0.03772156,9.196277
1597284790042,1597285,1398347035613,-0.53588563,-0.34428406,9.272917
1597293090823,1597293,1398347035622,-0.34428406,-0.1526825,9.157956
1597301422122,1597302,1398347035630,-0.30596375,-0.1910028,9.196277
1597309692385,1597310,1398347035638,-0.459245,-0.1526825,9.272917
1597318023684,1597318,1398347035647,-0.459245,-0.1910028,9.081315
1597326324465,1597326,1398347035655,-0.34428406,-0.11436218,9.119636
1597334625246,1597335,1398347035663,-0.459245,-0.26764342,9.157956
1597342926027,1597343,1398347035672,-0.4209247,-0.11436218,9.196277
1597351287844,1597352,1398347035680,-0.4975653,-0.11436218,9.157956
1597359558108,1597360,1398347035688,-0.38260436,-0.11436218,9.196277
1597367858889,1597368,1398347035697,-0.38260436,-0.03772156,9.081315
1597376159670,1597376,1398347035705,-0.38260436,-0.22932312,9.081315
1597384490969,1597385,1398347035713,-0.38260436,-0.1526825,9.157956
1597392761232,1597393,1398347035721,-0.4975653,5.987549E-4,9.272917
1597401092531,1597401,1398347035730,-0.4975653,-0.1910028,9.234596
1597409393312,1597410,1398347035738,-0.30596375,-0.1526825,9.234596
1597417694094,1597418,1398347035746,-0.38260436,-0.11436218,9.081315
1597426025393,1597426,1398347035755,-0.4209247,-0.30596375,9.119636
1597434326175,1597436,1398347035764,-0.38260436,-0.11436218,9.157956
1597442626956,1597443,1398347035772,-0.4209247,-0.11436218,9.081315
1597450927737,1597452,1398347035781,-0.38260436,-0.22932312,9.311237
1597459228518,1597459,1398347035788,-0.459245,-0.11436218,9.081315
1597467529299,1597468,1398347035797,-0.4209247,-0.22932312,9.272917
1597475830080,1597476,1398347035804,-0.4209247,-0.11436218,9.157956
1597484130862,1597485,1398347035813,-0.38260436,-0.11436218,9.234596
1597492462161,1597493,1398347035821,-0.4975653,-0.1526825,9.234596
1597501251224,1597502,1398347035831,-0.4209247,-0.1526825,9.119636
1597509063724,1597509,1398347035838,-0.459245,-0.1526825,9.196277
1597517364505,1597518,1398347035846,-0.4209247,-0.22932312,9.311237
1597526275637,1597527,1398347035855,-0.38260436,-0.22932312,9.157956
1597534637454,1597536,1398347035864,-0.34428406,-0.26764342,9.196277
1597542297366,1597543,1398347035872,-0.4209247,-0.26764342,9.157956
1597550628665,1597551,1398347035879,-0.38260436,-0.07604187,9.119636
1597558929446,1597559,1398347035888,-0.4209247,-0.03772156,9.157956
1597567657473,1597568,1398347035896,-0.459245,-0.22932312,9.196277
1597575531008,1597576,1398347035904,-0.459245,-0.30596375,9.196277
1597583862307,1597584,1398347035912,-0.459245,-0.1910028,9.272917
1597592163088,1597592,1398347035921,-0.38260436,-0.22932312,9.157956
1597600891116,1597601,1398347035930,-0.4209247,-0.1910028,9.157956
1597608764651,1597609,1398347035937,-0.459245,-0.1526825,9.196277
1597617065432,1597618,1398347035947,-0.34428406,-0.1526825,9.196277
1597625427249,1597626,1398347035955,-0.38260436,-0.26764342,9.196277
1597633697513,1597634,1398347035963,-0.459245,-0.30596375,9.157956
1597641998294,1597642,1398347035971,-0.26764342,-0.26764342,9.349558
1597650299075,1597651,1398347035979,-0.34428406,-0.1910028,9.157956
1597658630374,1597659,1398347035987,-0.26764342,-0.1910028,9.272917
1597667358401,1597667,1398347035996,-0.38260436,-0.1910028,9.119636
1597675231936,1597675,1398347036004,-0.4209247,-0.26764342,9.119636
1597683837893,1597684,1398347036012,-0.26764342,-0.22932312,9.157956
1597692077639,1597692,1398347036021,-0.4209247,-0.11436218,9.311237
1597700134280,1597700,1398347036029,-0.34428406,-0.1526825,9.157956
1597708465579,1597709,1398347036037,-0.38260436,-0.1526825,9.272917
1597716796877,1597717,1398347036046,-0.38260436,-0.1910028,9.272917
1597725097659,1597726,1398347036054,-0.30596375,-0.03772156,9.234596
1597733367922,1597734,1398347036062,-0.4975653,-0.07604187,9.119636
1597741699221,1597742,1398347036071,-0.30596375,-0.22932312,9.157956
1597750274661,1597750,1398347036079,-0.459245,-0.1526825,8.928034
1597758331302,1597759,1398347036087,-0.4975653,-0.07604187,9.349558
1597766998294,1597767,1398347036096,-0.53588563,-0.1910028,9.234596
1597774902347,1597775,1398347036104,-0.4975653,-0.1910028,9.196277
1597783233645,1597783,1398347036112,-0.4209247,-0.26764342,9.234596
1597791534427,1597792,1398347036120,-0.38260436,-0.1910028,9.081315
1597799835208,1597800,1398347036129,-0.38260436,-0.22932312,9.042995
1597808197024,1597810,1398347036139,-0.57420594,-0.07604187,9.234596
1597816497805,1597817,1398347036146,-0.459245,-0.22932312,9.157956
1597824768069,1597826,1398347036154,-0.4975653,-0.1910028,9.196277
1597833068850,1597833,1398347036162,-0.30596375,-0.11436218,9.157956
1597841369631,1597842,1398347036170,-0.30596375,-0.1910028,9.311237
1597849700930,1597850,1398347036179,-0.4209247,-0.11436218,9.157956
1597858032229,1597858,1398347036187,-0.4209247,-0.07604187,9.119636
1597866302493,1597867,1398347036195,-0.4975653,-0.1910028,9.234596
1597874603274,1597875,1398347036204,-0.53588563,-0.1910028,9.196277
1597882934573,1597883,1398347036212,-0.34428406,-0.03772156,9.311237
1597891235354,1597892,1398347036220,-0.53588563,-0.22932312,9.196277
1597900299075,1597901,1398347036229,-0.4209247,-0.26764342,9.196277
1597908447268,1597910,1398347036238,-0.38260436,-0.22932312,9.196277
1597916168216,1597917,1398347036246,-0.30596375,-0.1910028,9.196277
1597925476077,1597927,1398347036256,-0.38260436,-0.07604187,9.234596
1597932769778,1597933,1398347036262,-0.53588563,-0.26764342,9.157956
1597941375735,1597942,1398347036270,-0.34428406,-0.1526825,9.311237
1597949371340,1597950,1398347036278,-0.38260436,-0.07604187,9.272917
1597957672122,1597958,1398347036286,-0.4209247,-0.11436218,9.234596
1597965972903,1597966,1398347036295,-0.459245,-0.22932312,9.234596
1597974731448,1597975,1398347036303,-0.30596375,-0.07604187,9.349558
1597982604983,1597983,1398347036311,-0.26764342,-0.11436218,9.234596
1597990905764,1597991,1398347036320,-0.38260436,-0.1526825,9.234596
1597999237063,1598000,1398347036329,-0.38260436,-0.03772156,9.196277
1598007537844,1598008,1398347036337,-0.38260436,-0.07604187,9.119636
1598015869144,1598017,1398347036346,-0.38260436,-0.1910028,9.387877
1598024139407,1598025,1398347036354,-0.459245,-0.11436218,9.272917
1598032440188,1598034,1398347036362,-0.4975653,-0.26764342,9.196277
1598040771487,1598041,1398347036369,-0.4975653,-0.11436218,9.349558
1598049041751,1598049,1398347036378,-0.34428406,-0.11436218,9.196277
1598057373050,1598058,1398347036386,-0.38260436,-0.26764342,9.157956
1598065673831,1598066,1398347036395,-0.38260436,-0.30596375,9.196277
1598074279788,1598075,1398347036403,-0.38260436,-0.11436218,9.196277
1598082275393,1598083,1398347036411,-0.459245,-0.1526825,9.234596
1598090911868,1598091,1398347036420,-0.4209247,-0.03772156,9.081315
