Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1118901684000,1118902,1398347034636,0.459681,-0.153227,10.112982
1118942120000,1118943,1398347034677,0.306454,-0.153227,10.112982
1118952496000,1118953,1398347034687,0.459681,-0.153227,10.112982
1118971753000,1118972,1398347034706,0.459681,-0.306454,10.112982
1118988720000,1118989,1398347034723,0.459681,-0.306454,10.266209
1119001904000,1119009,1398347034743,0.459681,-0.153227,10.112982
1119039319000,1119040,1398347034774,0.459681,-0.153227,10.266209
1119056775000,1119057,1398347034791,0.459681,-0.153227,10.112982
1119082135000,1119082,1398347034816,0.459681,-0.153227,10.112982
1119102978000,1119104,1398347034838,0.459681,-0.306454,10.112982
1119111767000,1119112,1398347034846,0.306454,-0.306454,10.266209
1119127423000,1119128,1398347034862,0.459681,-0.153227,10.112982
1119141797000,1119143,1398347034877,0.459681,-0.153227,10.266209
1119161786000,1119162,1398347034896,0.459681,-0.306454,10.112982
1119191754000,1119192,1398347034926,0.459681,-0.153227,10.112982
1119212964000,1119213,1398347034947,0.306454,-0.153227,10.112982
1119231793000,1119232,1398347034966,0.459681,-0.306454,10.112982
1119242077000,1119242,1398347034976,0.306454,-0.306454,10.112982
1119255475000,1119256,1398347034990,0.306454,-0.306454,10.266209
1119293042000,1119293,1398347035027,0.459681,-0.153227,10.112982
1119317700000,1119318,1398347035052,0.459681,-0.153227,10.266209
1119341748000,1119342,1398347035076,0.459681,-0.153227,10.266209
1119369305000,1119370,1398347035104,0.459681,-0.153227,10.112982
1119391766000,1119392,1398347035126,0.306454,-0.153227,10.112982
1119401898000,1119402,1398347035136,0.459681,-0.153227,10.266209
1119422253000,1119423,1398347035157,0.459681,-0.306454,10.112982
1119456097000,1119456,1398347035190,0.306454,-0.153227,10.112982
1119483929000,1119484,1398347035219,0.459681,-0.306454,10.112982
1119501751000,1119502,1398347035236,0.459681,-0.153227,10.112982
1119521832000,1119529,1398347035263,0.459681,-0.306454,10.112982
1119531781000,1119532,1398347035266,0.459681,-0.153227,10.266209
1119559369000,1119562,1398347035296,0.306454,-0.153227,10.112982
1119577435000,1119578,1398347035312,0.459681,-0.153227,10.112982
1119611767000,1119612,1398347035346,0.459681,-0.306454,10.266209
1119629315000,1119630,1398347035364,0.306454,-0.306454,10.266209
1119656415000,1119657,1398347035391,0.459681,-0.306454,10.112982
1119693097000,1119694,1398347035428,0.459681,-0.306454,10.266209
1119712445000,1119713,1398347035447,0.459681,-0.153227,10.112982
1119732586000,1119733,1398347035467,0.306454,-0.306454,10.112982
1119742932000,1119744,1398347035478,0.459681,-0.306454,10.112982
1119767895000,1119768,1398347035502,0.612908,-0.306454,10.266209
1119781994000,1119815,1398347035549,0.459681,-0.306454,10.112982
1119792798000,1119815,1398347035549,0.459681,-0.153227,10.266209
1119817456000,1119843,1398347035577,0.459681,-0.153227,10.112982
1119829663000,1119843,1398347035577,0.459681,-0.306454,10.112982
1119842328000,1119843,1398347035577,0.306454,-0.153227,10.266209
1119855328000,1119874,1398347035608,0.459681,-0.306454,10.266209
1119872357000,1119874,1398347035608,0.459681,-0.153227,9.959755
1119892651000,1119892,1398347035627,0.306454,-0.306454,10.112982
1119911541000,1119911,1398347035645,0.459681,-0.306454,10.266209
1119921978000,1119922,1398347035656,0.306454,-0.306454,10.112982
1119941296000,1119941,1398347035675,0.306454,-0.153227,10.112982
1119951336000,1119951,1398347035685,0.459681,-0.153227,10.112982
1119971539000,1119971,1398347035705,0.306454,-0.306454,10.266209
1119991711000,1119992,1398347035726,0.459681,-0.306454,10.112982
1120002118000,1120002,1398347035736,0.459681,-0.153227,10.266209
1120021405000,1120021,1398347035755,0.459681,-0.306454,10.266209
1120031323000,1120031,1398347035765,0.459681,-0.153227,10.112982
1120081341000,1120081,1398347035815,0.306454,-0.306454,10.112982
1120101666000,1120102,1398347035836,0.459681,-0.306454,10.266209
1120122784000,1120123,1398347035857,0.306454,-0.306454,10.266209
1120131604000,1120132,1398347035866,0.459681,-0.153227,10.112982
1120152325000,1120152,1398347035886,0.459681,-0.153227,10.266209
1120165234000,1120165,1398347035899,0.459681,-0.306454,10.112982
1120182995000,1120183,1398347035917,0.306454,-0.306454,10.112982
1120201611000,1120202,1398347035936,0.459681,-0.153227,10.266209
1120211590000,1120212,1398347035946,0.459681,-0.306454,10.112982
1120231793000,1120232,1398347035966,0.459681,-0.306454,10.266209
1120241864000,1120242,1398347035976,0.459681,-0.306454,10.112982
1120261944000,1120262,1398347035996,0.459681,-0.306454,10.266209
1120281537000,1120283,1398347036017,0.459681,-0.153227,10.266209
1120291516000,1120292,1398347036026,0.459681,-0.153227,10.112982
1120311535000,1120312,1398347036046,0.459681,-0.306454,10.266209
1120332623000,1120333,1398347036067,0.459681,-0.153227,10.112982
1120356305000,1120357,1398347036091,0.459681,-0.306454,10.266209
1120372571000,1120373,1398347036107,0.459681,-0.306454,10.112982
1120391766000,1120392,1398347036126,0.459681,-0.153227,10.112982
1120408368000,1120409,1398347036143,0.459681,-0.306454,10.112982
1120421826000,1120429,1398347036163,0.459681,-0.306454,10.266209
1120441784000,1120442,1398347036176,0.459681,-0.153227,10.112982
1120460553000,1120461,1398347036195,0.306454,-0.153227,10.266209
1120477765000,1120478,1398347036212,0.459681,-0.306454,10.266209
1120501812000,1120502,1398347036236,0.306454,-0.306454,10.112982
1120529400000,1120531,1398347036265,0.306454,-0.153227,10.266209
1120546856000,1120547,1398347036281,0.306454,-0.306454,10.266209
1120571759000,1120572,1398347036306,0.459681,-0.306454,10.112982
1120581738000,1120582,1398347036316,0.459681,-0.306454,10.266209
1120601788000,1120602,1398347036336,0.306454,-0.306454,10.112982
1120622174000,1120622,1398347036356,0.459681,-0.306454,10.112982
1120632458000,1120638,1398347036372,0.459681,-0.153227,10.112982
1120652997000,1120653,1398347036387,0.459681,-0.306454,10.266209
1120667584000,1120668,1398347036402,0.459681,-0.306454,10.112982
1120685193000,1120685,1398347036419,0.459681,-0.153227,10.266209
1120737317000,1120738,1398347036472,0.459681,-0.153227,10.112982
1120761731000,1120762,1398347036496,0.459681,-0.153227,10.266209
1120789258000,1120790,1398347036524,0.459681,-0.306454,10.112982
1120811810000,1120812,1398347036546,0.306454,-0.153227,10.112982
1120839459000,1120840,1398347036574,0.459681,-0.306454,10.266209
1120854321000,1120862,1398347036596,0.459681,-0.306454,10.112982
1120872448000,1120873,1398347036607,0.459681,-0.306454,10.266209
1120893017000,1120894,1398347036628,0.459681,-0.306454,10.112982
1120911816000,1120912,1398347036646,0.459681,-0.153227,10.266209
1120921887000,1120922,1398347036656,0.306454,-0.306454,10.266209
1120945813000,1120946,1398347036680,0.459681,-0.306454,10.266209
1120972912000,1120973,1398347036707,0.306454,-0.153227,10.112982
1120997082000,1120998,1398347036732,0.459681,-0.306454,10.112982
1121021771000,1121022,1398347036756,0.459681,-0.306454,10.266209
1121048962000,1121049,1398347036783,0.306454,-0.153227,10.266209
1121082470000,1121083,1398347036817,0.459681,-0.306454,10.266209
1121092938000,1121093,1398347036827,0.306454,-0.306454,10.266209
1121101758000,1121102,1398347036836,0.459681,-0.153227,10.266209
1121118298000,1121119,1398347036853,0.306454,-0.153227,10.112982
1121131909000,1121139,1398347036873,0.459681,-0.306454,10.266209
1121151806000,1121152,1398347036886,0.306454,-0.306454,10.112982
1121182080000,1121192,1398347036926,0.459681,-0.153227,10.266209
1121202343000,1121203,1398347036937,0.459681,-0.153227,10.112982
1121232953000,1121233,1398347036967,0.306454,-0.153227,10.112982
1121257428000,1121258,1398347036992,0.306454,-0.306454,10.112982
1121289441000,1121290,1398347037024,0.459681,-0.306454,10.112982
1121311779000,1121312,1398347037046,0.306454,-0.153227,10.112982
1121332135000,1121332,1398347037066,0.459681,-0.153227,10.112982
1121342633000,1121348,1398347037082,0.306454,-0.306454,9.959755
1121361859000,1121362,1398347037096,0.459681,-0.153227,10.112982
1121378033000,1121379,1398347037113,0.306454,-0.153227,10.266209
1121395001000,1121395,1398347037129,0.306454,-0.153227,10.112982
1121412549000,1121413,1398347037147,0.306454,-0.306454,10.266209
1121423016000,1121423,1398347037157,0.459681,-0.306454,10.266209
1121441784000,1121443,1398347037177,0.459681,-0.153227,10.266209
1121461041000,1121468,1398347037202,0.459681,-0.306454,10.112982
1121471753000,1121472,1398347037206,0.459681,-0.306454,10.266209
1121492505000,1121493,1398347037227,0.306454,-0.306454,10.266209
1121516339000,1121517,1398347037252,0.306454,-0.306454,10.112982
1121551709000,1121552,1398347037286,0.459681,-0.153227,10.266209
1121601696000,1121602,1398347037336,0.459681,-0.153227,10.112982
1121641736000,1121642,1398347037376,0.306454,-0.153227,10.112982
1121655682000,1121656,1398347037390,0.459681,-0.153227,10.266209
1121673352000,1121674,1398347037408,0.459681,-0.306454,10.266209
1121682263000,1121683,1398347037417,0.612908,-0.306454,10.266209
1121702435000,1121703,1398347037437,0.306454,-0.306454,10.112982
1121722577000,1121728,1398347037462,0.459681,-0.153227,10.112982
1121758740000,1121759,1398347037493,0.459681,0.0,10.112982
1121809277000,1121810,1398347037544,0.612908,-0.153227,10.266209
1121822644000,1121823,1398347037557,0.459681,-0.306454,10.266209
1121831769000,1121832,1398347037566,0.459681,-0.306454,10.112982
1121842328000,1121843,1398347037577,0.459681,-0.153227,10.112982
1121862683000,1121863,1398347037597,0.306454,-0.306454,10.112982
1121881817000,1121882,1398347037616,0.459681,-0.306454,10.266209
1121891858000,1121893,1398347037627,0.459681,-0.153227,10.112982
1121911786000,1121915,1398347037649,0.459681,-0.306454,10.112982
1121942883000,1121943,1398347037677,0.459681,-0.153227,10.266209
1121966473000,1121967,1398347037701,0.306454,-0.306454,9.959755
1121993878000,1121994,1398347037728,0.459681,-0.306454,10.112982
1122012158000,1122013,1398347037747,0.459681,-0.153227,10.266209
1122021801000,1122022,1398347037756,0.459681,-0.306454,10.112982
1122041729000,1122042,1398347037776,0.459681,-0.153227,10.112982
