Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1103752568000,1103753,1398347034641,0.23154591,0.08172209,10.079058
1103792332000,1103792,1398347034680,0.23154591,0.08172209,10.038197
1103832219000,1103833,1398347034720,0.19068487,0.08172209,10.119919
1103865239000,1103866,1398347034754,0.23154591,0.08172209,10.079058
1103972478000,1103974,1398347034862,0.23154591,0.08172209,10.038197
1104012578000,1104013,1398347034901,0.23154591,0.10896278,10.079058
1104054539000,1104055,1398347034943,0.23154591,0.08172209,10.079058
1104092564000,1104094,1398347034982,0.27240697,0.08172209,10.038197
1104132573000,1104133,1398347035021,0.23154591,0.10896278,10.079058
1104174504000,1104175,1398347035063,0.23154591,0.08172209,10.079058
1104212498000,1104214,1398347035102,0.23154591,0.08172209,10.038197
1104252476000,1104253,1398347035141,0.27240697,0.08172209,10.079058
1104294499000,1104295,1398347035183,0.27240697,0.08172209,10.147159
1104332555000,1104334,1398347035222,0.27240697,0.08172209,10.119919
1104372472000,1104373,1398347035261,0.23154591,0.08172209,10.079058
1104414647000,1104415,1398347035303,0.27240697,0.040861044,9.997335
1104452397000,1104454,1398347035342,0.23154591,0.08172209,10.038197
1104492497000,1104493,1398347035381,0.27240697,0.08172209,10.079058
1104572392000,1104574,1398347035462,0.23154591,0.08172209,10.038197
1104642827000,1104643,1398347035531,0.27240697,0.040861044,10.119919
1104682500000,1104683,1398347035571,0.27240697,0.08172209,10.038197
1104723332000,1104724,1398347035612,0.23154591,0.040861044,10.038197
1104762852000,1104777,1398347035665,0.23154591,0.040861044,10.079058
1104802342000,1104802,1398347035690,0.19068487,0.08172209,10.119919
1104832432000,1104833,1398347035721,0.23154591,0.08172209,10.079058
1104862889000,1104865,1398347035752,0.23154591,0.040861044,10.079058
1104902501000,1104903,1398347035791,0.23154591,0.10896278,10.079058
1104944707000,1104945,1398347035833,0.19068487,0.08172209,10.079058
1104982640000,1104983,1398347035871,0.23154591,0.08172209,10.038197
1105022649000,1105023,1398347035911,0.27240697,0.10896278,10.079058
1105064610000,1105065,1398347035953,0.27240697,0.08172209,10.079058
1105102635000,1105103,1398347035991,0.23154591,0.08172209,10.119919
1105142461000,1105143,1398347036031,0.23154591,0.08172209,10.147159
1105184727000,1105185,1398347036073,0.19068487,0.08172209,10.079058
1105222661000,1105223,1398347036111,0.27240697,0.08172209,10.079058
1105262578000,1105263,1398347036151,0.23154591,0.08172209,10.038197
1105304661000,1105305,1398347036193,0.23154591,0.08172209,10.079058
1105342686000,1105343,1398347036231,0.23154591,0.10896278,10.119919
1105382573000,1105383,1398347036271,0.23154591,0.08172209,10.079058
1105424687000,1105425,1398347036313,0.27240697,0.08172209,10.119919
1105462743000,1105463,1398347036351,0.23154591,0.08172209,9.997335
1105502476000,1105503,1398347036391,0.23154591,0.08172209,10.079058
1105582585000,1105583,1398347036471,0.23154591,0.10896278,10.079058
1105622594000,1105623,1398347036511,0.23154591,0.08172209,10.119919
1105664525000,1105665,1398347036553,0.23154591,0.08172209,10.079058
1105702611000,1105703,1398347036591,0.23154591,0.040861044,10.079058
1105742558000,1105743,1398347036631,0.27240697,0.08172209,10.079058
1105784581000,1105785,1398347036673,0.27240697,0.10896278,10.038197
1105822667000,1105823,1398347036711,0.23154591,0.08172209,10.038197
1105862492000,1105863,1398347036751,0.23154591,0.08172209,10.079058
1105942631000,1105943,1398347036831,0.27240697,0.08172209,10.079058
1105982671000,1105983,1398347036871,0.23154591,0.040861044,10.038197
1106024663000,1106025,1398347036913,0.19068487,0.08172209,10.079058
1106062718000,1106063,1398347036951,0.23154591,0.040861044,10.079058
