Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398347033780949585,942227,1398347034642,0.3648529,-0.016067505,10.268234
1398347033785984985,942241,1398347034656,0.38627625,-0.061294556,10.30394
1398347033791050903,942241,1398347034656,0.39341736,-0.069625854,10.207535
1398347033796025268,942241,1398347034656,0.41841125,-0.032730103,10.267044
1398347033801091186,942242,1398347034657,0.34461975,-0.05177307,10.277756
1398347033806126587,942242,1398347034657,0.39460754,-0.010116577,10.275375
1398347033811161987,942243,1398347034658,0.32200623,-0.007736206,10.211105
1398347033816197388,942256,1398347034671,0.40888977,-0.09700012,10.218246
1398347033821141235,942256,1398347034671,0.36366272,-0.06248474,10.24324
1398347033826085083,942257,1398347034672,0.3827057,-0.037490845,10.324173
1398347033831181518,942265,1398347034680,0.3815155,-0.039871216,10.267044
1398347033836216919,942267,1398347034682,0.36723328,-0.080337524,10.281326
1398347033841252319,942273,1398347034688,0.35414124,-0.058914185,10.270615
1398347033846287720,942277,1398347034692,0.38508606,-0.033920288,10.246811
1398347033851323120,942282,1398347034697,0.3993683,-0.04701233,10.251572
1398347033856358520,942287,1398347034702,0.35890198,-0.069625854,10.286087
1398347033861393921,942292,1398347034707,0.3993683,-0.018447876,10.246811
1398347033866429321,942299,1398347034714,0.41127014,-0.0041656494,10.249191
1398347033871464721,942302,1398347034717,0.41007996,-0.056533813,10.326553
1398347033876500122,942307,1398347034722,0.3731842,-0.035110474,10.281326
1398347033881535522,942315,1398347034730,0.3481903,-0.01725769,10.269424
1398347033886570923,942318,1398347034733,0.3815155,-0.050582886,10.283707
1398347033891606323,942323,1398347034738,0.37080383,-0.014877319,10.256332
1398347033896641723,942328,1398347034743,0.36723328,-0.033920288,10.274185
1398347033901677124,942333,1398347034748,0.38508606,-0.0017852783,10.278946
1398347033906712524,942338,1398347034753,0.4065094,-0.048202515,10.244431
1398347033911747925,942343,1398347034758,0.34461975,-0.012496948,10.259903
1398347033916783325,942349,1398347034764,0.35533142,-0.054153442,10.181351
1398347033921818725,942353,1398347034768,0.40888977,0.029159546,10.268234
1398347033926793091,942358,1398347034773,0.35533142,-0.045822144,10.2313385
1398347033931797973,942364,1398347034780,0.339859,-0.055343628,10.300369
1398347033936924927,942368,1398347034783,0.42674255,-0.05177307,10.272995
1398347033942021362,942373,1398347034788,0.39579773,-0.02796936,10.258713
1398347033946995727,942381,1398347034796,0.40174866,-0.07795715,10.206345
1398347033952031128,942383,1398347034798,0.35414124,-0.03630066,10.209915
1398347033957066528,942388,1398347034803,0.3827057,-0.031539917,10.245621
1398347033962101929,942393,1398347034808,0.38746643,-0.02796936,10.264664
1398347033967106811,942398,1398347034813,0.39579773,-0.0041656494,10.293228
1398347033972172729,942403,1398347034818,0.40055847,-0.0493927,10.275375
1398347033977208130,942408,1398347034823,0.4148407,-0.030349731,10.195633
1398347033982213013,942415,1398347034830,0.3148651,-0.035110474,10.2634735
1398347033987278930,942418,1398347034833,0.36009216,-0.011306763,10.249191
1398347033992314331,942424,1398347034839,0.39698792,-0.061294556,10.267044
1398347033997349731,942428,1398347034843,0.3815155,-0.042251587,10.272995
1398347034002385132,942433,1398347034848,0.36009216,-0.06367493,10.274185
1398347034007420532,942438,1398347034853,0.44459534,-0.037490845,10.2634735
1398347034012455932,942443,1398347034858,0.3827057,-0.023208618,10.236099
1398347034017491333,942448,1398347034864,0.39341736,-0.03868103,10.276566
1398347034022526733,942454,1398347034869,0.40055847,-0.052963257,10.264664
1398347034027592651,942459,1398347034874,0.37794495,-0.045822144,10.308701
1398347034032536499,942469,1398347034884,0.36009216,-0.055343628,10.265854
1398347034037571899,942469,1398347034884,0.36128235,-0.0743866,10.257523
1398347034042668335,942474,1398347034889,0.3493805,-0.06010437,10.227768
1398347034047703735,942486,1398347034901,0.40769958,-0.03868103,10.262283
1398347034052739136,942486,1398347034901,0.36366272,-0.013687134,10.261093
1398347034057774536,942489,1398347034904,0.3815155,-0.06010437,10.278946
1398347034062809936,942494,1398347034909,0.38508606,-0.045822144,10.24324
1398347034067875854,942502,1398347034917,0.3648529,-0.022018433,10.252762
1398347034072880737,942504,1398347034919,0.38865662,-0.042251587,10.328934
1398347034077916138,942509,1398347034924,0.40769958,5.950928E-4,10.287277
1398347034082951538,942521,1398347034936,0.391037,-0.03630066,10.230148
1398347034087986938,942521,1398347034936,0.37675476,-0.04701233,10.224197
1398347034093083374,942525,1398347034940,0.3565216,-0.037490845,10.252762
1398347034098204777,942537,1398347034952,0.39579773,-0.033920288,10.293228
1398347034103240177,942537,1398347034952,0.40293884,-0.010116577,10.245621
1398347034108275578,942540,1398347034955,0.41127014,-0.0029754639,10.246811
1398347034113310978,942557,1398347034972,0.32676697,-0.082717896,10.23848
1398347034118346379,942557,1398347034972,0.44221497,-0.039871216,10.24086
1398347034123473332,942557,1398347034972,0.38865662,-0.039871216,10.287277
1398347034128508732,942574,1398347034989,0.391037,-0.0410614,10.245621
1398347034133574650,942575,1398347034990,0.37794495,-0.033920288,10.236099
1398347034138518498,942575,1398347034990,0.37199402,-0.0065460205,10.296799
1398347034143614933,942576,1398347034991,0.40293884,0.011306763,10.200394
1398347034148650334,942592,1398347035007,0.36723328,-0.011306763,10.276566
1398347034153685734,942592,1398347035008,0.37080383,-0.029159546,10.188492
1398347034158721134,942593,1398347035008,0.35414124,-0.030349731,10.209915
1398347034163756535,942607,1398347035022,0.37556458,-0.0660553,10.24324
1398347034168822453,942607,1398347035022,0.41127014,-0.020828247,10.276566
1398347034173827336,942607,1398347035022,0.39698792,-0.06248474,10.309891
1398347034178771183,942610,1398347035025,0.39579773,-0.052963257,10.2825165
1398347034183776066,942615,1398347035030,0.41127014,-0.016067505,10.228958
1398347034188841984,942620,1398347035035,0.37675476,-0.026779175,10.218246
1398347034193877384,942625,1398347035040,0.37199402,-0.11366272,10.209915
1398347034198882267,942632,1398347035047,0.35176086,-0.07676697,10.284897
1398347034203948185,942635,1398347035050,0.35176086,-0.061294556,10.297989
1398347034208983586,942640,1398347035055,0.36247253,-0.055343628,10.250381
1398347034214018986,942648,1398347035063,0.38865662,-0.055343628,10.275375
1398347034219054386,942650,1398347035065,0.36961365,-0.033920288,10.236099
1398347034224089787,942655,1398347035070,0.38865662,-0.007736206,10.277756
1398347034229125187,942660,1398347035075,0.39222717,-0.022018433,10.214676
1398347034234160588,942665,1398347035080,0.37794495,-0.035110474,10.275375
1398347034239134953,942670,1398347035085,0.4053192,-0.042251587,10.281326
1398347034244170353,942675,1398347035090,0.37675476,-0.054153442,10.258713
1398347034249236271,942681,1398347035097,0.38746643,-0.057724,10.251572
1398347034254302189,942685,1398347035100,0.38508606,-0.02558899,10.232529
1398347034259337590,942690,1398347035105,0.38389587,-0.06367493,10.264664
1398347034264372990,942698,1398347035113,0.40412903,-0.09819031,10.276566
1398347034269408390,942700,1398347035115,0.36366272,-0.05177307,10.264664
1398347034274443791,942705,1398347035120,0.391037,-0.04701233,10.269424
1398347034279479191,942710,1398347035125,0.39222717,-0.07081604,10.200394
1398347034284514592,942715,1398347035130,0.3898468,-0.026779175,10.246811
1398347034289549992,942720,1398347035135,0.39341736,-0.023208618,10.267044
1398347034294585392,942726,1398347035141,0.38627625,-0.06724548,10.264664
1398347034299620793,942732,1398347035147,0.36128235,-0.039871216,10.261093
1398347034304656193,942735,1398347035151,0.41960144,-0.069625854,10.283707
1398347034309691593,942740,1398347035156,0.36247253,-0.043441772,10.342026
1398347034314726994,942748,1398347035163,0.39341736,0.008926392,10.245621
1398347034319762394,942751,1398347035166,0.38865662,-0.0029754639,10.276566
1398347034324797795,942756,1398347035171,0.3660431,-0.055343628,10.250381
1398347034329833195,942761,1398347035176,0.3898468,-0.022018433,10.30275
1398347034334838078,942766,1398347035181,0.4219818,-0.069625854,10.268234
1398347034339903996,942771,1398347035186,0.3827057,-0.043441772,10.286087
1398347034344878361,942776,1398347035191,0.3981781,-0.042251587,10.208725
1398347034349913761,942782,1398347035197,0.38865662,-0.05177307,10.296799
1398347034354949162,942786,1398347035201,0.38865662,-0.032730103,10.249191
1398347034359984562,942791,1398347035206,0.3648529,-0.007736206,10.287277
1398347034365080998,942798,1398347035213,0.39579773,-0.052963257,10.195633
