Index,Arrival_Time,Creation_Time,x,y,z
200519,1425047341056,474425510929034,0.13668823,-0.25056458,9.841431
200520,1425047341061,474425515872881,0.13668823,-0.22914124,9.8723755
200521,1425047341066,474425520847247,0.11288452,-0.2648468,9.8533325
200522,1425047341071,474425525821612,0.09384155,-0.28388977,9.820007
200523,1425047341076,474425530795977,0.02243042,-0.2481842,9.824768
200524,1425047341081,474425535770342,0.08670044,-0.26246643,9.817627
200525,1425047341086,474425540744707,0.14382935,-0.32673645,9.786682
200526,1425047341090,474425545688555,0.13430786,-0.29579163,9.855713
200527,1425047341095,474425550662920,0.13192749,-0.29579163,9.817627
200528,1425047341101,474425555637286,0.11050415,-0.25056458,9.767639
200529,1425047341105,474425560611651,0.10336304,-0.2648468,9.810486
200530,1425047341110,474425565586016,0.098602295,-0.26960754,9.793823
200531,1425047341116,474425570560381,0.14144897,-0.28627014,9.858093
200532,1425047341120,474425575504229,0.11764526,-0.27198792,9.8723755
200533,1425047341125,474425580478594,0.09146118,-0.298172,9.855713
200534,1425047341130,474425585452959,0.11764526,-0.25294495,9.812866
200535,1425047341136,474425590427325,0.096221924,-0.27912903,9.858093
200536,1425047341140,474425595401690,0.0819397,-0.29579163,9.83905
200537,1425047341145,474425600376055,0.11764526,-0.23866272,9.800964
200538,1425047341150,474425605319903,0.08908081,-0.2481842,9.820007
200539,1425047341155,474425610294268,0.14620972,-0.27198792,9.820007
200540,1425047341160,474425615268633,0.12954712,-0.26960754,9.824768
200541,1425047341165,474425620242998,0.120025635,-0.23628235,9.817627
200542,1425047341170,474425625217364,0.12954712,-0.28627014,9.841431
200543,1425047341175,474425630191729,0.09146118,-0.27674866,9.877136
200544,1425047341180,474425635135577,0.08670044,-0.25532532,9.77002
200545,1425047341185,474425640109942,0.100982666,-0.23628235,9.784302
200546,1425047341190,474425645084307,0.12716675,-0.298172,9.843811
200547,1425047341195,474425650058672,0.08670044,-0.28627014,9.810486
200548,1425047341199,474425655033038,0.11050415,-0.25056458,9.779541
200549,1425047341205,474425660068438,0.07241821,-0.29341125,9.777161
200550,1425047341210,474425664951250,0.08670044,-0.26008606,9.820007
200551,1425047341215,474425669925616,0.09146118,-0.25294495,9.810486
200552,1425047341220,474425674899981,0.13192749,-0.29341125,9.829529
200553,1425047341225,474425679874346,0.11764526,-0.30293274,9.793823
200554,1425047341229,474425684818194,0.13430786,-0.26008606,9.820007
200555,1425047341235,474425689792559,0.09146118,-0.23390198,9.829529
200556,1425047341240,474425694766924,0.09384155,-0.24342346,9.83667
200557,1425047341244,474425699741290,0.09146118,-0.27674866,9.83667
200558,1425047341250,474425704715655,0.14620972,-0.30293274,9.841431
200559,1425047341254,474425709659502,0.07003784,-0.27912903,9.805725
200560,1425047341260,474425714633868,0.11764526,-0.2648468,9.867615
200561,1425047341264,474425719608233,0.08670044,-0.25294495,9.843811
200562,1425047341269,474425724582598,0.08670044,-0.2648468,9.817627
200563,1425047341275,474425729556963,0.074798584,-0.28388977,9.815247
200564,1425047341279,474425734531329,0.08908081,-0.30293274,9.812866
200565,1425047341284,474425739505694,0.12954712,-0.26722717,9.829529
200566,1425047341289,474425744449541,0.13192749,-0.27912903,9.865234
200567,1425047341294,474425749423907,0.14382935,-0.26246643,9.8723755
200568,1425047341299,474425754398272,0.06289673,-0.21247864,9.8533325
200569,1425047341304,474425759372637,0.11526489,-0.2648468,9.83429
200570,1425047341310,474425764316485,0.15335083,-0.26008606,9.793823
200571,1425047341314,474425769290850,0.100982666,-0.25294495,9.83429
200572,1425047341319,474425774265215,0.11288452,-0.2648468,9.848572
200573,1425047341324,474425779239581,0.11288452,-0.25056458,9.8533325
200574,1425047341329,474425784213946,0.06765747,-0.26246643,9.815247
200575,1425047341334,474425789188311,0.08670044,-0.25532532,9.841431
200576,1425047341339,474425794132159,0.10812378,-0.29103088,9.827148
200577,1425047341344,474425799106524,0.11050415,-0.26008606,9.815247
200578,1425047341349,474425804080889,0.11764526,-0.27198792,9.777161
200579,1425047341354,474425809055254,0.07003784,-0.30293274,9.891418
200580,1425047341359,474425814029620,0.096221924,-0.27674866,9.848572
200581,1425047341364,474425819003985,0.10336304,-0.26246643,9.827148
200582,1425047341369,474425823947832,0.077178955,-0.31007385,9.822388
200583,1425047341374,474425828922198,0.058135986,-0.25532532,9.83667
200584,1425047341379,474425833896563,0.09146118,-0.27674866,9.891418
200585,1425047341384,474425838870928,0.09384155,-0.29103088,9.841431
200586,1425047341388,474425843845293,0.08432007,-0.28388977,9.869995
200587,1425047341394,474425848819659,0.09384155,-0.26960754,9.781921
200588,1425047341398,474425853763506,0.11288452,-0.26008606,9.850952
