Arrival_Time,Creation_Time,x,y,z
1427705168489,1427706985924713823,0.117874146,-0.3671875,9.740707
1427705168493,1427706985929718706,0.16548157,-0.38861084,9.668106
1427705168498,1427706985934815141,0.11906433,-0.37075806,9.796646
1427705168503,1427706985939820024,0.18571472,-0.4255066,9.739517
1427705168508,1427706985944855424,0.17024231,-0.3921814,9.659775
1427705168513,1427706985949890825,0.13929749,-0.34695435,9.722855
1427705168518,1427706985954926225,0.1547699,-0.38980103,9.733566
1427705168523,1427706985959961626,0.12620544,-0.3838501,9.6645355
1427705168528,1427706985964997026,0.15238953,-0.41241455,9.69072
1427705168533,1427706985970032426,0.12263489,-0.37789917,9.707382
1427705168539,1427706985975067827,0.17738342,-0.37670898,9.776413
1427705168544,1427706985980103227,0.14762878,-0.41836548,9.745468
1427705168549,1427706985985138628,0.14762878,-0.36480713,9.762131
1427705168554,1427706985990174028,0.16072083,-0.33743286,9.721664
1427705168559,1427706985995209428,0.20237732,-0.3433838,9.737137
1427705168564,1427706986000244829,0.23094177,-0.34695435,9.708572
1427705168569,1427706986005280229,0.16667175,-0.34457397,9.732376
1427705168574,1427706986010315630,0.20832825,-0.35290527,9.764511
1427705168579,1427706986015351030,0.15238953,-0.36361694,9.712143
1427705168584,1427706986020355913,0.1714325,-0.34814453,9.794266
1427705168589,1427706986025391313,0.129776,-0.3909912,9.7668915
1427705168594,1427706986030426714,0.14524841,-0.4255066,9.745468
1427705168599,1427706986035492632,0.15238953,-0.38623047,9.806168
1427705168604,1427706986040558549,0.15119934,-0.38027954,9.650253
1427705168609,1427706986045563432,0.16191101,-0.40527344,9.760941
1427705168614,1427706986050598833,0.15715027,-0.37908936,9.675247
1427705168619,1427706986055634233,0.14881897,-0.4076538,9.710953
1427705168625,1427706986060669633,0.2118988,-0.3683777,9.740707
1427705168629,1427706986065674516,0.1131134,-0.44692993,9.733566
1427705168635,1427706986070770952,0.13334656,-0.34814453,9.722855
1427705168639,1427706986075745317,0.1714325,-0.41003418,9.746658
1427705168645,1427706986080811235,0.15238953,-0.3921814,9.709763
1427705168649,1427706986085846635,0.16191101,-0.44812012,9.680008
1427705168655,1427706986090851518,0.12382507,-0.3421936,9.722855
1427705168660,1427706986095886919,0.10954285,-0.35647583,9.710953
1427705168665,1427706986100922319,0.16667175,-0.4326477,9.744278
1427705168670,1427706986105957719,0.17381287,-0.3838501,9.688339
1427705168675,1427706986110993120,0.17619324,-0.37908936,9.689529
1427705168680,1427706986116028520,0.14405823,-0.43026733,9.672867
1427705168685,1427706986121063921,0.16548157,-0.3755188,9.681198
1427705168690,1427706986126099321,0.14167786,-0.38504028,9.665726
1427705168695,1427706986131165239,0.1880951,-0.39694214,9.69191
1427705168700,1427706986136170122,0.11906433,-0.4421692,9.666916
1427705168707,1427706986141205522,0.16786194,-0.35290527,9.735947
1427705168711,1427706986146332475,0.20118713,-0.37908936,9.751419
1427705168715,1427706986151398393,0.15000916,-0.37908936,9.726425
1427705168720,1427706986156342241,0.15834045,-0.41003418,9.710953
1427705168726,1427706986161377641,0.15238953,-0.35290527,9.785934
1427705168730,1427706986166382524,0.13691711,-0.3826599,9.719284
1427705168735,1427706986171448442,0.15357971,-0.3909912,9.745468
1427705168740,1427706986176544878,0.11906433,-0.43621826,9.712143
1427705168745,1427706986181488725,0.16667175,-0.3755188,9.738327
1427705168750,1427706986186646196,0.096450806,-0.4005127,9.722855
1427705168755,1427706986191559526,0.1797638,-0.38861084,9.775223
1427705168760,1427706986196625444,0.15238953,-0.3600464,9.69548
1427705168765,1427706986201660844,0.16786194,-0.38504028,9.674057
1427705168770,1427706986206696245,0.14762878,-0.39813232,9.696671
1427705168775,1427706986211731645,0.15238953,-0.36480713,9.771652
1427705168780,1427706986216767046,0.20118713,-0.36956787,9.7668915
1427705168785,1427706986221802446,0.22737122,-0.37194824,9.674057
1427705168790,1427706986226837846,0.15238953,-0.3338623,9.735947
1427705168795,1427706986231903764,0.1547699,-0.37075806,9.777603
1427705168800,1427706986236878130,0.17262268,-0.42193604,9.762131
1427705168806,1427706986241944048,0.2118988,-0.39337158,9.735947
1427705168811,1427706986246979448,0.15834045,-0.34457397,9.685959
1427705168815,1427706986252014848,0.1381073,-0.38861084,9.672867
1427705168821,1427706986257111284,0.17381287,-0.408844,9.765701
1427705168826,1427706986262055132,0.1797638,-0.3755188,9.763321
1427705168831,1427706986267121049,0.13572693,-0.38861084,9.749039
1427705168836,1427706986272186967,0.19047546,-0.35528564,9.784744
1427705168841,1427706986277222368,0.14524841,-0.408844,9.749039
1427705168846,1427706986282227251,0.16786194,-0.3921814,9.777603
1427705168851,1427706986287262651,0.16786194,-0.40527344,9.745468
1427705168856,1427706986292298051,0.17619324,-0.41360474,9.763321
1427705168861,1427706986297333452,0.1131134,-0.3517151,9.713333
1427705168866,1427706986302368852,0.18452454,-0.42788696,9.744278
1427705168871,1427706986307404253,0.13572693,-0.41241455,9.7799835
1427705168876,1427706986312439653,0.12739563,-0.38146973,9.741898
1427705168881,1427706986317475053,0.13929749,-0.3755188,9.75618
1427705168886,1427706986322510454,0.14167786,-0.39694214,9.696671
1427705168891,1427706986327545854,0.12501526,-0.42669678,9.75975
1427705168896,1427706986332581255,0.19404602,-0.4326477,9.672867
1427705168901,1427706986337616655,0.19761658,-0.39337158,9.710953
1427705168906,1427706986342652055,0.14524841,-0.4243164,9.771652
1427705168911,1427706986347687456,0.15715027,-0.41241455,9.762131
1427705168916,1427706986352722856,0.16667175,-0.3100586,9.75856
1427705168921,1427706986357758257,0.1714325,-0.35766602,9.741898
1427705168927,1427706986362854692,0.115493774,-0.4171753,9.740707
1427705168932,1427706986367798540,0.18333435,-0.38504028,9.772842
1427705168937,1427706986372864458,0.2118988,-0.33981323,9.776413
1427705168942,1427706986377899858,0.14048767,-0.39694214,9.650253
1427705168947,1427706986382935258,0.19404602,-0.36956787,9.726425
1427705168952,1427706986387970659,0.15834045,-0.3838501,9.797836
1427705168957,1427706986393006059,0.16548157,-0.41122437,9.785934
1427705168962,1427706986398041460,0.17024231,-0.38980103,9.728806
1427705168967,1427706986403076860,0.14048767,-0.35290527,9.720474
1427705168972,1427706986408112260,0.17738342,-0.38861084,9.789505
1427705168977,1427706986413147661,0.21546936,-0.39337158,9.750229
1427705168982,1427706986418183061,0.16905212,-0.32434082,9.800217
1427705168987,1427706986423218462,0.15119934,-0.37789917,9.770462
1427705168993,1427706986428253862,0.23570251,-0.36123657,9.762131
1427705168997,1427706986433289262,0.12858582,-0.34457397,9.701431
1427705169002,1427706986438471866,0.20237732,-0.4255066,9.726425
1427705169007,1427706986443446231,0.16191101,-0.38980103,9.722855
1427705169012,1427706986448481632,0.15238953,-0.4171753,9.712143
1427705169017,1427706986453517032,0.14048767,-0.3755188,9.740707
1427705169022,1427706986458552432,0.14762878,-0.36242676,9.709763
1427705169027,1427706986463587833,0.14762878,-0.34457397,9.724045
1427705169032,1427706986468623233,0.11430359,-0.3517151,9.782364
1427705169037,1427706986473658634,0.1464386,-0.42669678,9.741898
1427705169042,1427706986478694034,0.14048767,-0.3838501,9.772842
1427705169047,1427706986483729434,0.15119934,-0.3921814,9.718094
1427705169052,1427706986488764835,0.12501526,-0.3921814,9.697861
1427705169057,1427706986493800235,0.19047546,-0.37670898,9.791885
1427705169063,1427706986498835635,0.117874146,-0.408844,9.672867
1427705169067,1427706986503871036,0.13572693,-0.40527344,9.738327
1427705169072,1427706986508906436,0.14524841,-0.43740845,9.82045
1427705169078,1427706986513941837,0.15357971,-0.39456177,9.784744
1427705169083,1427706986518946719,0.14524841,-0.43978882,9.700241
1427705169088,1427706986523982120,0.17262268,-0.38623047,9.708572
1427705169093,1427706986529017520,0.17024231,-0.42669678,9.753799
1427705169098,1427706986534052921,0.15357971,-0.44335938,9.771652
1427705169103,1427706986539088321,0.21665955,-0.3909912,9.7478485
1427705169108,1427706986544123721,0.19880676,-0.37194824,9.668106
1427705169113,1427706986549159122,0.1381073,-0.3909912,9.740707
1427705169118,1427706986554194522,0.12263489,-0.35409546,9.726425
1427705169123,1427706986559229923,0.15596008,-0.37313843,9.744278
1427705169128,1427706986564265323,0.117874146,-0.3921814,9.718094
1427705169135,1427706986569300723,0.1464386,-0.39575195,9.675247
1427705169138,1427706986574366641,0.1381073,-0.39456177,9.722855
1427705169143,1427706986579402042,0.13929749,-0.3600464,9.728806
1427705169148,1427706986584406925,0.15953064,-0.34695435,9.729996
1427705169155,1427706986589442325,0.16786194,-0.33148193,9.739517
1427705169163,1427706986594477725,0.18571472,-0.3659973,9.802597
1427705169164,1427706986599543643,0.15596008,-0.33267212,9.709763
1427705169168,1427706986604548526,0.1631012,-0.38027954,9.706192
1427705169174,1427706986609614444,0.104782104,-0.3909912,9.69548
1427705169178,1427706986614649844,0.16905212,-0.38861084,9.752609
1427705169188,1427706986619685245,0.15596008,-0.4005127,9.702621
