Creation_Time,Sensor_Time,Arrival_Time,x,y,z
877284102000,877285,1398347034633,-0.19068487,0.0,10.119919
877322974000,877324,1398347034672,-0.19068487,0.0,10.079058
877364224000,877365,1398347034713,-0.14982383,0.040861044,10.079058
877402364000,877404,1398347034752,-0.14982383,0.0,10.119919
877442273000,877443,1398347034791,-0.19068487,0.040861044,10.119919
877482334000,877485,1398347034833,-0.19068487,0.040861044,10.079058
877522303000,877523,1398347034871,-0.19068487,0.0,10.079058
877563096000,877564,1398347034912,-0.19068487,0.040861044,10.079058
877603004000,877604,1398347034952,-0.14982383,0.040861044,10.119919
877644071000,877645,1398347034993,-0.19068487,0.040861044,10.079058
877683401000,877684,1398347035032,-0.14982383,0.040861044,10.119919
877752334000,877753,1398347035101,-0.14982383,0.040861044,10.038197
877793431000,877794,1398347035142,-0.14982383,0.040861044,10.079058
877833096000,877834,1398347035182,-0.14982383,0.08172209,10.079058
877872395000,877873,1398347035221,-0.14982383,0.0,10.079058
877912425000,877915,1398347035263,-0.14982383,0.040861044,9.997335
877952334000,877953,1398347035301,-0.19068487,0.040861044,10.038197
877992395000,877993,1398347035341,-0.19068487,0.0,10.079058
878023492000,878024,1398347035372,-0.14982383,0.040861044,10.079058
878063035000,878064,1398347035412,-0.19068487,0.040861044,10.079058
878102273000,878103,1398347035451,-0.19068487,0.0,10.119919
878142364000,878145,1398347035493,-0.14982383,0.040861044,10.079058
878182273000,878183,1398347035531,-0.19068487,0.040861044,10.079058
878222303000,878223,1398347035571,-0.14982383,0.0,10.079058
878332273000,878333,1398347035681,-0.19068487,0.0,10.079058
878372334000,878373,1398347035721,-0.14982383,0.0,10.038197
878412242000,878413,1398347035761,-0.14982383,0.0,10.079058
878453462000,878454,1398347035802,-0.14982383,0.040861044,10.079058
878492303000,878493,1398347035841,-0.19068487,0.040861044,10.079058
878533370000,878534,1398347035882,-0.19068487,0.0,10.119919
878573157000,878574,1398347035922,-0.14982383,0.0,10.038197
878612242000,878613,1398347035961,-0.14982383,0.0,10.119919
878692273000,878693,1398347036041,-0.14982383,0.0,10.038197
878732303000,878733,1398347036081,-0.14982383,0.0,10.119919
878763431000,878764,1398347036112,-0.19068487,-0.040861044,10.079058
878803157000,878804,1398347036152,-0.19068487,0.040861044,10.119919
878842273000,878843,1398347036191,-0.14982383,0.040861044,10.119919
878882364000,878885,1398347036233,-0.19068487,0.0,10.079058
878922303000,878923,1398347036271,-0.14982383,0.040861044,10.038197
878962364000,878963,1398347036311,-0.14982383,-0.040861044,10.079058
878993065000,878994,1398347036342,-0.14982383,0.040861044,10.079058
879033553000,879034,1398347036382,-0.14982383,0.0,10.079058
879072334000,879073,1398347036421,-0.14982383,0.0,10.038197
879112425000,879113,1398347036461,-0.14982383,0.040861044,10.038197
879152364000,879153,1398347036501,-0.19068487,0.0,10.079058
879192425000,879193,1398347036541,-0.14982383,0.040861044,10.147159
879232395000,879233,1398347036581,-0.19068487,0.0,10.079058
879273462000,879274,1398347036622,-0.14982383,0.040861044,10.119919
879313279000,879314,1398347036662,-0.14982383,0.0,10.119919
879352364000,879353,1398347036701,-0.19068487,0.0,10.119919
879392425000,879395,1398347036743,-0.19068487,0.0,10.079058
879503370000,879504,1398347036852,-0.14982383,0.0,10.079058
879543523000,879544,1398347036892,-0.14982383,0.0,10.119919
879582303000,879585,1398347036933,-0.14982383,0.0,10.079058
879622334000,879623,1398347036971,-0.14982383,0.040861044,10.079058
879662303000,879663,1398347037011,-0.10896278,0.0,10.079058
879702303000,879703,1398347037051,-0.19068487,0.0,10.038197
879733675000,879734,1398347037082,-0.19068487,0.0,10.079058
879773828000,879775,1398347037123,-0.14982383,0.0,10.038197
879812273000,879813,1398347037161,-0.14982383,0.0,10.079058
879852303000,879853,1398347037201,-0.10896278,0.0,10.079058
879892273000,879893,1398347037241,-0.14982383,0.040861044,10.079058
879932364000,879933,1398347037281,-0.14982383,0.0,10.119919
879972517000,879973,1398347037321,-0.14982383,0.0,10.079058
880013370000,880014,1398347037362,-0.14982383,0.0,9.997335
880053675000,880054,1398347037402,-0.14982383,0.0,10.038197
880092242000,880093,1398347037441,-0.14982383,0.0,10.079058
880132395000,880133,1398347037481,-0.14982383,0.040861044,10.079058
880172303000,880173,1398347037521,-0.19068487,0.040861044,10.079058
880212334000,880213,1398347037561,-0.14982383,0.040861044,10.119919
880252364000,880253,1398347037601,-0.19068487,0.0,10.119919
880293370000,880294,1398347037642,-0.19068487,0.040861044,10.079058
880333340000,880334,1398347037682,-0.14982383,0.0,10.079058
880412334000,880415,1398347037763,-0.14982383,0.040861044,10.079058
880452273000,880453,1398347037801,-0.14982383,0.0,10.079058
880492456000,880493,1398347037841,-0.19068487,0.040861044,10.119919
880523462000,880524,1398347037872,-0.14982383,0.040861044,10.119919
880563706000,880564,1398347037912,-0.10896278,0.0,10.038197
880602273000,880603,1398347037951,-0.14982383,0.040861044,10.079058
880642364000,880643,1398347037991,-0.19068487,0.040861044,10.038197
880682334000,880683,1398347038031,-0.14982383,0.040861044,10.119919
880722303000,880723,1398347038071,-0.19068487,0.040861044,9.997335
880753736000,880755,1398347038103,-0.19068487,0.040861044,10.079058
880794041000,880795,1398347038143,-0.19068487,0.0,10.119919
880832334000,880833,1398347038181,-0.14982383,0.040861044,10.079058
880872364000,880873,1398347038221,-0.14982383,0.0,10.119919
880912334000,880913,1398347038261,-0.14982383,0.040861044,10.038197
880952486000,880953,1398347038301,-0.19068487,0.0,10.079058
880992699000,880994,1398347038342,-0.14982383,0.0,10.079058
881033431000,881034,1398347038382,-0.19068487,0.040861044,10.079058
881073797000,881075,1398347038423,-0.19068487,0.0,10.079058
881142273000,881143,1398347038491,-0.14982383,0.08172209,10.119919
881182699000,881183,1398347038531,-0.14982383,0.0,10.079058
881225047000,881226,1398347038574,-0.14982383,0.040861044,10.079058
881263736000,881265,1398347038613,-0.19068487,0.040861044,10.119919
881304041000,881305,1398347038653,-0.10896278,0.040861044,10.079058
881342273000,881343,1398347038691,-0.14982383,0.0,10.038197
881382303000,881383,1398347038731,-0.14982383,0.040861044,10.079058
881413096000,881414,1398347038762,-0.14982383,0.0,10.119919
881453187000,881454,1398347038802,-0.14982383,0.0,10.079058
881494041000,881495,1398347038843,-0.14982383,0.040861044,10.119919
881532364000,881535,1398347038883,-0.14982383,0.0,10.119919
881602303000,881603,1398347038951,-0.14982383,0.040861044,10.119919
881683187000,881684,1398347039032,-0.14982383,0.0,10.079058
881722273000,881723,1398347039071,-0.10896278,0.0,10.119919
881762364000,881765,1398347039113,-0.14982383,-0.040861044,10.119919
881802303000,881803,1398347039151,-0.14982383,0.0,10.079058
881842334000,881843,1398347039191,-0.14982383,0.040861044,10.079058
881913340000,881914,1398347039262,-0.14982383,0.040861044,10.119919
881952303000,881953,1398347039301,-0.14982383,0.040861044,10.038197
881992456000,881995,1398347039343,-0.14982383,0.0,10.079058
882103340000,882104,1398347039452,-0.14982383,0.0,9.997335
882143187000,882144,1398347039492,-0.14982383,0.0,10.079058
882182273000,882183,1398347039531,-0.14982383,0.0,10.119919
882222334000,882223,1398347039571,-0.14982383,0.0,10.079058
882262273000,882263,1398347039611,-0.19068487,0.0,10.079058
882302303000,882303,1398347039651,-0.19068487,0.0,10.119919
882333462000,882334,1398347039682,-0.19068487,0.040861044,10.147159
882373584000,882374,1398347039722,-0.19068487,0.040861044,10.079058
882412242000,882415,1398347039763,-0.19068487,0.0,10.079058
882452364000,882453,1398347039801,-0.14982383,0.0,10.079058
882492303000,882493,1398347039841,-0.14982383,0.0,10.119919
882532334000,882533,1398347039881,-0.19068487,0.0,10.119919
882572334000,882573,1398347039921,-0.19068487,0.0,10.079058
882613370000,882614,1398347039962,-0.14982383,0.0,10.079058
882653248000,882654,1398347040002,-0.14982383,0.0,10.119919
882692303000,882693,1398347040041,-0.19068487,0.040861044,10.119919
882762334000,882763,1398347040111,-0.19068487,0.0,10.119919
882843370000,882844,1398347040192,-0.19068487,-0.040861044,10.119919
882883675000,882884,1398347040232,-0.14982383,0.0,10.079058
882922242000,882925,1398347040273,-0.14982383,-0.040861044,10.079058
882962364000,882963,1398347040311,-0.14982383,0.0,9.997335
883002517000,883003,1398347040351,-0.14982383,0.040861044,10.119919
883042334000,883043,1398347040391,-0.14982383,0.0,10.079058
883082334000,883083,1398347040431,-0.23154591,0.040861044,10.079058
883123370000,883124,1398347040472,-0.19068487,0.040861044,10.079058
883163340000,883164,1398347040512,-0.19068487,0.0,10.119919
883202303000,883203,1398347040551,-0.14982383,0.0,10.079058
883242334000,883245,1398347040593,-0.14982383,-0.040861044,10.079058
883282273000,883283,1398347040631,-0.19068487,0.040861044,10.079058
883322334000,883323,1398347040671,-0.19068487,0.0,10.079058
883353523000,883354,1398347040702,-0.19068487,0.040861044,10.119919
883393736000,883394,1398347040742,-0.14982383,0.040861044,10.147159
883432334000,883435,1398347040783,-0.19068487,-0.040861044,9.997335
883472395000,883473,1398347040821,-0.14982383,-0.040861044,10.038197
883512456000,883513,1398347040861,-0.14982383,0.0,10.119919
883552364000,883553,1398347040901,-0.19068487,0.0,10.119919
883592425000,883593,1398347040941,-0.19068487,0.0,10.038197
883633431000,883634,1398347040982,-0.19068487,0.040861044,9.997335
883673553000,883674,1398347041022,-0.14982383,0.0,10.079058
883752456000,883753,1398347041101,-0.19068487,0.040861044,9.997335
883792395000,883793,1398347041141,-0.19068487,0.0,10.119919
883832395000,883833,1398347041181,-0.19068487,0.0,10.079058
883903736000,883904,1398347041252,-0.14982383,0.0,10.038197
883942273000,883952,1398347041291,-0.19068487,0.0,10.119919
883982334000,883983,1398347041331,-0.19068487,0.0,10.038197
884022334000,884023,1398347041371,-0.14982383,0.040861044,10.079058
884052974000,884054,1398347041402,-0.19068487,0.0,10.079058
884093675000,884094,1398347041442,-0.14982383,-0.040861044,10.147159
884134071000,884135,1398347041483,-0.10896278,0.0,10.079058
884172273000,884173,1398347041521,-0.19068487,0.0,10.038197
884212303000,884213,1398347041561,-0.14982383,0.0,10.119919
884252273000,884253,1398347041601,-0.14982383,-0.040861044,10.079058
884292303000,884293,1398347041641,-0.14982383,0.0,10.079058
884332699000,884333,1398347041681,-0.14982383,0.040861044,10.079058
884372334000,884373,1398347041721,-0.19068487,0.0,10.079058
884412364000,884413,1398347041761,-0.14982383,0.040861044,10.038197
884452273000,884453,1398347041801,-0.14982383,0.040861044,10.079058
884492334000,884493,1398347041841,-0.14982383,0.0,10.079058
884532273000,884533,1398347041881,-0.14982383,0.040861044,10.079058
884572303000,884573,1398347041921,-0.19068487,0.0,10.038197
884612395000,884613,1398347041961,-0.19068487,-0.14982383,10.119919
884653401000,884654,1398347042002,-0.14982383,0.0,10.079058
884693553000,884694,1398347042042,-0.14982383,-0.040861044,10.119919
884732273000,884733,1398347042081,-0.14982383,0.0,10.119919
884772364000,884773,1398347042121,-0.14982383,0.040861044,10.079058
884842364000,884843,1398347042191,-0.14982383,0.040861044,10.119919
884883401000,884884,1398347042232,-0.14982383,0.0,10.079058
884992334000,884993,1398347042341,-0.14982383,0.0,10.038197
885032760000,885034,1398347042382,-0.14982383,0.0,10.119919
885072882000,885074,1398347042422,-0.19068487,0.040861044,10.079058
885118309000,885119,1398347042467,-0.14982383,0.0,10.038197
885154285000,885154,1398347042502,-0.14982383,0.0,10.079058
885202181000,885202,1398347042550,-0.14982383,0.040861044,10.079058
885232242000,885232,1398347042580,-0.19068487,0.0,10.079058
885272120000,885272,1398347042620,-0.14982383,0.0,10.119919
885302120000,885302,1398347042650,-0.19068487,0.040861044,10.079058
885332303000,885333,1398347042681,-0.14982383,0.0,10.079058
885372273000,885373,1398347042721,-0.19068487,0.0,10.038197
885412303000,885413,1398347042761,-0.19068487,-0.040861044,10.119919
885443492000,885444,1398347042792,-0.19068487,0.0,10.119919
885483035000,885484,1398347042832,-0.14982383,0.040861044,10.147159
885522334000,885523,1398347042871,-0.19068487,0.0,10.119919
885562425000,885563,1398347042911,-0.19068487,-0.040861044,10.119919
885602334000,885603,1398347042951,-0.19068487,0.0,10.119919
885642456000,885643,1398347042991,-0.19068487,0.0,10.038197
885673431000,885674,1398347043022,-0.19068487,0.040861044,10.119919
885713401000,885714,1398347043062,-0.19068487,0.040861044,10.147159
885752273000,885753,1398347043101,-0.14982383,0.040861044,10.119919
885792364000,885793,1398347043141,-0.19068487,0.0,10.079058
885832273000,885833,1398347043181,-0.14982383,0.040861044,10.079058
885872334000,885873,1398347043221,-0.14982383,0.0,10.079058
885903553000,885904,1398347043252,-0.14982383,0.0,10.038197
885943675000,885944,1398347043292,-0.19068487,0.0,10.119919
885982273000,885983,1398347043331,-0.23154591,0.040861044,10.119919
886022821000,886025,1398347043373,-0.19068487,0.0,10.079058
886062273000,886063,1398347043411,-0.14982383,0.0,10.119919
886102334000,886103,1398347043451,-0.14982383,0.0,10.038197
886142334000,886143,1398347043491,-0.14982383,0.040861044,10.038197
886183370000,886184,1398347043532,-0.14982383,0.040861044,10.079058
886223431000,886224,1398347043572,-0.14982383,0.0,10.079058
886262273000,886263,1398347043611,-0.14982383,0.0,10.038197
886302395000,886303,1398347043651,-0.19068487,0.0,10.079058
886342303000,886343,1398347043691,-0.14982383,0.0,10.147159
886382364000,886383,1398347043731,-0.14982383,0.0,10.079058
886422334000,886423,1398347043771,-0.19068487,0.040861044,10.079058
886463370000,886464,1398347043812,-0.14982383,0.0,10.119919
886542303000,886543,1398347043891,-0.19068487,0.040861044,10.079058
886582334000,886583,1398347043931,-0.19068487,0.0,10.079058
886622273000,886623,1398347043971,-0.14982383,0.040861044,10.119919
886662364000,886663,1398347044011,-0.19068487,0.0,10.119919
886733492000,886734,1398347044082,-0.23154591,0.040861044,10.079058
886772273000,886775,1398347044123,-0.19068487,0.0,10.079058
886812364000,886813,1398347044161,-0.19068487,0.040861044,10.079058
886852303000,886853,1398347044201,-0.14982383,0.040861044,10.079058
886892303000,886893,1398347044241,-0.14982383,0.0,10.119919
886932303000,886933,1398347044281,-0.14982383,0.040861044,10.119919
886973401000,886974,1398347044322,-0.19068487,0.040861044,10.119919
887013218000,887014,1398347044362,-0.14982383,0.0,10.079058
887052242000,887055,1398347044403,-0.14982383,0.040861044,10.079058
887092364000,887095,1398347044443,-0.19068487,0.0,10.079058
887132273000,887133,1398347044481,-0.19068487,0.040861044,10.119919
887178065000,887179,1398347044527,-0.14982383,0.0,10.079058
887253370000,887254,1398347044602,-0.19068487,0.040861044,10.147159
887293126000,887294,1398347044642,-0.19068487,0.0,10.119919
887412273000,887413,1398347044761,-0.14982383,0.040861044,10.079058
