Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398347034515316091,1091616,1398347034634,0.14907837,-0.17364502,10.33223
1398347034520382009,1091616,1398347034634,0.18359375,-0.14746094,10.367935
1398347034525417410,1091616,1398347034635,0.23358154,-0.21292114,10.321518
1398347034530422293,1091621,1398347034639,0.22644043,-0.18078613,10.341751
1398347034535457693,1091634,1398347034652,0.15264893,-0.16769409,10.356033
1398347034540523611,1091634,1398347034652,0.19430542,-0.20458984,10.370316
1398347034545528494,1091636,1398347034654,0.1633606,-0.1748352,10.422684
1398347034550563894,1091649,1398347034668,0.15621948,-0.21411133,10.308426
1398347034555599295,1091650,1398347034668,0.19906616,-0.21054077,10.448868
1398347034560665212,1091651,1398347034670,0.20620728,-0.18792725,10.417923
1398347034565670095,1091667,1398347034685,0.2371521,-0.18673706,10.354843
1398347034570736013,1091667,1398347034685,0.18121338,-0.18792725,10.352463
1398347034575771414,1091667,1398347034685,0.22763062,-0.18197632,10.498856
1398347034580806814,1091671,1398347034690,0.1633606,-0.12246704,10.446487
1398347034585811697,1091684,1398347034702,0.17764282,-0.1510315,10.331039
1398347034590877615,1091684,1398347034702,0.23120117,-0.11532593,10.308426
1398347034595913015,1091687,1398347034705,0.17645264,-0.17364502,10.350082
1398347034600948416,1091700,1398347034718,0.21334839,-0.16293335,10.285812
1398347034605983816,1091700,1398347034718,0.19906616,-0.17007446,10.258438
1398347034610988699,1091702,1398347034720,0.1716919,-0.1831665,10.470291
1398347034616054617,1091718,1398347034736,0.21929932,-0.1427002,10.385788
1398347034621090017,1091718,1398347034736,0.18240356,-0.17721558,10.3250885
1398347034626094900,1091718,1398347034736,0.2538147,-0.17364502,10.33223
1398347034631130300,1091722,1398347034740,0.1383667,-0.18078613,10.407211
1398347034636165701,1091734,1398347034752,0.18954468,-0.14984131,10.409592
1398347034641231619,1091734,1398347034752,0.21810913,-0.13555908,10.340561
1398347034646267019,1091737,1398347034755,0.18121338,-0.14508057,10.4405365
