Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1484888294000,1484888,1398347034633,-0.25506002,0.38259003,9.55494
1484898166000,1484898,1398347034643,-0.20601,0.33354002,9.584371
1484908278000,1484908,1398347034653,-0.22563002,0.31392002,9.613801
1484918381000,1484918,1398347034663,-0.23544002,0.34335002,9.55494
1484928402000,1484928,1398347034673,-0.24525002,0.34335002,9.584371
1484938575000,1484939,1398347034684,-0.21582001,0.34335002,9.584371
1484948655000,1484949,1398347034694,-0.27468002,0.36297002,9.57456
1484958725000,1484959,1398347034704,-0.24525002,0.36297002,9.59418
1484968860000,1484969,1398347034714,-0.20601,0.34335002,9.55494
1484978891000,1484979,1398347034724,-0.23544002,0.35316,9.545131
1484989102000,1484990,1398347034735,-0.22563002,0.35316,9.57456
1484999083000,1484999,1398347034744,-0.26487002,0.34335002,9.564751
1485009113000,1485009,1398347034754,-0.23544002,0.36297002,9.59418
1485019225000,1485019,1398347034764,-0.24525002,0.34335002,9.59418
1485029353000,1485029,1398347034774,-0.25506002,0.35316,9.584371
1485039571000,1485039,1398347034784,-0.25506002,0.34335002,9.564751
1485049627000,1485050,1398347034795,-0.23544002,0.36297002,9.603991
1485059958000,1485060,1398347034805,-0.28449,0.35316,9.59418
1485069885000,1485070,1398347034815,-0.28449,0.36297002,9.59418
1485080074000,1485080,1398347034825,-0.29430002,0.36297002,9.584371
1485090248000,1485090,1398347034835,-0.24525002,0.33354002,9.584371
1485100302000,1485100,1398347034845,-0.28449,0.38259003,9.59418
1485110485000,1485110,1398347034855,-0.25506002,0.38259003,9.564751
1485120681000,1485121,1398347034866,-0.27468002,0.35316,9.57456
1485130722000,1485131,1398347034876,-0.27468002,0.32373002,9.584371
1485140909000,1485141,1398347034886,-0.22563002,0.32373002,9.603991
1485150827000,1485151,1398347034896,-0.22563002,0.38259003,9.57456
1485161083000,1485161,1398347034906,-0.23544002,0.35316,9.564751
1485170895000,1485171,1398347034916,-0.22563002,0.35316,9.584371
1485180945000,1485181,1398347034926,-0.22563002,0.37278,9.57456
1485191106000,1485191,1398347034936,-0.26487002,0.37278,9.584371
1485201031000,1485201,1398347034946,-0.20601,0.38259003,9.57456
1485211250000,1485211,1398347034956,-0.24525002,0.35316,9.55494
1485221087000,1485221,1398347034966,-0.22563002,0.34335002,9.59418
1485231454000,1485232,1398347034977,-0.20601,0.37278,9.564751
1485241172000,1485241,1398347034986,-0.27468002,0.34335002,9.59418
1485251210000,1485251,1398347034996,-0.24525002,0.34335002,9.57456
1485261326000,1485261,1398347035006,-0.23544002,0.31392002,9.57456
1485271240000,1485271,1398347035016,-0.24525002,0.33354002,9.59418
1485281417000,1485281,1398347035026,-0.24525002,0.30411002,9.59418
1485291480000,1485291,1398347035036,-0.25506002,0.30411002,9.57456
1485301556000,1485301,1398347035046,-0.28449,0.37278,9.57456
1485311471000,1485311,1398347035056,-0.26487002,0.36297002,9.59418
1485321561000,1485322,1398347035067,-0.22563002,0.34335002,9.564751
1485331571000,1485331,1398347035076,-0.22563002,0.33354002,9.6236105
1485341642000,1485342,1398347035087,-0.25506002,0.38259003,9.603991
1485351651000,1485351,1398347035096,-0.24525002,0.33354002,9.545131
1485361774000,1485362,1398347035107,-0.23544002,0.37278,9.57456
1485371746000,1485372,1398347035117,-0.26487002,0.36297002,9.584371
1485381775000,1485382,1398347035127,-0.27468002,0.33354002,9.584371
1485391808000,1485392,1398347035137,-0.24525002,0.34335002,9.55494
1485401944000,1485402,1398347035147,-0.21582001,0.37278,9.603991
1485412099000,1485412,1398347035157,-0.20601,0.36297002,9.564751
1485421997000,1485422,1398347035167,-0.24525002,0.34335002,9.59418
1485432035000,1485432,1398347035177,-0.24525002,0.33354002,9.564751
1485442135000,1485443,1398347035188,-0.22563002,0.36297002,9.584371
1485452192000,1485452,1398347035197,-0.23544002,0.34335002,9.57456
1485462259000,1485462,1398347035207,-0.24525002,0.37278,9.564751
1485472308000,1485472,1398347035217,-0.21582001,0.33354002,9.57456
1485482335000,1485482,1398347035227,-0.24525002,0.34335002,9.57456
1485492450000,1485492,1398347035237,-0.27468002,0.34335002,9.584371
1485502405000,1485502,1398347035247,-0.30411002,0.34335002,9.564751
1485512558000,1485512,1398347035257,-0.24525002,0.34335002,9.584371
1485522971000,1485523,1398347035268,-0.25506002,0.34335002,9.603991
1485532682000,1485533,1398347035277,-0.23544002,0.33354002,9.603991
1485542681000,1485543,1398347035288,-0.20601,0.37278,9.59418
1485552722000,1485553,1398347035298,-0.24525002,0.35316,9.59418
1485562787000,1485563,1398347035308,-0.20601,0.32373002,9.59418
1485572893000,1485574,1398347035319,-0.25506002,0.30411002,9.584371
1485582923000,1485583,1398347035328,-0.22563002,0.32373002,9.584371
1485592980000,1485593,1398347035338,-0.22563002,0.33354002,9.613801
1485603148000,1485603,1398347035348,-0.22563002,0.36297002,9.603991
1485613152000,1485614,1398347035359,-0.25506002,0.36297002,9.603991
1485623262000,1485623,1398347035368,-0.22563002,0.34335002,9.57456
1485633253000,1485633,1398347035378,-0.24525002,0.32373002,9.584371
1485643290000,1485643,1398347035388,-0.24525002,0.37278,9.603991
1485653380000,1485662,1398347035407,-0.24525002,0.34335002,9.57456
1485663450000,1485666,1398347035411,-0.25506002,0.37278,9.584371
1485673530000,1485674,1398347035419,-0.21582001,0.34335002,9.59418
1485683472000,1485683,1398347035428,-0.22563002,0.38259003,9.603991
1485693563000,1485693,1398347035438,-0.24525002,0.35316,9.613801
1485703515000,1485703,1398347035448,-0.1962,0.35316,9.564751
