Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2230412641722,2230412,1398347034633,0.45026368,-0.28740233,9.83874
2230425948722,2230426,1398347034647,0.45026368,-0.28740233,9.83874
2230442595722,2230442,1398347034663,0.4790039,-0.27782226,9.857901
2230452590722,2230452,1398347034673,0.4790039,-0.27782226,9.857901
2230462640722,2230462,1398347034683,0.4790039,-0.27782226,9.857901
2230476915722,2230477,1398347034698,0.45026368,-0.2586621,9.84832
2230488368722,2230489,1398347034709,0.45026368,-0.2586621,9.84832
2230504433722,2230504,1398347034725,0.45026368,-0.2586621,9.84832
2230514028722,2230514,1398347034735,0.46942383,-0.27782226,9.83874
2230522604722,2230522,1398347034743,0.46942383,-0.27782226,9.83874
2230532583722,2230532,1398347034753,0.46942383,-0.27782226,9.83874
2230542626722,2230542,1398347034763,0.46942383,-0.27782226,9.83874
2230552580722,2230552,1398347034773,0.46942383,-0.2586621,9.857901
2230562652722,2230562,1398347034783,0.46942383,-0.2586621,9.857901
2230576005722,2230576,1398347034797,0.46942383,-0.2586621,9.857901
2230592596722,2230592,1398347034813,0.46942383,-0.27782226,9.83874
2230604136722,2230605,1398347034826,0.46942383,-0.27782226,9.83874
2230614378722,2230615,1398347034835,0.46942383,-0.27782226,9.83874
2230624662722,2230625,1398347034845,0.46942383,-0.27782226,9.83874
2230632572722,2230632,1398347034853,0.45026368,-0.26824218,9.84832
2230642602722,2230642,1398347034863,0.45026368,-0.26824218,9.84832
2230652569722,2230652,1398347034873,0.45026368,-0.26824218,9.84832
2230662607722,2230662,1398347034883,0.45026368,-0.26824218,9.84832
2230672634722,2230672,1398347034893,0.45984375,-0.27782226,9.83874
2230682596722,2230682,1398347034903,0.45984375,-0.27782226,9.83874
2230692624722,2230692,1398347034913,0.45984375,-0.27782226,9.83874
2230707838722,2230708,1398347034928,0.45984375,-0.27782226,9.83874
2230722595722,2230722,1398347034943,0.45984375,-0.28740233,9.857901
2230734092722,2230734,1398347034955,0.45984375,-0.28740233,9.857901
2230743073722,2230743,1398347034964,0.45984375,-0.28740233,9.857901
2230753522722,2230754,1398347034974,0.46942383,-0.27782226,9.83874
2230762716722,2230763,1398347034983,0.46942383,-0.27782226,9.83874
2230772759722,2230773,1398347034994,0.46942383,-0.27782226,9.83874
2230782733722,2230783,1398347035003,0.46942383,-0.27782226,9.83874
2230792725722,2230793,1398347035013,0.46942383,-0.26824218,9.84832
2230808096722,2230808,1398347035029,0.46942383,-0.26824218,9.84832
2230823366722,2230823,1398347035044,0.46942383,-0.26824218,9.84832
2230832687722,2230832,1398347035053,0.48858398,-0.27782226,9.84832
2230843334722,2230844,1398347035065,0.48858398,-0.27782226,9.84832
2230853427722,2230860,1398347035081,0.48858398,-0.27782226,9.84832
2230863854722,2230864,1398347035085,0.48858398,-0.27782226,9.84832
2230873414722,2230873,1398347035094,0.46942383,-0.24908203,9.82916
2230882735722,2230883,1398347035103,0.46942383,-0.24908203,9.82916
2230892721722,2230893,1398347035113,0.46942383,-0.24908203,9.82916
2230908143722,2230908,1398347035129,0.46942383,-0.28740233,9.857901
2230923404722,2230923,1398347035144,0.46942383,-0.28740233,9.857901
2230932687722,2230932,1398347035153,0.46942383,-0.28740233,9.857901
2230942716722,2230943,1398347035163,0.46942383,-0.28740233,9.857901
2230952685722,2230952,1398347035173,0.4790039,-0.27782226,9.83874
2230963559722,2230964,1398347035184,0.4790039,-0.27782226,9.83874
2230973895722,2230974,1398347035195,0.4790039,-0.27782226,9.83874
2230983768722,2230984,1398347035204,0.46942383,-0.27782226,9.82916
2230993595722,2230993,1398347035214,0.46942383,-0.27782226,9.82916
2231005405722,2231005,1398347035226,0.46942383,-0.27782226,9.82916
2231022749722,2231023,1398347035244,0.45984375,-0.26824218,9.84832
2231032720722,2231033,1398347035253,0.45984375,-0.26824218,9.84832
2231042713722,2231043,1398347035263,0.45984375,-0.26824218,9.84832
2231052685722,2231052,1398347035273,0.45984375,-0.26824218,9.84832
2231062742722,2231063,1398347035283,0.45984375,-0.28740233,9.857901
2231077111722,2231077,1398347035298,0.45984375,-0.28740233,9.857901
2231093904722,2231094,1398347035315,0.45984375,-0.28740233,9.857901
2231102945722,2231103,1398347035324,0.45984375,-0.27782226,9.86748
2231112984722,2231113,1398347035334,0.45984375,-0.27782226,9.86748
2231123355722,2231124,1398347035344,0.45984375,-0.27782226,9.86748
2231133660722,2231133,1398347035354,0.45984375,-0.27782226,9.86748
2231142711722,2231143,1398347035363,0.4790039,-0.2969824,9.84832
2231152705722,2231153,1398347035373,0.4790039,-0.2969824,9.84832
2231162723722,2231163,1398347035383,0.4790039,-0.2969824,9.84832
2231177137722,2231177,1398347035398,0.4790039,-0.2969824,9.84832
2231192708722,2231193,1398347035413,0.45026368,-0.2586621,9.86748
2231208099722,2231208,1398347035429,0.45026368,-0.2586621,9.86748
2231223970722,2231224,1398347035445,0.45984375,-0.27782226,9.857901
2231233483722,2231233,1398347035454,0.45984375,-0.27782226,9.857901
2231243118722,2231243,1398347035464,0.45984375,-0.27782226,9.857901
2231253818722,2231254,1398347035474,0.45984375,-0.27782226,9.857901
2231262593722,2231262,1398347035483,0.46942383,-0.27782226,9.857901
2231273154722,2231273,1398347035494,0.46942383,-0.27782226,9.857901
2231282593722,2231282,1398347035503,0.46942383,-0.27782226,9.857901
2231292588722,2231292,1398347035513,0.46942383,-0.27782226,9.857901
2231307830722,2231308,1398347035528,0.45026368,-0.26824218,9.84832
2231323160722,2231323,1398347035544,0.45026368,-0.26824218,9.84832
2231332593722,2231332,1398347035553,0.45026368,-0.26824218,9.84832
2231343790722,2231344,1398347035565,0.46942383,-0.2969824,9.82916
2231352954722,2231353,1398347035574,0.46942383,-0.2969824,9.82916
2231363752722,2231364,1398347035584,0.46942383,-0.2969824,9.82916
2231373481722,2231373,1398347035594,0.46942383,-0.2969824,9.82916
2231382722722,2231383,1398347035603,0.4790039,-0.27782226,9.82916
2231392717722,2231393,1398347035613,0.4790039,-0.27782226,9.82916
2231408091722,2231408,1398347035629,0.4790039,-0.27782226,9.82916
2231423494722,2231423,1398347035644,0.45984375,-0.28740233,9.82916
2231432687722,2231432,1398347035653,0.45984375,-0.28740233,9.82916
2231442721722,2231443,1398347035663,0.45984375,-0.28740233,9.82916
2231452688722,2231452,1398347035673,0.45984375,-0.28740233,9.82916
2231463545722,2231464,1398347035684,0.46942383,-0.2969824,9.857901
2231473816722,2231474,1398347035695,0.46942383,-0.2969824,9.857901
2231483768722,2231484,1398347035704,0.46942383,-0.2969824,9.857901
2231493584722,2231493,1398347035714,0.4790039,-0.28740233,9.84832
2231505396722,2231505,1398347035726,0.4790039,-0.28740233,9.84832
2231523498722,2231523,1398347035744,0.4790039,-0.28740233,9.84832
2231532685722,2231532,1398347035753,0.46942383,-0.28740233,9.857901
2231542723722,2231543,1398347035763,0.46942383,-0.28740233,9.857901
2231552686722,2231552,1398347035773,0.46942383,-0.28740233,9.857901
2231562730722,2231563,1398347035783,0.46942383,-0.28740233,9.857901
2231572841722,2231573,1398347035794,0.46942383,-0.27782226,9.83874
2231583663722,2231584,1398347035804,0.46942383,-0.27782226,9.83874
2231593897722,2231594,1398347035815,0.46942383,-0.27782226,9.83874
2231603665722,2231604,1398347035825,0.46942383,-0.27782226,9.83874
2231613576722,2231613,1398347035834,0.45984375,-0.27782226,9.857901
2231622846722,2231623,1398347035844,0.45984375,-0.27782226,9.857901
2231632708722,2231633,1398347035853,0.45984375,-0.27782226,9.857901
2231642728722,2231643,1398347035863,0.45984375,-0.27782226,9.857901
2231652684722,2231652,1398347035873,0.45026368,-0.27782226,9.83874
2231662728722,2231663,1398347035883,0.45026368,-0.27782226,9.83874
2231673445722,2231673,1398347035894,0.45026368,-0.27782226,9.83874
2231682728722,2231683,1398347035903,0.45026368,-0.27782226,9.83874
2231692719722,2231693,1398347035913,0.4790039,-0.2586621,9.83874
2231706935722,2231707,1398347035928,0.4790039,-0.2586621,9.83874
2231724461722,2231725,1398347035945,0.4790039,-0.2586621,9.83874
2231732684722,2231732,1398347035953,0.45984375,-0.27782226,9.86748
2231742748722,2231743,1398347035963,0.45984375,-0.27782226,9.86748
2231752691722,2231752,1398347035973,0.45984375,-0.27782226,9.86748
2231762722722,2231763,1398347035983,0.45984375,-0.27782226,9.86748
2231773301722,2231773,1398347035994,0.45984375,-0.27782226,9.84832
2231782725722,2231783,1398347036003,0.45984375,-0.27782226,9.84832
2231792735722,2231793,1398347036013,0.45984375,-0.27782226,9.84832
2231806745722,2231807,1398347036028,0.45984375,-0.27782226,9.84832
2231814361722,2231814,1398347036035,0.4790039,-0.2586621,9.84832
2231824070722,2231824,1398347036045,0.4790039,-0.2586621,9.84832
2231832690722,2231832,1398347036053,0.4790039,-0.2586621,9.84832
2231842753722,2231843,1398347036063,0.4790039,-0.2586621,9.84832
2231852693722,2231852,1398347036073,0.45984375,-0.28740233,9.857901
2231862744722,2231863,1398347036083,0.45984375,-0.28740233,9.857901
2231873315722,2231873,1398347036094,0.45984375,-0.28740233,9.857901
2231882724722,2231883,1398347036103,0.45984375,-0.28740233,9.857901
2231892738722,2231893,1398347036113,0.46942383,-0.26824218,9.857901
2231908134722,2231908,1398347036129,0.46942383,-0.26824218,9.857901
2231923836722,2231924,1398347036145,0.46942383,-0.26824218,9.857901
2231938466722,2231938,1398347036159,0.45984375,-0.28740233,9.86748
2231953579722,2231953,1398347036174,0.45984375,-0.28740233,9.86748
2231962705722,2231963,1398347036183,0.45984375,-0.28740233,9.86748
2231973053722,2231973,1398347036194,0.45984375,-0.27782226,9.83874
2231985416722,2231985,1398347036206,0.45984375,-0.27782226,9.83874
2232002724722,2232006,1398347036227,0.45984375,-0.27782226,9.81958
2232012787722,2232013,1398347036233,0.49816406,-0.27782226,9.81958
2232024393722,2232024,1398347036245,0.49816406,-0.27782226,9.81958
2232033978722,2232034,1398347036255,0.49816406,-0.27782226,9.81958
2232042588722,2232043,1398347036264,0.45026368,-0.28740233,9.83874
2232052503722,2232052,1398347036273,0.45026368,-0.28740233,9.83874
2232062511722,2232062,1398347036283,0.45026368,-0.28740233,9.83874
2232077709722,2232077,1398347036298,0.45026368,-0.28740233,9.83874
2232092537722,2232092,1398347036313,0.4790039,-0.27782226,9.857901
2232105057722,2232105,1398347036326,0.4790039,-0.27782226,9.857901
2232117538722,2232117,1398347036338,0.4790039,-0.27782226,9.857901
2232125216722,2232126,1398347036347,0.45026368,-0.27782226,9.857901
2232134131722,2232134,1398347036355,0.45026368,-0.27782226,9.857901
2232144456722,2232144,1398347036365,0.45026368,-0.27782226,9.857901
2232154217722,2232154,1398347036375,0.45026368,-0.27782226,9.857901
2232162593722,2232162,1398347036383,0.4406836,-0.27782226,9.857901
2232172950722,2232173,1398347036394,0.4406836,-0.27782226,9.857901
2232185238722,2232185,1398347036406,0.4406836,-0.27782226,9.857901
2232207777722,2232208,1398347036428,0.46942383,-0.2586621,9.83874
2232225984722,2232226,1398347036447,0.46942383,-0.2586621,9.83874
2232244058722,2232244,1398347036465,0.46942383,-0.3065625,9.82916
2232254695722,2232255,1398347036475,0.46942383,-0.3065625,9.82916
2232263164722,2232263,1398347036484,0.46942383,-0.3065625,9.82916
2232273053722,2232273,1398347036494,0.46942383,-0.3065625,9.82916
2232285810722,2232286,1398347036507,0.46942383,-0.28740233,9.82916
2232303036722,2232303,1398347036524,0.46942383,-0.28740233,9.82916
2232312955722,2232313,1398347036534,0.46942383,-0.28740233,9.82916
2232323052722,2232323,1398347036544,0.46942383,-0.27782226,9.857901
2232332962722,2232333,1398347036554,0.46942383,-0.27782226,9.857901
