Index,Arrival_Time,Creation_Time,x,y,z
0,1398347018273,1398347018273,-0.053403,0.072655,9.721135,
10,1398347018283,1398347018283,-0.042298,0.050684,9.717558,
20,1398347018293,1398347018293,-0.047864,0.061659,9.717514,
30,1398347018303,1398347018303,-0.051521,0.057953,9.713906,
40,1398347018313,1398347018313,-0.055162,0.069011,9.726677,
50,1398347018323,1398347018323,-0.055272,0.081835,9.724743,
60,1398347018333,1398347018333,-0.049733,0.067151,9.717484,
70,1398347018343,1398347018343,-0.056990,0.072690,9.730328,
80,1398347018353,1398347018353,-0.057017,0.080046,9.733935,
90,1398347018363,1398347018363,-0.057004,0.076368,9.732132,
100,1398347018373,1398347018373,-0.060770,0.087331,9.728408,
110,1398347018383,1398347018383,-0.047782,0.058034,9.724874,
120,1398347018393,1398347018393,-0.066199,0.079969,9.728509,
130,1398347018403,1398347018403,-0.049651,0.065370,9.726663,
140,1398347018413,1398347018413,-0.064289,0.076353,9.735855,
150,1398347018423,1398347018423,-0.060688,0.072640,9.724858,
160,1398347018433,1398347018433,-0.053375,0.074521,9.726620,
170,1398347018443,1398347018443,-0.057128,0.081805,9.721092,
180,1398347018453,1398347018453,-0.062570,0.087343,9.732088,
190,1398347018463,1398347018463,-0.051602,0.076331,9.721092,
200,1398347018473,1398347018473,-0.064330,0.078166,9.732175,
210,1398347018483,1398347018483,-0.057114,0.079972,9.721107,
220,1398347018493,1398347018493,-0.053375,0.076365,9.728437,
230,1398347018503,1398347018503,-0.060701,0.076318,9.726663,
240,1398347018513,1398347018513,-0.056948,0.080099,9.743099,
250,1398347018523,1398347018523,-0.051410,0.061726,9.732204,
260,1398347018533,1398347018533,-0.062489,0.070808,9.726720,
270,1398347018543,1398347018543,-0.062625,0.083612,9.721121,
280,1398347018553,1398347018553,-0.053430,0.076322,9.721107,
290,1398347018563,1398347018563,-0.062447,0.072685,9.734036,
300,1398347018573,1398347018573,-0.062571,0.079966,9.724815,
310,1398347018583,1398347018583,-0.068000,0.076293,9.728553,
320,1398347018593,1398347018593,-0.062530,0.076309,9.726677,
330,1398347018603,1398347018603,-0.057141,0.083639,9.721077,
340,1398347018613,1398347018613,-0.066130,0.081867,9.739491,
350,1398347018623,1398347018623,-0.057018,0.067136,9.721208,
360,1398347018633,1398347018633,-0.060619,0.065317,9.726749,
370,1398347018643,1398347018643,-0.068110,0.083585,9.721164,
