Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3256111711000,3256112,1398519509753,-0.2825158,9.792285,-0.7541735
3256121080000,3256121,1398519509763,-0.2825158,9.792285,-0.7541735
3256131060000,3256131,1398519509773,-0.30286652,9.781511,-0.7445967
3256141039000,3256141,1398519509783,-0.2753332,9.794679,-0.7625532
3256151049000,3256151,1398519509793,-0.2861071,9.809045,-0.7469909
3256161119000,3256161,1398519509803,-0.29807812,9.801862,-0.7625532
3256171007000,3256171,1398519509813,-0.28491,9.803059,-0.7565677
3256181078000,3256181,1398519509823,-0.272939,9.799467,-0.7505822
3256191027000,3256191,1398519509833,-0.260968,9.810242,-0.7637503
3256202288000,3256202,1398519509844,-0.272939,9.800665,-0.7721301
3256211077000,3256211,1398519509853,-0.2753332,9.803059,-0.7386112
3256221056000,3256221,1398519509863,-0.2825158,9.800665,-0.7469909
3256231066000,3256231,1398519509873,-0.2705448,9.80665,-0.7673417
3256241075000,3256241,1398519509883,-0.2741361,9.8042555,-0.7505822
3256251024000,3256251,1398519509893,-0.2741361,9.8042555,-0.7505822
3256261064000,3256262,1398519509903,-0.2765303,9.776723,-0.7290344
3256273882000,3256274,1398519509915,-0.2753332,9.785102,-0.7661445
3256281084000,3256281,1398519509923,-0.2681506,9.788693,-0.7649474
3256291063000,3256291,1398519509933,-0.2801216,9.787497,-0.7398083
3256301073000,3256301,1398519509943,-0.272939,9.788693,-0.7493851
3256311144000,3256311,1398519509953,-0.29448682,9.801862,-0.7637503
3256321154000,3256321,1398519509963,-0.30047232,9.813833,-0.7398083
3256331316000,3256332,1398519509973,-0.29688102,9.791088,-0.7505822
3256341143000,3256342,1398519509983,-0.2801216,9.793482,-0.7410054
3256351061000,3256351,1398519509993,-0.2765303,9.800665,-0.7398083
3256361071000,3256361,1398519510003,-0.29568392,9.800665,-0.7613561
3256371019000,3256371,1398519510013,-0.2801216,9.812635,-0.7589619
3256381182000,3256381,1398519510023,-0.2801216,9.812635,-0.7589619
3256391130000,3256392,1398519510033,-0.2896984,9.791088,-0.7493851
3256401079000,3256401,1398519510043,-0.2837129,9.775525,-0.7350199
