Index,Arrival_Time,Creation_Time,x,y,z
68630,1425047020434,1413127323000,-0.1921347,9.844957,-0.017357962
68631,1425047020444,1413137051000,-0.17657238,9.850943,-0.045489833
68632,1425047020454,1413147094000,-0.19752164,9.847352,0.0017956513
68633,1425047020464,1413156949000,-0.18854338,9.858724,-0.04070143
68634,1425047020474,1413166986000,-0.18614918,9.840169,-0.08259996
68635,1425047020484,1413176839000,-0.18974048,9.829993,-0.076614454
68636,1425047020494,1413187011000,-0.19752164,9.828796,-0.021547815
68637,1425047020504,1413196731000,-0.16699557,9.846753,-0.051475335
68638,1425047020514,1413206772000,-0.18974048,9.838373,-0.05805939
68639,1425047020524,1413216633000,-0.20590134,9.842564,-0.027533319
68640,1425047020534,1413226671000,-0.17238252,9.85214,-0.0688333
68641,1425047020543,1413236534000,-0.18914193,9.847352,-0.047285482
68642,1425047020554,1413246697000,-0.19632454,9.840169,-0.054468088
68643,1425047020563,1413256424000,-0.19512744,9.833585,-0.06404489
68644,1425047020573,1413266456000,-0.18614918,9.846753,-0.046686932
68645,1425047020583,1413276318000,-0.18255788,9.84795,-0.05207389
68646,1425047020593,1413286358000,-0.19512744,9.835381,-0.073621705
68647,1425047020603,1413296216000,-0.1933318,9.856929,-0.037110128
68648,1425047020613,1413306380000,-0.19393034,9.846154,-0.08619126
68649,1425047020623,1413316110000,-0.19991584,9.8437605,-0.044292733
68650,1425047020633,1413326176000,-0.18076223,9.858724,-0.022744916
68651,1425047020643,1413336002000,-0.1933318,9.827001,-0.012569559
68652,1425047020653,1413346028000,-0.1933318,9.844358,-0.034117375
68653,1425047020663,1413355911000,-0.1945289,9.8437605,-0.05925649
68654,1425047020673,1413366087000,-0.1945289,9.837176,-0.04309563
68655,1425047020683,1413375816000,-0.19273324,9.856929,-0.047884032
68656,1425047020693,1413385821000,-0.207697,9.844957,-0.05805939
68657,1425047020703,1413395807000,-0.18674773,9.837775,-0.034117375
68658,1425047020713,1413405804000,-0.19871874,9.841965,-0.02873042
68659,1425047020723,1413415734000,-0.18315643,9.845556,-0.04369418
68660,1425047020733,1413425861000,-0.18435353,9.840169,-0.039504327
68661,1425047020742,1413435503000,-0.18195933,9.858126,-0.019153614
68662,1425047020752,1413445513000,-0.19871874,9.84795,-0.062249243
68663,1425047020762,1413455371000,-0.19273324,9.831191,-0.062249243
68664,1425047020772,1413465408000,-0.20530279,9.844358,-0.074220255
68665,1425047020782,1413475261000,-0.17896658,9.835381,-0.04309563
68666,1425047020792,1413485441000,-0.19752164,9.83957,-0.04189853
68667,1425047020802,1413495236000,-0.18435353,9.837176,-0.038307227
68668,1425047020812,1413505238000,-0.18375498,9.845556,-0.05805939
68669,1425047020822,1413515219000,-0.18315643,9.835979,-0.06703765
68670,1425047020832,1413525273000,-0.1921347,9.841366,-0.030526072
68671,1425047020842,1413534956000,-0.18255788,9.849746,-0.04189853
68672,1425047020852,1413545233000,-0.18255788,9.841965,-0.02633622
68673,1425047020862,1413554837000,-0.19393034,9.835381,-0.05327099
68674,1425047020872,1413564885000,-0.19393034,9.844358,-0.038905777
68675,1425047020882,1413574738000,-0.20410569,9.853935,-0.05267244
68676,1425047020892,1413584777000,-0.18136078,9.838373,-0.04129998
68677,1425047020902,1413594636000,-0.16340427,9.844358,-0.049679685
68678,1425047020912,1413604803000,-0.19632454,9.850345,-0.02813187
68679,1425047020921,1413614526000,-0.18734628,9.85214,-0.02633622
68680,1425047020931,1413624552000,-0.18734628,9.832987,-0.047884032
68681,1425047020941,1413634418000,-0.1945289,9.821015,-0.075417355
68682,1425047020951,1413644468000,-0.16460137,9.837775,-0.06823475
68683,1425047020961,1413654317000,-0.17118542,9.831191,-0.039504327
68684,1425047020971,1413664486000,-0.19153613,9.833585,-0.05925649
68685,1425047020981,1413674211000,-0.18136078,9.838972,-0.044891283
68686,1425047020991,1413684256000,-0.19572599,9.833585,-0.038307227
68687,1425047021001,1413694105000,-0.19273324,9.833585,-0.04070143
68688,1425047021011,1413704135000,-0.18674773,9.841965,-0.031124622
68689,1425047021021,1413713994000,-0.18794483,9.84795,-0.050876785
68690,1425047021031,1413724166000,-0.19512744,9.825804,-0.079008654
68691,1425047021041,1413733900000,-0.18614918,9.824607,-0.045489833
68692,1425047021051,1413743935000,-0.1921347,9.840768,-0.025737667
68693,1425047021061,1413753786000,-0.18315643,9.837176,-0.035314474
68694,1425047021071,1413763832000,-0.19812019,9.848549,-0.026934769
68695,1425047021081,1413773685000,-0.19393034,9.844358,-0.07182605
68696,1425047021091,1413784249000,-0.17118542,9.846753,-0.074220255
68697,1425047021101,1413793579000,-0.17776948,9.849147,-0.035913024
68698,1425047021111,1413803626000,-0.1921347,9.8437605,-0.029927522
68699,1425047021120,1413813472000,-0.18794483,9.816227,-0.010175358
68700,1425047021130,1413823509000,-0.19632454,9.831789,-0.044891283
68701,1425047021140,1413833373000,-0.19632454,9.834184,-0.05207389
68702,1425047021150,1413843545000,-0.19093758,9.834782,-0.023343466
68703,1425047021160,1413853265000,-0.19692309,9.845556,-0.037110128
68704,1425047021170,1413863301000,-0.18435353,9.840169,-0.038307227
68705,1425047021180,1413873162000,-0.19153613,9.834782,-0.05686229
68706,1425047021190,1413883195000,-0.1921347,9.837775,-0.036511578
68707,1425047021200,1413893047000,-0.17597382,9.810242,-0.035314474
68708,1425047021210,1413903226000,-0.16998832,9.85214,-0.008978256
68709,1425047021220,1413912949000,-0.19033903,9.835381,-0.050278235
68710,1425047021230,1413922991000,-0.20530279,9.833585,-0.04369418
68711,1425047021240,1413932847000,-0.17238252,9.837775,-0.07062895
68712,1425047021250,1413942879000,-0.18255788,9.855133,-0.038905777
68713,1425047021260,1413952736000,-0.19692309,9.849147,-0.020350715
68714,1425047021270,1413962913000,-0.18076223,9.82341,-0.04189853
68715,1425047021280,1413972637000,-0.18136078,9.846154,-0.034715924
68716,1425047021290,1413982668000,-0.18315643,9.852738,-0.061650693
68717,1425047021299,1413992528000,-0.18614918,9.847352,-0.04189853
68718,1425047021310,1414002572000,-0.17776948,9.8515415,-0.04369418
68719,1425047021319,1414012435000,-0.18495208,9.837176,-0.030526072
68720,1425047021330,1414022602000,-0.18315643,9.847352,-0.03172317
68721,1425047021339,1414032321000,-0.20290859,9.843162,-0.02932897
68722,1425047021349,1414042354000,-0.1921347,9.846753,-0.077213004
68723,1425047021359,1414052212000,-0.20231004,9.83957,-0.024540568
68724,1425047021369,1414062240000,-0.17956513,9.844957,-0.06703765
68725,1425047021379,1414072110000,-0.17597382,9.830592,-0.05746084
68726,1425047021389,1414082280000,-0.18614918,9.841965,-0.02633622
68727,1425047021399,1414091995000,-0.20530279,9.836577,-0.03172317
68728,1425047021409,1414102028000,-0.20530279,9.844957,-0.05327099
68729,1425047021419,1414111889000,-0.19752164,9.846154,-0.038905777
68730,1425047021429,1414121933000,-0.19512744,9.858724,-0.035913024
68731,1425047021439,1414131791000,-0.20470424,9.8437605,-0.05566519
68732,1425047021449,1414141965000,-0.19632454,9.841366,-0.019153614
68733,1425047021459,1414151688000,-0.20350714,9.853935,-0.06703765
68734,1425047021469,1414161724000,-0.19632454,9.824607,-0.055066638
68735,1425047021479,1414171570000,-0.16759412,9.834782,-0.035913024
68736,1425047021489,1414181614000,-0.17896658,9.831191,-0.035913024
68737,1425047021498,1414191472000,-0.18315643,9.847352,-0.06464344
68738,1425047021509,1414201642000,-0.17238252,9.844957,-0.074818805
68739,1425047021518,1414211366000,-0.18854338,9.849746,-0.04249708
68740,1425047021528,1414221397000,-0.18555063,9.846154,-0.046686932
68741,1425047021538,1414231263000,-0.20171149,9.835979,-0.032920275
68742,1425047021548,1414241298000,-0.19153613,9.833585,-0.031124622
68743,1425047021558,1414251153000,-0.17298107,9.842564,-0.044292733
68744,1425047021569,1414261505000,-0.17657238,9.8515415,-0.05267244
68745,1425047021578,1414271134000,-0.19033903,9.840169,-0.03232172
68746,1425047021588,1414281121000,-0.17537527,9.85214,-0.05626374
68747,1425047021598,1414291239000,-0.18914193,9.840169,-0.019752163
68748,1425047021608,1414300993000,-0.16340427,9.846154,-0.04070143
68749,1425047021618,1414310837000,-0.18315643,9.838972,-0.022744916
68750,1425047021628,1414321019000,-0.18435353,9.832987,-0.032920275
68751,1425047021638,1414330812000,-0.17717093,9.8515415,-0.03232172
68752,1425047021648,1414340816000,-0.19093758,9.83957,-0.05865794
68753,1425047021658,1414350801000,-0.19991584,9.834184,-0.061052144
68754,1425047021668,1414360813000,-0.16400282,9.844957,-0.02813187
68755,1425047021677,1414370526000,-0.17597382,9.855133,-0.05626374
68756,1425047021688,1414380805000,-0.17896658,9.83957,-0.038905777
68757,1425047021697,1414390423000,-0.17657238,9.84795,-0.046088383
68758,1425047021707,1414400458000,-0.1933318,9.832987,-0.034117375
68759,1425047021717,1414410316000,-0.19033903,9.8437605,-0.049679685
68760,1425047021727,1414420353000,-0.18375498,9.844358,-0.07182605
68761,1425047021737,1414430238000,-0.16819267,9.841366,-0.033518825
68762,1425047021747,1414440382000,-0.18435353,9.836577,-0.076015905
68763,1425047021757,1414450230000,-0.1933318,9.835381,-0.046088383
68764,1425047021767,1414460233000,-0.20171149,9.842564,-0.023942016
68765,1425047021777,1414470006000,-0.18076223,9.850345,-0.017956512
68766,1425047021787,1414480171000,-0.18435353,9.838972,-0.06703765
68767,1425047021797,1414489890000,-0.1921347,9.840768,-0.030526072
68768,1425047021807,1414500223000,-0.18555063,9.828796,-0.034715924
68769,1425047021817,1414509786000,-0.16938977,9.840768,-0.015562311
68770,1425047021827,1414519827000,-0.2172738,9.855731,-0.05267244
68771,1425047021837,1414529672000,-0.19931729,9.837176,-0.061052144
68772,1425047021847,1414539720000,-0.17956513,9.831789,-0.094570965
68773,1425047021857,1414549581000,-0.17836803,9.853337,-0.06703765
68774,1425047021867,1414559752000,-0.17657238,9.842564,-0.06284779
68775,1425047021876,1414569480000,-0.17896658,9.847352,-0.0724246
68776,1425047021886,1414579511000,-0.19033903,9.832388,-0.03172317
68777,1425047021896,1414589365000,-0.18854338,9.848549,-0.046088383
68778,1425047021906,1414599402000,-0.18974048,9.831191,-0.06344634
68779,1425047021916,1414609252000,-0.19752164,9.844358,-0.06703765
68780,1425047021926,1414619433000,-0.17776948,9.825804,-0.04189853
68781,1425047021936,1414629143000,-0.18794483,9.835979,-0.053869538
68782,1425047021946,1414639194000,-0.18914193,9.850943,-0.062249243
68783,1425047021956,1414649049000,-0.19991584,9.857527,-0.0676362
68784,1425047021966,1414659083000,-0.17058687,9.853935,-0.022744916
68785,1425047021976,1414668945000,-0.17417817,9.856929,-0.049081136
68786,1425047021986,1414679118000,-0.17836803,9.853337,-0.06344634
68787,1425047021996,1414688849000,-0.20470424,9.85214,-0.033518825
68788,1425047022006,1414698874000,-0.17118542,9.8437605,-0.021547815
68789,1425047022016,1414708726000,-0.18375498,9.844957,-0.061052144
68790,1425047022026,1414718775000,-0.19871874,9.844358,-0.023942016
68791,1425047022036,1414728627000,-0.18674773,9.844358,-0.06404489
68792,1425047022046,1414738806000,-0.18614918,9.842564,-0.05925649
68793,1425047022055,1414748528000,-0.18195933,9.825804,-0.037708677
68794,1425047022068,1414759285000,-0.1933318,9.836577,-0.0712275
68795,1425047022078,1414769083000,-0.17717093,9.8437605,-0.04249708
68796,1425047022089,1414779559000,-0.15801731,9.843162,-0.04070143
68797,1425047022099,1414788984000,-0.1933318,9.846154,-0.037110128
68798,1425047022110,1414799238000,-0.1945289,9.862914,-0.059855044
68799,1425047022119,1414808841000,-0.19512744,9.835381,-0.02813187
68800,1425047022129,1414818892000,-0.19153613,9.844957,-0.014963761
68801,1425047022137,1414828035000,-0.17298107,9.834782,-0.037708677
68802,1425047022146,1414838191000,-0.2100912,9.834184,-0.0023942017
68803,1425047022155,1414847905000,-0.17597382,9.826403,-0.026934769
68804,1425047022165,1414858014000,-0.18854338,9.854534,-0.020350715
68805,1425047022175,1414867727000,-0.19393034,9.8276,-0.04309563
68806,1425047022185,1414877759000,-0.20111294,9.844957,-0.044891283
68807,1425047022194,1414887616000,-0.18315643,9.843162,-0.044292733
68808,1425047022204,1414897651000,-0.20350714,9.841366,-0.012569559
68809,1425047022214,1414907510000,-0.18555063,9.852738,-0.046088383
68810,1425047022224,1414917683000,-0.20350714,9.822212,-0.05865794
68811,1425047022235,1414927497000,-0.207697,9.829395,-0.0053869537
68812,1425047022245,1414937538000,-0.17058687,9.844957,-0.021547815
68813,1425047022254,1414947388000,-0.17836803,9.848549,-0.04249708
68814,1425047022264,1414957428000,-0.2124854,9.831191,-0.019153614
68815,1425047022274,1414967283000,-0.18136078,9.845556,-0.020350715
68816,1425047022284,1414977452000,-0.18794483,9.840169,-0.017357962
