Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1330966626000,1330967,1398519509750,-0.18195933,9.844957,-0.62249243
1330976818000,1330977,1398519509760,-0.19153613,9.854534,-0.641646
1330987006000,1330987,1398519509770,-0.16280572,9.873688,-0.63206923
1331000348000,1331001,1398519509784,-0.17238252,9.854534,-0.6895301
1331012897000,1331013,1398519509796,-0.19153613,9.864111,-0.6895301
1331025846000,1331026,1398519509809,-0.19153613,9.864111,-0.6703765
1331038734000,1331039,1398519509822,-0.19153613,9.883265,-0.6512229
1331051607000,1331052,1398519509835,-0.22026655,9.864111,-0.6607997
1331064474000,1331065,1398519509848,-0.22026655,9.864111,-0.63206923
1331077343000,1331078,1398519509861,-0.21068975,9.864111,-0.63206923
1331090230000,1331091,1398519509874,-0.19153613,9.854534,-0.63206923
1331103098000,1331104,1398519509887,-0.19153613,9.883265,-0.6895301
1331115977000,1331116,1398519509899,-0.20111294,9.883265,-0.63206923
1331128849000,1331129,1398519509912,-0.17238252,9.892841,-0.6512229
1331141730000,1331142,1398519509925,-0.21068975,9.902418,-0.63206923
1331154585000,1331155,1398519509938,-0.18195933,9.902418,-0.63206923
1331167470000,1331168,1398519509951,-0.20111294,9.902418,-0.63206923
1331180361000,1331181,1398519509964,-0.18195933,9.864111,-0.6512229
1331193230000,1331194,1398519509977,-0.19153613,9.873688,-0.6799533
1331206099000,1331207,1398519509990,-0.20111294,9.873688,-0.6703765
1331218981000,1331219,1398519510002,-0.18195933,9.883265,-0.6512229
1331231862000,1331232,1398519510015,-0.19153613,9.892841,-0.6799533
1331244732000,1331245,1398519510028,-0.20111294,9.883265,-0.6607997
1331270484000,1331271,1398519510054,-0.17238252,9.883265,-0.63206923
1331283359000,1331284,1398519510067,-0.21068975,9.873688,-0.62249243
1331296236000,1331297,1398519510080,-0.21068975,9.883265,-0.60333884
1331309116000,1331310,1398519510093,-0.20111294,9.854534,-0.61291564
1331321990000,1331322,1398519510106,-0.23942018,9.902418,-0.641646
1331334865000,1331335,1398519510118,-0.22026655,9.873688,-0.6512229
1331347738000,1331348,1398519510131,-0.22026655,9.883265,-0.641646
1331360671000,1331361,1398519510144,-0.21068975,9.873688,-0.6703765
1331373485000,1331374,1398519510157,-0.18195933,9.911995,-0.641646
1331386352000,1331387,1398519510170,-0.18195933,9.883265,-0.641646
1331399237000,1331400,1398519510183,-0.16280572,9.892841,-0.6607997
1331412105000,1331413,1398519510196,-0.19153613,9.902418,-0.6607997
1331424987000,1331426,1398519510209,-0.22026655,9.873688,-0.61291564
1331437848000,1331438,1398519510221,-0.22026655,9.864111,-0.61291564
1331450804000,1331451,1398519510234,-0.22026655,9.883265,-0.6607997
1331463705000,1331464,1398519510247,-0.22984336,9.892841,-0.63206923
1331476581000,1331477,1398519510260,-0.22026655,9.892841,-0.6991069
1331489458000,1331490,1398519510273,-0.19153613,9.873688,-0.63206923
1331502328000,1331503,1398519510286,-0.18195933,9.873688,-0.641646
1331515217000,1331516,1398519510299,-0.19153613,9.854534,-0.58418524
1331528085000,1331528,1398519510312,-0.15322891,9.892841,-0.58418524
1331540969000,1331541,1398519510324,-0.1340753,9.902418,-0.60333884
1331553843000,1331554,1398519510337,-0.20111294,9.883265,-0.6607997
1331566724000,1331567,1398519510350,-0.19153613,9.892841,-0.6991069
1331579596000,1331580,1398519510363,-0.20111294,9.902418,-0.6799533
