Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1172962148000,1172962,1398519509750,0.612908,9.346847,0.153227
1172982198000,1172982,1398519509771,0.459681,9.346847,0.0
1172991720000,1172992,1398519509780,0.612908,9.346847,0.0
1173011831000,1173012,1398519509800,0.459681,9.500074,0.0
1173021810000,1173024,1398519509812,0.459681,9.346847,0.153227
1173061727000,1173062,1398519509850,0.459681,9.346847,0.306454
1173075551000,1173076,1398519509864,0.459681,9.346847,0.153227
1173142812000,1173143,1398519509931,0.766135,9.346847,0.153227
1173151815000,1173152,1398519509940,0.459681,9.346847,0.153227
1173192159000,1173193,1398519509981,0.459681,9.500074,0.153227
1173201803000,1173202,1398519509990,0.306454,9.346847,0.153227
1173221761000,1173222,1398519510010,0.459681,9.346847,0.153227
1173231832000,1173233,1398519510022,0.459681,9.500074,0.306454
1173271810000,1173272,1398519510060,0.459681,9.346847,0.153227
1173361715000,1173362,1398519510150,0.612908,9.346847,0.153227
1173381765000,1173382,1398519510170,0.306454,9.346847,0.153227
1173402181000,1173402,1398519510191,0.459681,9.346847,0.153227
1173461782000,1173465,1398519510253,0.459681,9.500074,0.153227
1173481710000,1173482,1398519510270,0.459681,9.346847,0.153227
1173533407000,1173533,1398519510322,0.459681,9.500074,0.153227
1173541738000,1173542,1398519510330,0.612908,9.500074,0.153227
1173562215000,1173562,1398519510351,0.459681,9.346847,0.153227
1173621725000,1173622,1398519510410,0.459681,9.19362,0.153227
1173641714000,1173642,1398519510430,0.459681,9.346847,0.153227
1173673513000,1173674,1398519510462,0.612908,9.500074,0.153227
1173691823000,1173692,1398519510480,0.459681,9.346847,0.153227
1173792837000,1173793,1398519510581,0.612908,9.346847,0.153227
1173801809000,1173802,1398519510590,0.459681,9.346847,0.153227
1173833486000,1173834,1398519510622,0.612908,9.346847,0.153227
1173851797000,1173852,1398519510640,0.612908,9.19362,0.153227
1173871725000,1173872,1398519510660,0.612908,9.500074,0.153227
1173884878000,1173885,1398519510674,0.459681,9.346847,0.153227
1173912221000,1173912,1398519510701,0.459681,9.500074,0.306454
1173935903000,1173936,1398519510724,0.612908,9.346847,0.0
1173954976000,1173955,1398519510744,0.459681,9.346847,0.153227
1174061727000,1174062,1398519510850,0.459681,9.500074,0.153227
1174081716000,1174082,1398519510870,0.459681,9.346847,0.153227
1174094930000,1174095,1398519510884,0.612908,9.346847,0.153227
1174131765000,1174132,1398519510920,0.459681,9.346847,0.153227
1174215566000,1174216,1398519511004,0.459681,9.500074,0.153227
1174251790000,1174252,1398519511040,0.459681,9.346847,0.153227
1174291738000,1174292,1398519511080,0.459681,9.346847,0.0
1174302297000,1174305,1398519511094,0.459681,9.346847,0.153227
1174401754000,1174402,1398519511190,0.459681,9.346847,0.0
1174422170000,1174422,1398519511210,0.459681,9.346847,0.153227
1174457082000,1174466,1398519511254,0.459681,9.500074,0.153227
1174466146000,1174466,1398519511255,0.306454,9.346847,0.153227
1174482229000,1174483,1398519511271,0.459681,9.346847,0.153227
1174501821000,1174502,1398519511290,0.612908,9.500074,0.153227
1174515554000,1174516,1398519511304,0.459681,9.500074,0.153227
1174534933000,1174535,1398519511324,0.459681,9.346847,0.153227
1174585744000,1174586,1398519511374,0.459681,9.346847,0.306454
1174605153000,1174605,1398519511393,0.612908,9.500074,0.153227
1174632314000,1174644,1398519511432,0.612908,9.346847,0.153227
1174662862000,1174663,1398519511451,0.459681,9.346847,0.153227
1174685933000,1174686,1398519511474,0.459681,9.500074,0.153227
1174712148000,1174712,1398519511500,0.612908,9.346847,0.153227
1174721731000,1174722,1398519511510,0.459681,9.346847,0.153227
1174853261000,1174853,1398519511642,0.612908,9.500074,0.306454
1174872274000,1174872,1398519511661,0.459681,9.346847,0.153227
1174901784000,1174902,1398519511690,0.459681,9.346847,0.306454
1174922140000,1174922,1398519511710,0.459681,9.346847,0.153227
1174931722000,1174932,1398519511720,0.459681,9.19362,0.153227
1174951772000,1174952,1398519511740,0.459681,9.346847,0.153227
1175032339000,1175032,1398519511821,0.306454,9.346847,0.153227
1175051778000,1175052,1398519511840,0.459681,9.346847,0.153227
1175102895000,1175103,1398519511891,0.612908,9.346847,0.153227
1175111745000,1175112,1398519511900,0.459681,9.346847,0.153227
1175132192000,1175132,1398519511921,0.459681,9.500074,0.153227
1175152212000,1175156,1398519511944,0.459681,9.346847,0.153227
1175193960000,1175194,1398519511982,0.306454,9.346847,0.153227
1175211721000,1175212,1398519512000,0.459681,9.346847,0.153227
1175231801000,1175232,1398519512020,0.306454,9.19362,0.153227
1175245626000,1175246,1398519512034,0.459681,9.500074,0.153227
1175263875000,1175264,1398519512053,0.612908,9.346847,0.153227
1175281728000,1175282,1398519512070,0.459681,9.346847,0.153227
1175321737000,1175322,1398519512110,0.459681,9.346847,0.0
1175342153000,1175342,1398519512130,0.459681,9.346847,0.153227
1175353536000,1175354,1398519512142,0.612908,9.346847,0.153227
1175421743000,1175422,1398519512210,0.459681,9.346847,0.153227
1175501760000,1175502,1398519512290,0.459681,9.500074,0.153227
1175522146000,1175522,1398519512310,0.459681,9.346847,0.153227
1175571737000,1175572,1398519512360,0.612908,9.346847,0.153227
1175581716000,1175582,1398519512370,0.459681,9.346847,0.153227
1175615590000,1175616,1398519512404,0.459681,9.346847,0.0
1175633871000,1175634,1398519512422,0.612908,9.346847,0.153227
1175651784000,1175652,1398519512440,0.459681,9.346847,0.153227
1175662221000,1175662,1398519512451,0.612908,9.346847,0.306454
1175682851000,1175683,1398519512471,0.612908,9.346847,0.153227
1175701772000,1175704,1398519512493,0.306454,9.346847,0.153227
1175711721000,1175712,1398519512500,0.459681,9.346847,0.153227
1175791829000,1175792,1398519512580,0.459681,9.500074,0.306454
1175811819000,1175812,1398519512600,0.306454,9.500074,0.153227
1175822927000,1175826,1398519512614,0.612908,9.500074,0.306454
1175843954000,1175844,1398519512633,0.459681,9.346847,0.153227
1175892202000,1175896,1398519512684,0.459681,9.500074,0.0
1175915670000,1175916,1398519512704,0.459681,9.346847,0.153227
1175942159000,1175942,1398519512730,0.459681,9.500074,0.153227
1175974569000,1175975,1398519512763,0.612908,9.346847,0.153227
1175991781000,1175992,1398519512780,0.612908,9.346847,0.0
1176002065000,1176002,1398519512790,0.459681,9.346847,0.153227
1176126119000,1176127,1398519512915,0.612908,9.346847,0.153227
1176136800000,1176137,1398519512925,0.459681,9.346847,0.153227
1176152212000,1176152,1398519512941,0.612908,9.346847,0.153227
1176172170000,1176176,1398519512964,0.612908,9.346847,0.0
1176181814000,1176182,1398519512970,0.459681,9.346847,0.153227
1176201803000,1176202,1398519512990,0.306454,9.346847,0.153227
1176211812000,1176214,1398519513002,0.612908,9.346847,0.0
1176231801000,1176232,1398519513020,0.459681,9.346847,0.153227
1176251790000,1176252,1398519513040,0.459681,9.500074,0.153227
1176265615000,1176266,1398519513054,0.612908,9.346847,0.153227
1176283529000,1176284,1398519513072,0.459681,9.500074,0.153227
1176301748000,1176302,1398519513090,0.459681,9.346847,0.153227
1176312154000,1176312,1398519513100,0.459681,9.500074,0.153227
1176332845000,1176333,1398519513121,0.459681,9.346847,0.153227
1176341726000,1176342,1398519513130,0.459681,9.346847,0.306454
1176362142000,1176362,1398519513150,0.459681,9.346847,0.153227
1176373525000,1176374,1398519513162,0.459681,9.500074,0.153227
1176391714000,1176392,1398519513180,0.459681,9.346847,0.153227
1176411825000,1176412,1398519513200,0.612908,9.346847,0.306454
1176425222000,1176426,1398519513214,0.459681,9.346847,0.153227
1176464254000,1176465,1398519513253,0.459681,9.500074,0.153227
1176471822000,1176476,1398519513264,0.459681,9.346847,0.0
1176495138000,1176496,1398519513284,0.459681,9.346847,0.153227
1176542165000,1176543,1398519513331,0.459681,9.500074,0.153227
1176551809000,1176552,1398519513340,0.459681,9.346847,0.0
1176571737000,1176572,1398519513360,0.459681,9.500074,0.0
1176601858000,1176602,1398519513390,0.612908,9.500074,0.153227
1176621816000,1176622,1398519513410,0.459681,9.346847,0.153227
1176635305000,1176636,1398519513424,0.459681,9.346847,0.306454
1176653310000,1176653,1398519513442,0.459681,9.500074,0.153227
1176682149000,1176686,1398519513474,0.459681,9.346847,0.153227
