Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519509580486240,1643995,1398519509751,0.26272583,9.662888,-0.14375305
1398519509585643710,1643996,1398519509752,0.25915527,9.695023,-0.13304138
1398519509591777743,1644007,1398519509764,0.22583008,9.665268,-0.10328674
1398519509596569003,1644007,1398519509764,0.26272583,9.674789,-0.11280823
1398519509600627841,1644015,1398519509771,0.26272583,9.674789,-0.11280823
1398519509605785312,1644016,1398519509772,0.2662964,9.648605,-0.10447693
1398519509611919345,1644027,1398519509784,0.25915527,9.692642,-0.1318512
1398519509616710605,1644028,1398519509784,0.20321655,9.645035,-0.12232971
1398519509620769443,1644035,1398519509792,0.20321655,9.645035,-0.12232971
1398519509625926913,1644036,1398519509793,0.25558472,9.671219,-0.060440063
1398519509632060947,1644048,1398519509804,0.21035767,9.704544,-0.13304138
1398519509636882724,1644048,1398519509804,0.2734375,9.721207,-0.11280823
1398519509640850009,1644055,1398519509812,0.24368286,9.671219,-0.14137268
1398519509646068515,1644056,1398519509813,0.25439453,9.692642,-0.14137268
1398519509652202548,1644068,1398519509824,0.2889099,9.681931,-0.12709045
1398519509657024326,1644068,1398519509824,0.25320435,9.685501,-0.13780212
1398519509660991611,1644075,1398519509832,0.26867676,9.656937,-0.14613342
1398519509666210117,1644076,1398519509833,0.21868896,9.711685,-0.036636353
1398519509672344150,1644088,1398519509844,0.25558472,9.67955,-0.1973114
1398519509677165927,1644088,1398519509844,0.31033325,9.685501,-0.11399841
1398519509681133212,1644096,1398519509852,0.22940063,9.665268,-0.12947083
1398519509686351718,1644097,1398519509853,0.24725342,9.625992,-0.16279602
1398519509692485751,1644108,1398519509864,0.21392822,9.621231,-0.12828064
1398519509697307529,1644108,1398519509865,0.25201416,9.667648,-0.12947083
1398519509701274814,1644116,1398519509872,0.26034546,9.702164,-0.098526
1398519509706493320,1644117,1398519509873,0.2651062,9.659317,-0.16636658
1398519509712627353,1644128,1398519509885,0.2567749,9.697403,-0.10090637
1398519509717418613,1644128,1398519509885,0.25558472,9.646225,-0.11161804
1398519509721446933,1644132,1398519509889,0.23654175,9.670029,-0.108047485
