Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1687982413000,1687982,1398519509758,0.3405087,9.765789,0.3405087
1688122855000,1688123,1398519509899,0.3405087,9.724928,0.3405087
1688163413000,1688164,1398519509940,0.3405087,9.765789,0.313268
1688202414000,1688202,1398519509978,0.27240697,9.765789,0.313268
1688233176000,1688233,1398519510009,0.3405087,9.724928,0.3405087
1688273398000,1688273,1398519510049,0.3405087,9.765789,0.3405087
1688312399000,1688313,1398519510088,0.3405087,9.724928,0.3405087
1688342947000,1688343,1398519510119,0.3405087,9.765789,0.27240697
1688383292000,1688383,1398519510159,0.3405087,9.765789,0.3405087
1688422507000,1688423,1398519510199,0.313268,9.80665,0.3405087
1688452963000,1688453,1398519510229,0.38136974,9.724928,0.3405087
1688493399000,1688493,1398519510269,0.38136974,9.765789,0.313268
1688532431000,1688532,1398519510308,0.38136974,9.765789,0.3405087
1688562857000,1688563,1398519510339,0.38136974,9.724928,0.3405087
1688603415000,1688603,1398519510379,0.3405087,9.765789,0.3405087
1688673239000,1688673,1398519510449,0.3405087,9.765789,0.38136974
1688713614000,1688714,1398519510490,0.3405087,9.765789,0.42223078
1688752493000,1688753,1398519510529,0.3405087,9.765789,0.3405087
1688792593000,1688793,1398519510569,0.313268,9.80665,0.3405087
1688832571000,1688833,1398519510609,0.3405087,9.765789,0.3405087
1688862296000,1688862,1398519510638,0.313268,9.765789,0.3405087
1688894278000,1688894,1398519510670,0.3405087,9.765789,0.3405087
1688932303000,1688932,1398519510708,0.313268,9.80665,0.38136974
1688963034000,1688963,1398519510739,0.3405087,9.765789,0.3405087
1689004416000,1689004,1398519510780,0.313268,9.765789,0.38136974
1689073081000,1689073,1398519510849,0.3405087,9.724928,0.38136974
1689113486000,1689114,1398519510890,0.313268,9.765789,0.38136974
1689182852000,1689183,1398519510959,0.313268,9.80665,0.38136974
1689223288000,1689223,1398519510999,0.313268,9.80665,0.3405087
1689262503000,1689263,1398519511039,0.313268,9.765789,0.38136974
1689293234000,1689293,1398519511069,0.3405087,9.724928,0.3405087
1689372611000,1689373,1398519511149,0.313268,9.765789,0.42223078
1689432578000,1689433,1398519511209,0.3405087,9.765789,0.38136974
1689473074000,1689473,1398519511249,0.313268,9.765789,0.3405087
1689514243000,1689514,1398519511290,0.313268,9.765789,0.38136974
1689552603000,1689553,1398519511329,0.3405087,9.765789,0.3405087
1689624167000,1689624,1398519511400,0.38136974,9.765789,0.38136974
1689662314000,1689663,1398519511439,0.3405087,9.765789,0.38136974
1689694357000,1689694,1398519511471,0.313268,9.765789,0.3405087
1689732382000,1689732,1398519511508,0.3405087,9.765789,0.3405087
1689803671000,1689804,1398519511580,0.313268,9.765789,0.3405087
1689842307000,1689842,1398519511618,0.313268,9.724928,0.3405087
1689882590000,1689883,1398519511659,0.27240697,9.80665,0.38136974
1689922598000,1689923,1398519511699,0.3405087,9.724928,0.3405087
1689962882000,1689963,1398519511739,0.3405087,9.765789,0.3405087
1690004141000,1690004,1398519511780,0.3405087,9.80665,0.3405087
1690042319000,1690042,1398519511818,0.313268,9.765789,0.3405087
1690072989000,1690073,1398519511849,0.3405087,9.765789,0.3405087
1690114249000,1690114,1398519511890,0.313268,9.765789,0.38136974
1690152548000,1690153,1398519511929,0.3405087,9.765789,0.42223078
1690192526000,1690193,1398519511969,0.3405087,9.765789,0.3405087
1690224081000,1690224,1398519512000,0.3405087,9.724928,0.38136974
1690263083000,1690263,1398519512039,0.313268,9.765789,0.38136974
1690302481000,1690303,1398519512079,0.3405087,9.765789,0.3405087
1690332846000,1690334,1398519512110,0.313268,9.765789,0.3405087
1690372397000,1690372,1398519512148,0.313268,9.724928,0.3405087
1690412558000,1690413,1398519512189,0.3405087,9.765789,0.3405087
1690443900000,1690444,1398519512220,0.313268,9.765789,0.3405087
1690482413000,1690482,1398519512258,0.313268,9.724928,0.3405087
1690522421000,1690522,1398519512298,0.313268,9.765789,0.3405087
1690554343000,1690554,1398519512330,0.3405087,9.724928,0.313268
1690592673000,1690593,1398519512369,0.313268,9.765789,0.3405087
1690624320000,1690624,1398519512400,0.313268,9.80665,0.3405087
1690662497000,1690663,1398519512439,0.3405087,9.80665,0.38136974
1690702414000,1690702,1398519512478,0.3405087,9.80665,0.313268
1690733786000,1690734,1398519512510,0.3405087,9.80665,0.38136974
1690772299000,1690772,1398519512548,0.3405087,9.765789,0.38136974
1690844077000,1690844,1398519512620,0.3405087,9.765789,0.3405087
1690882681000,1690883,1398519512659,0.313268,9.765789,0.38136974
1690922415000,1690922,1398519512698,0.3405087,9.765789,0.38136974
1690982962000,1690983,1398519512759,0.3405087,9.80665,0.3405087
1691024191000,1691024,1398519512800,0.3405087,9.765789,0.38136974
1691062521000,1691063,1398519512839,0.38136974,9.765789,0.313268
1691092978000,1691093,1398519512869,0.3405087,9.765789,0.3405087
