Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2115139710325,2115140,1398519509756,-0.68916684,9.350755,-0.72868466
2115147797484,2115148,1398519509764,-0.57420594,9.389075,-0.53708315
2115155823607,2115156,1398519509772,-0.7658075,9.504036,-0.57540345
2115163910765,2115164,1398519509780,-0.65084654,9.274115,-0.53708315
2115172058959,2115173,1398519509789,-0.8041278,9.312435,-0.53708315
2115180268188,2115181,1398519509797,-0.7658075,9.235794,-0.53708315
2115188385863,2115189,1398519509805,-0.61252624,9.389075,-0.53708315
2115196106811,2115197,1398519509813,-0.7658075,9.159153,-0.4604425
2115204743285,2115205,1398519509821,-0.7274872,9.427396,-0.57540345
2115212860961,2115213,1398519509829,-0.57420594,9.274115,-0.61372375
2115220795531,2115221,1398519509837,-0.68916684,9.274115,-0.49876282
2115228852172,2115229,1398519509845,-0.57420594,9.389075,-0.4604425
2115236969847,2115237,1398519509853,-0.68916684,9.389075,-0.53708315
2115245301146,2115246,1398519509862,-0.7274872,9.350755,-0.57540345
2115252655883,2115253,1398519509869,-0.57420594,9.235794,-0.65204406
2115261536498,2115262,1398519509878,-0.65084654,9.274115,-0.4604425
2115268891234,2115269,1398519509885,-0.8041278,9.235794,-0.53708315
2115277008910,2115277,1398519509893,-0.7658075,9.427396,-0.53708315
2115285889525,2115286,1398519509902,-0.65084654,9.197474,-0.57540345
2115293244261,2115294,1398519509910,-0.7274872,9.350755,-0.53708315
2115302124876,2115303,1398519509919,-0.8041278,9.312435,-0.42212218
2115310242552,2115311,1398519509927,-0.7274872,9.197474,-0.57540345
2115318360227,2115319,1398519509935,-0.68916684,9.389075,-0.61372375
2115325714963,2115326,1398519509942,-0.8041278,9.274115,-0.57540345
2115334595578,2115335,1398519509951,-0.8041278,9.274115,-0.49876282
2115342713255,2115343,1398519509959,-0.7274872,9.197474,-0.49876282
2115350830930,2115351,1398519509967,-0.68916684,9.274115,-0.57540345
2115358948606,2115359,1398519509975,-0.7274872,9.389075,-0.72868466
2115367066282,2115368,1398519509984,-0.61252624,9.427396,-0.65204406
2115375183958,2115376,1398519509992,-0.8424481,9.197474,-0.53708315
2115383301634,2115384,1398519510000,-0.7274872,9.274115,-0.53708315
2115391419310,2115392,1398519510008,-0.65084654,9.312435,-0.53708315
2115399536985,2115400,1398519510016,-0.7274872,9.350755,-0.53708315
2115407380003,2115408,1398519510024,-0.61252624,9.350755,-0.65204406
2115415009398,2115415,1398519510031,-0.68916684,9.197474,-0.57540345
2115423890013,2115424,1398519510040,-0.57420594,9.312435,-0.57540345
2115431671995,2115432,1398519510048,-0.57420594,9.312435,-0.57540345
2115439881224,2115440,1398519510056,-0.61252624,9.427396,-0.53708315
2115447998899,2115448,1398519510064,-0.7274872,9.197474,-0.65204406
2115456116575,2115457,1398519510073,-0.7274872,9.274115,-0.65204406
2115464234251,2115465,1398519510081,-0.7274872,9.312435,-0.53708315
2115472321409,2115473,1398519510089,-0.61252624,9.235794,-0.88196594
2115480439085,2115481,1398519510097,-0.68916684,9.312435,-0.53708315
2115488556761,2115489,1398519510105,-0.68916684,9.389075,-0.49876282
2115496674436,2115497,1398519510113,-0.7274872,9.312435,-0.69036436
2115504792112,2115505,1398519510121,-0.68916684,9.274115,-0.4604425
2115512909788,2115513,1398519510129,-0.8041278,9.350755,-0.4604425
2115521027464,2115521,1398519510137,-0.7658075,9.350755,-0.61372375
2115529145139,2115530,1398519510146,-0.8041278,9.312435,-0.65204406
2115536713499,2115537,1398519510153,-0.68916684,9.235794,-0.53708315
2115545594114,2115546,1398519510162,-0.65084654,9.389075,-0.57540345
2115553711789,2115554,1398519510170,-0.7274872,9.312435,-0.57540345
2115561798947,2115562,1398519510178,-0.68916684,9.312435,-0.57540345
2115569916623,2115570,1398519510186,-0.68916684,9.312435,-0.61372375
2115578034299,2115579,1398519510195,-0.8424481,9.197474,-0.57540345
2115586151975,2115587,1398519510203,-0.68916684,9.350755,-0.53708315
2115594300168,2115595,1398519510211,-0.68916684,9.350755,-0.61372375
2115602387326,2115603,1398519510219,-0.7658075,9.312435,-0.53708315
2115610505002,2115611,1398519510227,-0.8041278,9.389075,-0.61372375
2115618164914,2115619,1398519510235,-0.68916684,9.389075,-0.57540345
2115626740354,2115627,1398519510243,-0.7274872,9.274115,-0.4604425
2115634858029,2115635,1398519510251,-0.65084654,9.350755,-0.53708315
2115642670529,2115643,1398519510259,-0.68916684,9.197474,-0.57540345
2115650879758,2115651,1398519510267,-0.7658075,9.389075,-0.42212218
2115659211057,2115660,1398519510276,-0.7658075,9.312435,-0.57540345
2115666565793,2115667,1398519510283,-0.8041278,9.350755,-0.61372375
2115675446408,2115676,1398519510292,-0.65084654,9.312435,-0.53708315
2115683564084,2115684,1398519510300,-0.7658075,9.274115,-0.57540345
2115691681760,2115692,1398519510308,-0.8041278,9.274115,-0.49876282
2115699036496,2115699,1398519510315,-0.68916684,9.235794,-0.65204406
2115707886594,2115708,1398519510324,-0.8041278,9.389075,-0.53708315
2115716004270,2115716,1398519510332,-0.65084654,9.350755,-0.57540345
2115723389524,2115724,1398519510340,-0.57420594,9.504036,-0.72868466
2115732239621,2115733,1398519510349,-0.7658075,9.312435,-0.69036436
2115740357298,2115741,1398519510357,-0.8041278,9.235794,-0.4604425
2115747712035,2115748,1398519510364,-0.68916684,9.274115,-0.57540345
2115756592650,2115757,1398519510373,-0.65084654,9.350755,-0.53708315
2115764710326,2115765,1398519510381,-0.68916684,9.389075,-0.53708315
2115772828001,2115773,1398519510389,-0.7658075,9.274115,-0.53708315
2115780182738,2115781,1398519510397,-0.7658075,9.235794,-0.61372375
2115788300413,2115789,1398519510405,-0.68916684,9.197474,-0.65204406
2115797181029,2115798,1398519510414,-0.68916684,9.350755,-0.65204406
2115805298705,2115806,1398519510422,-0.7658075,9.389075,-0.53708315
2115813416381,2115814,1398519510430,-0.68916684,9.274115,-0.4604425
2115821534057,2115822,1398519510438,-0.8041278,9.312435,-0.42212218
2115829041381,2115830,1398519510446,-0.7274872,9.312435,-0.53708315
2115837769408,2115838,1398519510454,-0.68916684,9.389075,-0.65204406
2115845887084,2115846,1398519510462,-0.7274872,9.235794,-0.53708315
2115854218383,2115855,1398519510471,-0.68916684,9.389075,-0.61372375
2115862122435,2115863,1398519510479,-0.65084654,9.350755,-0.4604425
2115870240111,2115871,1398519510487,-0.65084654,9.312435,-0.69036436
2115878357787,2115879,1398519510495,-0.68916684,9.312435,-0.49876282
2115886444945,2115887,1398519510503,-0.65084654,9.312435,-0.53708315
2115894562621,2115895,1398519510511,-0.61252624,9.274115,-0.61372375
2115902680296,2115903,1398519510519,-0.68916684,9.427396,-0.4604425
2115910797972,2115911,1398519510527,-0.65084654,9.274115,-0.4604425
2115918915648,2115919,1398519510535,-0.7274872,9.274115,-0.57540345
2115927002806,2115927,1398519510543,-0.7658075,9.274115,-0.69036436
2115935120482,2115936,1398519510552,-0.65084654,9.235794,-0.57540345
2115943238158,2115944,1398519510560,-0.68916684,9.312435,-0.61372375
2115951355832,2115952,1398519510568,-0.61252624,9.504036,-0.53708315
2115959473508,2115960,1398519510576,-0.68916684,9.312435,-0.49876282
2115967591184,2115968,1398519510584,-0.61252624,9.389075,-0.65204406
2115975678343,2115976,1398519510592,-0.65084654,9.427396,-0.65204406
2115983796018,2115984,1398519510600,-0.8041278,9.312435,-0.57540345
2115991913694,2115992,1398519510608,-0.61252624,9.274115,-0.49876282
2116000031370,2116001,1398519510617,-0.65084654,9.274115,-0.65204406
2116008149046,2116009,1398519510625,-0.7658075,9.350755,-0.53708315
2116016266722,2116017,1398519510633,-0.8424481,9.350755,-0.8053253
2116024384398,2116025,1398519510641,-0.8041278,9.274115,-0.65204406
2116032502073,2116033,1398519510649,-0.65084654,9.312435,-0.49876282
2116040039915,2116041,1398519510657,-0.68916684,9.274115,-0.57540345
2116047974485,2116048,1398519510664,-0.68916684,9.389075,-0.69036436
2116056824583,2116057,1398519510673,-0.61252624,9.465716,-0.57540345
2116065155882,2116066,1398519510682,-0.7274872,9.197474,-0.53708315
2116073059935,2116074,1398519510690,-0.7274872,9.350755,-0.57540345
2116080933470,2116081,1398519510697,-0.68916684,9.274115,-0.53708315
2116089295286,2116090,1398519510706,-0.68916684,9.197474,-0.57540345
2116097412962,2116098,1398519510714,-0.8041278,9.274115,-0.72868466
2116105530638,2116106,1398519510722,-0.8424481,9.312435,-0.57540345
2116113617796,2116114,1398519510730,-0.68916684,9.274115,-0.72868466
2116121735471,2116122,1398519510738,-0.68916684,9.120833,-0.57540345
2116129853147,2116130,1398519510746,-0.68916684,9.389075,-0.57540345
2116137970823,2116138,1398519510754,-0.57420594,9.427396,-0.61372375
2116146088499,2116147,1398519510763,-0.65084654,9.5423565,-0.57540345
2116154206174,2116155,1398519510771,-0.7274872,9.350755,-0.42212218
2116162293332,2116163,1398519510779,-0.7274872,9.235794,-0.61372375
2116170411008,2116171,1398519510787,-0.7274872,9.274115,-0.61372375
2116178528685,2116179,1398519510795,-0.8424481,9.274115,-0.65204406
2116186646361,2116187,1398519510803,-0.68916684,9.312435,-0.57540345
2116194764036,2116195,1398519510811,-0.8041278,9.274115,-0.57540345
2116202881712,2116203,1398519510819,-0.7658075,9.389075,-0.57540345
2116210999389,2116211,1398519510827,-0.68916684,9.350755,-0.57540345
2116219086547,2116220,1398519510836,-0.65084654,9.312435,-0.53708315
2116227234740,2116228,1398519510844,-0.68916684,9.427396,-0.61372375
2116235321898,2116236,1398519510852,-0.61252624,9.235794,-0.61372375
2116243439574,2116244,1398519510860,-0.65084654,9.274115,-0.49876282
2116250946898,2116251,1398519510867,-0.68916684,9.159153,-0.53708315
2116259644408,2116260,1398519510876,-0.7274872,9.350755,-0.53708315
2116267762084,2116268,1398519510884,-0.7274872,9.235794,-0.57540345
2116276093383,2116277,1398519510893,-0.7658075,9.235794,-0.72868466
2116283234496,2116284,1398519510900,-0.7658075,9.427396,-0.49876282
2116292115111,2116293,1398519510909,-0.7274872,9.274115,-0.49876282
2116300232787,2116301,1398519510917,-0.68916684,9.274115,-0.38380188
2116308350463,2116309,1398519510925,-0.57420594,9.197474,-0.65204406
2116316437621,2116317,1398519510933,-0.65084654,9.197474,-0.57540345
2116324555296,2116325,1398519510941,-0.7658075,9.159153,-0.49876282
2116331910033,2116332,1398519510948,-0.68916684,9.274115,-0.53708315
2116340790648,2116341,1398519510957,-0.7274872,9.274115,-0.61372375
2116348908324,2116349,1398519510965,-0.65084654,9.197474,-0.53708315
2116356995482,2116357,1398519510973,-0.57420594,9.389075,-0.38380188
2116365113158,2116366,1398519510982,-0.8041278,9.427396,-0.49876282
2116373230832,2116374,1398519510990,-0.7658075,9.274115,-0.61372375
2116381348508,2116382,1398519510998,-0.8041278,9.465716,-0.42212218
2116389435666,2116390,1398519511006,-0.68916684,9.235794,-0.57540345
2116396820921,2116397,1398519511013,-0.8041278,9.350755,-0.53708315
2116405671019,2116406,1398519511022,-0.68916684,9.350755,-0.42212218
2116413788695,2116414,1398519511030,-0.68916684,9.197474,-0.4604425
2116421112913,2116422,1398519511038,-0.68916684,9.389075,-0.65204406
2116429993528,2116430,1398519511046,-0.65084654,9.312435,-0.53708315
2116438141722,2116439,1398519511055,-0.8424481,9.312435,-0.57540345
2116446228880,2116447,1398519511063,-0.7658075,9.274115,-0.42212218
2116454346556,2116455,1398519511071,-0.7274872,9.465716,-0.69036436
2116461884397,2116462,1398519511078,-0.68916684,9.312435,-0.57540345
2116470551390,2116471,1398519511087,-0.65084654,9.350755,-0.61372375
2116478669065,2116479,1398519511095,-0.8424481,9.274115,-0.57540345
2116487030882,2116488,1398519511104,-0.68916684,9.312435,-0.4604425
2116494141477,2116495,1398519511111,-0.7658075,9.350755,-0.69036436
2116503022093,2116503,1398519511119,-0.65084654,9.350755,-0.65204406
2116510895628,2116511,1398519511127,-0.65084654,9.312435,-0.57540345
2116519257444,2116520,1398519511136,-0.68916684,9.235794,-0.49876282
2116527375120,2116528,1398519511144,-0.8041278,9.312435,-0.53708315
2116534699339,2116535,1398519511151,-0.7274872,9.389075,-0.53708315
2116543610471,2116544,1398519511160,-0.61252624,9.197474,-0.57540345
2116551728147,2116552,1398519511168,-0.65084654,9.427396,-0.57540345
2116559052366,2116559,1398519511176,-0.8807684,9.235794,-0.61372375
2116567932981,2116568,1398519511184,-0.65084654,9.274115,-0.53708315
2116576050657,2116576,1398519511193,-0.68916684,9.235794,-0.49876282
2116583435910,2116584,1398519511200,-0.65084654,9.235794,-0.57540345
2116591523069,2116592,1398519511208,-0.61252624,9.350755,-0.84364563
2116600403684,2116601,1398519511217,-0.65084654,9.350755,-0.57540345
2116608521360,2116609,1398519511225,-0.7274872,9.312435,-0.53708315
2116615876096,2116616,1398519511232,-0.7274872,9.465716,-0.61372375
2116624756711,2116625,1398519511241,-0.65084654,9.235794,-0.57540345
2116632874387,2116633,1398519511249,-0.65084654,9.350755,-0.57540345
2116640992063,2116641,1398519511257,-0.65084654,9.159153,-0.42212218
2116649109738,2116650,1398519511266,-0.7274872,9.389075,-0.53708315
2116657227414,2116658,1398519511274,-0.65084654,9.197474,-0.53708315
2116664582151,2116665,1398519511281,-0.68916684,9.274115,-0.57540345
2116672669309,2116673,1398519511289,-0.65084654,9.350755,-0.57540345
2116681549924,2116682,1398519511298,-0.7658075,9.274115,-0.65204406
2116689667600,2116690,1398519511306,-0.7658075,9.465716,-0.4604425
2116697785275,2116698,1398519511314,-0.68916684,9.235794,-0.53708315
2116705140012,2116706,1398519511322,-0.68916684,9.197474,-0.57540345
2116714020627,2116714,1398519511330,-0.65084654,9.274115,-0.49876282
2116722138303,2116723,1398519511339,-0.57420594,9.120833,-0.49876282
2116729462522,2116730,1398519511346,-0.8041278,9.159153,-0.61372375
2116738343137,2116739,1398519511355,-0.61252624,9.350755,-0.61372375
2116746460812,2116747,1398519511363,-0.7658075,9.312435,-0.53708315
2116754578488,2116755,1398519511371,-0.65084654,9.274115,-0.53708315
2116762696164,2116763,1398519511379,-0.7658075,9.312435,-0.49876282
2116770813840,2116771,1398519511387,-0.7274872,9.235794,-0.4604425
2116778931516,2116779,1398519511395,-0.8041278,9.350755,-0.53708315
2116787049192,2116787,1398519511403,-0.7658075,9.312435,-0.53708315
2116795136351,2116796,1398519511412,-0.7658075,9.274115,-0.65204406
2116803254027,2116804,1398519511420,-0.57420594,9.389075,-0.61372375
2116811371702,2116812,1398519511428,-0.68916684,9.427396,-0.61372375
2116819489378,2116820,1398519511436,-0.68916684,9.389075,-0.53708315
2116827607054,2116828,1398519511444,-0.68916684,9.350755,-0.61372375
2116835724729,2116836,1398519511452,-0.57420594,9.159153,-0.61372375
2116843842405,2116844,1398519511460,-0.7274872,9.235794,-0.4604425
2116851960081,2116852,1398519511468,-0.7274872,9.350755,-0.49876282
2116860077757,2116861,1398519511477,-0.65084654,9.312435,-0.53708315
2116868164915,2116869,1398519511485,-0.7658075,9.389075,-0.65204406
2116876282591,2116877,1398519511493,-0.8041278,9.235794,-0.61372375
2116883728880,2116884,1398519511500,-0.4975653,9.312435,-0.49876282
2116892517942,2116893,1398519511509,-0.57420594,9.235794,-0.53708315
2116900635618,2116901,1398519511517,-0.53588563,9.235794,-0.38380188
2116908020872,2116908,1398519511524,-0.7658075,9.197474,-0.57540345
2116916108030,2116917,1398519511533,-0.8424481,9.350755,-0.61372375
2116924988645,2116925,1398519511541,-0.68916684,9.389075,-0.57540345
2116933106321,2116934,1398519511550,-0.61252624,9.312435,-0.53708315
2116940461057,2116941,1398519511557,-0.65084654,9.274115,-0.49876282
2116949311155,2116950,1398519511566,-0.68916684,9.274115,-0.57540345
2116957428831,2116958,1398519511574,-0.7274872,9.235794,-0.65204406
2116964783567,2116965,1398519511581,-0.8041278,9.235794,-0.4604425
2116973664182,2116974,1398519511590,-0.8041278,9.389075,-0.49876282
2116981812375,2116982,1398519511598,-0.61252624,9.274115,-0.65204406
2116989899534,2116990,1398519511606,-0.65084654,9.389075,-0.4604425
2116998017209,2116998,1398519511614,-0.65084654,9.274115,-0.4604425
2117006134885,2117007,1398519511623,-0.7658075,9.312435,-0.57540345
2117014252561,2117015,1398519511631,-0.7658075,9.389075,-0.53708315
2117022370237,2117023,1398519511639,-0.68916684,9.389075,-0.53708315
2117029755491,2117030,1398519511646,-0.8041278,9.350755,-0.49876282
2117038605589,2117039,1398519511655,-0.7274872,9.312435,-0.57540345
2117046723265,2117047,1398519511663,-0.8424481,9.312435,-0.49876282
2117054840940,2117055,1398519511671,-0.68916684,9.389075,-0.53708315
2117062958616,2117063,1398519511679,-0.7658075,9.312435,-0.53708315
2117071076292,2117072,1398519511688,-0.65084654,9.274115,-0.57540345
2117079163450,2117080,1398519511696,-0.68916684,9.465716,-0.49876282
2117087281126,2117088,1398519511704,-0.7274872,9.274115,-0.61372375
2117094696897,2117095,1398519511711,-0.7274872,9.312435,-0.53708315
2117103516477,2117104,1398519511720,-0.65084654,9.312435,-0.69036436
2117111634153,2117112,1398519511728,-0.7274872,9.159153,-0.57540345
2117119873899,2117120,1398519511736,-0.65084654,9.350755,-0.53708315
2117127106565,2117127,1398519511744,-0.57420594,9.350755,-0.69036436
2117135956663,2117136,1398519511752,-0.61252624,9.312435,-0.57540345
2117144074339,2117145,1398519511761,-0.57420594,9.312435,-0.65204406
2117151429075,2117152,1398519511768,-0.61252624,9.274115,-0.57540345
2117160340208,2117161,1398519511777,-0.7274872,9.274115,-0.53708315
2117168427366,2117169,1398519511785,-0.68916684,9.197474,-0.61372375
2117176545042,2117177,1398519511793,-0.68916684,9.235794,-0.53708315
2117184662717,2117185,1398519511801,-0.7274872,9.197474,-0.49876282
2117192780393,2117193,1398519511809,-0.7274872,9.389075,-0.57540345
2117200867551,2117201,1398519511817,-0.7274872,9.274115,-0.57540345
2117208985227,2117209,1398519511825,-0.8041278,9.312435,-0.53708315
2117217102902,2117218,1398519511834,-0.68916684,9.427396,-0.65204406
2117225220578,2117226,1398519511842,-0.7658075,9.235794,-0.61372375
2117233338254,2117234,1398519511850,-0.7274872,9.274115,-0.49876282
2117241455931,2117242,1398519511858,-0.61252624,9.389075,-0.4604425
2117249573606,2117250,1398519511866,-0.65084654,9.312435,-0.72868466
2117257660764,2117258,1398519511874,-0.65084654,9.274115,-0.65204406
2117265808958,2117266,1398519511882,-0.7658075,9.350755,-0.61372375
2117273926634,2117274,1398519511890,-0.7274872,9.427396,-0.49876282
2117282044310,2117282,1398519511899,-0.68916684,9.389075,-0.57540345
2117290131468,2117291,1398519511907,-0.8041278,9.274115,-0.65204406
2117298249144,2117299,1398519511915,-0.7274872,9.350755,-0.57540345
2117305634398,2117306,1398519511922,-0.68916684,9.312435,-0.65204406
2117314484495,2117315,1398519511931,-0.68916684,9.197474,-0.69036436
2117322602171,2117323,1398519511939,-0.61252624,9.274115,-0.57540345
2117330780882,2117331,1398519511947,-0.61252624,9.389075,-0.61372375
2117338044065,2117338,1398519511955,-0.7658075,9.312435,-0.57540345
2117346924681,2117347,1398519511963,-0.68916684,9.389075,-0.65204406
2117355042356,2117355,1398519511972,-0.61252624,9.274115,-0.53708315
2117362397093,2117363,1398519511979,-0.7274872,9.5423565,-0.61372375
2117371277708,2117372,1398519511988,-0.8041278,9.312435,-0.53708315
2117379395384,2117380,1398519511996,-0.65084654,9.159153,-0.61372375
2117387513059,2117388,1398519512004,-0.68916684,9.197474,-0.69036436
2117395630735,2117396,1398519512012,-0.7658075,9.235794,-0.65204406
2117403748411,2117404,1398519512020,-0.68916684,9.235794,-0.57540345
2117411103147,2117411,1398519512028,-0.61252624,9.120833,-0.65204406
2117419983762,2117420,1398519512036,-0.7274872,9.389075,-0.42212218
2117427338498,2117428,1398519512044,-0.57420594,9.312435,-0.53708315
2117435456174,2117436,1398519512052,-0.57420594,9.120833,-0.53708315
2117444306273,2117445,1398519512061,-0.68916684,9.159153,-0.4604425
2117452423949,2117453,1398519512069,-0.7274872,9.197474,-0.57540345
2117460541624,2117461,1398519512077,-0.7658075,9.427396,-0.53708315
2117468659300,2117469,1398519512085,-0.7274872,9.197474,-0.65204406
2117476776977,2117477,1398519512093,-0.68916684,9.235794,-0.57540345
2117484894652,2117485,1398519512101,-0.7658075,9.350755,-0.61372375
2117493012328,2117493,1398519512110,-0.7658075,9.350755,-0.53708315
2117501099486,2117502,1398519512118,-0.7274872,9.312435,-0.53708315
2117509217162,2117510,1398519512126,-0.7658075,9.312435,-0.61372375
2117516571898,2117517,1398519512133,-0.61252624,9.197474,-0.65204406
2117525452514,2117526,1398519512142,-0.7274872,9.235794,-0.57540345
2117533570189,2117534,1398519512150,-0.68916684,9.389075,-0.49876282
2117541718383,2117542,1398519512158,-0.68916684,9.350755,-0.57540345
2117549012084,2117549,1398519512165,-0.7658075,9.312435,-0.49876282
2117557892699,2117558,1398519512174,-0.9190887,9.197474,-0.53708315
2117566010375,2117566,1398519512182,-0.68916684,9.274115,-0.61372375
2117574128050,2117575,1398519512191,-0.7274872,9.274115,-0.61372375
2117582245726,2117583,1398519512199,-0.57420594,9.389075,-0.53708315
2117590363402,2117591,1398519512207,-0.61252624,9.159153,-0.57540345
2117597687621,2117598,1398519512214,-0.7658075,9.235794,-0.57540345
2117606568236,2117607,1398519512223,-0.61252624,9.274115,-0.69036436
2117614685912,2117615,1398519512231,-0.57420594,9.235794,-0.53708315
2117622803587,2117623,1398519512239,-0.61252624,9.274115,-0.53708315
2117630921263,2117631,1398519512247,-0.7274872,9.312435,-0.61372375
2117639038939,2117640,1398519512256,-0.7658075,9.274115,-0.4604425
2117647156615,2117648,1398519512264,-0.7274872,9.197474,-0.61372375
2117655274290,2117656,1398519512272,-0.7274872,9.312435,-0.49876282
2117663147826,2117664,1398519512280,-0.68916684,9.312435,-0.49876282
2117670716185,2117671,1398519512287,-0.8041278,9.159153,-0.4604425
2117679596800,2117680,1398519512296,-0.68916684,9.350755,-0.72868466
2117687714477,2117688,1398519512304,-0.57420594,9.274115,-0.72868466
2117695832152,2117696,1398519512312,-0.61252624,9.235794,-0.61372375
2117703949828,2117704,1398519512320,-0.7274872,9.274115,-0.61372375
2117712067504,2117712,1398519512329,-0.7274872,9.427396,-0.53708315
2117720185180,2117721,1398519512337,-0.61252624,9.312435,-0.61372375
2117727539916,2117728,1398519512344,-0.7658075,9.274115,-0.49876282
2117736390014,2117737,1398519512353,-0.57420594,9.389075,-0.53708315
2117744507689,2117745,1398519512361,-0.8424481,9.350755,-0.57540345
2117752655883,2117753,1398519512369,-0.7658075,9.312435,-0.57540345
2117759980101,2117760,1398519512376,-0.8424481,9.197474,-0.72868466
2117768860716,2117769,1398519512385,-0.7274872,9.274115,-0.72868466
2117776978392,2117777,1398519512393,-0.65084654,9.350755,-0.49876282
2117785096068,2117786,1398519512402,-0.8041278,9.159153,-0.49876282
2117792481322,2117803,1398519512419,-0.7274872,9.350755,-0.61372375
2117800568480,2117803,1398519512419,-0.65084654,9.312435,-0.53708315
2117808655638,2117809,1398519512425,-0.7658075,9.312435,-0.65204406
2117816773314,2117817,1398519512433,-0.7658075,9.197474,-0.42212218
2117824921507,2117825,1398519512441,-0.7274872,9.350755,-0.61372375
2117833008666,2117833,1398519512449,-0.8041278,9.235794,-0.61372375
2117841645140,2117842,1398519512458,-0.61252624,9.274115,-0.49876282
2117849762815,2117850,1398519512466,-0.7658075,9.389075,-0.57540345
