Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3058960908000,3058961,1398519509800,0.10896278,9.656827,0.61291564
3058980775000,3058981,1398519509820,0.08172209,9.724928,0.61291564
3059000703000,3059001,1398519509840,0.10896278,9.724928,0.6537767
3059023621000,3059024,1398519509863,0.10896278,9.724928,0.61291564
3059044373000,3059044,1398519509884,0.10896278,9.697687,0.5720546
3059083405000,3059084,1398519509923,0.08172209,9.724928,0.5720546
3059122682000,3059123,1398519509962,0.10896278,9.724928,0.5720546
3059142610000,3059143,1398519509982,0.10896278,9.697687,0.61291564
3059162660000,3059163,1398519510002,0.10896278,9.724928,0.6537767
3059182557000,3059183,1398519510022,0.10896278,9.724928,0.61291564
3059202546000,3059203,1398519510042,0.08172209,9.697687,0.61291564
3059222474000,3059223,1398519510062,0.10896278,9.697687,0.61291564
3059242494000,3059243,1398519510082,0.10896278,9.724928,0.61291564
3059300477000,3059301,1398519510140,0.10896278,9.724928,0.5720546
3059343110000,3059343,1398519510182,0.10896278,9.697687,0.5720546
3059364045000,3059364,1398519510203,0.08172209,9.697687,0.5720546
3059383943000,3059384,1398519510223,0.08172209,9.724928,0.5720546
3059407533000,3059408,1398519510247,0.08172209,9.697687,0.6537767
3059427400000,3059428,1398519510267,0.10896278,9.697687,0.6537767
3059447328000,3059447,1398519510287,0.10896278,9.697687,0.61291564
3059467378000,3059468,1398519510307,0.10896278,9.724928,0.5720546
3059487428000,3059488,1398519510327,0.08172209,9.765789,0.5720546
3059507356000,3059507,1398519510347,0.08172209,9.724928,0.5720546
3059527284000,3059527,1398519510366,0.10896278,9.697687,0.61291564
3059569032000,3059569,1398519510408,0.08172209,9.697687,0.5720546
3059590150000,3059590,1398519510429,0.10896278,9.697687,0.5720546
3059610352000,3059610,1398519510450,0.14982383,9.724928,0.5720546
3059630341000,3059630,1398519510470,0.10896278,9.697687,0.5720546
3059650269000,3059650,1398519510489,0.10896278,9.724928,0.5720546
3059670258000,3059670,1398519510509,0.10896278,9.765789,0.6537767
3059690186000,3059690,1398519510529,0.10896278,9.724928,0.61291564
