Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519509594264098,1750999,1398519509758,0.16574097,9.728699,0.5858002
1398519509599268981,1750999,1398519509758,0.17645264,9.687042,0.5810394
1398519509604334899,1751009,1398519509768,0.16217041,9.678711,0.5274811
1398519509609339782,1751009,1398519509768,0.17050171,9.712036,0.6012726
1398519509614405700,1751019,1398519509778,0.17526245,9.7144165,0.51319885
1398519509619410583,1751019,1398519509778,0.16217041,9.728699,0.59532166
1398519509624476501,1751029,1398519509788,0.16574097,9.708466,0.5750885
1398519509629481383,1751029,1398519509788,0.146698,9.715607,0.5155792
1398519509634547301,1751036,1398519509795,0.15859985,9.742981,0.52272034
1398519509639582702,1751040,1398519509798,0.13241577,9.702515,0.5929413
1398519509644618102,1751048,1398519509807,0.16455078,9.694183,0.5750885
1398519509649622985,1751050,1398519509808,0.18478394,9.741791,0.52153015
1398519509654688903,1751059,1398519509817,0.16574097,9.688232,0.53938293
1398519509659693786,1751062,1398519509820,0.21810913,9.706085,0.565567
1398519509664759704,1751068,1398519509826,0.17526245,9.681091,0.51438904
1398519509669795104,1751072,1398519509830,0.21453857,9.67157,0.6072235
1398519509674830504,1751078,1398519509836,0.19311523,9.753693,0.51438904
1398519509679865905,1751082,1398519509840,0.11932373,9.723938,0.4846344
1398519509684901305,1751088,1398519509846,0.16574097,9.726318,0.57865906
1398519509689936706,1751092,1398519509851,0.13241577,9.681091,0.5893707
1398519509694972106,1751098,1398519509856,0.17288208,9.678711,0.6226959
1398519509700007506,1751103,1398519509861,0.15979004,9.707275,0.57984924
1398519509705042907,1751108,1398519509866,0.18835449,9.728699,0.54652405
1398519509710078307,1751113,1398519509871,0.1633606,9.758453,0.6560211
1398519509715113708,1751117,1398519509876,0.12765503,9.722748,0.52153015
1398519509720149108,1751123,1398519509881,0.20977783,9.702515,0.5512848
1398519509725184508,1751128,1398519509886,0.15383911,9.676331,0.5858002
1398519509730219909,1751133,1398519509891,0.21334839,9.751312,0.5179596
1398519509735255309,1751138,1398519509896,0.19192505,9.664429,0.57032776
1398519509740290710,1751143,1398519509901,0.18835449,9.717987,0.58699036
1398519509745326110,1751148,1398519509906,0.19073486,9.695374,0.5810394
1398519509750361510,1751153,1398519509911,0.14193726,9.703705,0.4834442
1398519509755396911,1751158,1398519509916,0.20144653,9.715607,0.6143646
1398519509760432311,1751163,1398519509921,0.15264893,9.713226,0.43702698
1398519509765467712,1751168,1398519509927,0.16455078,9.744171,0.6072235
1398519509770503112,1751173,1398519509932,0.13955688,9.695374,0.597702
1398519509775538512,1751178,1398519509936,0.16098022,9.679901,0.54533386
1398519509780573913,1751183,1398519509941,0.1716919,9.744171,0.6012726
1398519509785609313,1751188,1398519509946,0.15621948,9.695374,0.54533386
1398519509790644713,1751193,1398519509952,0.17883301,9.727509,0.6143646
1398519509795680114,1751198,1398519509957,0.20144653,9.715607,0.5417633
1398519509800715514,1751203,1398519509961,0.15026855,9.719177,0.5358124
1398519509805750915,1751208,1398519509967,0.13479614,9.697754,0.60484314
1398519509810786315,1751213,1398519509972,0.15740967,9.722748,0.5929413
1398519509815821715,1751218,1398519509977,0.16693115,9.704895,0.61079407
1398519509820857116,1751223,1398519509982,0.12765503,9.717987,0.5584259
1398519509825892516,1751228,1398519509987,0.15979004,9.683472,0.54533386
1398519509830927917,1751233,1398519509992,0.14431763,9.741791,0.59413147
1398519509835963317,1751238,1398519509997,0.19787598,9.709656,0.5893707
1398519509840998717,1751243,1398519510002,0.15979004,9.716797,0.61317444
1398519509846034118,1751248,1398519510007,0.14193726,9.726318,0.6250763
1398519509851069518,1751254,1398519510012,0.13598633,9.697754,0.61912537
1398519509856093651,1751259,1398519510017,0.19192505,9.708466,0.47868347
1398519509861129051,1751264,1398519510022,0.21096802,9.676331,0.5608063
1398519509866164451,1751269,1398519510027,0.16098022,9.745361,0.5667572
