Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1354752678988,1354752,1398519509758,-1.8681152,5.8725877,5.767207
1354762642988,1354762,1398519509768,-1.8681152,5.8725877,5.767207
1354772698988,1354772,1398519509778,-1.8681152,5.8725877,5.767207
1354782694988,1354782,1398519509788,-1.8681152,5.8725877,5.767207
1354792670988,1354792,1398519509798,-1.8681152,5.8725877,5.767207
1354802712988,1354802,1398519509808,-1.8681152,5.8725877,5.767207
1354812681988,1354812,1398519509818,-1.8681152,5.8725877,5.767207
1354822672988,1354822,1398519509828,-1.8681152,5.8725877,5.767207
1354832704988,1354833,1398519509839,-1.8681152,5.8725877,5.767207
1354842672988,1354843,1398519509849,-1.8681152,5.8725877,5.767207
1354852668988,1354852,1398519509858,-1.8681152,5.8725877,5.767207
1354862700988,1354863,1398519509868,-1.8681152,5.8725877,5.767207
1354872677988,1354872,1398519509878,-1.8681152,5.8725877,5.767207
1354882644988,1354882,1398519509888,-1.8681152,5.8725877,5.767207
1354892675988,1354892,1398519509898,-1.8681152,5.8725877,5.767207
1354902694988,1354902,1398519509908,-1.8681152,5.8725877,5.767207
1354912669988,1354912,1398519509918,-1.8681152,5.8725877,5.767207
1354922668988,1354922,1398519509928,-1.8681152,5.8725877,5.767207
1354932678988,1354932,1398519509938,-1.8681152,5.8725877,5.767207
1354942672988,1354942,1398519509948,-1.8681152,5.8725877,5.767207
1354952815988,1354953,1398519509959,-1.8681152,5.8725877,5.767207
1354962668988,1354963,1398519509969,-1.8681152,5.8725877,5.767207
1354972793988,1354973,1398519509979,-1.8681152,5.8725877,5.767207
1354982677988,1354982,1398519509988,-1.8681152,5.8725877,5.767207
1354992676988,1354992,1398519509998,-1.8681152,5.8725877,5.767207
1355002682988,1355002,1398519510008,-1.8681152,5.8725877,5.767207
1355012675988,1355012,1398519510018,-1.8681152,5.8725877,5.767207
1355022699988,1355022,1398519510028,-1.8681152,5.8725877,5.767207
1355032676988,1355032,1398519510038,-1.8681152,5.8725877,5.767207
1355042691988,1355042,1398519510048,-1.8681152,5.8725877,5.767207
1355052682988,1355052,1398519510058,-1.8681152,5.8725877,5.767207
1355062676988,1355062,1398519510068,-1.8681152,5.8725877,5.767207
1355080115988,1355083,1398519510089,-1.8681152,5.8725877,5.767207
1355092689988,1355092,1398519510098,-1.8681152,5.8725877,5.767207
1355102716988,1355102,1398519510108,-1.8681152,5.8725877,5.767207
1355112658988,1355112,1398519510118,-1.8681152,5.8725877,5.767207
1355122682988,1355122,1398519510128,-1.8681152,5.8725877,5.767207
1355132677988,1355132,1398519510138,-1.8681152,5.8725877,5.767207
1355142844988,1355143,1398519510149,-1.8681152,5.8725877,5.767207
1355152726988,1355153,1398519510159,-1.8681152,5.8725877,5.767207
1355162686988,1355162,1398519510168,-1.8681152,5.8725877,5.767207
1355172751988,1355173,1398519510179,-1.8681152,5.8725877,5.767207
1355182676988,1355182,1398519510188,-1.8681152,5.8725877,5.767207
1355192705988,1355192,1398519510198,-1.8681152,5.8725877,5.767207
1355202674988,1355202,1398519510208,-1.8681152,5.8725877,5.767207
1355212707988,1355212,1398519510218,-1.8681152,5.8725877,5.767207
1355222729988,1355222,1398519510228,-1.8681152,5.8725877,5.767207
1355232677988,1355232,1398519510238,-1.8681152,5.8725877,5.767207
1355242650988,1355242,1398519510248,-1.8681152,5.8725877,5.767207
1355252677988,1355252,1398519510258,-1.8681152,5.8725877,5.767207
1355262693988,1355262,1398519510268,-1.8681152,5.8725877,5.767207
1355272690988,1355279,1398519510285,-1.8681152,5.8725877,5.767207
1355282675988,1355282,1398519510288,-1.8681152,5.8725877,5.767207
1355292692988,1355296,1398519510302,-1.8681152,5.8725877,5.767207
1355302675988,1355302,1398519510308,-1.8681152,5.8725877,5.767207
1355312722988,1355312,1398519510318,-1.8681152,5.8725877,5.767207
1355322675988,1355322,1398519510328,-1.8681152,5.8725877,5.767207
1355332813988,1355333,1398519510339,-1.8681152,5.8725877,5.767207
1355342692988,1355348,1398519510354,-1.8681152,5.8725877,5.767207
1355352677988,1355352,1398519510358,-1.8681152,5.8725877,5.767207
1355362649988,1355362,1398519510368,-1.8681152,5.8725877,5.767207
1355372679988,1355372,1398519510378,-1.8681152,5.8725877,5.767207
1355382679988,1355382,1398519510388,-1.8681152,5.8725877,5.767207
1355392680988,1355392,1398519510398,-1.8681152,5.8725877,5.767207
1355402739988,1355402,1398519510408,-1.8681152,5.8725877,5.767207
1355412684988,1355412,1398519510418,-1.8681152,5.8725877,5.767207
1355422676988,1355422,1398519510428,-1.8681152,5.8725877,5.767207
1355432691988,1355432,1398519510438,-1.8681152,5.8725877,5.767207
1355442675988,1355442,1398519510448,-1.8681152,5.8725877,5.767207
1355452706988,1355452,1398519510458,-1.8681152,5.8725877,5.767207
1355462701988,1355462,1398519510468,-1.8681152,5.8725877,5.767207
1355472678988,1355472,1398519510478,-1.8681152,5.8725877,5.767207
1355482656988,1355482,1398519510488,-1.8681152,5.8725877,5.767207
1355492695988,1355492,1398519510498,-1.8681152,5.8725877,5.767207
1355502786988,1355503,1398519510509,-1.8681152,5.8725877,5.767207
1355512679988,1355519,1398519510525,-1.8681152,5.8725877,5.767207
1355522670988,1355522,1398519510528,-1.8681152,5.8725877,5.767207
1355532685988,1355532,1398519510538,-1.8681152,5.8725877,5.767207
1355542674988,1355542,1398519510548,-1.8681152,5.8725877,5.767207
1355552689988,1355552,1398519510558,-1.8681152,5.8725877,5.767207
1355562668988,1355562,1398519510568,-1.8681152,5.8725877,5.767207
1355572702988,1355573,1398519510578,-1.8681152,5.8725877,5.767207
1355582714988,1355582,1398519510588,-1.8681152,5.8725877,5.767207
1355592681988,1355592,1398519510598,-1.8681152,5.8725877,5.767207
1355602656988,1355602,1398519510608,-1.8681152,5.8725877,5.767207
1355612680988,1355612,1398519510618,-1.8681152,5.8725877,5.767207
1355622693988,1355622,1398519510628,-1.8681152,5.8725877,5.767207
1355632681988,1355639,1398519510645,-1.8681152,5.8725877,5.767207
1355642665988,1355642,1398519510648,-1.8681152,5.8725877,5.767207
1355652687988,1355656,1398519510662,-1.8681152,5.8725877,5.767207
1355662675988,1355662,1398519510668,-1.8681152,5.8725877,5.767207
1355672721988,1355672,1398519510678,-1.8681152,5.8725877,5.767207
1355682682988,1355682,1398519510688,-1.8681152,5.8725877,5.767207
1355692704988,1355692,1398519510698,-1.8681152,5.8725877,5.767207
1355702774988,1355703,1398519510709,-1.8681152,5.8725877,5.767207
1355712681988,1355712,1398519510718,-1.8681152,5.8725877,5.767207
1355722653988,1355722,1398519510728,-1.8681152,5.8725877,5.767207
1355732671988,1355732,1398519510738,-1.8681152,5.8725877,5.767207
1355742688988,1355742,1398519510748,-1.8681152,5.8725877,5.767207
1355752682988,1355759,1398519510765,-1.8681152,5.8725877,5.767207
1355762682988,1355762,1398519510768,-1.8681152,5.8725877,5.767207
1355772685988,1355772,1398519510778,-1.8681152,5.8725877,5.767207
1355782673988,1355782,1398519510788,-1.8681152,5.8725877,5.767207
1355792697988,1355792,1398519510798,-1.8681152,5.8725877,5.767207
1355802669988,1355802,1398519510808,-1.8681152,5.8725877,5.767207
1355812704988,1355812,1398519510818,-1.8681152,5.8725877,5.767207
1355822698988,1355822,1398519510828,-1.8681152,5.8725877,5.767207
1355832677988,1355832,1398519510838,-1.8681152,5.8725877,5.767207
1355842651988,1355842,1398519510848,-1.8681152,5.8725877,5.767207
1355852696988,1355852,1398519510858,-1.8681152,5.8725877,5.767207
1355862686988,1355862,1398519510868,-1.8681152,5.8725877,5.767207
1355872676988,1355878,1398519510884,-1.8681152,5.8725877,5.767207
1355882677988,1355882,1398519510888,-1.8681152,5.8725877,5.767207
1355892688988,1355897,1398519510903,-1.8681152,5.8725877,5.767207
1355902671988,1355902,1398519510908,-1.8681152,5.8725877,5.767207
1355912697988,1355912,1398519510918,-1.8681152,5.8725877,5.767207
1355922671988,1355923,1398519510929,-1.8681152,5.8725877,5.767207
1355932769988,1355933,1398519510939,-1.8681152,5.8725877,5.767207
