Index,Arrival_Time,Creation_Time,x,y,z
10,1398347018283,1398347018283,-0.722009,9.785926,-1.082794,
20,1398347018293,1398347018293,-0.729322,9.776669,-1.091828,
30,1398347018303,1398347018303,-0.732950,9.782205,-1.082679,
40,1398347018313,1398347018313,-0.727329,9.763894,-1.082577,
50,1398347018323,1398347018323,-0.718202,9.765773,-1.082663,
60,1398347018333,1398347018333,-0.725707,9.780343,-1.093719,
70,1398347018343,1398347018343,-0.729198,9.784142,-1.068059,
80,1398347018353,1398347018353,-0.729294,9.787755,-1.077252,
90,1398347018363,1398347018363,-0.714600,9.773126,-1.082750,
100,1398347018373,1398347018373,-0.725597,9.773050,-1.086329,
110,1398347018383,1398347018383,-0.721940,9.780446,-1.079085,
120,1398347018393,1398347018393,-0.733046,9.791352,-1.086417,
130,1398347018403,1398347018403,-0.732991,9.787705,-1.082722,
140,1398347018413,1398347018413,-0.732882,9.780414,-1.075333,
150,1398347018423,1398347018423,-0.734724,9.780394,-1.077151,
160,1398347018433,1398347018433,-0.721996,9.776714,-1.090053,
170,1398347018443,1398347018443,-0.721885,9.784177,-1.068117,
180,1398347018453,1398347018453,-0.714490,9.776899,-1.064451,
190,1398347018463,1398347018463,-0.727342,9.773106,-1.075318,
200,1398347018473,1398347018473,-0.729144,9.765740,-1.078911,
210,1398347018483,1398347018483,-0.729198,9.784142,-1.068059,
220,1398347018493,1398347018493,-0.720112,9.774921,-1.084554,
230,1398347018503,1398347018503,-0.734614,9.773101,-1.069762,
240,1398347018513,1398347018513,-0.734683,9.776737,-1.075289,
250,1398347018523,1398347018523,-0.732964,9.791415,-1.075420,
260,1398347018533,1398347018533,-0.721914,9.767556,-1.088147,
270,1398347018543,1398347018543,-0.718174,9.776860,-1.068087,
280,1398347018553,1398347018553,-0.727383,9.780451,-1.073543,
290,1398347018563,1398347018563,-0.727494,9.772988,-1.095479,
300,1398347018573,1398347018573,-0.732909,9.784081,-1.075362,
310,1398347018583,1398347018583,-0.732840,9.778601,-1.071653,
320,1398347018593,1398347018593,-0.721858,9.773132,-1.075361,
330,1398347018603,1398347018603,-0.718271,9.773097,-1.084554,
340,1398347018613,1398347018613,-0.730917,9.767618,-1.069747,
350,1398347018623,1398347018623,-0.721845,9.760232,-1.086257,
360,1398347018633,1398347018633,-0.734710,9.784093,-1.071682,
370,1398347018643,1398347018643,-0.729307,9.791433,-1.075449,
380,1398347018653,1398347018653,-0.721995,9.782248,-1.084598,
390,1398347018663,1398347018663,-0.723659,9.769456,-1.075318,
400,1398347018673,1398347018673,-0.723837,9.784073,-1.084598,
410,1398347018683,1398347018683,-0.734861,9.791353,-1.084569,
420,1398347018693,1398347018693,-0.725597,9.776739,-1.082693,
430,1398347018703,1398347018703,-0.718284,9.773087,-1.086387,
440,1398347018713,1398347018713,-0.729295,9.767467,-1.097254,
450,1398347018723,1398347018723,-0.720264,9.780338,-1.099260,
460,1398347018733,1398347018733,-0.729321,9.787734,-1.080918,
470,1398347018743,1398347018743,-0.707274,9.767639,-1.086430,
480,1398347018753,1398347018753,-0.721940,9.787824,-1.071811,
490,1398347018763,1398347018763,-0.714491,9.760300,-1.080816,
500,1398347018773,1398347018773,-0.729239,9.782265,-1.075376,
510,1398347018783,1398347018783,-0.725555,9.778615,-1.075376,
520,1398347018793,1398347018793,-0.725569,9.773071,-1.082664,
530,1398347018803,1398347018803,-0.719947,9.780582,-1.057105,
540,1398347018813,1398347018813,-0.732922,9.793292,-1.068103,
550,1398347018823,1398347018823,-0.725652,9.780385,-1.086387,
560,1398347018833,1398347018833,-0.720084,9.780476,-1.075433,
570,1398347018843,1398347018843,-0.729239,9.782265,-1.075376,
580,1398347018853,1398347018853,-0.740359,9.795005,-1.082722,
590,1398347018863,1398347018863,-0.729322,9.784045,-1.084555,
600,1398347018873,1398347018873,-0.721844,9.778676,-1.068073,
610,1398347018883,1398347018883,-0.720112,9.787832,-1.071826,
620,1398347018893,1398347018893,-0.716443,9.763885,-1.093660,
630,1398347018903,1398347018903,-0.721858,9.769444,-1.078998,
640,1398347018913,1398347018913,-0.732909,9.780392,-1.078998,
650,1398347018923,1398347018923,-0.725569,9.784138,-1.071754,
660,1398347018933,1398347018933,-0.729322,9.776669,-1.091828,
670,1398347018943,1398347018943,-0.729280,9.787766,-1.075419,
680,1398347018953,1398347018953,-0.727507,9.791421,-1.079129,
690,1398347018963,1398347018963,-0.727424,9.784107,-1.075405,
700,1398347018973,1398347018973,-0.743851,9.776670,-1.078883,
710,1398347018983,1398347018983,-0.710903,9.765798,-1.084553,
720,1398347018993,1398347018993,-0.725583,9.778594,-1.079041,
730,1398347019003,1398347019003,-0.732964,9.780350,-1.086330,
740,1398347019013,1398347019013,-0.721940,9.780446,-1.079085,
750,1398347019023,1398347019023,-0.727479,9.791443,-1.075463,
760,1398347019033,1398347019033,-0.729459,9.782095,-1.104701,
770,1398347019043,1398347019043,-0.718229,9.776817,-1.075419,
780,1398347019053,1398347019053,-0.718367,9.780400,-1.090110,
790,1398347019063,1398347019063,-0.720126,9.782289,-1.079114,
800,1398347019073,1398347019073,-0.745706,9.780329,-1.078898,
810,1398347019083,1398347019083,-0.744015,9.794987,-1.082694,
820,1398347019093,1398347019093,-0.733006,9.778473,-1.093647,
830,1398347019103,1398347019103,-0.721859,9.762066,-1.086271,
840,1398347019113,1398347019113,-0.729267,9.778555,-1.082678,
850,1398347019123,1398347019123,-0.721940,9.787824,-1.071811,
860,1398347019133,1398347019133,-0.725623,9.791472,-1.071812,
870,1398347019143,1398347019143,-0.725651,9.789607,-1.077296,
880,1398347019153,1398347019153,-0.720099,9.773088,-1.084540,
890,1398347019163,1398347019163,-0.718189,9.760250,-1.086285,
900,1398347019173,1398347019173,-0.721845,9.754700,-1.091712,
910,1398347019183,1398347019183,-0.732937,9.780371,-1.082664,
920,1398347019193,1398347019193,-0.725596,9.784117,-1.075419,
930,1398347019203,1398347019203,-0.736633,9.795075,-1.073587,
940,1398347019213,1398347019213,-0.729115,9.776828,-1.064336,
950,1398347019223,1398347019223,-0.725515,9.758359,-1.089879,
960,1398347019233,1398347019233,-0.720181,9.784090,-1.084627,
970,1398347019243,1398347019243,-0.710848,9.767685,-1.075404,
980,1398347019253,1398347019253,-0.718285,9.765709,-1.093660,
990,1398347019263,1398347019263,-0.720140,9.776745,-1.086401,
1000,1398347019273,1398347019273,-0.725529,9.765726,-1.084438,
1010,1398347019283,1398347019283,-0.729363,9.784014,-1.090053,
1020,1398347019293,1398347019293,-0.721858,9.769444,-1.078998,
1030,1398347019303,1398347019303,-0.723714,9.773102,-1.079012,
1040,1398347019313,1398347019313,-0.729171,9.773096,-1.075304,
1050,1398347019323,1398347019323,-0.721981,9.784102,-1.080946,
1060,1398347019333,1398347019333,-0.725666,9.776686,-1.091857,
1070,1398347019343,1398347019343,-0.732908,9.791458,-1.068088,
1080,1398347019353,1398347019353,-0.729253,9.784099,-1.075390,
1090,1398347019363,1398347019363,-0.732977,9.793249,-1.075434,
1100,1398347019373,1398347019373,-0.725624,9.776718,-1.086358,
1110,1398347019383,1398347019383,-0.729239,9.780420,-1.077194,
1120,1398347019393,1398347019393,-0.718257,9.773108,-1.082721,
1130,1398347019403,1398347019403,-0.710945,9.765766,-1.090052,
1140,1398347019413,1398347019413,-0.725596,9.787806,-1.071783,
1150,1398347019423,1398347019423,-0.736579,9.791430,-1.069892,
1160,1398347019433,1398347019433,-0.732964,9.791415,-1.075420,
1170,1398347019443,1398347019443,-0.743960,9.787652,-1.082636,
1180,1398347019453,1398347019453,-0.714560,9.765780,-1.084525,
1190,1398347019463,1398347019463,-0.714601,9.765748,-1.090023,
1200,1398347019473,1398347019473,-0.725487,9.776824,-1.068030,
1210,1398347019483,1398347019483,-0.729335,9.787724,-1.082751,
1220,1398347019493,1398347019493,-0.718449,9.789558,-1.092016,
1230,1398347019503,1398347019503,-0.725583,9.778594,-1.079041,
1240,1398347019513,1398347019513,-0.718107,9.752936,-1.082562,
1250,1398347019523,1398347019523,-0.721858,9.773132,-1.075361,
1260,1398347019533,1398347019533,-0.738463,9.782156,-1.086301,
1270,1398347019543,1398347019543,-0.743892,9.784017,-1.077108,
1280,1398347019553,1398347019553,-0.743932,9.795051,-1.071697,
1290,1398347019563,1398347019563,-0.721885,9.776799,-1.075390,
1300,1398347019573,1398347019573,-0.732840,9.778601,-1.071653,
1310,1398347019583,1398347019583,-0.718284,9.780464,-1.079113,
1320,1398347019593,1398347019593,-0.716510,9.787807,-1.079186,
1330,1398347019603,1398347019603,-0.725610,9.780417,-1.080889,
1340,1398347019613,1398347019613,-0.727343,9.769417,-1.078955,
1350,1398347019623,1398347019623,-0.719975,9.762117,-1.078954,
1360,1398347019633,1398347019633,-0.729198,9.784142,-1.068059,
1370,1398347019643,1398347019643,-0.727453,9.776709,-1.086344,
1380,1398347019653,1398347019653,-0.722050,9.780361,-1.093747,
1390,1398347019663,1398347019663,-0.743891,9.793238,-1.068017,
1400,1398347019673,1398347019673,-0.723741,9.776770,-1.079041,
1410,1398347019683,1398347019683,-0.718257,9.776796,-1.079085,
1420,1398347019693,1398347019693,-0.732923,9.785914,-1.075376,
1430,1398347019703,1398347019703,-0.723713,9.780479,-1.071739,
1440,1398347019713,1398347019713,-0.736634,9.791387,-1.077224,
1450,1398347019723,1398347019723,-0.729252,9.787787,-1.071754,
1460,1398347019733,1398347019733,-0.725569,9.780449,-1.075390,
1470,1398347019743,1398347019743,-0.720168,9.773035,-1.093704,
1480,1398347019753,1398347019753,-0.720126,9.784133,-1.077295,
1490,1398347019763,1398347019763,-0.729088,9.773160,-1.064306,
1500,1398347019773,1398347019773,-0.725405,9.758445,-1.075216,
1510,1398347019783,1398347019783,-0.734683,9.773048,-1.078926,
1520,1398347019793,1398347019793,-0.721968,9.776736,-1.086387,
1530,1398347019803,1398347019803,-0.736538,9.787773,-1.068031,
1540,1398347019813,1398347019813,-0.725597,9.773050,-1.086329,
1550,1398347019823,1398347019823,-0.736607,9.784031,-1.080831,
1560,1398347019833,1398347019833,-0.721872,9.769433,-1.080831,
1570,1398347019843,1398347019843,-0.718188,9.767628,-1.079012,
1580,1398347019853,1398347019853,-0.714683,9.780439,-1.086474,
1590,1398347019863,1398347019863,-0.729294,9.784067,-1.080889,
1600,1398347019873,1398347019873,-0.725542,9.773093,-1.078998,
1610,1398347019883,1398347019883,-0.729308,9.780368,-1.086358,
1620,1398347019893,1398347019893,-0.732785,9.780488,-1.062503,
1630,1398347019903,1398347019903,-0.727452,9.787775,-1.075434,
1640,1398347019913,1398347019913,-0.732854,9.782279,-1.069849,
1650,1398347019923,1398347019923,-0.732799,9.776789,-1.067972,
1660,1398347019933,1398347019933,-0.732772,9.773121,-1.067943,
1670,1398347019943,1398347019943,-0.725487,9.776824,-1.068030,
1680,1398347019953,1398347019953,-0.714573,9.769458,-1.082721,
1690,1398347019963,1398347019963,-0.736565,9.787751,-1.071696,
1700,1398347019973,1398347019973,-0.721912,9.787845,-1.068146,
1710,1398347019983,1398347019983,-0.721940,9.784135,-1.075448,
1720,1398347019993,1398347019993,-0.734764,9.787739,-1.075376,
1730,1398347020003,1398347020003,-0.727507,9.787732,-1.082765,
1740,1398347020013,1398347020013,-0.740304,9.791358,-1.079028,
1750,1398347020023,1398347020023,-0.729280,9.780389,-1.082693,
1760,1398347020033,1398347020033,-0.716402,9.762072,-1.089980,
1770,1398347020043,1398347020043,-0.732771,9.780499,-1.060670,
1780,1398347020053,1398347020053,-0.723631,9.773166,-1.068015,
1790,1398347020063,1398347020063,-0.727480,9.780376,-1.086373,
1800,1398347020073,1398347020073,-0.732881,9.787790,-1.068059,
1810,1398347020083,1398347020083,-0.736621,9.774798,-1.091756,
1820,1398347020093,1398347020093,-0.729280,9.784078,-1.079056,
1830,1398347020103,1398347020103,-0.732909,9.787769,-1.071725,
1840,1398347020113,1398347020113,-0.725569,9.784138,-1.071754,
1850,1398347020123,1398347020123,-0.721940,9.787824,-1.071811,
1860,1398347020133,1398347020133,-0.732854,9.776746,-1.075304,
1870,1398347020143,1398347020143,-0.732895,9.785935,-1.071711,
1880,1398347020153,1398347020153,-0.721899,9.774944,-1.079041,
1890,1398347020163,1398347020163,-0.742105,9.783994,-1.082621,
1900,1398347020173,1398347020173,-0.736689,9.785811,-1.090010,
1910,1398347020183,1398347020183,-0.711013,9.774935,-1.090124,
1920,1398347020193,1398347020193,-0.722037,9.778527,-1.093733,
1930,1398347020203,1398347020203,-0.736538,9.776707,-1.078941,
1940,1398347020213,1398347020213,-0.732951,9.780360,-1.084497,
1950,1398347020223,1398347020223,-0.718174,9.769483,-1.075361,
1960,1398347020233,1398347020233,-0.720058,9.762053,-1.089951,
1970,1398347020243,1398347020243,-0.736510,9.782261,-1.069820,
1980,1398347020253,1398347020253,-0.732937,9.780371,-1.082664,
1990,1398347020263,1398347020263,-0.727356,9.782316,-1.068059,
2000,1398347020273,1398347020273,-0.736455,9.780459,-1.064307,
2010,1398347020283,1398347020283,-0.732744,9.784208,-1.053368,
2020,1398347020293,1398347020293,-0.725651,9.787763,-1.079114,
2030,1398347020303,1398347020303,-0.732840,9.789667,-1.060743,
2040,1398347020313,1398347020313,-0.714669,9.782294,-1.082822,
2050,1398347020323,1398347020323,-0.718326,9.774899,-1.090067,
2060,1398347020333,1398347020333,-0.718188,9.769472,-1.077194,
2070,1398347020343,1398347020343,-0.736565,9.784062,-1.075333,
2080,1398347020353,1398347020353,-0.721831,9.769464,-1.075332,
2090,1398347020363,1398347020363,-0.729390,9.783993,-1.093719,
2100,1398347020373,1398347020373,-0.729185,9.765708,-1.084410,
2110,1398347020383,1398347020383,-0.725542,9.773093,-1.078998,
2120,1398347020393,1398347020393,-0.736592,9.793263,-1.069907,
2130,1398347020403,1398347020403,-0.734737,9.780383,-1.078984,
2140,1398347020413,1398347020413,-0.721914,9.765712,-1.089966,
2150,1398347020423,1398347020423,-0.714573,9.773147,-1.079084,
2160,1398347020433,1398347020433,-0.736621,9.776643,-1.089938,
2170,1398347020443,1398347020443,-0.729363,9.787703,-1.086416,
2180,1398347020453,1398347020453,-0.721859,9.765755,-1.082634,
2190,1398347020463,1398347020463,-0.729129,9.774973,-1.067987,
2200,1398347020473,1398347020473,-0.740070,9.782317,-1.056961,
2210,1398347020483,1398347020483,-0.712718,9.762111,-1.086343,
2220,1398347020493,1398347020493,-0.712772,9.780512,-1.075491,
2230,1398347020503,1398347020503,-0.727467,9.773009,-1.091813,
2240,1398347020513,1398347020513,-0.732881,9.784101,-1.071696,
2250,1398347020523,1398347020523,-0.714559,9.767625,-1.082706,
2260,1398347020533,1398347020533,-0.725514,9.776803,-1.071696,
2270,1398347020543,1398347020543,-0.718380,9.785922,-1.086488,
2280,1398347020553,1398347020553,-0.714724,9.778563,-1.093790,
2290,1398347020563,1398347020563,-0.734683,9.765671,-1.086199,
2300,1398347020573,1398347020573,-0.729184,9.774930,-1.075318,
2310,1398347020583,1398347020583,-0.723659,9.769456,-1.075318,
2320,1398347020593,1398347020593,-0.725624,9.784096,-1.079085,
2330,1398347020603,1398347020603,-0.725529,9.765726,-1.084438,
2340,1398347020613,1398347020613,-0.729253,9.784099,-1.075390,
2350,1398347020623,1398347020623,-0.729253,9.776721,-1.082664,
2360,1398347020633,1398347020633,-0.714518,9.762123,-1.082663,
2370,1398347020643,1398347020643,-0.732923,9.784070,-1.077195,
2380,1398347020653,1398347020653,-0.732854,9.776746,-1.075304,
2390,1398347020663,1398347020663,-0.734902,9.787633,-1.093705,
2400,1398347020673,1398347020673,-0.725432,9.769489,-1.067972,
2410,1398347020683,1398347020683,-0.714669,9.773072,-1.091914,
2420,1398347020693,1398347020693,-0.740222,9.784045,-1.075304,
2430,1398347020703,1398347020703,-0.714532,9.762113,-1.084496,
2440,1398347020713,1398347020713,-0.716333,9.760281,-1.082634,
2450,1398347020723,1398347020723,-0.729170,9.780474,-1.068030,
2460,1398347020733,1398347020733,-0.722050,9.793271,-1.081019,
2470,1398347020743,1398347020743,-0.729212,9.778598,-1.075347,
2480,1398347020753,1398347020753,-0.734820,9.784008,-1.086344,
2490,1398347020763,1398347020763,-0.740208,9.774834,-1.082563,
2500,1398347020773,1398347020773,-0.729294,9.782223,-1.082707,
2510,1398347020783,1398347020783,-0.751382,9.802286,-1.082694,
2520,1398347020793,1398347020793,-0.734737,9.784072,-1.075347,
2530,1398347020803,1398347020803,-0.729239,9.774887,-1.082649,
2540,1398347020813,1398347020813,-0.718188,9.776850,-1.069920,
2550,1398347020823,1398347020823,-0.732895,9.782247,-1.075347,
2560,1398347020833,1398347020833,-0.720072,9.767576,-1.086329,
2570,1398347020843,1398347020843,-0.734793,9.776651,-1.089952,
2580,1398347020853,1398347020853,-0.738393,9.784054,-1.075319,
2590,1398347020863,1398347020863,-0.710889,9.780563,-1.068174,
2600,1398347020873,1398347020873,-0.721899,9.782322,-1.071768,
2610,1398347020883,1398347020883,-0.720098,9.782310,-1.075448,
2620,1398347020893,1398347020893,-0.714532,9.769490,-1.077222,
2630,1398347020903,1398347020903,-0.725514,9.780492,-1.068059,
2640,1398347020913,1398347020913,-0.740249,9.780334,-1.082607,
2650,1398347020923,1398347020923,-0.729321,9.793267,-1.075463,
2660,1398347020933,1398347020933,-0.740208,9.787745,-1.069835,
2670,1398347020943,1398347020943,-0.738407,9.782199,-1.078970,
2680,1398347020953,1398347020953,-0.729225,9.784120,-1.071725,
2690,1398347020963,1398347020963,-0.736566,9.776686,-1.082606,
2700,1398347020973,1398347020973,-0.725583,9.780438,-1.077223,
2710,1398347020983,1398347020983,-0.736538,9.774862,-1.080759,
2720,1398347020993,1398347020993,-0.714629,9.765727,-1.093689,
2730,1398347021003,1398347021003,-0.732799,9.776789,-1.067972,
2740,1398347021013,1398347021013,-0.716456,9.780473,-1.079128,
2750,1398347021023,1398347021023,-0.729281,9.776700,-1.086329,
2760,1398347021033,1398347021033,-0.721900,9.769412,-1.084496,
2770,1398347021043,1398347021043,-0.725569,9.776760,-1.079027,
2780,1398347021053,1398347021053,-0.729225,9.780431,-1.075361,
2790,1398347021063,1398347021063,-0.725446,9.763946,-1.075260,
2800,1398347021073,1398347021073,-0.729185,9.767552,-1.082591,
2810,1398347021083,1398347021083,-0.721954,9.776747,-1.084554,
2820,1398347021093,1398347021093,-0.725706,9.791409,-1.082808,
2830,1398347021103,1398347021103,-0.719781,9.780710,-1.035111,
2840,1398347021113,1398347021113,-0.714532,9.763957,-1.082677,
2850,1398347021123,1398347021123,-0.723879,9.780352,-1.093733,
2860,1398347021133,1398347021133,-0.732895,9.789624,-1.068074,
2870,1398347021143,1398347021143,-0.743836,9.791436,-1.062504,
2880,1398347021153,1398347021153,-0.732936,9.787748,-1.075391,
2890,1398347021163,1398347021163,-0.732964,9.784039,-1.082693,
2900,1398347021173,1398347021173,-0.714395,9.760374,-1.067986,
2910,1398347021183,1398347021183,-0.721899,9.776789,-1.077223,
2920,1398347021193,1398347021193,-0.729171,9.773096,-1.075304,
2930,1398347021203,1398347021203,-0.742064,9.784025,-1.077123,
2940,1398347021213,1398347021213,-0.725515,9.765737,-1.082606,
2950,1398347021223,1398347021223,-0.720126,9.776755,-1.084569,
2960,1398347021233,1398347021233,-0.725624,9.787784,-1.075448,
2970,1398347021243,1398347021243,-0.712635,9.769552,-1.068073,
2980,1398347021253,1398347021253,-0.721872,9.773122,-1.077194,
2990,1398347021263,1398347021263,-0.725500,9.782347,-1.064408,
3000,1398347021273,1398347021273,-0.725596,9.791494,-1.068146,
3010,1398347021283,1398347021283,-0.727370,9.776772,-1.075347,
3020,1398347021293,1398347021293,-0.747575,9.789510,-1.075290,
3030,1398347021303,1398347021303,-0.734613,9.778634,-1.064307,
3040,1398347021313,1398347021313,-0.736538,9.780396,-1.075304,
3050,1398347021323,1398347021323,-0.740181,9.780388,-1.073442,
3060,1398347021333,1398347021333,-0.743809,9.785924,-1.064293,
3070,1398347021343,1398347021343,-0.740290,9.787681,-1.080832,
3080,1398347021353,1398347021353,-0.718394,9.787756,-1.086503,
3090,1398347021363,1398347021363,-0.723823,9.789617,-1.077310,
3100,1398347021373,1398347021373,-0.736633,9.795075,-1.073587,
3110,1398347021383,1398347021383,-0.721665,9.776970,-1.046065,
3120,1398347021393,1398347021393,-0.727314,9.780504,-1.064379,
3130,1398347021403,1398347021403,-0.721775,9.773196,-1.064364,
3140,1398347021413,1398347021413,-0.714573,9.769458,-1.082721,
3150,1398347021423,1398347021423,-0.718257,9.776796,-1.079085,
3160,1398347021433,1398347021433,-0.732813,9.774933,-1.071624,
3170,1398347021443,1398347021443,-0.734681,9.791492,-1.060743,
3180,1398347021453,1398347021453,-0.727287,9.773148,-1.067987,
3190,1398347021463,1398347021463,-0.721954,9.776747,-1.084554,
3200,1398347021473,1398347021473,-0.725556,9.773083,-1.080831,
3210,1398347021483,1398347021483,-0.723727,9.782313,-1.071754,
3220,1398347021493,1398347021493,-0.723659,9.762078,-1.082591,
3230,1398347021503,1398347021503,-0.718311,9.787820,-1.075506,
3240,1398347021513,1398347021513,-0.725529,9.765726,-1.084438,
3250,1398347021523,1398347021523,-0.721748,9.765840,-1.067972,
3260,1398347021533,1398347021533,-0.720099,9.774932,-1.082721,
3270,1398347021543,1398347021543,-0.721692,9.776949,-1.049730,
3280,1398347021553,1398347021553,-0.721790,9.758430,-1.080744,
3290,1398347021563,1398347021563,-0.725596,9.787806,-1.071783,
3300,1398347021573,1398347021573,-0.729335,9.787724,-1.082751,
3310,1398347021583,1398347021583,-0.720099,9.763866,-1.093631,
3320,1398347021593,1398347021593,-0.741994,9.787767,-1.064322,
3330,1398347021603,1398347021603,-0.725556,9.774927,-1.079012,
3340,1398347021613,1398347021613,-0.740208,9.785900,-1.071653,
3350,1398347021623,1398347021623,-0.729308,9.772990,-1.093632,
3360,1398347021633,1398347021633,-0.729226,9.776743,-1.078998,
3370,1398347021643,1398347021643,-0.725652,9.782229,-1.084569,
3380,1398347021653,1398347021653,-0.714683,9.782284,-1.084655,
3390,1398347021663,1398347021663,-0.727493,9.782210,-1.086387,
3400,1398347021673,1398347021673,-0.714600,9.776814,-1.079113,
3410,1398347021683,1398347021683,-0.725624,9.787784,-1.075448,
3420,1398347021693,1398347021693,-0.707137,9.762212,-1.073556,
3430,1398347021703,1398347021703,-0.721871,9.782343,-1.068102,
3440,1398347021713,1398347021713,-0.716402,9.765760,-1.086343,
3450,1398347021723,1398347021723,-0.747384,9.769371,-1.069632,
3460,1398347021733,1398347021733,-0.736702,9.795023,-1.082751,
3470,1398347021743,1398347021743,-0.732881,9.784101,-1.071696,
3480,1398347021753,1398347021753,-0.720140,9.780434,-1.082765,
3490,1398347021763,1398347021763,-0.716415,9.773128,-1.080903,
3500,1398347021773,1398347021773,-0.718352,9.784100,-1.084641,
3510,1398347021783,1398347021783,-0.716539,9.776720,-1.093761,
3520,1398347021793,1398347021793,-0.742050,9.787724,-1.071653,
3530,1398347021803,1398347021803,-0.734516,9.787930,-1.042385,
3540,1398347021813,1398347021813,-0.747617,9.791323,-1.078970,
3550,1398347021823,1398347021823,-0.740209,9.772989,-1.084381,
3560,1398347021833,1398347021833,-0.732855,9.769368,-1.082577,
3570,1398347021843,1398347021843,-0.729335,9.795101,-1.075477,
3580,1398347021853,1398347021853,-0.721844,9.776832,-1.069892,
3590,1398347021863,1398347021863,-0.718023,9.769600,-1.055200,
3600,1398347021873,1398347021873,-0.736566,9.780374,-1.078970,
3610,1398347021883,1398347021883,-0.725610,9.784106,-1.077252,
3620,1398347021893,1398347021893,-0.718244,9.763897,-1.089980,
3630,1398347021903,1398347021903,-0.725610,9.780417,-1.080889,
3640,1398347021913,1398347021913,-0.729198,9.773075,-1.078969,
3650,1398347021923,1398347021923,-0.718216,9.765762,-1.084496,
3660,1398347021933,1398347021933,-0.729225,9.784120,-1.071725,
3670,1398347021943,1398347021943,-0.721816,9.776853,-1.066226,
3680,1398347021953,1398347021953,-0.721871,9.780499,-1.069921,
3690,1398347021963,1398347021963,-0.736579,9.782207,-1.078984,
3700,1398347021973,1398347021973,-0.725432,9.769489,-1.067972,
3710,1398347021983,1398347021983,-0.740277,9.787691,-1.078999,
3720,1398347021993,1398347021993,-0.734627,9.774935,-1.069776,
3730,1398347022003,1398347022003,-0.747548,9.782154,-1.078898,
3740,1398347022013,1398347022013,-0.729198,9.773075,-1.078969,
3750,1398347022023,1398347022023,-0.721789,9.776874,-1.062560,
3760,1398347022033,1398347022033,-0.729143,9.776806,-1.068001,
