Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3796091038000,3796091,1398520049737,0.06703765,-0.08499416,-10.290278
3796101048000,3796101,1398520049747,0.055066638,-0.088585466,-10.269928
3796111088000,3796111,1398520049757,0.05865794,-0.110133275,-10.259154
3796121098000,3796121,1398520049767,0.04189853,-0.11372458,-10.2735195
3796131077000,3796131,1398520049777,0.038307227,-0.08259996,-10.269928
3796141117000,3796141,1398520049787,0.044292733,-0.08619126,-10.29387
3796151036000,3796151,1398520049797,0.04070143,-0.09816227,-10.278308
3796161045000,3796161,1398520049807,0.05746084,-0.10175357,-10.289082
3796171055000,3796171,1398520049817,0.059855044,-0.09816227,-10.281899
3796181095000,3796181,1398520049827,0.05746084,-0.09816227,-10.274716
3796191044000,3796191,1398520049837,0.045489833,-0.10654198,-10.287885
3796201084000,3796201,1398520049847,0.062249243,-0.10055647,-10.266336
3796211003000,3796211,1398520049857,0.045489833,-0.107739076,-10.267534
3796221134000,3796221,1398520049867,0.045489833,-0.107739076,-10.267534
3796231083000,3796231,1398520049877,0.05865794,-0.088585466,-10.275913
3796241093000,3796241,1398520049887,0.050278235,-0.10055647,-10.269928
3796251103000,3796251,1398520049897,0.05626374,-0.08140286,-10.275913
3796261143000,3796261,1398520049907,0.07062895,-0.08738836,-10.281899
3796271061000,3796271,1398520049917,0.06344634,-0.11372458,-10.279505
3796282048000,3796282,1398520049928,0.055066638,-0.092176765,-10.272323
3796291081000,3796291,1398520049937,0.050278235,-0.10534488,-10.262746
3796301090000,3796301,1398520049947,0.059855044,-0.10654198,-10.280702
3796311131000,3796311,1398520049957,0.051475335,-0.08020575,-10.290278
3796321079000,3796321,1398520049967,0.049081136,-0.094570965,-10.278308
3796331028000,3796331,1398520049977,0.053869538,-0.09935937,-10.267534
3796341038000,3796341,1398520049987,0.049081136,-0.12090719,-10.283096
3796351078000,3796351,1398520049997,0.061052144,-0.11133038,-10.283096
3796361119000,3796361,1398520050007,0.061052144,-0.11133038,-10.283096
3796371067000,3796371,1398520050017,0.038307227,-0.12090719,-10.277111
3796381108000,3796381,1398520050027,0.044292733,-0.10295067,-10.262746
3796391056000,3796391,1398520050037,0.06584055,-0.10414778,-10.283096
3796401127000,3796401,1398520050047,0.079008654,-0.10414778,-10.25676
3796411045000,3796411,1398520050057,0.049081136,-0.11492168,-10.280702
3796421116000,3796421,1398520050067,0.045489833,-0.1328782,-10.275913
3796431034000,3796431,1398520050077,0.06823475,-0.10414778,-10.261548
3796441105000,3796441,1398520050087,0.053869538,-0.094570965,-10.263943
3796451023000,3796451,1398520050097,0.04309563,-0.10175357,-10.259154
3796461094000,3796461,1398520050107,0.05267244,-0.089782566,-10.255563
3796471043000,3796471,1398520050117,0.050278235,-0.10654198,-10.283096
3796481114000,3796481,1398520050127,0.05746084,-0.10295067,-10.278308
3796491062000,3796491,1398520050137,0.061052144,-0.09696517,-10.2735195
3796501103000,3796501,1398520050147,0.061052144,-0.09696517,-10.2735195
3796511021000,3796511,1398520050157,0.035913024,-0.094570965,-10.263943
3796521092000,3796521,1398520050167,0.05267244,-0.10534488,-10.26514
3796531101000,3796531,1398520050177,0.05746084,-0.108936176,-10.2735195
3796541142000,3796541,1398520050187,0.034715924,-0.10055647,-10.251971
3796551060000,3796551,1398520050197,0.059855044,-0.10654198,-10.280702
3796561070000,3796561,1398520050207,0.06344634,-0.08020575,-10.26514
3796571049000,3796571,1398520050217,0.05267244,-0.090979666,-10.290278
3796581089000,3796581,1398520050227,0.061052144,-0.10175357,-10.2974615
3796591068000,3796591,1398520050237,0.06823475,-0.108936176,-10.2735195
3796601109000,3796601,1398520050247,0.075417355,-0.090979666,-10.292673
3796611027000,3796611,1398520050257,0.062249243,-0.1340753,-10.277111
3796621067000,3796621,1398520050267,0.04189853,-0.11492168,-10.274716
3796631016000,3796631,1398520050277,0.04189853,-0.11492168,-10.274716
3796641056000,3796641,1398520050287,0.05267244,-0.11133038,-10.267534
3796651066000,3796651,1398520050297,0.053869538,-0.11252748,-10.277111
3796662419000,3796664,1398520050310,0.046686932,-0.107739076,-10.283096
3796670994000,3796671,1398520050317,0.045489833,-0.09816227,-10.263943
3796681065000,3796681,1398520050327,0.033518825,-0.110133275,-10.271125
3796691624000,3796692,1398520050338,0.04309563,-0.107739076,-10.29387
3796701359000,3796701,1398520050347,0.055066638,-0.10654198,-10.251971
3796711125000,3796711,1398520050357,0.05267244,-0.110133275,-10.254366
3796721226000,3796721,1398520050367,0.039504327,-0.11492168,-10.283096
3796731053000,3796731,1398520050377,0.05267244,-0.11731588,-10.29387
3796741123000,3796741,1398520050387,0.04309563,-0.11133038,-10.268731
3796751072000,3796751,1398520050397,0.05865794,-0.11851298,-10.274716
3796761112000,3796761,1398520050407,0.07062895,-0.110133275,-10.262746
3796771061000,3796771,1398520050417,0.07062895,-0.110133275,-10.262746
3796781162000,3796781,1398520050427,0.077811554,-0.10175357,-10.253169
3796791050000,3796791,1398520050437,0.049081136,-0.09816227,-10.263943
3796801060000,3796801,1398520050447,0.049081136,-0.09816227,-10.250774
3796811100000,3796811,1398520050457,0.05267244,-0.10175357,-10.241198
3796821079000,3796821,1398520050467,0.045489833,-0.1328782,-10.251971
3796831059000,3796831,1398520050477,0.06344634,-0.09935937,-10.26514
3796841069000,3796841,1398520050487,0.049081136,-0.094570965,-10.283096
3796851078000,3796851,1398520050497,0.051475335,-0.11252748,-10.255563
3796861088000,3796861,1398520050507,0.05865794,-0.089782566,-10.244789
3796871098000,3796871,1398520050517,0.033518825,-0.11133038,-10.251971
3796881077000,3796881,1398520050527,0.047884032,-0.107739076,-10.245986
3796891087000,3796891,1398520050537,0.03232172,-0.09696517,-10.290278
3796901066000,3796901,1398520050547,0.044292733,-0.10295067,-10.281899
3796911076000,3796911,1398520050557,0.044292733,-0.10295067,-10.281899
3796921086000,3796921,1398520050567,0.059855044,-0.108936176,-10.277111
3796931065000,3796931,1398520050577,0.046686932,-0.11372458,-10.283096
3796941105000,3796941,1398520050587,0.055066638,-0.107739076,-10.266336
3796951084000,3796952,1398520050599,0.05746084,-0.110133275,-10.262746
3796961094000,3796961,1398520050607,0.049081136,-0.11731588,-10.254366
3796971073000,3796971,1398520050617,0.053869538,-0.108936176,-10.263943
3796981144000,3796981,1398520050627,0.06703765,-0.11133038,-10.279505
3796991154000,3796991,1398520050637,0.053869538,-0.12330139,-10.271125
3797001103000,3797001,1398520050647,0.062249243,-0.12689269,-10.274716
3797011051000,3797011,1398520050657,0.053869538,-0.11731588,-10.275913
3797021092000,3797021,1398520050667,0.038307227,-0.108936176,-10.253169
3797031986000,3797032,1398520050678,0.04070143,-0.090979666,-10.2735195
3797041050000,3797041,1398520050687,0.04070143,-0.090979666,-10.2735195
3797051152000,3797051,1398520050697,0.050278235,-0.10654198,-10.275913
3797061070000,3797061,1398520050707,0.05626374,-0.11252748,-10.279505
3797071202000,3797071,1398520050717,0.062249243,-0.08619126,-10.261548
3797081089000,3797081,1398520050727,0.053869538,-0.11731588,-10.284293
3797091160000,3797091,1398520050737,0.051475335,-0.09935937,-10.289082
3797101109000,3797101,1398520050747,0.05626374,-0.09816227,-10.283096
3797111058000,3797111,1398520050757,0.047884032,-0.11372458,-10.255563
3797121037000,3797121,1398520050767,0.059855044,-0.090979666,-10.272323
3797131047000,3797131,1398520050777,0.053869538,-0.090979666,-10.291476
3797141239000,3797141,1398520050787,0.049081136,-0.10295067,-10.279505
3797151066000,3797160,1398520050806,0.049081136,-0.110133275,-10.234015
3797171055000,3797171,1398520050817,0.051475335,-0.10654198,-10.26514
3797181095000,3797181,1398520050827,0.051475335,-0.10654198,-10.26514
3797191044000,3797191,1398520050837,0.051475335,-0.10055647,-10.257957
3797201115000,3797201,1398520050847,0.046686932,-0.10055647,-10.268731
3797211033000,3797211,1398520050857,0.06344634,-0.12449849,-10.274716
3797221104000,3797221,1398520050867,0.073023155,-0.10534488,-10.263943
3797231053000,3797231,1398520050877,0.07062895,-0.11372458,-10.243592
3797241062000,3797241,1398520050887,0.05626374,-0.092176765,-10.272323
3797251164000,3797251,1398520050897,0.05267244,-0.093373865,-10.279505
3797261082000,3797261,1398520050907,0.047884032,-0.094570965,-10.286688
3797271061000,3797271,1398520050917,0.061052144,-0.093373865,-10.255563
3797281101000,3797281,1398520050927,0.050278235,-0.10654198,-10.268731
3797291111000,3797291,1398520050937,0.038307227,-0.11372458,-10.280702
3797301152000,3797301,1398520050947,0.06823475,-0.10055647,-10.2735195
3797311131000,3797311,1398520050957,0.05626374,-0.11611878,-10.271125
3797321171000,3797321,1398520050967,0.05626374,-0.11611878,-10.271125
3797331089000,3797331,1398520050977,0.04070143,-0.11133038,-10.272323
3797341130000,3797341,1398520050987,0.06703765,-0.107739076,-10.283096
3797351109000,3797351,1398520050997,0.049081136,-0.12330139,-10.279505
3797361149000,3797361,1398520051007,0.045489833,-0.09696517,-10.269928
3797371098000,3797371,1398520051017,0.04309563,-0.090979666,-10.271125
3797381077000,3797381,1398520051027,0.046686932,-0.094570965,-10.292673
3797391056000,3797391,1398520051037,0.049081136,-0.11372458,-10.286688
3797401066000,3797401,1398520051047,0.050278235,-0.088585466,-10.280702
3797411076000,3797411,1398520051057,0.044292733,-0.09816227,-10.289082
3797421116000,3797421,1398520051067,0.044292733,-0.12449849,-10.283096
3797431065000,3797431,1398520051077,0.045489833,-0.11372458,-10.277111
3797441075000,3797441,1398520051087,0.05267244,-0.10654198,-10.268731
3797451054000,3797451,1398520051097,0.05267244,-0.10654198,-10.268731
3797461094000,3797461,1398520051107,0.04070143,-0.093373865,-10.279505
3797471043000,3797471,1398520051117,0.055066638,-0.10534488,-10.277111
3797481114000,3797481,1398520051127,0.07062895,-0.09816227,-10.269928
3797491093000,3797491,1398520051137,0.05865794,-0.12808979,-10.291476
3797501103000,3797501,1398520051147,0.050278235,-0.108936176,-10.290278
3797511051000,3797511,1398520051157,0.05267244,-0.10295067,-10.272323
3797521061000,3797521,1398520051167,0.044292733,-0.11133038,-10.271125
3797531040000,3797531,1398520051177,0.061052144,-0.10295067,-10.261548
3797541081000,3797541,1398520051187,0.055066638,-0.095768064,-10.241198
3797551060000,3797551,1398520051197,0.044292733,-0.095768064,-10.255563
3797561070000,3797561,1398520051207,0.05626374,-0.110133275,-10.275913
3797571049000,3797571,1398520051217,0.045489833,-0.10654198,-10.286688
3797581059000,3797581,1398520051227,0.04070143,-0.11731588,-10.298658
3797591069000,3797591,1398520051237,0.04070143,-0.11731588,-10.298658
3797601109000,3797601,1398520051247,0.059855044,-0.11372458,-10.296265
3797611058000,3797611,1398520051257,0.049081136,-0.11372458,-10.275913
3797621128000,3797621,1398520051267,0.049081136,-0.10534488,-10.254366
3797631047000,3797631,1398520051277,0.031124622,-0.09696517,-10.287885
3797641026000,3797641,1398520051287,0.051475335,-0.11252748,-10.267534
3797651005000,3797651,1398520051297,0.059855044,-0.10534488,-10.275913
3797661076000,3797661,1398520051307,0.05626374,-0.11133038,-10.266336
3797671086000,3797671,1398520051317,0.055066638,-0.10414778,-10.262746
3797681126000,3797681,1398520051327,0.04070143,-0.09816227,-10.292673
3797691075000,3797691,1398520051337,0.04189853,-0.10654198,-10.274716
3797701054000,3797701,1398520051347,0.038307227,-0.10055647,-10.275913
3797711064000,3797711,1398520051357,0.055066638,-0.08140286,-10.275913
3797721073000,3797721,1398520051367,0.038307227,-0.090979666,-10.26514
3797731083000,3797731,1398520051377,0.038307227,-0.090979666,-10.26514
3797741093000,3797741,1398520051387,0.04070143,-0.08619126,-10.271125
3797751042000,3797751,1398520051397,0.059855044,-0.094570965,-10.29387
3797761021000,3797761,1398520051407,0.04309563,-0.09696517,-10.271125
3797771031000,3797771,1398520051417,0.04189853,-0.09935937,-10.287885
3797781101000,3797781,1398520051427,0.046686932,-0.09816227,-10.262746
3797791081000,3797791,1398520051437,0.037110128,-0.09816227,-10.268731
3797801090000,3797801,1398520051447,0.050278235,-0.10295067,-10.271125
3797811070000,3797811,1398520051457,0.027533319,-0.11731588,-10.274716
3797821049000,3797821,1398520051467,0.045489833,-0.11492168,-10.279505
3797831028000,3797831,1398520051477,0.055066638,-0.11611878,-10.261548
3797841038000,3797841,1398520051487,0.055066638,-0.08619126,-10.272323
3797851048000,3797851,1398520051497,0.044292733,-0.08738836,-10.278308
3797861027000,3797861,1398520051507,0.044292733,-0.08738836,-10.278308
3797871067000,3797871,1398520051517,0.034715924,-0.095768064,-10.259154
3797881016000,3797881,1398520051527,0.045489833,-0.10414778,-10.26514
3797891056000,3797891,1398520051537,0.046686932,-0.09816227,-10.267534
3797901036000,3797901,1398520051547,0.05746084,-0.110133275,-10.280702
3797911106000,3797911,1398520051557,0.046686932,-0.1316811,-10.269928
3797921055000,3797921,1398520051567,0.05267244,-0.10295067,-10.267534
3797931065000,3797931,1398520051577,0.06584055,-0.089782566,-10.260351
3797941227000,3797941,1398520051587,0.053869538,-0.088585466,-10.260351
3797951054000,3797951,1398520051597,0.062249243,-0.11372458,-10.262746
3797961155000,3797961,1398520051607,0.053869538,-0.10654198,-10.280702
3797971318000,3797971,1398520051617,0.059855044,-0.09935937,-10.240001
3797981114000,3797981,1398520051627,0.05865794,-0.12808979,-10.275913
3797991062000,3797991,1398520051637,0.06344634,-0.110133275,-10.262746
3798001103000,3798001,1398520051647,0.06344634,-0.110133275,-10.262746
3798010990000,3798012,1398520051658,0.062249243,-0.08738836,-10.278308
3798021122000,3798021,1398520051667,0.062249243,-0.093373865,-10.251971
3798031071000,3798031,1398520051677,0.04189853,-0.09816227,-10.268731
3798041111000,3798041,1398520051687,0.046686932,-0.10295067,-10.262746
3798051029000,3798051,1398520051697,0.044292733,-0.08619126,-10.248381
3798061070000,3798061,1398520051707,0.04189853,-0.08499416,-10.244789
3798071079000,3798071,1398520051717,0.051475335,-0.10175357,-10.253169
3798081089000,3798081,1398520051727,0.05267244,-0.11133038,-10.272323
3798091038000,3798091,1398520051737,0.051475335,-0.088585466,-10.263943
3798101139000,3798101,1398520051747,0.039504327,-0.11372458,-10.253169
3798111058000,3798111,1398520051757,0.055066638,-0.11611878,-10.271125
3798121067000,3798121,1398520051767,0.06464344,-0.095768064,-10.290278
3798131077000,3798131,1398520051777,0.053869538,-0.12689269,-10.260351
3798141148000,3798141,1398520051787,0.053869538,-0.12689269,-10.260351
3798151066000,3798151,1398520051797,0.039504327,-0.107739076,-10.267534
3798161106000,3798161,1398520051807,0.047884032,-0.10654198,-10.277111
3798171055000,3798171,1398520051817,0.050278235,-0.11133038,-10.28549
3798181065000,3798181,1398520051827,0.02873042,-0.10295067,-10.269928
3798192295000,3798192,1398520051838,0.029927522,-0.108936176,-10.2735195
3798201084000,3798201,1398520051847,0.049081136,-0.11611878,-10.287885
3798211033000,3798211,1398520051857,0.049081136,-0.11731588,-10.266336
3798221104000,3798221,1398520051867,0.073023155,-0.12090719,-10.284293
3798231022000,3798231,1398520051877,0.06703765,-0.09816227,-10.2735195
3798241062000,3798241,1398520051887,0.06823475,-0.10534488,-10.279505
3798251072000,3798251,1398520051897,0.051475335,-0.108936176,-10.253169
3798261082000,3798261,1398520051907,0.06464344,-0.10055647,-10.261548
3798271061000,3798271,1398520051917,0.06464344,-0.10055647,-10.261548
3798281101000,3798281,1398520051927,0.053869538,-0.09935937,-10.260351
3798291020000,3798291,1398520051937,0.05865794,-0.107739076,-10.277111
3798301060000,3798301,1398520051947,0.05626374,-0.12689269,-10.304645
3798311009000,3798312,1398520051958,0.053869538,-0.107739076,-10.295067
3798321110000,3798321,1398520051967,0.049081136,-0.10534488,-10.278308
3798331089000,3798331,1398520051977,0.06943185,-0.12330139,-10.281899
3798341130000,3798341,1398520051987,0.062249243,-0.11971009,-10.25676
3798351048000,3798351,1398520051997,0.06943185,-0.11133038,-10.257957
3798361088000,3798361,1398520052007,0.06703765,-0.11133038,-10.263943
3798371037000,3798371,1398520052017,0.061052144,-0.10175357,-10.253169
3798381108000,3798381,1398520052027,0.06344634,-0.10175357,-10.25676
3798391056000,3798391,1398520052037,0.039504327,-0.110133275,-10.242394
3798401158000,3798401,1398520052047,0.051475335,-0.110133275,-10.277111
3798411045000,3798411,1398520052057,0.051475335,-0.110133275,-10.277111
3798421086000,3798421,1398520052067,0.038307227,-0.10295067,-10.2735195
3798431065000,3798431,1398520052077,0.06823475,-0.08379706,-10.299856
3798441136000,3798441,1398520052087,0.04309563,-0.10055647,-10.283096
3798451084000,3798451,1398520052097,0.049081136,-0.11252748,-10.266336
3798461094000,3798461,1398520052107,0.05626374,-0.11851298,-10.263943
3798471012000,3798471,1398520052117,0.046686932,-0.12090719,-10.269928
3798481144000,3798481,1398520052127,0.046686932,-0.095768064,-10.259154
3798491032000,3798491,1398520052137,0.062249243,-0.11372458,-10.260351
3798501103000,3798501,1398520052147,0.046686932,-0.11372458,-10.272323
3798511082000,3798511,1398520052157,0.06823475,-0.10414778,-10.261548
3798521092000,3798521,1398520052167,0.06703765,-0.10295067,-10.289082
3798531040000,3798531,1398520052177,0.061052144,-0.11611878,-10.269928
3798541111000,3798541,1398520052187,0.05626374,-0.093373865,-10.278308
3798550999000,3798552,1398520052198,0.05626374,-0.093373865,-10.278308
3798561100000,3798561,1398520052207,0.05746084,-0.10175357,-10.278308
3798571049000,3798571,1398520052217,0.04189853,-0.11971009,-10.261548
3798581150000,3798581,1398520052227,0.04309563,-0.10055647,-10.260351
3798591007000,3798591,1398520052237,0.04189853,-0.110133275,-10.267534
3798601078000,3798601,1398520052247,0.05267244,-0.09935937,-10.286688
