Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1894722906988,1894730,1398520049736,-1.8681152,5.8725877,5.767207
1894733030988,1894733,1398520049739,-1.8681152,5.8725877,5.767207
1894742896988,1894743,1398520049749,-1.8681152,5.8725877,5.767207
1894753048988,1894753,1398520049759,-1.8681152,5.8725877,5.767207
1894762947988,1894763,1398520049769,-1.8681152,5.8725877,5.767207
1894772939988,1894773,1398520049779,-1.8681152,5.8725877,5.767207
1894782955988,1894783,1398520049789,-1.8681152,5.8725877,5.767207
1894792978988,1894793,1398520049799,-1.8681152,5.8725877,5.767207
1894803074988,1894803,1398520049809,-1.8681152,5.8725877,5.767207
1894812904988,1894813,1398520049819,-1.8681152,5.8725877,5.767207
1894822939988,1894823,1398520049829,-1.8681152,5.8725877,5.767207
1894832900988,1894833,1398520049839,-1.8681152,5.8725877,5.767207
1894843346988,1894843,1398520049849,-1.8681152,5.8725877,5.767207
1894852987988,1894853,1398520049859,-1.8681152,5.8725877,5.767207
1894863494988,1894863,1398520049869,-1.8681152,5.8725877,5.767207
1894872970988,1894873,1398520049879,-1.8681152,5.8725877,5.767207
1894882945988,1894883,1398520049889,-1.8681152,5.8725877,5.767207
1894892933988,1894893,1398520049899,-1.8681152,5.8725877,5.767207
1894902933988,1894903,1398520049909,-1.8681152,5.8725877,5.767207
1894912925988,1894913,1398520049919,-1.8681152,5.8725877,5.767207
1894922997988,1894923,1398520049929,-1.8681152,5.8725877,5.767207
1894932901988,1894933,1398520049939,-1.8681152,5.8725877,5.767207
1894943072988,1894943,1398520049949,-1.8681152,5.8725877,5.767207
1894952948988,1894953,1398520049959,-1.8681152,5.8725877,5.767207
1894962945988,1894963,1398520049969,-1.8681152,5.8725877,5.767207
1894972988988,1894973,1398520049979,-1.8681152,5.8725877,5.767207
1894982954988,1894983,1398520049989,-1.8681152,5.8725877,5.767207
1894993003988,1894993,1398520049999,-1.8681152,5.8725877,5.767207
1895002965988,1895003,1398520050009,-1.8681152,5.8725877,5.767207
1895012946988,1895013,1398520050019,-1.8681152,5.8725877,5.767207
1895022902988,1895023,1398520050029,-1.8681152,5.8725877,5.767207
1895033288988,1895033,1398520050039,-1.8681152,5.8725877,5.767207
1895042986988,1895043,1398520050049,-1.8681152,5.8725877,5.767207
1895053504988,1895054,1398520050059,-1.8681152,5.8725877,5.767207
1895062967988,1895063,1398520050069,-1.8681152,5.8725877,5.767207
1895072926988,1895073,1398520050079,-1.8681152,5.8725877,5.767207
1895082941988,1895083,1398520050089,-1.8681152,5.8725877,5.767207
1895092933988,1895093,1398520050099,-1.8681152,5.8725877,5.767207
1895103009988,1895103,1398520050109,-1.8681152,5.8725877,5.767207
1895113000988,1895113,1398520050119,-1.8681152,5.8725877,5.767207
1895122899988,1895123,1398520050129,-1.8681152,5.8725877,5.767207
1895132988988,1895133,1398520050139,-1.8681152,5.8725877,5.767207
1895142982988,1895143,1398520050149,-1.8681152,5.8725877,5.767207
1895152936988,1895153,1398520050159,-1.8681152,5.8725877,5.767207
1895162963988,1895163,1398520050169,-1.8681152,5.8725877,5.767207
