Index,Arrival_Time,Creation_Time,x,y,z
34486,1425046680791,1073484660000,0.05207389,0.0053869537,-10.272921
34487,1425046680801,1073494527000,0.022744916,-0.01436521,-10.290877
34488,1425046680812,1073504813000,0.04369418,0.0053869537,-10.296265
34489,1425046680821,1073514420000,0.034117375,-0.016759412,-10.290877
34490,1425046680831,1073524453000,0.038905777,0.0005985504,-10.279505
34491,1425046680841,1073534310000,0.034715924,-0.03172317,-10.288484
34492,1425046680851,1073544350000,0.02813187,-0.017956512,-10.279505
34493,1425046680861,1073554203000,0.022146367,-0.011971008,-10.291476
34494,1425046680871,1073564379000,0.037708677,-0.01436521,-10.264542
34495,1425046680881,1073574100000,0.023942016,-0.008978256,-10.270527
34496,1425046680891,1073584507000,0.024540568,-0.002992752,-10.2735195
34497,1425046680901,1073594015000,0.025737667,-0.03232172,-10.295666
34498,1425046680911,1073604045000,0.038307227,-0.011372458,-10.287885
34499,1425046680921,1073613901000,0.025139118,-0.020350715,-10.276512
34500,1425046680931,1073624075000,0.038905777,-0.019752163,-10.28549
34501,1425046680941,1073633799000,0.034715924,-0.008379706,-10.251373
34502,1425046680951,1073643833000,0.050876785,0.0011971008,-10.280702
34503,1425046680961,1073653692000,0.034117375,0.007182605,-10.304046
34504,1425046680971,1073663729000,0.044891283,-0.030526072,-10.293272
34505,1425046680980,1073673585000,0.02932897,-0.034715924,-10.282497
34506,1425046680991,1073683760000,0.03232172,-0.019752163,-10.241198
34507,1425046681000,1073693487000,0.05686229,-0.009576807,-10.306439
34508,1425046681010,1073703534000,0.037110128,-0.006584055,-10.259154
34509,1425046681020,1073713386000,0.02873042,0.0047884034,-10.284892
34510,1425046681030,1073723419000,0.035913024,-0.019153614,-10.292074
34511,1425046681040,1073733273000,0.037708677,-0.018555064,-10.301053
34512,1425046681050,1073743452000,0.027533319,-0.014963761,-10.280702
34513,1425046681060,1073753174000,0.033518825,-0.039504327,-10.262147
34514,1425046681070,1073763206000,0.030526072,-0.02813187,-10.272323
34515,1425046681080,1073773060000,0.027533319,-0.010175358,-10.258555
34516,1425046681090,1073783101000,0.02932897,-0.018555064,-10.292074
34517,1425046681100,1073793014000,0.034117375,-0.018555064,-10.278308
34518,1425046681110,1073803201000,0.019153614,-0.006584055,-10.264542
34519,1425046681120,1073812903000,0.033518825,-0.019752163,-10.288484
34520,1425046681130,1073822949000,0.045489833,-0.02873042,-10.313622
34521,1425046681140,1073832799000,0.029927522,-0.023343466,-10.305243
