Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1876477538000,1876477,1398520049738,-0.019153614,-0.076614454,-9.911995
1876487694000,1876488,1398520049749,0.019153614,-0.08619126,-9.950302
1876497824000,1876500,1398520049761,0.02873042,-0.08619126,-9.950302
1876507927000,1876508,1398520049769,0.009576807,-0.047884032,-9.931149
1876518060000,1876518,1398520049779,0.009576807,-0.08619126,-9.892841
1876528128000,1876528,1398520049789,0.009576807,-0.08619126,-9.883265
1876538294000,1876538,1398520049799,-0.009576807,-0.08619126,-9.873688
1876548409000,1876551,1398520049812,0.009576807,-0.076614454,-9.921572
1876558517000,1876558,1398520049819,-0.019153614,-0.05746084,-9.911995
1876568842000,1876569,1398520049830,-0.019153614,-0.08619126,-9.911995
1876578903000,1876579,1398520049840,-0.009576807,-0.05746084,-9.902418
1876589121000,1876589,1398520049850,0.009576807,-0.06703765,-9.883265
1876599291000,1876605,1398520049866,0.019153614,-0.08619126,-9.931149
1876609441000,1876609,1398520049870,-0.019153614,-0.08619126,-9.988609
1876619690000,1876620,1398520049881,-0.019153614,-0.08619126,-9.9790325
1876629758000,1876630,1398520049891,0.019153614,-0.076614454,-9.969456
1876639966000,1876640,1398520049901,-0.019153614,-0.05746084,-9.931149
1876650196000,1876656,1398520049917,-0.019153614,-0.08619126,-9.950302
1876660407000,1876661,1398520049922,-0.009576807,-0.08619126,-9.921572
1876670470000,1876670,1398520049931,0.02873042,-0.08619126,-9.911995
1876680403000,1876680,1398520049941,-0.019153614,-0.08619126,-9.892841
1876690552000,1876690,1398520049951,-0.02873042,-0.076614454,-9.902418
1876702793000,1876704,1398520049965,-0.009576807,-0.06703765,-9.911995
1876712876000,1876713,1398520049974,-0.009576807,-0.076614454,-9.902418
1876723012000,1876723,1398520049984,0.019153614,-0.08619126,-9.902418
1876733083000,1876738,1398520049999,0.009576807,-0.076614454,-9.950302
1876743240000,1876743,1398520050004,0.009576807,-0.05746084,-9.959879
1876753419000,1876770,1398520050031,0.009576807,-0.047884032,-9.931149
1876763580000,1876770,1398520050031,0.019153614,-0.047884032,-9.883265
1876774416000,1876825,1398520050086,-0.009576807,-0.076614454,-9.911995
1876783902000,1876825,1398520050086,-0.009576807,-0.06703765,-9.940725
1876794030000,1876825,1398520050086,-0.019153614,-0.08619126,-9.950302
1876804219000,1876825,1398520050086,-0.019153614,-0.05746084,-9.931149
1876814341000,1876825,1398520050086,-0.009576807,-0.05746084,-9.950302
1876824567000,1876825,1398520050086,-0.019153614,-0.08619126,-9.921572
1876834636000,1876868,1398520050129,-0.009576807,-0.08619126,-9.940725
1876845437000,1876868,1398520050129,-0.009576807,-0.08619126,-9.883265
1876854993000,1876868,1398520050129,0.009576807,-0.05746084,-9.921572
1876864995000,1876868,1398520050129,0.009576807,-0.019153614,-9.911995
1876883559000,1876890,1398520050151,0.009576807,-0.047884032,-9.902418
1876900169000,1876907,1398520050167,-0.038307227,-0.06703765,-9.950302
1876916822000,1876941,1398520050201,-0.019153614,-0.08619126,-9.911995
1876929687000,1876941,1398520050202,-0.019153614,-0.076614454,-9.911995
1876939825000,1876941,1398520050202,0.019153614,-0.076614454,-9.931149
1876949943000,1876982,1398520050243,0.019153614,-0.095768064,-9.921572
1876960122000,1876982,1398520050243,-0.009576807,-0.08619126,-9.931149
1876975453000,1876982,1398520050243,-0.009576807,-0.076614454,-9.931149
1876985528000,1876995,1398520050256,-0.02873042,-0.08619126,-9.921572
1876995641000,1877016,1398520050277,-0.019153614,-0.08619126,-9.921572
1877005761000,1877016,1398520050277,-0.009576807,-0.08619126,-9.892841
1877015841000,1877016,1398520050277,-0.02873042,-0.05746084,-9.911995
1877025950000,1877026,1398520050287,-0.02873042,-0.06703765,-9.911995
1877036013000,1877036,1398520050297,-0.019153614,-0.076614454,-9.921572
1877046146000,1877046,1398520050307,0.009576807,-0.08619126,-9.950302
1877056284000,1877057,1398520050318,0.009576807,-0.06703765,-9.921572
1877066325000,1877066,1398520050327,0.009576807,-0.05746084,-9.911995
1877076448000,1877076,1398520050337,-0.02873042,-0.095768064,-9.902418
1877086510000,1877086,1398520050347,-0.009576807,-0.095768064,-9.931149
1877096641000,1877096,1398520050357,-0.009576807,-0.10534488,-9.921572
1877106758000,1877108,1398520050369,-0.02873042,-0.06703765,-9.959879
1877116820000,1877117,1398520050378,-0.02873042,-0.06703765,-9.921572
1877126944000,1877127,1398520050388,-0.02873042,-0.05746084,-9.959879
1877137003000,1877137,1398520050398,0.038307227,-0.076614454,-9.950302
1877147139000,1877147,1398520050408,0.019153614,-0.06703765,-9.959879
1877157246000,1877159,1398520050420,0.019153614,-0.05746084,-9.9790325
1877167482000,1877167,1398520050428,0.009576807,-0.076614454,-9.969456
1877177751000,1877178,1398520050439,0.009576807,-0.06703765,-9.940725
1877187788000,1877188,1398520050449,0.02873042,-0.047884032,-9.950302
1877198014000,1877198,1398520050459,-0.009576807,-0.038307227,-9.940725
1877208179000,1877214,1398520050475,-0.02873042,-0.06703765,-9.940725
1877218325000,1877218,1398520050479,0.02873042,-0.076614454,-9.940725
1877228566000,1877229,1398520050490,0.019153614,-0.076614454,-9.959879
1877238619000,1877239,1398520050499,0.019153614,-0.10534488,-9.940725
1877248783000,1877249,1398520050510,0.019153614,-0.095768064,-9.940725
1877258892000,1877264,1398520050525,-0.019153614,-0.08619126,-9.921572
1877268947000,1877269,1398520050530,-0.019153614,-0.076614454,-9.892841
1877279090000,1877279,1398520050540,-0.038307227,-0.076614454,-9.902418
1877289182000,1877289,1398520050550,-0.02873042,-0.08619126,-9.902418
1877299316000,1877299,1398520050560,-0.009576807,-0.06703765,-9.902418
1877313738000,1877314,1398520050575,-0.019153614,-0.06703765,-9.931149
1877323851000,1877324,1398520050585,-0.009576807,-0.076614454,-9.931149
1877333988000,1877334,1398520050595,-0.038307227,-0.06703765,-9.940725
1877347681000,1877348,1398520050609,0.009576807,-0.06703765,-9.931149
1877357773000,1877358,1398520050619,0.019153614,-0.06703765,-9.950302
1877368028000,1877368,1398520050629,0.019153614,-0.095768064,-9.921572
1877384529000,1877385,1398520050646,-0.009576807,-0.08619126,-9.902418
1877394498000,1877401,1398520050662,-0.019153614,-0.076614454,-9.883265
