Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1712941793000,1712942,1398520049730,0.459681,0.0,-9.806528
1712951864000,1712954,1398520049742,0.306454,-0.153227,-9.806528
1712971792000,1712972,1398520049760,0.459681,-0.153227,-9.959755
1712991750000,1712992,1398520049780,0.459681,-0.153227,-9.806528
1713005544000,1713006,1398520049794,0.459681,0.0,-9.806528
1713023427000,1713024,1398520049812,0.459681,-0.153227,-9.806528
1713052205000,1713052,1398520049840,0.459681,0.0,-9.806528
1713075551000,1713076,1398520049864,0.459681,-0.153227,-9.806528
1713102193000,1713102,1398520049891,0.459681,-0.153227,-9.959755
1713122213000,1713122,1398520049911,0.459681,0.0,-9.806528
1713131826000,1713132,1398520049920,0.306454,-0.153227,-9.806528
1713145559000,1713146,1398520049934,0.306454,-0.153227,-9.959755
1713163778000,1713164,1398520049953,0.459681,-0.153227,-9.806528
1713251913000,1713252,1398520050040,0.612908,-0.306454,-9.959755
1713262258000,1713262,1398520050051,0.459681,-0.153227,-9.806528
1713282949000,1713283,1398520050071,0.612908,-0.306454,-9.806528
1713291891000,1713292,1398520050080,0.459681,-0.153227,-9.959755
1713312154000,1713312,1398520050100,0.459681,-0.153227,-9.806528
1713391744000,1713392,1398520050180,0.459681,0.0,-9.806528
1713411825000,1713412,1398520050200,0.306454,-0.153227,-9.806528
1713422841000,1713426,1398520050214,0.459681,-0.153227,-9.806528
1713445516000,1713446,1398520050234,0.459681,-0.153227,-9.959755
1713463064000,1713463,1398520050251,0.459681,-0.306454,-9.806528
1713492238000,1713496,1398520050284,0.612908,-0.153227,-9.806528
1713501760000,1713502,1398520050290,0.612908,-0.153227,-9.653301
1713515340000,1713516,1398520050304,0.459681,-0.153227,-9.653301
1713542287000,1713542,1398520050331,0.459681,0.0,-9.959755
1713551870000,1713552,1398520050340,0.459681,-0.153227,-9.806528
1713571767000,1713572,1398520050360,0.459681,-0.153227,-9.959755
1713585348000,1713586,1398520050374,0.459681,-0.153227,-9.806528
1713632162000,1713632,1398520050420,0.459681,-0.153227,-9.959755
1713655019000,1713655,1398520050443,0.459681,-0.153227,-9.806528
1713722829000,1713723,1398520050511,0.459681,-0.153227,-9.959755
1713731771000,1713732,1398520050520,0.459681,-0.153227,-9.806528
1713831777000,1713832,1398520050620,0.459681,0.0,-9.959755
1713842214000,1713842,1398520050631,0.459681,-0.153227,-9.806528
1713862844000,1713863,1398520050651,0.459681,0.0,-9.806528
1713881826000,1713884,1398520050673,0.459681,-0.153227,-9.959755
1713891744000,1713892,1398520050680,0.459681,-0.153227,-9.806528
1713912160000,1713912,1398520050700,0.612908,-0.153227,-9.806528
1713932851000,1713936,1398520050724,0.459681,-0.153227,-9.806528
1713955739000,1713956,1398520050744,0.459681,0.0,-9.959755
1713973165000,1713973,1398520050761,0.459681,-0.153227,-9.806528
1714052205000,1714052,1398520050840,0.459681,-0.153227,-9.959755
1714072164000,1714073,1398520050861,0.459681,-0.153227,-9.806528
1714101827000,1714102,1398520050890,0.459681,-0.153227,-9.959755
1714122152000,1714122,1398520050910,0.459681,-0.153227,-9.806528
1714142141000,1714146,1398520050934,0.306454,-0.153227,-9.806528
1714151784000,1714152,1398520050940,0.459681,-0.153227,-9.806528
1714171743000,1714172,1398520050960,0.306454,-0.153227,-9.806528
1714181753000,1714183,1398520050972,0.306454,-0.153227,-9.959755
1714201803000,1714202,1398520050990,0.459681,-0.153227,-9.806528
1714221731000,1714222,1398520051010,0.459681,-0.153227,-9.959755
1714235586000,1714236,1398520051024,0.459681,0.0,-9.806528
1714253530000,1714254,1398520051042,0.459681,-0.153227,-9.959755
1714271749000,1714272,1398520051060,0.459681,-0.153227,-9.806528
1714305562000,1714306,1398520051094,0.459681,-0.306454,-9.806528
1714332235000,1714332,1398520051121,0.459681,-0.306454,-9.806528
1714352224000,1714356,1398520051144,0.459681,-0.153227,-9.806528
1714381765000,1714382,1398520051170,0.459681,0.0,-9.806528
1714392995000,1714394,1398520051182,0.459681,-0.153227,-9.959755
1714411733000,1714412,1398520051200,0.459681,-0.153227,-9.806528
1714445547000,1714446,1398520051234,0.459681,0.0,-9.806528
1714464406000,1714465,1398520051253,0.459681,-0.153227,-9.959755
1714492238000,1714492,1398520051281,0.459681,-0.306454,-9.806528
1714515554000,1714516,1398520051304,0.459681,-0.153227,-9.806528
1714591787000,1714592,1398520051380,0.459681,-0.306454,-9.959755
1714611806000,1714612,1398520051400,0.459681,-0.153227,-9.806528
1714652486000,1714653,1398520051441,0.459681,0.0,-9.806528
1714691823000,1714692,1398520051480,0.459681,-0.153227,-9.959755
1714702260000,1714702,1398520051491,0.459681,-0.306454,-9.806528
1714722860000,1714723,1398520051511,0.459681,-0.153227,-9.806528
1714741720000,1714745,1398520051533,0.306454,-0.153227,-9.806528
1714751851000,1714752,1398520051540,0.459681,-0.306454,-9.806528
1714778921000,1714787,1398520051575,0.459681,-0.153227,-9.959755
1714831808000,1714832,1398520051620,0.459681,0.0,-9.806528
1714851858000,1714852,1398520051640,0.459681,-0.153227,-9.959755
1714862844000,1714866,1398520051654,0.459681,-0.153227,-9.806528
