Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398520049389463167,2870816,1398520049739,-0.052505493,-0.22109985,-10.437973
1398520049394651155,2870816,1398520049739,-0.044174194,-0.25442505,-10.403458
1398520049398252230,2870816,1398520049740,-0.016799927,-0.1925354,-10.337997
1398520049404477816,2870828,1398520049751,-0.035842896,-0.25561523,-10.407028
1398520049409696321,2870828,1398520049751,0.012954712,-0.2175293,-10.35466
1398520049413388948,2870833,1398520049756,-0.016799927,-0.24371338,-10.279678
1398520049418393831,2870840,1398520049764,-0.04774475,-0.21038818,-10.29158
1398520049423581819,2870841,1398520049765,-0.07035828,-0.19015503,-10.382034
1398520049428464632,2870848,1398520049771,-0.065597534,-0.25204468,-10.367752
1398520049433500032,2870852,1398520049775,-0.08583069,-0.18658447,-10.399887
1398520049439664583,2870862,1398520049785,-0.05369568,-0.24371338,-10.382034
1398520049444150667,2870862,1398520049786,-0.05369568,-0.24371338,-10.382034
1398520049448636751,2870868,1398520049791,-0.044174194,-0.2258606,-10.327286
1398520049453641634,2870873,1398520049796,-0.07035828,-0.20681763,-10.316574
1398520049458677034,2870878,1398520049801,-0.05607605,-0.2341919,-10.373703
1398520049463712435,2870882,1398520049805,-0.03227234,-0.23181152,-10.414169
1398520049468747835,2870888,1398520049811,-0.039413452,-0.22109985,-10.368942
1398520049473905306,2870897,1398520049820,-0.041793823,-0.24371338,-10.390366
1398520049479306917,2870897,1398520049821,-0.0013275146,-0.2425232,-10.314194
1398520049483884554,2870902,1398520049825,-0.06916809,-0.24133301,-10.321335
1398520049489530306,2870913,1398520049836,-0.008468628,-0.209198,-10.324905
1398520049494809847,2870913,1398520049836,-0.026321411,-0.21633911,-10.337997
1398520049498990755,2870919,1398520049842,-0.014419556,-0.24847412,-10.29039
1398520049503995638,2870926,1398520049849,-0.017990112,-0.23181152,-10.3641815
1398520049509183626,2870927,1398520049851,-0.041793823,-0.21990967,-10.284439
1398520049514066439,2870932,1398520049855,-0.052505493,-0.20562744,-10.330856
1398520049519101839,2870937,1398520049860,-0.057266235,-0.2508545,-10.322525
1398520049524137239,2870944,1398520049867,-0.07392883,-0.25323486,-10.343948
1398520049529172640,2870948,1398520049872,-0.07511902,-0.22943115,-10.362991
1398520049534208040,2870953,1398520049876,-0.07154846,-0.27703857,-10.345139
1398520049539243441,2870959,1398520049882,-0.041793823,-0.23181152,-10.310623
1398520049544278841,2870966,1398520049889,-0.05845642,-0.2425232,-10.303482
1398520049549314241,2870967,1398520049890,-0.031082153,-0.23062134,-10.370132
1398520049554349642,2870974,1398520049897,-0.08106995,-0.25680542,-10.443924
1398520049559476595,2870983,1398520049906,-0.050125122,-0.26513672,-10.324905
1398520049564817171,2870983,1398520049906,-0.028701782,-0.24014282,-10.261826
1398520049569486360,2870988,1398520049911,-0.07392883,-0.24014282,-10.376083
1398520049575162630,2870999,1398520049922,-0.05607605,-0.18539429,-10.326096
1398520049580442171,2870999,1398520049922,-0.04536438,-0.24847412,-10.373703
1398520049584562044,2871004,1398520049928,-0.048934937,-0.22467041,-10.322525
1398520049589597444,2871011,1398520049935,-0.060836792,-0.25204468,-10.405838
1398520049594785433,2871013,1398520049936,-0.10368347,-0.2984619,-10.321335
1398520049599668245,2871019,1398520049942,-0.04536438,-0.24847412,-10.403458
1398520049604703646,2871023,1398520049946,-0.07511902,-0.21395874,-10.297531
1398520049609739046,2871029,1398520049952,-0.040603638,-0.24133301,-10.264206
1398520049614774446,2871040,1398520049963,-0.04298401,-0.21276855,-10.277298
1398520049620023470,2871040,1398520049963,-0.07987976,-0.2008667,-10.317764
1398520049624875765,2871046,1398520049969,-0.04298401,-0.23181152,-10.321335
1398520049629880648,2871048,1398520049971,-0.09059143,-0.20800781,-10.329666
1398520049634916048,2871054,1398520049977,-0.06440735,-0.19729614,-10.343948
1398520049639951448,2871058,1398520049981,-0.06440735,-0.2341919,-10.336807
1398520049646146517,2871071,1398520049994,-0.07154846,-0.22229004,-10.35585
1398520049651426058,2871071,1398520049994,-0.019180298,-0.23657227,-10.387985
1398520049655057650,2871074,1398520049998,-0.019180298,-0.23657227,-10.387985
1398520049660093050,2871079,1398520050003,-0.022750854,-0.22467041,-10.339188
1398520049665250521,2871088,1398520050012,-0.05607605,-0.19967651,-10.373703
1398520049670591097,2871089,1398520050012,-0.057266235,-0.22824097,-10.399887
1398520049675199251,2871094,1398520050017,-0.057266235,-0.22824097,-10.399887
1398520049680234652,2871100,1398520050023,-0.07154846,-0.21276855,-10.368942
1398520049685270052,2871105,1398520050028,-0.07035828,-0.23538208,-10.335617
1398520049690305452,2871109,1398520050032,-0.014419556,-0.24490356,-10.318954
1398520049695768099,2871119,1398520050042,-0.015609741,-0.24133301,-10.391556
