Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2655116608519,2655117,1398520049733,-0.53588563,-0.4975653,-10.155481
2655125519652,2655126,1398520049742,-0.53588563,-0.459245,-10.193802
2655132874389,2655133,1398520049749,-0.459245,-0.459245,-10.308763
2655140992064,2655141,1398520049757,-0.53588563,-0.53588563,-10.078841
2655149598021,2655150,1398520049766,-0.4209247,-0.61252624,-10.308763
2655157227416,2655158,1398520049774,-0.459245,-0.57420594,-10.078841
2655165833373,2655166,1398520049782,-0.53588563,-0.7274872,-10.078841
2655173462767,2655174,1398520049790,-0.459245,-0.38260436,-10.078841
2655181580443,2655182,1398520049798,-0.61252624,-0.4209247,-10.078841
2655190461058,2655191,1398520049807,-0.57420594,-0.459245,-10.193802
2655197815795,2655198,1398520049814,-0.57420594,-0.7274872,-10.155481
2655205933470,2655206,1398520049822,-0.68916684,-0.53588563,-10.155481
2655214783568,2655215,1398520049831,-0.57420594,-0.53588563,-10.117161
2655222138304,2655222,1398520049839,-0.61252624,-0.459245,-10.232122
2655230286498,2655231,1398520049847,-0.4209247,-0.68916684,-10.270443
2655238922972,2655239,1398520049855,-0.57420594,-0.4975653,-10.232122
2655246491332,2655247,1398520049863,-0.57420594,-0.459245,-10.232122
2655255158324,2655256,1398520049872,-0.53588563,-0.57420594,-10.193802
2655262757201,2655263,1398520049879,-0.459245,-0.61252624,-10.155481
2655271393675,2655272,1398520049888,-0.459245,-0.61252624,-10.155481
2655278992552,2655279,1398520049895,-0.61252624,-0.53588563,-10.232122
2655287659543,2655288,1398520049904,-0.53588563,-0.65084654,-10.193802
2655295227903,2655296,1398520049912,-0.459245,-0.57420594,-10.232122
2655303345578,2655304,1398520049920,-0.53588563,-0.459245,-10.155481
2655312226194,2655313,1398520049929,-0.57420594,-0.68916684,-10.117161
2655320130247,2655321,1398520049937,-0.65084654,-0.61252624,-10.117161
2655327698606,2655328,1398520049944,-0.57420594,-0.4209247,-10.155481
2655336365599,2655337,1398520049953,-0.53588563,-0.65084654,-10.193802
2655343964476,2655344,1398520049960,-0.459245,-0.53588563,-10.078841
2655352600950,2655353,1398520049969,-0.61252624,-0.4209247,-10.155481
2655360169310,2655361,1398520049977,-0.53588563,-0.68916684,-10.193802
2655368836302,2655369,1398520049985,-0.4209247,-0.57420594,-10.117161
2655376435179,2655377,1398520049993,-0.68916684,-0.53588563,-10.155481
2655385498899,2655386,1398520050002,-0.57420594,-0.459245,-10.193802
2655392670530,2655393,1398520050009,-0.4209247,-0.65084654,-10.193802
2655400788206,2655401,1398520050017,-0.7658075,-0.459245,-10.078841
2655409668821,2655410,1398520050026,-0.53588563,-0.68916684,-10.0022
2655417023558,2655417,1398520050033,-0.53588563,-0.459245,-10.155481
2655425141233,2655425,1398520050042,-0.61252624,-0.4209247,-10.193802
2655433777708,2655434,1398520050050,-0.459245,-0.65084654,-10.193802
2655441376585,2655442,1398520050058,-0.4975653,-0.57420594,-9.887239
2655450257200,2655451,1398520050067,-0.4975653,-0.57420594,-10.193802
2655458130735,2655459,1398520050075,-0.4975653,-0.57420594,-10.193802
2655465729612,2655466,1398520050082,-0.4209247,-0.57420594,-9.96388
2655474366086,2655475,1398520050091,-0.61252624,-0.459245,-10.193802
2655481964963,2655482,1398520050098,-0.57420594,-0.53588563,-10.117161
2655490845578,2655491,1398520050107,-0.4975653,-0.4209247,-10.232122
2655498749632,2655499,1398520050115,-0.57420594,-0.57420594,-10.232122
2655506317992,2655507,1398520050123,-0.57420594,-0.53588563,-10.117161
2655515198607,2655516,1398520050132,-0.4975653,-0.53588563,-10.117161
2655522553343,2655523,1398520050139,-0.53588563,-0.459245,-10.193802
2655531433959,2655532,1398520050148,-0.61252624,-0.4975653,-10.155481
2655539307494,2655540,1398520050156,-0.57420594,-0.53588563,-10.232122
2655546906371,2655547,1398520050163,-0.4975653,-0.4975653,-10.040521
2655555603881,2655556,1398520050172,-0.61252624,-0.53588563,-10.117161
2655563141723,2655563,1398520050179,-0.38260436,-0.4975653,-10.155481
2655571991820,2655572,1398520050188,-0.459245,-0.4209247,-10.078841
2655579895873,2655580,1398520050196,-0.61252624,-0.459245,-10.193802
2655587464232,2655588,1398520050204,-0.53588563,-0.459245,-10.040521
2655596131224,2655596,1398520050213,-0.57420594,-0.4975653,-10.270443
2655603699584,2655604,1398520050220,-0.57420594,-0.65084654,-10.117161
2655612580199,2655613,1398520050229,-0.459245,-0.53588563,-10.193802
