Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1777402296000,1777402,1398520049764,0.19068487,0.19068487,-9.112013
1777434857000,1777435,1398520049796,0.19068487,0.23154591,-9.043911
1777473912000,1777474,1398520049835,0.14982383,0.23154591,-9.084772
1777513820000,1777514,1398520049875,0.19068487,0.27240697,-9.043911
1777553729000,1777554,1398520049915,0.19068487,0.23154591,-9.112013
1777593637000,1777594,1398520049955,0.19068487,0.23154591,-9.084772
1777672357000,1777673,1398520050034,0.14982383,0.27240697,-9.043911
1777712296000,1777712,1398520050074,0.19068487,0.23154591,-9.084772
1777752296000,1777752,1398520050114,0.19068487,0.23154591,-9.112013
1777784826000,1777785,1398520050146,0.19068487,0.19068487,-9.112013
1777824034000,1777824,1398520050186,0.14982383,0.23154591,-9.112013
1777863912000,1777864,1398520050225,0.19068487,0.23154591,-9.112013
1777903881000,1777904,1398520050265,0.14982383,0.23154591,-9.112013
1777943729000,1777944,1398520050305,0.14982383,0.27240697,-9.043911
1777983942000,1777984,1398520050345,0.14982383,0.23154591,-9.084772
1778062601000,1778063,1398520050424,0.19068487,0.27240697,-9.084772
1778102357000,1778103,1398520050464,0.14982383,0.23154591,-9.084772
1778142357000,1778143,1398520050504,0.10896278,0.23154591,-9.084772
1778182387000,1778183,1398520050544,0.14982383,0.27240697,-9.084772
1778214887000,1778215,1398520050576,0.14982383,0.23154591,-9.112013
1778253942000,1778254,1398520050615,0.14982383,0.27240697,-9.112013
1778293942000,1778294,1398520050655,0.14982383,0.27240697,-9.084772
1778334643000,1778335,1398520050696,0.14982383,0.23154591,-9.084772
1778372265000,1778372,1398520050734,0.14982383,0.23154591,-9.112013
1778412418000,1778413,1398520050774,0.19068487,0.23154591,-9.084772
1778442723000,1778445,1398520050806,0.14982383,0.23154591,-9.112013
1778484064000,1778484,1398520050846,0.10896278,0.23154591,-9.112013
1778523942000,1778524,1398520050885,0.14982383,0.23154591,-9.084772
1778563973000,1778564,1398520050926,0.19068487,0.19068487,-9.043911
1778604857000,1778605,1398520050966,0.19068487,0.27240697,-9.084772
1778642265000,1778642,1398520051004,0.19068487,0.23154591,-9.084772
1778682296000,1778682,1398520051044,0.19068487,0.23154591,-9.043911
1778712753000,1778715,1398520051077,0.14982383,0.23154591,-9.084772
1778754095000,1778754,1398520051116,0.14982383,0.27240697,-9.084772
1778793973000,1778794,1398520051156,0.14982383,0.23154591,-9.043911
1778834704000,1778835,1398520051196,0.19068487,0.19068487,-9.112013
1778872296000,1778872,1398520051234,0.14982383,0.27240697,-9.152874
1778912296000,1778912,1398520051274,0.14982383,0.23154591,-9.084772
1778942814000,1778945,1398520051307,0.19068487,0.23154591,-9.084772
1778984064000,1778984,1398520051346,0.19068487,0.23154591,-9.043911
1779024064000,1779024,1398520051386,0.19068487,0.23154591,-9.084772
1779103485000,1779104,1398520051465,0.14982383,0.23154591,-9.084772
1779142692000,1779143,1398520051504,0.14982383,0.27240697,-9.112013
1779182418000,1779183,1398520051544,0.14982383,0.23154591,-9.084772
1779222418000,1779223,1398520051584,0.19068487,0.23154591,-9.084772
1779262570000,1779263,1398520051624,0.19068487,0.27240697,-9.043911
1779292723000,1779295,1398520051657,0.19068487,0.27240697,-9.084772
1779373668000,1779374,1398520051735,0.19068487,0.27240697,-9.043911
1779413637000,1779414,1398520051775,0.19068487,0.23154591,-9.00305
1779453790000,1779454,1398520051815,0.14982383,0.27240697,-9.043911
1779493820000,1779494,1398520051855,0.14982383,0.23154591,-9.084772
1779533698000,1779534,1398520051895,0.14982383,0.23154591,-9.043911
1779574704000,1779575,1398520051936,0.14982383,0.27240697,-9.043911
1779612296000,1779612,1398520051974,0.19068487,0.23154591,-9.084772
1779652296000,1779652,1398520052014,0.14982383,0.23154591,-9.043911
1779682784000,1779685,1398520052047,0.14982383,0.19068487,-9.084772
1779724308000,1779725,1398520052086,0.14982383,0.23154591,-9.084772
1779764064000,1779764,1398520052126,0.19068487,0.23154591,-9.084772
1779804003000,1779804,1398520052166,0.14982383,0.23154591,-9.084772
1779843973000,1779844,1398520052206,0.14982383,0.23154591,-9.112013
1779884430000,1779885,1398520052246,0.14982383,0.27240697,-9.084772
1779924003000,1779924,1398520052286,0.19068487,0.23154591,-9.084772
1779964003000,1779964,1398520052326,0.14982383,0.27240697,-9.084772
1780004003000,1780004,1398520052366,0.19068487,0.27240697,-9.084772
1780044095000,1780044,1398520052406,0.14982383,0.27240697,-9.084772
1780084034000,1780084,1398520052446,0.19068487,0.23154591,-9.043911
1780124003000,1780124,1398520052486,0.19068487,0.23154591,-9.084772
