Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3598892335000,3598892,1398520049732,0.19068487,-0.14982383,-8.812365
3598912202000,3598912,1398520049751,0.23154591,-0.19068487,-8.812365
3598932069000,3598932,1398520049771,0.23154591,-0.14982383,-8.853226
3598954896000,3598955,1398520049794,0.19068487,-0.10896278,-8.853226
3598976228000,3598976,1398520049815,0.19068487,-0.08172209,-8.812365
3598996125000,3598996,1398520049835,0.23154591,-0.08172209,-8.812365
3599016023000,3599016,1398520049855,0.19068487,-0.10896278,-8.812365
3599035798000,3599036,1398520049875,0.19068487,-0.10896278,-8.853226
3599055634000,3599056,1398520049895,0.23154591,-0.10896278,-8.853226
3599094361000,3599094,1398520049934,0.19068487,-0.10896278,-8.812365
3599114167000,3599114,1398520049953,0.19068487,-0.14982383,-8.812365
3599134034000,3599134,1398520049973,0.19068487,-0.10896278,-8.853226
3599153962000,3599154,1398520049993,0.19068487,-0.10896278,-8.812365
3599174043000,3599174,1398520050013,0.19068487,-0.08172209,-8.812365
3599197694000,3599198,1398520050037,0.19068487,-0.08172209,-8.853226
3599219300000,3599219,1398520050058,0.23154591,-0.10896278,-8.853226
3599239259000,3599239,1398520050078,0.23154591,-0.14982383,-8.880466
3599259217000,3599259,1398520050098,0.19068487,-0.10896278,-8.812365
3599278779000,3599279,1398520050118,0.23154591,-0.10896278,-8.812365
3599317231000,3599317,1398520050156,0.19068487,-0.14982383,-8.812365
3599337129000,3599337,1398520050176,0.23154591,-0.10896278,-8.853226
3599356904000,3599357,1398520050196,0.23154591,-0.14982383,-8.853226
3599395600000,3599396,1398520050235,0.23154591,-0.14982383,-8.771504
3599415467000,3599416,1398520050255,0.23154591,-0.10896278,-8.812365
3599435273000,3599435,1398520050274,0.23154591,-0.10896278,-8.853226
3599477937000,3599478,1398520050317,0.23154591,-0.10896278,-8.812365
3599537415000,3599538,1398520050377,0.27240697,-0.10896278,-8.812365
3599557282000,3599557,1398520050396,0.23154591,-0.10896278,-8.853226
3599577119000,3599577,1398520050416,0.23154591,-0.14982383,-8.880466
3599596955000,3599597,1398520050436,0.23154591,-0.14982383,-8.853226
3599616731000,3599617,1398520050456,0.19068487,-0.14982383,-8.812365
3599636567000,3599637,1398520050476,0.19068487,-0.10896278,-8.853226
3599656403000,3599657,1398520050496,0.19068487,-0.08172209,-8.812365
3599676179000,3599676,1398520050515,0.19068487,-0.10896278,-8.812365
3599714845000,3599715,1398520050554,0.19068487,-0.14982383,-8.771504
3599734803000,3599735,1398520050574,0.19068487,-0.10896278,-8.771504
3599754823000,3599755,1398520050594,0.19068487,-0.08172209,-8.812365
3599797639000,3599798,1398520050637,0.19068487,-0.10896278,-8.771504
3599817658000,3599818,1398520050657,0.19068487,-0.10896278,-8.812365
3599913819000,3599914,1398520050753,0.19068487,-0.10896278,-8.771504
3599952668000,3599953,1398520050792,0.23154591,-0.08172209,-8.812365
3599972627000,3599973,1398520050812,0.23154591,-0.10896278,-8.853226
3599992524000,3599993,1398520050832,0.23154591,-0.10896278,-8.812365
3600012574000,3600013,1398520050852,0.23154591,-0.14982383,-8.771504
3600032624000,3600033,1398520050872,0.19068487,-0.14982383,-8.812365
3600052613000,3600052,1398520050892,0.19068487,-0.10896278,-8.812365
3600072297000,3600072,1398520050911,0.19068487,-0.08172209,-8.812365
3600094880000,3600095,1398520050934,0.19068487,-0.10896278,-8.812365
3600114777000,3600115,1398520050954,0.19068487,-0.14982383,-8.812365
3600134126000,3600134,1398520050973,0.19068487,-0.14982383,-8.771504
3600153962000,3600154,1398520050993,0.19068487,-0.10896278,-8.771504
3600211945000,3600212,1398520051051,0.19068487,-0.14982383,-8.812365
3600231812000,3600232,1398520051071,0.19068487,-0.14982383,-8.853226
3600251649000,3600252,1398520051091,0.19068487,-0.14982383,-8.771504
3600271668000,3600272,1398520051111,0.23154591,-0.14982383,-8.771504
3600310609000,3600311,1398520051150,0.19068487,-0.14982383,-8.853226
3600368256000,3600368,1398520051207,0.19068487,-0.10896278,-8.853226
3600412537000,3600413,1398520051252,0.19068487,-0.14982383,-8.812365
3600451631000,3600452,1398520051291,0.19068487,-0.10896278,-8.812365
3600471681000,3600472,1398520051311,0.23154591,-0.10896278,-8.812365
3600491731000,3600492,1398520051331,0.23154591,-0.08172209,-8.812365
3600530488000,3600531,1398520051370,0.23154591,-0.10896278,-8.812365
3600550294000,3600550,1398520051389,0.27240697,-0.10896278,-8.812365
3600570252000,3600570,1398520051409,0.23154591,-0.10896278,-8.812365
3600590150000,3600590,1398520051429,0.19068487,-0.10896278,-8.812365
3600610108000,3600610,1398520051449,0.23154591,-0.14982383,-8.812365
3600629914000,3600630,1398520051469,0.23154591,-0.14982383,-8.771504
3600649812000,3600650,1398520051489,0.23154591,-0.10896278,-8.771504
3600672822000,3600673,1398520051512,0.23154591,-0.10896278,-8.812365
3600694001000,3600694,1398520051533,0.14982383,-0.10896278,-8.771504
3600713990000,3600714,1398520051553,0.19068487,-0.10896278,-8.771504
3600734010000,3600734,1398520051573,0.23154591,-0.14982383,-8.812365
3600753968000,3600754,1398520051593,0.19068487,-0.10896278,-8.853226
3600773835000,3600774,1398520051613,0.19068487,-0.10896278,-8.812365
3600793763000,3600794,1398520051633,0.19068487,-0.10896278,-8.771504
3600813600000,3600814,1398520051653,0.23154591,-0.14982383,-8.771504
3600833405000,3600834,1398520051673,0.19068487,-0.14982383,-8.771504
3600853272000,3600853,1398520051692,0.19068487,-0.14982383,-8.730643
3600873170000,3600873,1398520051712,0.23154591,-0.10896278,-8.812365
3600893128000,3600893,1398520051732,0.23154591,-0.08172209,-8.853226
3600916047000,3600916,1398520051755,0.23154591,-0.10896278,-8.812365
3600956513000,3600957,1398520051796,0.19068487,-0.14982383,-8.771504
3600976502000,3600977,1398520051816,0.23154591,-0.14982383,-8.771504
3601015473000,3601016,1398520051855,0.19068487,-0.14982383,-8.812365
3601092072000,3601092,1398520051931,0.23154591,-0.19068487,-8.771504
3601111909000,3601112,1398520051951,0.19068487,-0.19068487,-8.812365
3601131837000,3601132,1398520051971,0.19068487,-0.14982383,-8.812365
3601170747000,3601171,1398520052010,0.19068487,-0.14982383,-8.771504
3601190705000,3601191,1398520052030,0.23154591,-0.10896278,-8.771504
3601210542000,3601211,1398520052050,0.23154591,-0.10896278,-8.853226
3601230439000,3601231,1398520052070,0.19068487,-0.14982383,-8.812365
3601253602000,3601254,1398520052093,0.19068487,-0.14982383,-8.771504
3601294862000,3601295,1398520052134,0.19068487,-0.10896278,-8.812365
3601314881000,3601315,1398520052154,0.19068487,-0.14982383,-8.771504
3601334779000,3601335,1398520052174,0.23154591,-0.14982383,-8.771504
3601373597000,3601374,1398520052213,0.19068487,-0.19068487,-8.771504
3601393403000,3601394,1398520052233,0.19068487,-0.19068487,-8.812365
3601413270000,3601413,1398520052252,0.19068487,-0.14982383,-8.853226
3601433106000,3601433,1398520052272,0.19068487,-0.10896278,-8.812365
3601453156000,3601453,1398520052292,0.19068487,-0.08172209,-8.771504
3601473023000,3601473,1398520052312,0.19068487,-0.10896278,-8.771504
3601493134000,3601493,1398520052332,0.19068487,-0.14982383,-8.771504
3601531648000,3601532,1398520052371,0.19068487,-0.14982383,-8.812365
3601574403000,3601575,1398520052414,0.19068487,-0.10896278,-8.771504
3601595857000,3601596,1398520052435,0.19068487,-0.10896278,-8.812365
3601615785000,3601616,1398520052455,0.23154591,-0.14982383,-8.812365
3601673554000,3601674,1398520052513,0.23154591,-0.10896278,-8.812365
3601693391000,3601694,1398520052533,0.19068487,-0.10896278,-8.771504
3601713227000,3601713,1398520052552,0.23154591,-0.14982383,-8.771504
3601751954000,3601752,1398520052591,0.19068487,-0.14982383,-8.812365
3601772187000,3601772,1398520052611,0.23154591,-0.14982383,-8.771504
3601792115000,3601792,1398520052631,0.23154591,-0.10896278,-8.730643
3601811952000,3601812,1398520052651,0.19068487,-0.10896278,-8.771504
3601831666000,3601832,1398520052671,0.19068487,-0.19068487,-8.812365
3601851258000,3601851,1398520052690,0.19068487,-0.19068487,-8.771504
3601871095000,3601871,1398520052710,0.19068487,-0.19068487,-8.812365
3601894135000,3601894,1398520052733,0.19068487,-0.19068487,-8.853226
3601915620000,3601916,1398520052755,0.23154591,-0.14982383,-8.812365
3601935517000,3601936,1398520052775,0.23154591,-0.14982383,-8.771504
3601974488000,3601975,1398520052814,0.23154591,-0.14982383,-8.812365
3601994264000,3601994,1398520052833,0.19068487,-0.14982383,-8.812365
3602033021000,3602033,1398520052872,0.19068487,-0.10896278,-8.812365
3602053071000,3602053,1398520052892,0.19068487,-0.14982383,-8.771504
3602073060000,3602073,1398520052912,0.23154591,-0.14982383,-8.771504
3602093202000,3602093,1398520052932,0.23154591,-0.14982383,-8.812365
3602151490000,3602151,1398520052990,0.23154591,-0.14982383,-8.771504
3602174012000,3602174,1398520053013,0.19068487,-0.14982383,-8.771504
3602193787000,3602194,1398520053033,0.23154591,-0.14982383,-8.771504
3602251679000,3602252,1398520053091,0.23154591,-0.14982383,-8.812365
3602290589000,3602291,1398520053130,0.23154591,-0.19068487,-8.812365
3602310426000,3602311,1398520053150,0.19068487,-0.14982383,-8.812365
3602330293000,3602330,1398520053169,0.23154591,-0.10896278,-8.812365
3602350129000,3602350,1398520053189,0.23154591,-0.14982383,-8.771504
3602370149000,3602370,1398520053209,0.23154591,-0.14982383,-8.730643
3602389954000,3602390,1398520053229,0.23154591,-0.14982383,-8.812365
3602410462000,3602411,1398520053250,0.27240697,-0.19068487,-8.853226
3602442201000,3602442,1398520053281,0.27240697,-0.14982383,-8.771504
3602462068000,3602462,1398520053301,0.23154591,-0.14982383,-8.812365
3602519776000,3602520,1398520053359,0.19068487,-0.14982383,-8.771504
3602539826000,3602540,1398520053379,0.23154591,-0.14982383,-8.812365
3602559754000,3602560,1398520053399,0.23154591,-0.14982383,-8.853226
3602579804000,3602580,1398520053419,0.19068487,-0.14982383,-8.812365
3602603211000,3602603,1398520053442,0.23154591,-0.14982383,-8.812365
3602623994000,3602624,1398520053463,0.23154591,-0.10896278,-8.771504
3602644044000,3602644,1398520053483,0.23154591,-0.10896278,-8.812365
3602663911000,3602664,1398520053503,0.23154591,-0.10896278,-8.853226
3602683900000,3602684,1398520053523,0.19068487,-0.10896278,-8.853226
3602703858000,3602704,1398520053543,0.23154591,-0.14982383,-8.853226
3602724122000,3602724,1398520053563,0.23154591,-0.14982383,-8.771504
3602763032000,3602763,1398520053602,0.19068487,-0.14982383,-8.771504
3602783082000,3602783,1398520053622,0.19068487,-0.14982383,-8.812365
3602803101000,3602803,1398520053642,0.19068487,-0.10896278,-8.812365
3602826051000,3602826,1398520053665,0.19068487,-0.14982383,-8.812365
3602847230000,3602847,1398520053686,0.23154591,-0.10896278,-8.812365
3602867127000,3602867,1398520053706,0.19068487,-0.10896278,-8.812365
3602905854000,3602906,1398520053745,0.23154591,-0.10896278,-8.812365
3602925660000,3602926,1398520053765,0.19068487,-0.10896278,-8.853226
3602964387000,3602964,1398520053804,0.19068487,-0.10896278,-8.880466
3602984254000,3602984,1398520053823,0.23154591,-0.10896278,-8.853226
3603004121000,3603004,1398520053843,0.23154591,-0.10896278,-8.812365
3603024018000,3603028,1398520053867,0.23154591,-0.14982383,-8.853226
3603052705000,3603053,1398520053892,0.19068487,-0.10896278,-8.771504
3603072694000,3603073,1398520053912,0.19068487,-0.14982383,-8.730643
3603092622000,3603093,1398520053932,0.19068487,-0.14982383,-8.812365
3603112519000,3603113,1398520053952,0.23154591,-0.14982383,-8.812365
3603132478000,3603133,1398520053972,0.19068487,-0.14982383,-8.771504
3603152406000,3603153,1398520053992,0.19068487,-0.14982383,-8.812365
3603175355000,3603175,1398520054015,0.19068487,-0.14982383,-8.853226
3603196473000,3603197,1398520054036,0.23154591,-0.10896278,-8.812365
3603216401000,3603217,1398520054056,0.19068487,-0.10896278,-8.853226
3603255158000,3603255,1398520054094,0.19068487,-0.14982383,-8.812365
3603293916000,3603294,1398520054133,0.23154591,-0.10896278,-8.812365
3603313844000,3603314,1398520054153,0.23154591,-0.10896278,-8.853226
3603333772000,3603334,1398520054173,0.19068487,-0.10896278,-8.853226
3603353822000,3603354,1398520054193,0.23154591,-0.14982383,-8.853226
3603393128000,3603393,1398520054232,0.19068487,-0.19068487,-8.853226
3603435731000,3603436,1398520054275,0.23154591,-0.14982383,-8.812365
3603455720000,3603456,1398520054295,0.23154591,-0.10896278,-8.812365
3603494782000,3603495,1398520054334,0.23154591,-0.10896278,-8.853226
3603514710000,3603515,1398520054354,0.19068487,-0.14982383,-8.853226
3603534577000,3603535,1398520054374,0.23154591,-0.14982383,-8.812365
3603573304000,3603573,1398520054412,0.23154591,-0.14982383,-8.853226
3603593202000,3603593,1398520054432,0.19068487,-0.14982383,-8.812365
3603613160000,3603613,1398520054452,0.23154591,-0.14982383,-8.771504
3603656129000,3603656,1398520054495,0.23154591,-0.14982383,-8.812365
3603698396000,3603699,1398520054538,0.19068487,-0.14982383,-8.812365
3603737428000,3603738,1398520054577,0.23154591,-0.14982383,-8.812365
3603757234000,3603757,1398520054596,0.19068487,-0.14982383,-8.812365
3603777039000,3603777,1398520054616,0.19068487,-0.19068487,-8.812365
3603796906000,3603797,1398520054636,0.19068487,-0.14982383,-8.771504
3603835542000,3603836,1398520054675,0.19068487,-0.10896278,-8.771504
3603893250000,3603893,1398520054732,0.19068487,-0.10896278,-8.812365
3603916352000,3603916,1398520054756,0.19068487,-0.08172209,-8.812365
3603937562000,3603938,1398520054777,0.19068487,-0.10896278,-8.853226
3603957673000,3603958,1398520054797,0.23154591,-0.14982383,-8.853226
3603977509000,3603978,1398520054817,0.19068487,-0.14982383,-8.812365
