Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398520049569533295,2290972,1398520049730,0.08718872,-0.048675537,-9.311783
1398520049574599213,2290978,1398520049737,0.053863525,-0.016540527,-9.336777
1398520049579604096,2290982,1398520049740,0.05029297,0.013214111,-9.365341
1398520049584670014,2290988,1398520049747,0.06576538,-0.026062012,-9.279648
1398520049589674896,2290992,1398520049750,0.005065918,-0.028442383,-9.29393
1398520049594740814,2290999,1398520049757,0.04196167,-0.004638672,-9.2903595
1398520049599745697,2291001,1398520049759,0.014587402,-0.033203125,-9.320114
1398520049604811615,2291008,1398520049767,0.030059814,-0.03201294,-9.410568
1398520049609816498,2291012,1398520049770,0.02053833,-0.0022583008,-9.376053
1398520049614882416,2291018,1398520049777,0.04434204,-0.029632568,-9.390335
1398520049619887299,2291022,1398520049780,0.016967773,-0.018920898,-9.349869
1398520049624953217,2291029,1398520049787,0.008636475,-0.05105591,-9.35701
1398520049629958099,2291031,1398520049789,0.06100464,-0.05105591,-9.29274
1398520049635024017,2291039,1398520049797,0.05029297,-0.020111084,-9.35939
1398520049640028900,2291042,1398520049801,0.07885742,-0.0058288574,-9.3546295
1398520049645094818,2291049,1398520049807,0.007446289,-0.009399414,-9.324875
1398520049650099701,2291052,1398520049811,0.032440186,-0.037963867,-9.410568
1398520049655165619,2291059,1398520049817,0.07052612,-0.03201294,-9.35582
1398520049660170502,2291062,1398520049821,0.022918701,-0.015350342,-9.297501
1398520049665236420,2291069,1398520049827,0.038391113,-0.054626465,-9.379623
1398520049670241303,2291071,1398520049829,0.03363037,-0.05581665,-9.270126
1398520049675307221,2291079,1398520049837,-0.0032653809,-0.0105896,-9.362961
1398520049680312103,2291082,1398520049841,0.036010742,-0.041534424,-9.303452
1398520049685378021,2291089,1398520049847,0.058624268,-0.076049805,-9.346298
1398520049690382904,2291093,1398520049851,0.08956909,-0.0843811,-9.3546295
1398520049695448822,2291099,1398520049857,0.064575195,-0.04034424,-9.2903595
1398520049700453705,2291103,1398520049861,0.057434082,-0.022491455,-9.305832
1398520049705519623,2291109,1398520049867,0.028869629,-0.04272461,-9.372482
1398520049710524506,2291113,1398520049871,0.026489258,-0.027252197,-9.323685
1398520049715590424,2291119,1398520049878,0.007446289,-0.05581665,-9.29631
1398520049720595307,2291121,1398520049880,0.0014953613,-0.05819702,-9.318924
1398520049725661224,2291129,1398520049888,0.053863525,-0.078430176,-9.267746
1398520049730666107,2291133,1398520049891,0.043151855,-0.03439331,-9.314163
1398520049735732025,2291138,1398520049896,0.015777588,-0.061767578,-9.335587
1398520049740767426,2291143,1398520049901,0.03363037,1.2207031E-4,-9.402237
1398520049745802826,2291150,1398520049908,0.027679443,-0.0022583008,-9.334396
1398520049750807709,2291152,1398520049910,0.04196167,-0.035583496,-9.353439
1398520049755873627,2291160,1398520049918,0.022918701,0.01083374,-9.261795
1398520049760878510,2291162,1398520049920,0.04434204,-0.020111084,-9.305832
1398520049765944428,2291172,1398520049930,0.059814453,-0.060577393,-9.311783
1398520049770949310,2291172,1398520049930,0.06933594,-0.004638672,-9.379623
1398520049776015228,2291180,1398520049938,0.040771484,0.014404297,-9.329636
1398520049781020111,2291183,1398520049942,0.049102783,-0.046295166,-9.402237
1398520049786086029,2291188,1398520049946,0.05029297,-0.028442383,-9.304642
1398520049791121430,2291193,1398520049952,0.028869629,-0.0010681152,-9.349869
1398520049796156830,2291200,1398520049958,0.045532227,-0.041534424,-9.272507
1398520049801161713,2291203,1398520049962,0.026489258,-0.007019043,-9.257034
1398520049806227631,2291210,1398520049969,0.056243896,-0.041534424,-9.351059
1398520049811232514,2291212,1398520049971,0.022918701,0.023925781,-9.376053
1398520049816298432,2291222,1398520049980,0.022918701,-0.028442383,-9.346298
1398520049821303314,2291222,1398520049980,0.08123779,-0.04272461,-9.368912
1398520049826369232,2291231,1398520049989,0.04434204,-0.041534424,-9.330826
1398520049831374115,2291232,1398520049991,0.043151855,0.0013122559,-9.271317
1398520049836440033,2291238,1398520049997,0.05029297,-0.026062012,-9.367722
1398520049841475433,2291244,1398520050002,0.013397217,-0.014160156,-9.330826
1398520049846510834,2291250,1398520050009,0.053863525,-0.030822754,-9.416519
1398520049851515717,2291252,1398520050011,3.0517578E-4,-0.0105896,-9.410568
1398520049856581635,2291260,1398520050019,0.06100464,-0.07366943,-9.272507
1398520049861586517,2291262,1398520050021,0.046722412,-0.027252197,-9.321304
1398520049866652435,2291272,1398520050031,0.00982666,-0.030822754,-9.364151
1398520049871657318,2291272,1398520050031,0.03363037,-0.065338135,-9.353439
1398520049876723236,2291281,1398520050039,0.034820557,-0.037963867,-9.380814
1398520049881728119,2291283,1398520050041,0.07052612,-0.054626465,-9.35582
1398520049886794037,2291289,1398520050047,0.094329834,-0.052246094,-9.335587
1398520049891829437,2291296,1398520050054,0.02053833,-0.04272461,-9.4058075
1398520049896834320,2291298,1398520050056,0.06814575,-0.016540527,-9.302261
1398520049901900238,2291306,1398520050064,0.03125,-0.02368164,-9.345108
