Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2047601584000,2047601,1398520049735,-0.076614454,-0.11492168,-9.883265
2047611564000,2047611,1398520049745,-0.076614454,-0.11492168,-9.844957
2047621573000,2047621,1398520049755,-0.11492168,-0.15322891,-9.80665
2047631583000,2047631,1398520049765,-0.11492168,-0.15322891,-9.80665
2047641562000,2047641,1398520049775,-0.11492168,-0.15322891,-9.844957
2047651572000,2047651,1398520049785,-0.11492168,-0.11492168,-9.844957
2047661582000,2047661,1398520049795,-0.076614454,-0.076614454,-9.844957
2047671561000,2047671,1398520049805,-0.076614454,-0.038307227,-9.883265
2047681571000,2047681,1398520049815,-0.038307227,-0.038307227,-9.844957
2047691581000,2047691,1398520049825,0.0,-0.038307227,-9.844957
2047701560000,2047701,1398520049835,0.0,-0.076614454,-9.844957
2047711570000,2047711,1398520049845,-0.038307227,-0.11492168,-9.80665
2047721580000,2047721,1398520049855,-0.076614454,-0.11492168,-9.768343
2047731559000,2047731,1398520049865,-0.11492168,-0.11492168,-9.768343
2047741141000,2047741,1398520049875,-0.15322891,-0.11492168,-9.768343
2047751151000,2047751,1398520049885,-0.15322891,-0.11492168,-9.768343
2047761130000,2047761,1398520049895,-0.11492168,-0.11492168,-9.80665
2047771567000,2047776,1398520049910,-0.11492168,-0.15322891,-9.80665
2047781150000,2047781,1398520049915,-0.11492168,-0.11492168,-9.844957
2047791129000,2047791,1398520049925,-0.15322891,-0.11492168,-9.844957
2047801139000,2047801,1398520049935,-0.19153613,-0.076614454,-9.844957
2047811149000,2047813,1398520049946,-0.15322891,-0.076614454,-9.844957
2047821158000,2047821,1398520049955,-0.15322891,-0.11492168,-9.844957
2047838798000,2047839,1398520049972,-0.11492168,-0.076614454,-9.844957
2047851157000,2047851,1398520049985,-0.11492168,-0.11492168,-9.883265
2047861075000,2047861,1398520049995,-0.11492168,-0.076614454,-9.844957
2047871116000,2047871,1398520050005,-0.11492168,-0.11492168,-9.844957
2047881583000,2047881,1398520050015,-0.11492168,-0.11492168,-9.883265
2047891562000,2047891,1398520050025,-0.15322891,-0.076614454,-9.883265
2047901572000,2047901,1398520050035,-0.15322891,-0.11492168,-9.883265
2047911582000,2047911,1398520050045,-0.11492168,-0.11492168,-9.921572
2047921561000,2047921,1398520050055,-0.11492168,-0.11492168,-9.883265
2047931571000,2047931,1398520050065,-0.076614454,-0.11492168,-9.844957
2047941581000,2047941,1398520050075,-0.076614454,-0.11492168,-9.883265
2047951560000,2047951,1398520050085,-0.11492168,-0.11492168,-9.883265
2047961570000,2047961,1398520050095,-0.11492168,-0.076614454,-9.883265
2047971580000,2047971,1398520050105,-0.11492168,-0.11492168,-9.883265
