Index,Arrival_Time,Creation_Time,x,y,z
0,1398520038255,1398520038255,-0.228916,-0.161501,-9.888318,
10,1398520038265,1398520038265,-0.221438,-0.168716,-9.873654,
20,1398520038275,1398520038275,-0.225330,-0.176292,-9.912059,
30,1398520038285,1398520038285,-0.232696,-0.157926,-9.901149,
40,1398520038295,1398520038295,-0.236229,-0.157848,-9.884624,
50,1398520038305,1398520038305,-0.221548,-0.168801,-9.888317,
60,1398520038315,1398520038315,-0.221741,-0.161572,-9.906705,
70,1398520038325,1398520038325,-0.236257,-0.161558,-9.891927,
80,1398520038335,1398520038335,-0.229027,-0.165275,-9.906618,
90,1398520038345,1398520038345,-0.236340,-0.165311,-9.906561,
100,1398520038355,1398520038355,-0.232669,-0.165282,-9.904757,
110,1398520038365,1398520038365,-0.239886,-0.165244,-9.891869,
120,1398520038375,1398520038375,-0.236298,-0.157901,-9.893788,
130,1398520038385,1398520038385,-0.228917,-0.168879,-9.895592,
140,1398520038395,1398520038395,-0.229054,-0.161607,-9.906648,
150,1398520038405,1398520038405,-0.223376,-0.165121,-9.884666,
160,1398520038415,1398520038415,-0.228985,-0.161554,-9.897483,
170,1398520038425,1398520038425,-0.223432,-0.174386,-9.901091,
180,1398520038435,1398520038435,-0.225314,-0.154148,-9.888405,
190,1398520038445,1398520038445,-0.232600,-0.165229,-9.895592,
200,1398520038455,1398520038455,-0.227006,-0.176184,-9.891882,
210,1398520038465,1398520038465,-0.227171,-0.165245,-9.902966,
220,1398520038475,1398520038475,-0.243666,-0.154291,-9.897426,
230,1398520038485,1398520038485,-0.225246,-0.161473,-9.886514,
240,1398520038495,1398520038495,-0.238044,-0.163380,-9.888231,
250,1398520038505,1398520038505,-0.238140,-0.161610,-9.899243,
260,1398520038515,1398520038515,-0.240024,-0.165350,-9.910198,
270,1398520038525,1398520038525,-0.236160,-0.163328,-9.880914,
280,1398520038535,1398520038535,-0.239817,-0.170724,-9.888159,
290,1398520038545,1398520038545,-0.243474,-0.167053,-9.884494,
300,1398520038555,1398520038555,-0.227089,-0.183626,-9.910153,
310,1398520038565,1398520038565,-0.218030,-0.168889,-9.906675,
320,1398520038575,1398520038575,-0.232627,-0.157873,-9.891984,
330,1398520038585,1398520038585,-0.232697,-0.159770,-9.902967,
340,1398520038595,1398520038595,-0.240009,-0.159806,-9.902909,
350,1398520038605,1398520038605,-0.221645,-0.163342,-9.895693,
360,1398520038615,1398520038615,-0.243487,-0.157842,-9.877234,
370,1398520038625,1398520038625,-0.225192,-0.174341,-9.891912,
380,1398520038635,1398520038635,-0.228971,-0.161544,-9.895650,
390,1398520038645,1398520038645,-0.230854,-0.154217,-9.895694,
400,1398520038655,1398520038655,-0.214373,-0.165182,-9.903068,
410,1398520038665,1398520038665,-0.229067,-0.150551,-9.897570,
420,1398520038675,1398520038675,-0.236339,-0.150555,-9.892014,
430,1398520038685,1398520038685,-0.228861,-0.168837,-9.888260,
440,1398520038695,1398520038695,-0.225205,-0.176196,-9.895562,
450,1398520038705,1398520038705,-0.236284,-0.165269,-9.899229,
460,1398520038715,1398520038715,-0.221685,-0.150462,-9.888462,
470,1398520038725,1398520038725,-0.223432,-0.176230,-9.902908,
480,1398520038735,1398520038735,-0.221672,-0.167052,-9.902996,
490,1398520038745,1398520038745,-0.225260,-0.174395,-9.901076,
500,1398520038755,1398520038755,-0.217961,-0.166991,-9.895693,
510,1398520038765,1398520038765,-0.218002,-0.165179,-9.899373,
520,1398520038775,1398520038775,-0.243488,-0.172597,-9.891782,
530,1398520038785,1398520038785,-0.228999,-0.165254,-9.902952,
540,1398520038795,1398520038795,-0.238072,-0.168935,-9.897353,
550,1398520038805,1398520038805,-0.225357,-0.172624,-9.912088,
560,1398520038815,1398520038815,-0.223459,-0.161495,-9.892027,
570,1398520038825,1398520038825,-0.230827,-0.157885,-9.895664,
580,1398520038835,1398520038835,-0.225411,-0.161600,-9.908509,
590,1398520038845,1398520038845,-0.236202,-0.165205,-9.888231,
600,1398520038855,1398520038855,-0.221591,-0.179899,-9.904727,
610,1398520038865,1398520038865,-0.217934,-0.178037,-9.902937,
620,1398520038875,1398520038875,-0.223445,-0.165174,-9.893831,
630,1398520038885,1398520038885,-0.238127,-0.167133,-9.902866,
640,1398520038895,1398520038895,-0.245481,-0.161667,-9.902852,
650,1398520038905,1398520038905,-0.243624,-0.154259,-9.891927,
660,1398520038915,1398520038915,-0.229013,-0.168953,-9.908422,
670,1398520038925,1398520038925,-0.216147,-0.176215,-9.906632,
680,1398520038935,1398520038935,-0.236270,-0.154191,-9.886485,
690,1398520038945,1398520038945,-0.232683,-0.161604,-9.902953,
700,1398520038955,1398520038955,-0.236243,-0.157859,-9.886456,
710,1398520038965,1398520038965,-0.223364,-0.181710,-9.899199,
720,1398520038975,1398520038975,-0.236298,-0.165279,-9.901062,
730,1398520038985,1398520038985,-0.232546,-0.174409,-9.897352,
740,1398520038995,1398520038995,-0.225205,-0.172508,-9.891926,
750,1398520039005,1398520039005,-0.228779,-0.170617,-9.879081,
760,1398520039015,1398520039015,-0.217879,-0.177994,-9.895606,
770,1398520039025,1398520039025,-0.225205,-0.172508,-9.891926,
780,1398520039035,1398520039035,-0.214291,-0.166963,-9.893888,
790,1398520039045,1398520039045,-0.232697,-0.168993,-9.912060,
800,1398520039055,1398520039055,-0.223515,-0.168916,-9.906632,
810,1398520039065,1398520039065,-0.232587,-0.165219,-9.893759,
820,1398520039075,1398520039075,-0.232655,-0.161583,-9.899287,
830,1398520039085,1398520039085,-0.239748,-0.172516,-9.880813,
840,1398520039095,1398520039095,-0.236161,-0.168862,-9.886370,
850,1398520039105,1398520039105,-0.225247,-0.174384,-9.899243,
860,1398520039115,1398520039115,-0.230896,-0.159783,-9.906648,
870,1398520039125,1398520039125,-0.230745,-0.165199,-9.891940,
880,1398520039135,1398520039135,-0.216037,-0.183508,-9.899242,
890,1398520039145,1398520039145,-0.214250,-0.181687,-9.902937,
900,1398520039155,1398520039155,-0.221535,-0.174323,-9.891940,
910,1398520039165,1398520039165,-0.225261,-0.176239,-9.902894,
920,1398520039175,1398520039175,-0.225301,-0.168893,-9.901119,
930,1398520039185,1398520039185,-0.229012,-0.159731,-9.899330,
940,1398520039195,1398520039195,-0.223350,-0.183544,-9.899185,
950,1398520039205,1398520039205,-0.221480,-0.177970,-9.888245,
960,1398520039215,1398520039215,-0.214305,-0.174351,-9.902995,
970,1398520039225,1398520039225,-0.238167,-0.150564,-9.891999,
980,1398520039235,1398520039235,-0.225315,-0.165215,-9.899316,
990,1398520039245,1398520039245,-0.228917,-0.179946,-9.906503,
1000,1398520039255,1398520039255,-0.221686,-0.168907,-9.906647,
1010,1398520039265,1398520039265,-0.208710,-0.181617,-9.895649,
1020,1398520039275,1398520039275,-0.221576,-0.170666,-9.893802,
1030,1398520039285,1398520039285,-0.236230,-0.179982,-9.906445,
1040,1398520039295,1398520039295,-0.236229,-0.157848,-9.884624,
1050,1398520039305,1398520039305,-0.223322,-0.168767,-9.880971,
1060,1398520039315,1398520039315,-0.232531,-0.165176,-9.886427,
1070,1398520039325,1398520039325,-0.223501,-0.165216,-9.901163,
1080,1398520039335,1398520039335,-0.236174,-0.159650,-9.879110,
1090,1398520039345,1398520039345,-0.221576,-0.172511,-9.895620,
1100,1398520039355,1398520039355,-0.228862,-0.174370,-9.893715,
1110,1398520039365,1398520039365,-0.225165,-0.181698,-9.895519,
1120,1398520039375,1398520039375,-0.228971,-0.165233,-9.899286,
1130,1398520039385,1398520039385,-0.230786,-0.161542,-9.893803,
1140,1398520039395,1398520039395,-0.230814,-0.167097,-9.902924,
1150,1398520039405,1398520039405,-0.239886,-0.165244,-9.891869,
1160,1398520039415,1398520039415,-0.216091,-0.165106,-9.888390,
1170,1398520039425,1398520039425,-0.238044,-0.161535,-9.886414,
1180,1398520039435,1398520039435,-0.223308,-0.177979,-9.888230,
1190,1398520039445,1398520039445,-0.221618,-0.170698,-9.899301,
1200,1398520039455,1398520039455,-0.228944,-0.168900,-9.899258,
1210,1398520039465,1398520039465,-0.214305,-0.179885,-9.908450,
1220,1398520039475,1398520039475,-0.223528,-0.161549,-9.901192,
1230,1398520039485,1398520039485,-0.221604,-0.168843,-9.895649,
1240,1398520039495,1398520039495,-0.219762,-0.174357,-9.899286,
1250,1398520039505,1398520039505,-0.216133,-0.174360,-9.902981,
1260,1398520039515,1398520039515,-0.223583,-0.167125,-9.913979,
1270,1398520039525,1398520039525,-0.227143,-0.161535,-9.895664,
1280,1398520039535,1398520039535,-0.232614,-0.167084,-9.899243,
1290,1398520039545,1398520039545,-0.225329,-0.165225,-9.901149,
1300,1398520039555,1398520039555,-0.228862,-0.172525,-9.891897,
1310,1398520039565,1398520039565,-0.217865,-0.179828,-9.895591,
1320,1398520039575,1398520039575,-0.239968,-0.161619,-9.899229,
1330,1398520039585,1398520039585,-0.227047,-0.174372,-9.895563,
1340,1398520039595,1398520039595,-0.232573,-0.161519,-9.888289,
1350,1398520039605,1398520039605,-0.225246,-0.161473,-9.886514,
1360,1398520039615,1398520039615,-0.217905,-0.163260,-9.884724,
1370,1398520039625,1398520039625,-0.225356,-0.167091,-9.906632,
1380,1398520039635,1398520039635,-0.247226,-0.165301,-9.895477,
1390,1398520039645,1398520039645,-0.236229,-0.161537,-9.888261,
1400,1398520039655,1398520039655,-0.236147,-0.176229,-9.891810,
1410,1398520039665,1398520039665,-0.232531,-0.159643,-9.880972,
1420,1398520039675,1398520039675,-0.239844,-0.163368,-9.884551,
1430,1398520039685,1398520039685,-0.230662,-0.172513,-9.888217,
1440,1398520039695,1398520039695,-0.232615,-0.174462,-9.906517,
1450,1398520039705,1398520039705,-0.236271,-0.167102,-9.899215,
1460,1398520039715,1398520039715,-0.223473,-0.161506,-9.893860,
1470,1398520039725,1398520039725,-0.236133,-0.166996,-9.880885,
1480,1398520039735,1398520039735,-0.221535,-0.176168,-9.893759,
1490,1398520039745,1398520039745,-0.221576,-0.161444,-9.884709,
1500,1398520039755,1398520039755,-0.219748,-0.176191,-9.899272,
1510,1398520039765,1398520039765,-0.221562,-0.166967,-9.888332,
1520,1398520039775,1398520039775,-0.230840,-0.154207,-9.893861,
