Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2565441115000,2565441,1398518819074,9.861717,0.08140286,-0.23223756
2565451034000,2565451,1398518819084,9.874885,0.06943185,-0.23822308
2565461135000,2565461,1398518819094,9.860519,0.07062895,-0.2657564
2565471023000,2565471,1398518819104,9.872491,0.073023155,-0.24660277
2565481063000,2565481,1398518819114,9.876082,0.06584055,-0.272939
2565491195000,2565491,1398518819124,9.884461,0.06943185,-0.25139117
2565501082000,2565501,1398518819134,9.886856,0.055066638,-0.21547815
2565511123000,2565511,1398518819144,9.883265,0.07062895,-0.24779987
2565521132000,2565521,1398518819154,9.886856,0.059855044,-0.22744916
2565531112000,2565531,1398518819164,9.874885,0.06823475,-0.23822308
2565541121000,2565541,1398518819174,9.8916445,0.05746084,-0.25498247
2565551040000,2565551,1398518819184,9.861717,0.051475335,-0.25737667
2565561446000,2565561,1398518819195,9.861717,0.051475335,-0.25737667
2565571059000,2565571,1398518819204,9.861717,0.076614454,-0.22385786
2565581099000,2565581,1398518819214,9.865308,0.06464344,-0.22385786
2565591048000,2565591,1398518819224,9.878476,0.05746084,-0.22984336
2565601088000,2565601,1398518819234,9.862914,0.06344634,-0.2681506
2565611068000,2565611,1398518819244,9.8677025,0.059855044,-0.25498247
2565621077000,2565621,1398518819254,9.864111,0.077811554,-0.2645593
2565631057000,2565631,1398518819264,9.864111,0.08379706,-0.23942018
2565641066000,2565641,1398518819274,9.8677025,0.06584055,-0.24779987
2565651046000,2565651,1398518819284,9.876082,0.079008654,-0.25737667
2565661086000,2565661,1398518819294,9.873688,0.06823475,-0.25139117
2565671065000,2565671,1398518819304,9.880871,0.05267244,-0.2717419
2565681075000,2565681,1398518819314,9.871294,0.053869538,-0.24301147
2565691085000,2565691,1398518819324,9.871294,0.053869538,-0.24301147
2565701095000,2565701,1398518819334,9.870096,0.06464344,-0.25378537
2565711043000,2565711,1398518819344,9.888053,0.076614454,-0.25498247
2565721084000,2565721,1398518819354,9.873688,0.08140286,-0.24181437
2565731063000,2565731,1398518819364,9.883265,0.07182605,-0.24779987
2565741134000,2565741,1398518819374,9.866506,0.07182605,-0.23223756
2565751082000,2565751,1398518819384,9.853337,0.06943185,-0.22864626
2565761062000,2565761,1398518819394,9.868899,0.07182605,-0.22984336
2565771102000,2565771,1398518819404,9.860519,0.06823475,-0.21547815
2565781081000,2565781,1398518819414,9.876082,0.053869538,-0.23582886
2565791091000,2565791,1398518819424,9.872491,0.08140286,-0.2681506
2565801101000,2565801,1398518819434,9.876082,0.051475335,-0.25378537
2565811080000,2565811,1398518819444,9.860519,0.062249243,-0.25617957
2565821090000,2565821,1398518819454,9.860519,0.062249243,-0.25617957
2565831038000,2565831,1398518819464,9.864111,0.062249243,-0.24181437
2565841140000,2565841,1398518819474,9.879673,0.05746084,-0.23702596
2565851088000,2565851,1398518819484,9.8677025,0.07182605,-0.23104046
2565861098000,2565861,1398518819494,9.874885,0.053869538,-0.22744916
2565871047000,2565871,1398518819504,9.880871,0.051475335,-0.2621651
