Creation_Time,Sensor_Time,Arrival_Time,x,y,z
664062963988,664063,1398518819069,-1.8681152,5.8725877,5.767207
664072931988,664073,1398518819079,-1.8681152,5.8725877,5.767207
664082993988,664083,1398518819089,-1.8681152,5.8725877,5.767207
664092966988,664093,1398518819099,-1.8681152,5.8725877,5.767207
664102983988,664103,1398518819109,-1.8681152,5.8725877,5.767207
664112946988,664113,1398518819119,-1.8681152,5.8725877,5.767207
664122987988,664123,1398518819129,-1.8681152,5.8725877,5.767207
664132964988,664133,1398518819139,-1.8681152,5.8725877,5.767207
664142939988,664143,1398518819149,-1.8681152,5.8725877,5.767207
664152966988,664153,1398518819159,-1.8681152,5.8725877,5.767207
664162950988,664163,1398518819169,-1.8681152,5.8725877,5.767207
664172963988,664173,1398518819179,-1.8681152,5.8725877,5.767207
664182973988,664183,1398518819189,-1.8681152,5.8725877,5.767207
664193161988,664193,1398518819199,-1.8681152,5.8725877,5.767207
664203061988,664203,1398518819209,-1.8681152,5.8725877,5.767207
664212933988,664213,1398518819219,-1.8681152,5.8725877,5.767207
664222983988,664223,1398518819229,-1.8681152,5.8725877,5.767207
664232947988,664233,1398518819239,-1.8681152,5.8725877,5.767207
664242957988,664243,1398518819249,-1.8681152,5.8725877,5.767207
664252946988,664253,1398518819259,-1.8681152,5.8725877,5.767207
664262989988,664263,1398518819269,-1.8681152,5.8725877,5.767207
664272991988,664273,1398518819279,-1.8681152,5.8725877,5.767207
664282952988,664283,1398518819289,-1.8681152,5.8725877,5.767207
664292972988,664293,1398518819299,-1.8681152,5.8725877,5.767207
664302946988,664303,1398518819309,-1.8681152,5.8725877,5.767207
664312966988,664313,1398518819319,-1.8681152,5.8725877,5.767207
664322945988,664323,1398518819329,-1.8681152,5.8725877,5.767207
664332996988,664333,1398518819339,-1.8681152,5.8725877,5.767207
664342974988,664343,1398518819349,-1.8681152,5.8725877,5.767207
664352931988,664353,1398518819359,-1.8681152,5.8725877,5.767207
664363019988,664363,1398518819369,-1.8681152,5.8725877,5.767207
664372979988,664373,1398518819379,-1.8681152,5.8725877,5.767207
