Index,Arrival_Time,Creation_Time,x,y,z
198184,1425048302845,15034121380000,9.747394,0.05267244,-0.7793127
198185,1425048302854,15034131206000,9.738416,0.034715924,-0.75716627
198186,1425048302864,15034141264000,9.750386,0.05805939,-0.8050503
198187,1425048302874,15034151193000,9.737817,0.03232172,-0.80086046
198188,1425048302884,15034161135000,9.764751,0.03232172,-0.79367787
198189,1425048302894,15034170879000,9.7402115,0.035314474,-0.7811083
198190,1425048302904,15034180949000,9.75697,0.050278235,-0.78410107
198191,1425048302914,15034190713000,9.754577,0.02932897,-0.7691373
198192,1425048302924,15034200776000,9.744401,0.040102877,-0.7811083
198193,1425048302934,15034210678000,9.742006,0.040102877,-0.75357497
198194,1425048302944,15034220778000,9.739014,0.02633622,-0.7745243
198195,1425048302953,15034230498000,9.767146,0.035314474,-0.7745243
198196,1425048302964,15034240636000,9.7479925,0.05207389,-0.7637503
198197,1425048302973,15034250392000,9.767146,0.045489833,-0.8026561
198198,1425048302983,15034260432000,9.758766,0.05327099,-0.78170687
198199,1425048302993,15034270287000,9.753379,0.046686932,-0.7667431
198200,1425048303003,15034280456000,9.76116,0.077213004,-0.7846996
198201,1425048303013,15034290179000,9.742006,0.051475335,-0.7661445
198202,1425048303023,15034300221000,9.73662,0.044292733,-0.7739257
198203,1425048303033,15034310165000,9.760562,0.06344634,-0.7751228
198204,1425048303043,15034320165000,9.754577,0.038905777,-0.7811083
198205,1425048303053,15034329976000,9.765948,0.04189853,-0.7625532
198206,1425048303063,15034340172000,9.759365,0.04070143,-0.7745243
198207,1425048303073,15034349871000,9.752182,0.02873042,-0.7727286
198208,1425048303083,15034359914000,9.745598,0.047884032,-0.81043726
198209,1425048303093,15034369752000,9.739014,0.023942016,-0.7769185
198210,1425048303103,15034379797000,9.76535,0.04309563,-0.7823054
198211,1425048303113,15034389651000,9.754577,0.01316811,-0.7811083
198212,1425048303123,15034399851000,9.763555,0.050278235,-0.76195467
198213,1425048303133,15034409815000,9.734225,0.050876785,-0.78769237
198214,1425048303143,15034419853000,9.754577,0.026934769,-0.7565677
198215,1425048303153,15034429714000,9.743204,0.054468088,-0.8050503
198216,1425048303163,15034439745000,9.749788,0.054468088,-0.7858967
198217,1425048303173,15034449603000,9.74859,0.05925649,-0.7966706
198218,1425048303183,15034459776000,9.764751,0.04249708,-0.80684596
198219,1425048303193,15034469501000,9.758766,0.035314474,-0.79846627
198220,1425048303203,15034479531000,9.750985,0.040102877,-0.79607207
198221,1425048303213,15034489388000,9.750985,0.047884032,-0.7757214
198222,1425048303223,15034499422000,9.754577,0.04369418,-0.7613561
198223,1425048303233,15034509278000,9.768343,0.05925649,-0.760159
198224,1425048303243,15034519474000,9.758167,0.05327099,-0.79966336
198225,1425048303252,15034529182000,9.739014,0.047285482,-0.79008657
198226,1425048303262,15034539222000,9.730635,0.06703765,-0.7978677
198227,1425048303272,15034549079000,9.743802,0.044292733,-0.7703344
198228,1425048303282,15034559116000,9.753978,0.049081136,-0.7428011
198229,1425048303292,15034568981000,9.754577,0.046088383,-0.7398083
198230,1425048303302,15034579147000,9.762956,0.05207389,-0.78290397
198231,1425048303312,15034588864000,9.75697,0.032920275,-0.7787141
198232,1425048303322,15034598908000,9.7641535,0.044891283,-0.78290397
198233,1425048303332,15034608760000,9.744401,0.037708677,-0.7398083
198234,1425048303342,15034618815000,9.743802,0.038905777,-0.78410107
198235,1425048303352,15034628668000,9.751583,0.02873042,-0.7649474
198236,1425048303362,15034638825000,9.752182,0.032920275,-0.7625532
198237,1425048303372,15034648557000,9.746197,0.038905777,-0.7457938
198238,1425048303382,15034658593000,9.737817,0.04129998,-0.8002619
198239,1425048303392,15034668448000,9.735423,0.05566519,-0.79008657
198240,1425048303402,15034678494000,9.739014,0.053869538,-0.7757214
198241,1425048303412,15034688347000,9.764751,0.040102877,-0.80445176
198242,1425048303422,15034698530000,9.740809,0.035913024,-0.76434886
198243,1425048303432,15034708276000,9.745,0.061052144,-0.7930793
198244,1425048303442,15034718351000,9.766547,0.02633622,-0.79726917
198245,1425048303451,15034728185000,9.763555,0.055066638,-0.7930793
198246,1425048303461,15034738231000,9.749189,0.054468088,-0.78290397
198247,1425048303471,15034748088000,9.767744,0.034715924,-0.78050977
198248,1425048303482,15034758258000,9.760562,0.059855044,-0.7823054
198249,1425048303491,15034767987000,9.764751,0.050278235,-0.777517
198250,1425048303501,15034778025000,9.741408,0.04369418,-0.7715315
198251,1425048303511,15034787876000,9.73662,0.030526072,-0.7721301
198252,1425048303521,15034797922000,9.768942,0.02873042,-0.78170687
198253,1425048303531,15034807747000,9.749788,0.025737667,-0.7930793
198254,1425048303541,15034817946000,9.783905,0.048482586,-0.78170687
198255,1425048303551,15034827667000,9.745,0.047285482,-0.7870938
198256,1425048303561,15034837707000,9.743802,0.034715924,-0.7858967
198257,1425048303571,15034847564000,9.75697,0.06284779,-0.7882909
198258,1425048303581,15034857955000,9.754577,0.05267244,-0.7703344
198259,1425048303591,15034867453000,9.755175,0.035913024,-0.7745243
198260,1425048303601,15034877633000,9.749189,0.04249708,-0.78290397
198261,1425048303611,15034887349000,9.742006,0.04309563,-0.7739257
198262,1425048303621,15034897391000,9.750985,0.05746084,-0.7715315
198263,1425048303630,15034907214000,9.745,0.037708677,-0.7757214
198264,1425048303641,15034917282000,9.7641535,0.05805939,-0.7745243
198265,1425048303650,15034927133000,9.746795,0.048482586,-0.7745243
198266,1425048303661,15034937303000,9.753978,0.0664391,-0.7469909
198267,1425048303670,15034947022000,9.728839,0.049679685,-0.78170687
198268,1425048303680,15034957068000,9.744401,0.034117375,-0.7811083
198269,1425048303690,15034966915000,9.746795,0.044292733,-0.789488
198270,1425048303700,15034976953000,9.739014,0.04369418,-0.7745243
198271,1425048303710,15034986815000,9.734824,0.05267244,-0.78649527
198272,1425048303720,15034996973000,9.745,0.065242,-0.770933
198273,1425048303730,15035006856000,9.7402115,0.048482586,-0.76554596
198274,1425048303740,15035016767000,9.746197,0.05267244,-0.7882909
198275,1425048303750,15035026616000,9.755175,0.034117375,-0.78050977
198276,1425048303760,15035036651000,9.759365,0.04369418,-0.7691373
198277,1425048303770,15035046508000,9.744401,0.05566519,-0.76434886
198278,1425048303780,15035056677000,9.758167,0.05746084,-0.78050977
198279,1425048303790,15035066404000,9.745,0.062249243,-0.801459
