Creation_Time,Sensor_Time,Arrival_Time,x,y,z
589750729000,589750,1398518819067,9.940725,0.02873042,-0.4213795
589760838000,589761,1398518819077,9.940725,0.06703765,-0.4309563
589773608000,589774,1398518819090,9.959879,0.02873042,-0.40222588
589791155000,589791,1398518819107,9.911995,0.06703765,-0.40222588
589801219000,589801,1398518819117,9.911995,0.08619126,-0.4309563
589811327000,589811,1398518819127,9.931149,0.06703765,-0.4309563
589821435000,589821,1398518819137,9.931149,0.05746084,-0.39264908
589831520000,589831,1398518819148,9.950302,0.05746084,-0.4213795
589841652000,589842,1398518819158,9.931149,0.038307227,-0.45010993
589851712000,589851,1398518819168,9.940725,0.047884032,-0.45010993
589861819000,589862,1398518819178,9.921572,0.05746084,-0.41180268
589871945000,589872,1398518819188,9.911995,0.05746084,-0.37349546
589882006000,589882,1398518819198,9.931149,0.05746084,-0.4213795
589892132000,589892,1398518819208,9.902418,0.076614454,-0.40222588
589902197000,589902,1398518819218,9.911995,0.06703765,-0.36391866
589912402000,589912,1398518819228,9.921572,0.06703765,-0.38307226
589922407000,589922,1398518819238,9.921572,0.02873042,-0.37349546
589932480000,589932,1398518819249,9.921572,0.038307227,-0.39264908
589942610000,589942,1398518819259,9.911995,0.047884032,-0.39264908
589952836000,589953,1398518819269,9.950302,0.076614454,-0.4309563
589962864000,589963,1398518819279,9.950302,0.05746084,-0.45010993
589973148000,589974,1398518819290,9.950302,0.06703765,-0.4405331
589983056000,589983,1398518819299,9.950302,0.06703765,-0.4309563
589993163000,589993,1398518819309,9.902418,0.02873042,-0.39264908
590003827000,590004,1398518819320,9.911995,0.047884032,-0.38307226
590013913000,590014,1398518819330,9.902418,0.06703765,-0.38307226
590024108000,590024,1398518819340,9.902418,0.06703765,-0.41180268
590034114000,590034,1398518819350,9.931149,0.02873042,-0.39264908
590044232000,590044,1398518819360,9.921572,0.047884032,-0.4309563
590054325000,590054,1398518819370,9.911995,0.05746084,-0.4213795
590064412000,590064,1398518819380,9.921572,0.038307227,-0.41180268
590074548000,590074,1398518819391,9.940725,0.02873042,-0.41180268
590084604000,590084,1398518819401,9.921572,0.038307227,-0.38307226
590094710000,590095,1398518819411,9.921572,0.047884032,-0.41180268
590104827000,590105,1398518819421,9.921572,0.038307227,-0.45010993
590114909000,590115,1398518819431,9.931149,0.05746084,-0.45010993
590125073000,590125,1398518819441,9.931149,0.047884032,-0.40222588
590135092000,590135,1398518819451,9.940725,0.047884032,-0.4309563
590145211000,590145,1398518819461,9.911995,0.05746084,-0.39264908
590155351000,590155,1398518819471,9.921572,0.038307227,-0.39264908
590165404000,590165,1398518819481,9.892841,0.076614454,-0.4213795
590175526000,590175,1398518819492,9.921572,0.06703765,-0.40222588
590185587000,590185,1398518819502,9.902418,0.06703765,-0.45010993
590195848000,590196,1398518819512,9.921572,0.076614454,-0.4213795
590205950000,590206,1398518819522,9.950302,0.06703765,-0.45010993
590216031000,590216,1398518819532,9.940725,0.047884032,-0.4213795
590226253000,590226,1398518819542,9.931149,0.06703765,-0.45010993
590236957000,590237,1398518819553,9.950302,0.047884032,-0.38307226
590246488000,590246,1398518819563,9.969456,0.047884032,-0.41180268
590256882000,590257,1398518819573,9.921572,0.05746084,-0.45010993
590266684000,590266,1398518819583,9.921572,0.047884032,-0.4213795
590276788000,590277,1398518819593,9.921572,0.038307227,-0.4309563
590287224000,590287,1398518819603,9.921572,0.02873042,-0.4213795
590297312000,590297,1398518819613,9.921572,0.038307227,-0.41180268
590307491000,590307,1398518819624,9.931149,0.05746084,-0.4405331
590317536000,590317,1398518819634,9.931149,0.038307227,-0.45010993
590327640000,590327,1398518819644,9.931149,0.038307227,-0.41180268
590337753000,590338,1398518819654,9.921572,0.047884032,-0.4309563
590347836000,590348,1398518819664,9.902418,0.06703765,-0.4213795
590357967000,590358,1398518819674,9.902418,0.05746084,-0.4213795
590368037000,590368,1398518819684,9.892841,0.05746084,-0.4309563
