Creation_Time,Sensor_Time,Arrival_Time,x,y,z
482282155000,482282,1398518819070,10.419436,-0.459681,0.0
482321859000,482322,1398518819110,10.572663,-0.612908,0.0
482331777000,482332,1398518819120,10.572663,-0.459681,-0.153227
482352163000,482352,1398518819140,10.572663,-0.459681,0.0
482382589000,482383,1398518819171,10.72589,-0.459681,0.0
482402212000,482402,1398518819191,10.572663,-0.459681,-0.153227
482411733000,482412,1398518819200,10.572663,-0.459681,0.0
482431753000,482432,1398518819220,10.419436,-0.459681,0.0
482492147000,482492,1398518819280,10.572663,-0.459681,0.0
482512838000,482513,1398518819301,10.419436,-0.459681,0.0
482541738000,482542,1398518819330,10.419436,-0.459681,0.153227
482562734000,482569,1398518819357,10.572663,-0.306454,0.0
482582204000,482586,1398518819374,10.419436,-0.459681,0.0
482605520000,482606,1398518819394,10.572663,-0.459681,0.0
482623586000,482624,1398518819412,10.419436,-0.306454,0.0
482641775000,482642,1398518819430,10.572663,-0.459681,0.0
482675588000,482676,1398518819464,10.419436,-0.459681,0.0
482693807000,482694,1398518819483,10.419436,-0.306454,0.0
482711782000,482712,1398518819500,10.572663,-0.612908,0.0
482722249000,482722,1398518819511,10.419436,-0.459681,0.0
482821798000,482822,1398518819610,10.572663,-0.459681,0.0
482831746000,482834,1398518819622,10.572663,-0.459681,0.153227
482851766000,482852,1398518819640,10.572663,-0.459681,0.0
482871786000,482872,1398518819660,10.419436,-0.459681,0.0
482903432000,482903,1398518819692,10.572663,-0.459681,0.0
482932149000,482932,1398518819720,10.419436,-0.459681,0.0
482952810000,482956,1398518819744,10.572663,-0.459681,0.0
482961843000,482962,1398518819750,10.419436,-0.306454,0.0
482982229000,482982,1398518819771,10.419436,-0.459681,0.153227
483002218000,483006,1398518819794,10.419436,-0.306454,0.0
483011739000,483012,1398518819800,10.419436,-0.459681,0.0
483031759000,483032,1398518819820,10.572663,-0.459681,0.0
483095571000,483096,1398518819884,10.419436,-0.459681,0.0
483142141000,483142,1398518819930,10.572663,-0.459681,0.0
483162862000,483163,1398518819951,10.419436,-0.459681,0.0
483181722000,483185,1398518819973,10.572663,-0.459681,0.0
483212148000,483212,1398518820000,10.419436,-0.459681,0.0
483221792000,483222,1398518820010,10.419436,-0.612908,0.0
483241720000,483242,1398518820030,10.419436,-0.459681,0.0
483291829000,483292,1398518820080,10.572663,-0.612908,0.0
483302846000,483306,1398518820094,10.572663,-0.459681,0.0
483375692000,483376,1398518820164,10.419436,-0.306454,0.0
483394399000,483394,1398518820183,10.419436,-0.459681,0.0
483431814000,483432,1398518820220,10.572663,-0.306454,0.0
483451803000,483452,1398518820240,10.572663,-0.459681,0.153227
483464193000,483465,1398518820253,10.572663,-0.459681,0.0
483501729000,483502,1398518820290,10.419436,-0.459681,0.0
483515554000,483516,1398518820304,10.572663,-0.459681,0.0
483534261000,483535,1398518820323,10.419436,-0.459681,-0.153227
483551778000,483552,1398518820340,10.572663,-0.459681,0.0
483562154000,483562,1398518820350,10.419436,-0.459681,0.0
483602865000,483603,1398518820391,10.572663,-0.459681,0.0
483611715000,483612,1398518820400,10.419436,-0.459681,0.0
483632162000,483632,1398518820420,10.572663,-0.459681,0.0
483641714000,483642,1398518820430,10.419436,-0.459681,0.0
483661733000,483662,1398518820450,10.572663,-0.459681,0.0
483675588000,483676,1398518820464,10.419436,-0.459681,0.0
483693471000,483694,1398518820482,10.572663,-0.459681,0.0
483722188000,483722,1398518820511,10.572663,-0.459681,0.153227
483731740000,483732,1398518820520,10.419436,-0.459681,0.153227
483745626000,483746,1398518820534,10.572663,-0.459681,0.0
483771749000,483772,1398518820560,10.419436,-0.459681,0.0
483792165000,483792,1398518820581,10.572663,-0.459681,0.0
483812856000,483816,1398518820604,10.572663,-0.612908,0.0
483821859000,483822,1398518820610,10.419436,-0.459681,0.0
483842153000,483842,1398518820630,10.572663,-0.459681,0.0
483871786000,483872,1398518820660,10.419436,-0.459681,0.0
483891744000,483892,1398518820680,10.572663,-0.459681,0.0
483901754000,483903,1398518820692,10.419436,-0.459681,0.0
483941823000,483942,1398518820730,10.572663,-0.306454,0.0
483971944000,483972,1398518820760,10.419436,-0.459681,-0.153227
483981710000,483982,1398518820770,10.572663,-0.459681,-0.153227
484002279000,484002,1398518820791,10.572663,-0.459681,0.0
484022909000,484026,1398518820814,10.419436,-0.459681,0.0
484072286000,484072,1398518820861,10.572663,-0.459681,0.153227
484083486000,484084,1398518820872,10.572663,-0.459681,0.0
484115285000,484115,1398518820904,10.419436,-0.459681,0.0
484151754000,484152,1398518820940,10.419436,-0.459681,-0.153227
484162160000,484166,1398518820954,10.419436,-0.459681,0.0
484212209000,484212,1398518821001,10.572663,-0.612908,0.0
484232229000,484232,1398518821021,10.419436,-0.459681,0.0
484261678000,484262,1398518821050,10.572663,-0.459681,0.0
484325704000,484326,1398518821114,10.419436,-0.459681,-0.153227
484341878000,484342,1398518821130,10.572663,-0.306454,0.0
484361776000,484362,1398518821150,10.419436,-0.459681,0.0
484372182000,484372,1398518821161,10.572663,-0.459681,0.0
484392812000,484396,1398518821184,10.419436,-0.459681,0.0
484413381000,484413,1398518821202,10.572663,-0.459681,0.0
