Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398518818914312477,925487,1398518819066,9.863113,-0.29458618,0.047836304
1398518818920629616,925499,1398518819078,9.919052,-0.30767822,0.1382904
1398518818925817604,925499,1398518819078,9.848831,-0.26602173,0.082351685
1398518818929449196,925504,1398518819083,9.846451,-0.28863525,0.12162781
1398518818934454079,925509,1398518819088,9.869064,-0.28268433,0.04902649
1398518818939489479,925516,1398518819095,9.869064,-0.30291748,0.045455933
1398518818944677468,925518,1398518819097,9.90358,-0.31958008,0.10139465
1398518818949560280,925527,1398518819106,9.832169,-0.24816895,0.071640015
1398518818954748268,925528,1398518819107,9.859543,-0.293396,0.1882782
1398518818959631081,925537,1398518819116,9.920242,-0.31362915,0.04664612
1398518818964849587,925538,1398518819117,9.84407,-0.27078247,0.033554077
1398518818970983620,925551,1398518819130,9.852402,-0.29815674,0.095443726
1398518818976232643,925551,1398518819130,9.847641,-0.25888062,0.01927185
1398518818979772683,925554,1398518819133,9.847641,-0.25888062,0.01927185
1398518818984808083,925559,1398518819138,9.890488,-0.29696655,0.0728302
1398518818989904518,925568,1398518819147,9.807175,-0.25054932,0.16447449
1398518818995245095,925568,1398518819147,9.882156,-0.23031616,0.13352966
1398518819000005837,925578,1398518819157,9.833359,-0.32910156,0.022842407
1398518819005376931,925578,1398518819157,9.832169,-0.3088684,0.20970154
1398518819010107155,925589,1398518819167,9.890488,-0.29815674,0.19898987
1398518819015508767,925589,1398518819168,9.857162,-0.29934692,0.09663391
1398518819020666237,925599,1398518819178,9.894058,-0.31243896,0.045455933
1398518819025915261,925600,1398518819179,9.886917,-0.261261,0.11329651
1398518819030126686,925607,1398518819186,9.886917,-0.261261,0.11329651
1398518819035162087,925608,1398518819187,9.847641,-0.325531,0.09901428
1398518819040319558,925619,1398518819198,9.864304,-0.26245117,0.0894928
1398518819045751686,925619,1398518819198,9.84288,-0.25888062,0.11329651
1398518819050390358,925629,1398518819208,9.861923,-0.26245117,0.15852356
1398518819055791970,925629,1398518819208,9.885727,-0.2695923,0.09068298
1398518819060583229,925639,1398518819218,9.847641,-0.3267212,0.04902649
1398518819065984841,925639,1398518819218,9.854782,-0.2600708,0.10972595
1398518819070715065,925649,1398518819228,9.883347,-0.23983765,0.114486694
1398518819076086159,925649,1398518819228,9.886917,-0.23388672,0.1466217
1398518819080480690,925657,1398518819236,9.84169,-0.30291748,0.15376282
1398518819085699196,925659,1398518819238,9.852402,-0.2600708,0.15257263
1398518819091070290,925670,1398518819249,9.892868,-0.2434082,0.093063354
1398518819096258278,925670,1398518819249,9.822647,-0.25769043,0.16685486
1398518819100774880,925679,1398518819258,9.850021,-0.28030396,0.0811615
1398518819106145974,925679,1398518819258,9.861923,-0.25054932,0.07997131
1398518819111303444,925690,1398518819269,9.813126,-0.2922058,0.095443726
1398518819116521950,925690,1398518819269,9.866684,-0.2112732,0.11091614
1398518819120885964,925699,1398518819278,9.877396,-0.28863525,0.0978241
1398518819126257058,925699,1398518819278,9.90715,-0.32196045,0.17637634
1398518819130834694,925705,1398518819284,9.848831,-0.27792358,0.11805725
1398518819135870095,925710,1398518819289,9.832169,-0.2838745,0.06687927
1398518819141027565,925719,1398518819298,9.864304,-0.293396,0.11924744
1398518819146398659,925720,1398518819299,9.871445,-0.31600952,0.12638855
1398518819151556130,925731,1398518819310,9.832169,-0.28863525,0.1466217
1398518819156835671,925731,1398518819310,9.858353,-0.2767334,0.10972595
1398518819161077614,925738,1398518819317,9.836929,-0.27792358,0.11210632
1398518819166143532,925740,1398518819318,9.859543,-0.32077026,0.09187317
1398518819172002907,925751,1398518819330,9.901199,-0.28268433,0.15257263
1398518819177282448,925751,1398518819330,9.867874,-0.28982544,0.04902649
1398518819181219216,925759,1398518819338,9.851212,-0.261261,0.07997131
1398518819186407204,925761,1398518819340,9.866684,-0.2850647,0.13233948
1398518819191412087,925770,1398518819349,9.858353,-0.25650024,0.16209412
1398518819196783181,925770,1398518819349,9.8381195,-0.22793579,0.0811615
1398518819201940651,925781,1398518819360,9.886917,-0.2838745,0.12519836
1398518819207220192,925781,1398518819360,9.860733,-0.31124878,0.0811615
1398518819211523171,925790,1398518819369,9.892868,-0.27316284,0.15019226
1398518819216833229,925790,1398518819369,9.867874,-0.28268433,0.12519836
1398518819222173806,925801,1398518819380,9.84288,-0.24102783,0.06568909
1398518819227361794,925801,1398518819380,9.873825,-0.24578857,0.084732056
1398518819231664772,925811,1398518819390,9.879776,-0.2517395,0.10496521
1398518819236974831,925811,1398518819390,9.90477,-0.3088684,0.07521057
1398518819241705056,925820,1398518819399,9.858353,-0.32196045,0.10853577
1398518819246984597,925820,1398518819399,9.848831,-0.30529785,0.16685486
1398518819252477761,925831,1398518819410,9.83931,-0.27197266,0.12876892
1398518819257696267,925831,1398518819410,9.879776,-0.19818115,0.07044983
1398518819261816140,925840,1398518819419,9.879776,-0.19818115,0.07044983
1398518819267034645,925840,1398518819419,9.830978,-0.28268433,0.12638855
1398518819272710915,925851,1398518819430,9.875015,-0.2755432,0.095443726
1398518819277990456,925852,1398518819431,9.8059845,-0.29101563,0.10139465
1398518819281896706,925861,1398518819440,9.8059845,-0.29101563,0.10139465
1398518819287145729,925861,1398518819440,9.882156,-0.2684021,0.10258484
1398518819292120095,925871,1398518819450,9.865494,-0.28030396,0.074020386
1398518819297491188,925871,1398518819450,9.863113,-0.29458618,0.056167603
1398518819302343483,925881,1398518819460,9.834549,-0.29696655,0.082351685
1398518819307653542,925881,1398518819460,9.864304,-0.28268433,0.12281799
1398518819312261696,925891,1398518819470,9.884537,-0.27316284,0.14543152
1398518819317754860,925891,1398518819470,9.807175,-0.27792358,0.12876892
1398518819322515602,925901,1398518819480,9.851212,-0.29577637,0.063308716
1398518819327795143,925901,1398518819480,9.871445,-0.31124878,0.13471985
1398518819332464333,925911,1398518819490,9.888107,-0.25531006,0.09663391
