Creation_Time,Sensor_Time,Arrival_Time,x,y,z
997312735000,997313,1398518819089,9.956474,-0.10896278,0.38136974
997352652000,997353,1398518819129,9.956474,-0.08172209,0.38136974
997422293000,997423,1398518819199,9.956474,-0.10896278,0.3405087
997452475000,997453,1398518819229,9.915613,-0.10896278,0.3405087
997492545000,997493,1398518819269,9.915613,-0.08172209,0.38136974
997562399000,997563,1398518819339,9.956474,-0.10896278,0.3405087
997605338000,997606,1398518819382,9.956474,-0.10896278,0.38136974
997682242000,997682,1398518819458,9.956474,-0.08172209,0.38136974
997722311000,997723,1398518819499,9.956474,-0.10896278,0.38136974
997762656000,997763,1398518819539,9.915613,-0.08172209,0.38136974
997802451000,997803,1398518819579,9.915613,-0.10896278,0.3405087
997842856000,997843,1398518819619,9.915613,-0.10896278,0.42223078
997882224000,997883,1398518819659,9.956474,-0.14982383,0.42223078
997912589000,997913,1398518819689,9.915613,-0.10896278,0.3405087
997942221000,997943,1398518819719,9.956474,-0.08172209,0.38136974
997977469000,997978,1398518819754,9.915613,-0.08172209,0.38136974
998012198000,998012,1398518819788,9.915613,-0.10896278,0.3405087
998042288000,998043,1398518819819,9.956474,-0.10896278,0.3405087
998112357000,998113,1398518819889,9.956474,-0.10896278,0.38136974
998142416000,998143,1398518819919,9.956474,-0.10896278,0.42223078
998182364000,998182,1398518819958,9.915613,-0.10896278,0.46309182
998212302000,998213,1398518819989,9.956474,-0.10896278,0.42223078
998242972000,998243,1398518820019,9.915613,-0.10896278,0.38136974
998282340000,998283,1398518820059,9.956474,-0.10896278,0.38136974
998312888000,998314,1398518820090,9.915613,-0.10896278,0.46309182
998342337000,998343,1398518820119,9.915613,-0.10896278,0.38136974
998424979000,998425,1398518820201,9.915613,-0.10896278,0.42223078
998492270000,998493,1398518820269,9.956474,-0.10896278,0.42223078
998522421000,998523,1398518820299,9.915613,-0.10896278,0.3405087
998562338000,998563,1398518820339,9.956474,-0.10896278,0.38136974
998592734000,998593,1398518820369,9.915613,-0.10896278,0.3405087
998672446000,998673,1398518820449,9.915613,-0.10896278,0.38136974
