Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1424455353636,1424456,1398518819072,9.465716,-0.34428406,-0.88196594
1424463501829,1424464,1398518819080,9.312435,-0.4209247,-0.49876282
1424472229856,1424473,1398518819089,9.389075,-0.38260436,-0.57540345
1424479737181,1424480,1398518819096,9.504036,-0.38260436,-0.65204406
1424487854856,1424488,1398518819104,9.580677,-0.53588563,-0.57540345
1424495972532,1424496,1398518819112,9.350755,-0.459245,-0.69036436
1424504090208,1424504,1398518819120,9.427396,-0.30596375,-0.65204406
1424512848753,1424513,1398518819129,9.465716,-0.53588563,-0.49876282
1424520325559,1424521,1398518819137,9.350755,-0.4209247,-0.65204406
1424528443235,1424529,1398518819145,9.504036,-0.30596375,-0.53708315
1424537323850,1424538,1398518819154,9.312435,-0.459245,-0.57540345
1424544678587,1424545,1398518819161,9.350755,-0.26764342,-0.65204406
1424552796262,1424553,1398518819169,9.465716,-0.459245,-0.72868466
1424561707395,1424562,1398518819178,9.427396,-0.34428406,-0.53708315
1424569031613,1424569,1398518819185,9.274115,-0.53588563,-0.4604425
1424577149289,1424578,1398518819194,9.274115,-0.4209247,-0.72868466
1424586060422,1424586,1398518819203,9.312435,-0.34428406,-0.57540345
1424593415158,1424594,1398518819210,9.350755,-0.34428406,-0.72868466
1424601532834,1424602,1398518819218,9.350755,-0.30596375,-0.53708315
1424610077756,1424610,1398518819227,9.504036,-0.4209247,-0.61372375
1424617768186,1424618,1398518819234,9.389075,-0.34428406,-0.61372375
1424626404660,1424627,1398518819243,9.312435,-0.459245,-0.65204406
1424634003537,1424634,1398518819250,9.427396,-0.459245,-0.57540345
1424643006223,1424643,1398518819259,9.274115,-0.4975653,-0.57540345
1424650238889,1424651,1398518819267,9.312435,-0.34428406,-0.57540345
1424658326047,1424659,1398518819275,9.389075,-0.4209247,-0.61372375
1424666474240,1424667,1398518819283,9.350755,-0.30596375,-0.61372375
1424675110715,1424675,1398518819292,9.274115,-0.459245,-0.61372375
1424682679074,1424683,1398518819299,9.504036,-0.38260436,-0.65204406
1424691346067,1424692,1398518819308,9.312435,-0.34428406,-0.53708315
1424698944943,1424699,1398518819315,9.427396,-0.34428406,-0.72868466
1424707062619,1424707,1398518819323,9.427396,-0.459245,-0.57540345
1424715180295,1424716,1398518819332,9.350755,-0.57420594,-0.61372375
1424723297971,1424724,1398518819340,9.389075,-0.38260436,-0.57540345
1424731415647,1424732,1398518819348,9.5423565,-0.53588563,-0.65204406
1424739533322,1424740,1398518819356,9.504036,-0.30596375,-0.69036436
1424747650998,1424748,1398518819364,9.350755,-0.38260436,-0.53708315
1424756531613,1424757,1398518819373,9.465716,-0.38260436,-0.61372375
1424763886350,1424764,1398518819380,9.427396,-0.4209247,-0.53708315
1424772004026,1424772,1398518819388,9.427396,-0.26764342,-0.53708315
1424780640501,1424781,1398518819397,9.465716,-0.57420594,-0.69036436
1424788239378,1424789,1398518819405,9.350755,-0.30596375,-0.69036436
1424796357053,1424797,1398518819413,9.465716,-0.26764342,-0.53708315
1424805024046,1424805,1398518819421,9.465716,-0.4209247,-0.61372375
1424812592405,1424813,1398518819429,9.427396,-0.53588563,-0.49876282
1424820710081,1424821,1398518819437,9.427396,-0.459245,-0.53708315
1424828827757,1424829,1398518819445,9.350755,-0.53588563,-0.69036436
1424836945433,1424837,1398518819453,9.5423565,-0.459245,-0.65204406
1424845581907,1424846,1398518819462,9.427396,-0.53588563,-0.53708315
1424853150267,1424854,1398518819470,9.389075,-0.4209247,-0.49876282
1424861817259,1424862,1398518819478,9.389075,-0.38260436,-0.61372375
1424869385618,1424870,1398518819486,9.427396,-0.53588563,-0.57540345
1424877503294,1424878,1398518819494,9.350755,-0.459245,-0.57540345
1424886383909,1424887,1398518819503,9.504036,-0.4975653,-0.69036436
1424893738645,1424894,1398518819510,9.389075,-0.26764342,-0.38380188
