Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2368227143000,2368227,1398518819066,9.80665,-0.040861044,0.6537767
2368265840000,2368266,1398518819105,9.765789,0.0,0.61291564
2368304505000,2368305,1398518819144,9.80665,-0.040861044,0.53119355
2368324372000,2368324,1398518819164,9.80665,0.0,0.5720546
2368344239000,2368344,1398518819183,9.80665,-0.040861044,0.53119355
2368367127000,2368367,1398518819206,9.847511,-0.040861044,0.61291564
2368388612000,2368389,1398518819228,9.80665,0.0,0.61291564
2368408540000,2368409,1398518819248,9.80665,0.0,0.5720546
2368428376000,2368428,1398518819268,9.80665,0.0,0.61291564
2368448457000,2368449,1398518819288,9.847511,-0.040861044,0.61291564
2368468324000,2368468,1398518819307,9.80665,-0.040861044,0.5720546
2368488343000,2368488,1398518819328,9.80665,-0.040861044,0.61291564
2368527314000,2368527,1398518819366,9.80665,-0.08172209,0.61291564
2368584992000,2368585,1398518819424,9.847511,-0.040861044,0.6946377
2368604951000,2368605,1398518819444,9.847511,-0.08172209,0.6537767
2368625001000,2368625,1398518819464,9.80665,-0.10896278,0.6537767
2368647859000,2368648,1398518819487,9.847511,-0.08172209,0.6537767
2368669068000,2368669,1398518819508,9.847511,-0.08172209,0.61291564
2368689027000,2368689,1398518819528,9.80665,-0.08172209,0.61291564
2368708802000,2368709,1398518819548,9.847511,-0.08172209,0.61291564
2368728608000,2368729,1398518819568,9.80665,-0.08172209,0.6537767
2368767243000,2368767,1398518819606,9.847511,-0.08172209,0.61291564
2368805909000,2368806,1398518819645,9.888372,-0.08172209,0.6537767
2368825776000,2368826,1398518819665,9.888372,-0.040861044,0.6537767
2368845643000,2368846,1398518819685,9.847511,-0.040861044,0.61291564
2368865449000,2368866,1398518819705,9.80665,-0.040861044,0.6537767
2368885224000,2368885,1398518819724,9.847511,-0.040861044,0.61291564
2368962068000,2368962,1398518819801,9.80665,-0.040861044,0.61291564
2369004792000,2369005,1398518819844,9.80665,-0.08172209,0.61291564
2369045442000,2369046,1398518819885,9.847511,-0.08172209,0.61291564
2369065278000,2369065,1398518819904,9.847511,-0.040861044,0.61291564
2369085450000,2369086,1398518819925,9.80665,-0.08172209,0.53119355
2369105378000,2369105,1398518819945,9.80665,-0.08172209,0.5720546
2369124940000,2369138,1398518819977,9.847511,0.0,0.61291564
2369144166000,2369144,1398518819983,9.847511,-0.040861044,0.61291564
2369182954000,2369205,1398518820044,9.80665,-0.08172209,0.61291564
2369202393000,2369205,1398518820044,9.80665,-0.040861044,0.6537767
2369221528000,2369221,1398518820060,9.80665,-0.08172209,0.6537767
2369240632000,2369240,1398518820080,9.80665,-0.040861044,0.61291564
2369282411000,2369282,1398518820121,9.80665,-0.040861044,0.6537767
2369302369000,2369302,1398518820141,9.80665,-0.040861044,0.61291564
2369379151000,2369379,1398518820218,9.847511,-0.040861044,0.61291564
2369418000000,2369418,1398518820257,9.80665,-0.040861044,0.61291564
2369437776000,2369438,1398518820277,9.80665,-0.040861044,0.6537767
2369457581000,2369458,1398518820297,9.80665,-0.08172209,0.61291564
2369477357000,2369477,1398518820317,9.80665,-0.040861044,0.61291564
2369497132000,2369497,1398518820336,9.765789,-0.040861044,0.61291564
2369520326000,2369520,1398518820359,9.80665,-0.08172209,0.61291564
2369541169000,2369541,1398518820380,9.80665,-0.08172209,0.5720546
2369580201000,2369580,1398518820419,9.80665,-0.040861044,0.61291564
2369619080000,2369619,1398518820458,9.847511,-0.040861044,0.6537767
2369638856000,2369639,1398518820478,9.847511,-0.040861044,0.61291564
2369677522000,2369678,1398518820517,9.847511,0.0,0.5720546
2369697328000,2369697,1398518820536,9.847511,-0.040861044,0.53119355
2369717133000,2369717,1398518820556,9.80665,-0.08172209,0.5720546
2369740388000,2369740,1398518820580,9.847511,-0.040861044,0.61291564
2369761750000,2369762,1398518820601,9.847511,-0.040861044,0.6537767
2369781861000,2369782,1398518820621,9.847511,-0.08172209,0.6537767
2369801728000,2369802,1398518820641,9.847511,-0.08172209,0.61291564
2369821626000,2369822,1398518820661,9.80665,-0.040861044,0.6537767
2369841615000,2369842,1398518820681,9.80665,-0.08172209,0.6537767
2369861634000,2369862,1398518820701,9.80665,-0.10896278,0.6537767
2369881623000,2369882,1398518820721,9.80665,-0.08172209,0.61291564
2369901643000,2369902,1398518820741,9.80665,-0.08172209,0.5720546
2369924409000,2369925,1398518820764,9.80665,-0.08172209,0.61291564
2369945496000,2369946,1398518820785,9.80665,-0.10896278,0.61291564
2369984590000,2369985,1398518820824,9.80665,-0.08172209,0.6537767
2370004792000,2370005,1398518820844,9.80665,-0.08172209,0.61291564
2370024781000,2370025,1398518820864,9.80665,-0.08172209,0.5720546
2370063752000,2370064,1398518820903,9.847511,-0.040861044,0.61291564
2370083558000,2370084,1398518820923,9.847511,-0.08172209,0.61291564
2370103455000,2370104,1398518820943,9.80665,-0.040861044,0.61291564
2370126405000,2370127,1398518820966,9.80665,-0.040861044,0.5720546
2370147431000,2370148,1398518820987,9.80665,-0.08172209,0.61291564
2370167359000,2370167,1398518821007,9.80665,-0.08172209,0.53119355
2370187196000,2370187,1398518821026,9.847511,0.0,0.5720546
2370207002000,2370207,1398518821046,9.888372,0.040861044,0.61291564
2370226899000,2370227,1398518821066,9.847511,0.0,0.61291564
2370246797000,2370247,1398518821086,9.80665,0.0,0.6537767
2370266602000,2370267,1398518821106,9.765789,-0.040861044,0.6537767
2370286378000,2370286,1398518821126,9.765789,-0.08172209,0.53119355
2370306184000,2370306,1398518821145,9.80665,-0.08172209,0.53119355
2370328431000,2370329,1398518821168,9.847511,-0.08172209,0.61291564
2370349580000,2370350,1398518821189,9.80665,-0.08172209,0.61291564
2370369569000,2370370,1398518821209,9.80665,-0.08172209,0.5720546
2370389619000,2370390,1398518821229,9.765789,-0.08172209,0.53119355
2370409699000,2370410,1398518821249,9.80665,-0.08172209,0.53119355
2370429627000,2370430,1398518821269,9.80665,-0.040861044,0.5720546
2370449555000,2370450,1398518821289,9.80665,-0.08172209,0.61291564
2370488404000,2370489,1398518821328,9.80665,-0.08172209,0.5720546
2370529756000,2370530,1398518821369,9.80665,-0.040861044,0.61291564
2370550569000,2370551,1398518821390,9.847511,-0.040861044,0.61291564
2370570588000,2370571,1398518821410,9.80665,-0.040861044,0.5720546
2370590516000,2370591,1398518821430,9.724928,-0.10896278,0.53119355
2370611268000,2370611,1398518821450,9.80665,-0.08172209,0.5720546
2370632050000,2370632,1398518821471,9.847511,-0.040861044,0.61291564
2370652497000,2370653,1398518821492,9.80665,-0.08172209,0.61291564
2370711640000,2370714,1398518821553,9.80665,-0.040861044,0.6537767
2370734773000,2370735,1398518821574,9.847511,-0.040861044,0.61291564
2370755738000,2370756,1398518821595,9.888372,-0.040861044,0.61291564
2370775697000,2370776,1398518821615,9.847511,-0.040861044,0.61291564
2370795594000,2370796,1398518821635,9.80665,-0.08172209,0.6537767
2370815370000,2370815,1398518821655,9.765789,-0.08172209,0.61291564
2370835175000,2370835,1398518821674,9.80665,-0.08172209,0.61291564
2370854951000,2370855,1398518821694,9.80665,-0.040861044,0.61291564
2370874818000,2370875,1398518821714,9.80665,-0.08172209,0.5720546
2370894868000,2370895,1398518821734,9.765789,-0.040861044,0.61291564
2370917817000,2370918,1398518821757,9.80665,0.0,0.6946377
2370938874000,2370939,1398518821778,9.80665,-0.040861044,0.6537767
2370958741000,2370959,1398518821798,9.80665,-0.040861044,0.61291564
2370978547000,2370979,1398518821818,9.80665,-0.08172209,0.61291564
2370998414000,2370999,1398518821838,9.80665,-0.040861044,0.61291564
2371018281000,2371018,1398518821857,9.847511,-0.040861044,0.6537767
2371057374000,2371057,1398518821897,9.80665,-0.040861044,0.61291564
2371096070000,2371096,1398518821935,9.847511,-0.08172209,0.61291564
2371116029000,2371116,1398518821955,9.847511,-0.10896278,0.61291564
2371139253000,2371139,1398518821978,9.80665,-0.040861044,0.5720546
2371159333000,2371159,1398518821998,9.765789,-0.040861044,0.61291564
2371179505000,2371180,1398518822019,9.80665,-0.040861044,0.6537767
2371199220000,2371199,1398518822038,9.847511,0.0,0.61291564
2371219239000,2371219,1398518822059,9.847511,-0.040861044,0.5720546
2371238709000,2371239,1398518822078,9.80665,-0.08172209,0.5720546
2371277192000,2371277,1398518822116,9.847511,-0.040861044,0.5720546
2371297028000,2371297,1398518822136,9.80665,0.0,0.61291564
2371316895000,2371317,1398518822156,9.80665,-0.040861044,0.61291564
2371336793000,2371337,1398518822176,9.80665,-0.08172209,0.61291564
2371359071000,2371359,1398518822198,9.80665,-0.08172209,0.6537767
2371380311000,2371380,1398518822219,9.80665,-0.040861044,0.61291564
