Index,Arrival_Time,Creation_Time,x,y,z
0,1398518801797,1398518801797,9.741085,-1.104005,-0.162718,
10,1398518801807,1398518801807,9.731957,-1.104040,-0.160813,
20,1398518801817,1398518801817,9.739189,-1.085623,-0.153684,
30,1398518801827,1398518801827,9.737347,-1.089332,-0.159139,
40,1398518801837,1398518801837,9.731958,-1.094817,-0.151721,
50,1398518801847,1398518801847,9.733648,-1.096759,-0.171883,
60,1398518801857,1398518801857,9.719065,-1.083888,-0.153540,
70,1398518801867,1398518801867,9.730171,-1.094795,-0.146207,
80,1398518801877,1398518801877,9.733771,-1.115108,-0.173571,
90,1398518801887,1398518801887,9.730102,-1.104070,-0.164464,
100,1398518801897,1398518801897,9.722749,-1.087538,-0.153540,
110,1398518801907,1398518801907,9.722748,-1.102293,-0.168087,
120,1398518801917,1398518801917,9.730129,-1.100360,-0.157162,
130,1398518801927,1398518801927,9.733704,-1.089339,-0.157277,
140,1398518801937,1398518801937,9.740933,-1.096745,-0.175606,
150,1398518801947,1398518801947,9.726281,-1.078393,-0.160973,
160,1398518801957,1398518801957,9.744700,-1.100330,-0.164608,
170,1398518801967,1398518801967,9.728219,-1.096744,-0.164508,
180,1398518801977,1398518801977,9.726418,-1.085665,-0.149917,
190,1398518801987,1398518801987,9.744768,-1.105811,-0.160899,
200,1398518801997,1398518801997,9.737442,-1.107702,-0.164493,
210,1398518802007,1398518802007,9.722858,-1.094830,-0.146150,
220,1398518802017,1398518802017,9.746473,-1.096675,-0.168318,
230,1398518802027,1398518802027,9.722790,-1.085661,-0.146222,
240,1398518802037,1398518802037,9.722790,-1.085661,-0.146222,
250,1398518802047,1398518802047,9.744632,-1.089317,-0.162862,
260,1398518802057,1398518802057,9.729992,-1.100466,-0.175491,
270,1398518802067,1398518802067,9.726350,-1.085718,-0.159082,
280,1398518802077,1398518802077,9.731903,-1.089327,-0.153597,
290,1398518802087,1398518802087,9.731875,-1.085659,-0.153626,
300,1398518802097,1398518802097,9.744755,-1.107666,-0.164550,
310,1398518802107,1398518802107,9.733841,-1.103988,-0.153495,
320,1398518802117,1398518802117,9.744809,-1.111312,-0.160855,
330,1398518802127,1398518802127,9.722762,-1.085683,-0.149888,
340,1398518802137,1398518802137,9.730075,-1.089336,-0.153583,
350,1398518802147,1398518802147,9.729993,-1.082021,-0.157306,
360,1398518802157,1398518802157,9.722789,-1.096728,-0.157133,
370,1398518802167,1398518802167,9.720687,-1.078505,-0.175593,
380,1398518802177,1398518802177,9.726460,-1.087477,-0.146237,
390,1398518802187,1398518802187,9.722721,-1.080181,-0.149932,
400,1398518802197,1398518802197,9.733813,-1.104009,-0.157161,
410,1398518802207,1398518802207,9.737442,-1.096635,-0.153582,
420,1398518802217,1398518802217,9.731889,-1.094871,-0.160885,
430,1398518802227,1398518802227,9.739161,-1.098555,-0.170078,
440,1398518802237,1398518802237,9.728288,-1.096690,-0.155343,
450,1398518802247,1398518802247,9.722776,-1.085672,-0.148055,
460,1398518802257,1398518802257,9.741112,-1.109517,-0.164507,
470,1398518802267,1398518802267,9.737360,-1.089321,-0.157306,
480,1398518802277,1398518802277,9.733841,-1.100299,-0.149859,
490,1398518802287,1398518802287,9.722679,-1.085746,-0.160886,
500,1398518802297,1398518802297,9.741085,-1.104005,-0.162718,
510,1398518802307,1398518802307,9.724590,-1.089363,-0.153540,
520,1398518802317,1398518802317,9.733895,-1.107635,-0.149801,
530,1398518802327,1398518802327,9.730130,-1.089293,-0.146251,
540,1398518802337,1398518802337,9.741237,-1.103888,-0.142555,
550,1398518802347,1398518802347,9.730116,-1.094837,-0.153539,
560,1398518802357,1398518802357,9.724630,-1.104086,-0.162588,
570,1398518802367,1398518802367,9.737455,-1.107691,-0.162660,
580,1398518802377,1398518802377,9.726528,-1.100335,-0.149801,
590,1398518802387,1398518802387,9.744659,-1.083762,-0.153741,
600,1398518802397,1398518802397,9.722597,-1.078432,-0.164610,
610,1398518802407,1398518802407,9.731903,-1.089327,-0.153597,
620,1398518802417,1398518802417,9.722845,-1.089308,-0.142528,
630,1398518802427,1398518802427,9.726391,-1.089375,-0.157220,
640,1398518802437,1398518802437,9.733786,-1.096653,-0.153553,
650,1398518802447,1398518802447,9.721071,-1.100341,-0.146092,
660,1398518802457,1398518802457,9.731820,-1.100457,-0.175505,
670,1398518802467,1398518802467,9.740974,-1.105935,-0.179199,
680,1398518802477,1398518802477,9.722719,-1.106003,-0.175390,
