Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2964121074000,2964122,1398519217760,-9.911995,0.020350715,-0.39743748
2964131084000,2964131,1398519217769,-9.901221,0.01316811,-0.38307226
2964141094000,2964141,1398519217779,-9.90601,-0.0023942017,-0.37708676
2964151042000,2964151,1398519217789,-9.90601,-0.0023942017,-0.37708676
2964161083000,2964161,1398519217799,-9.8916445,0.0011971008,-0.39025488
2964171001000,2964171,1398519217809,-9.898827,0.020350715,-0.37828386
2964181102000,2964181,1398519217819,-9.894038,0.020350715,-0.37708676
2964191020000,2964191,1398519217829,-9.895236,0.017956512,-0.37229836
2964201061000,2964201,1398519217839,-9.903615,0.033518825,-0.37349546
2964211040000,2964211,1398519217849,-9.890448,0.027533319,-0.39624038
2964221080000,2964221,1398519217859,-9.8916445,0.020350715,-0.36032736
2964231090000,2964231,1398519217869,-9.904813,0.009576807,-0.38187516
2964241039000,2964241,1398519217879,-9.901221,0.005985504,-0.37948096
2964251018000,2964251,1398519217889,-9.908403,0.020350715,-0.3854665
2964261058000,2964261,1398519217899,-9.908403,0.027533319,-0.36511576
2964277049000,2964277,1398519217915,-9.901221,0.015562311,-0.37110126
2964281078000,2964281,1398519217919,-9.901221,0.022744916,-0.3854665
2964291026000,2964292,1398519217930,-9.901221,0.022744916,-0.3854665
2964301036000,2964301,1398519217939,-9.885659,0.011971008,-0.37229836
2964311077000,2964311,1398519217950,-9.882068,0.021547815,-0.36152446
2964321025000,2964321,1398519217959,-9.894038,0.025139118,-0.38307226
2964331035000,2964331,1398519217970,-9.88925,0.029927522,-0.40581718
2964341075000,2964341,1398519217980,-9.898827,0.016759412,-0.40462008
2964351085000,2964351,1398519217990,-9.874885,0.03232172,-0.37349546
2964361034000,2964361,1398519217999,-9.885659,0.017956512,-0.36152446
2964371044000,2964371,1398519218009,-9.895236,0.03232172,-0.3854665
2964381053000,2964381,1398519218019,-9.892841,0.023942016,-0.37588966
2964391094000,2964391,1398519218030,-9.894038,0.017956512,-0.34835634
2964401164000,2964401,1398519218040,-9.880871,0.015562311,-0.37588966
2964411022000,2964411,1398519218049,-9.901221,0.007182605,-0.3890578
2964421062000,2964421,1398519218059,-9.901221,0.007182605,-0.3890578
2964431041000,2964431,1398519218069,-9.883265,0.027533319,-0.37110126
2964441112000,2964441,1398519218080,-9.878476,0.021547815,-0.39264908
2964451061000,2964451,1398519218089,-9.888053,0.021547815,-0.36631286
2964461254000,2964461,1398519218100,-9.888053,0.011971008,-0.37110126
2964471050000,2964471,1398519218109,-9.8916445,0.005985504,-0.37349546
2964481059000,2964481,1398519218120,-9.913192,0.027533319,-0.36870706
2964491069000,2964491,1398519218130,-9.898827,0.025139118,-0.38067806
2964501079000,2964501,1398519218140,-9.911995,0.03232172,-0.35793316
2964511089000,2964512,1398519218150,-9.904813,0.033518825,-0.35793316
2964521098000,2964521,1398519218160,-9.884461,0.008379706,-0.36990416
2964531047000,2964531,1398519218170,-9.895236,0.0023942017,-0.36511576
2964541087000,2964541,1398519218180,-9.915586,0.016759412,-0.39025488
2964551067000,2964551,1398519218190,-9.915586,0.016759412,-0.39025488
2964561077000,2964561,1398519218200,-9.895236,0.01436521,-0.40701428
2964571056000,2964571,1398519218210,-9.8916445,0.02633622,-0.38187516
2964581035000,2964581,1398519218220,-9.908403,0.03232172,-0.36272156
2964591045000,2964591,1398519218230,-9.911995,0.023942016,-0.35793316
2964601055000,2964601,1398519218240,-9.907207,0.015562311,-0.39025488
2964611003000,2964611,1398519218250,-9.88925,0.0047884034,-0.37948096
2964621074000,2964621,1398519218260,-9.898827,0.0035913025,-0.37708676
2964631328000,2964631,1398519218270,-9.904813,-0.0011971008,-0.38067806
2964641063000,2964641,1398519218280,-9.902418,0.0047884034,-0.3866636
2964651042000,2964651,1398519218290,-9.903615,0.020350715,-0.40821138
2964661357000,2964662,1398519218300,-9.886856,0.019153614,-0.3854665
2964671062000,2964671,1398519218309,-9.903615,0.019153614,-0.38067806
2964681041000,2964681,1398519218320,-9.886856,0.005985504,-0.37469256
2964691020000,2964691,1398519218329,-9.886856,0.005985504,-0.37469256
2964701122000,2964701,1398519218340,-9.896433,0.005985504,-0.36152446
2964711009000,2964711,1398519218349,-9.88925,0.009576807,-0.37948096
2964721050000,2964721,1398519218359,-9.89763,0.011971008,-0.39624038
2964731029000,2964731,1398519218370,-9.8916445,0.010773907,-0.40222588
2964741039000,2964741,1398519218379,-9.884461,0.008379706,-0.37588966
2964751079000,2964751,1398519218389,-9.898827,0.010773907,-0.35314476
2964761058000,2964761,1398519218399,-9.898827,0.008379706,-0.37948096
2964771007000,2964771,1398519218409,-9.895236,0.0023942017,-0.3842694
2964781047000,2964781,1398519218419,-9.904813,0.011971008,-0.3878607
2964790996000,2964791,1398519218430,-9.90601,0.019153614,-0.3878607
2964801067000,2964801,1398519218439,-9.91798,-0.0035913025,-0.36870706
2964811015000,2964811,1398519218449,-9.898827,0.01436521,-0.37229836
2964821666000,2964822,1398519218460,-9.896433,0.008379706,-0.37110126
2964831371000,2964831,1398519218470,-9.896433,0.008379706,-0.37110126
2964841503000,2964842,1398519218480,-9.886856,0.02633622,-0.3878607
2964851634000,2964852,1398519218490,-9.892841,0.0011971008,-0.38307226
2964861247000,2964861,1398519218500,-9.885659,-0.0011971008,-0.38187516
2964871013000,2964871,1398519218509,-9.898827,0.020350715,-0.3842694
2964881542000,2964882,1398519218520,-9.907207,-0.0011971008,-0.37948096
2964891094000,2964891,1398519218530,-9.90601,0.020350715,-0.36511576
2964901195000,2964901,1398519218540,-9.894038,0.02873042,-0.37948096
2964911022000,2964911,1398519218549,-9.888053,0.01436521,-0.35434186
2964921092000,2964921,1398519218559,-9.90601,0.021547815,-0.37229836
2964931041000,2964931,1398519218569,-9.902418,0.019153614,-0.37948096
2964941173000,2964941,1398519218580,-9.909601,0.011971008,-0.37828386
2964951061000,2964951,1398519218589,-9.907207,0.02633622,-0.39743748
2964961040000,2964961,1398519218599,-9.907207,0.02633622,-0.39743748
2964971050000,2964971,1398519218609,-9.8916445,0.011971008,-0.3866636
2964981059000,2964981,1398519218619,-9.882068,0.021547815,-0.38187516
2964991008000,2964991,1398519218629,-9.88925,0.020350715,-0.36032736
2965001079000,2965001,1398519218640,-9.894038,-0.0011971008,-0.36631286
2965011089000,2965011,1398519218649,-9.900024,0.0023942017,-0.36750996
2965021068000,2965021,1398519218659,-9.909601,-0.011971008,-0.37349546
2965031047000,2965031,1398519218669,-9.898827,0.009576807,-0.37708676
2965041118000,2965041,1398519218680,-9.89763,0.01436521,-0.3890578
2965051402000,2965051,1398519218690,-9.896433,0.005985504,-0.3890578
2965061077000,2965061,1398519218699,-9.904813,0.017956512,-0.39025488
2965071544000,2965072,1398519218710,-9.913192,0.009576807,-0.36750996
2965081035000,2965081,1398519218719,-9.903615,0.020350715,-0.3842694
2965091106000,2965091,1398519218730,-9.903615,0.020350715,-0.3842694
2965101604000,2965102,1398519218741,-9.904813,0.029927522,-0.36152446
2965111034000,2965111,1398519218749,-9.888053,0.02873042,-0.36511576
2965121684000,2965122,1398519218760,-9.900024,0.023942016,-0.36750996
2965131114000,2965131,1398519218769,-9.895236,0.010773907,-0.37469256
2965141673000,2965142,1398519218780,-9.892841,0.011971008,-0.37469256
2965151103000,2965152,1398519218790,-9.908403,0.0011971008,-0.37948096
2965161083000,2965161,1398519218799,-9.898827,0.007182605,-0.36511576
2965171062000,2965171,1398519218810,-9.89763,0.015562311,-0.35194764
2965181072000,2965181,1398519218819,-9.896433,0.0047884034,-0.36272156
2965191081000,2965191,1398519218830,-9.890448,0.0011971008,-0.35913026
2965201061000,2965201,1398519218839,-9.886856,-0.0035913025,-0.37110126
2965211009000,2965211,1398519218849,-9.902418,0.017956512,-0.35913026
2965221050000,2965221,1398519218859,-9.89763,0.033518825,-0.37588966
2965231120000,2965231,1398519218870,-9.89763,0.033518825,-0.37588966
2965241039000,2965241,1398519218879,-9.892841,0.021547815,-0.37469256
2965251018000,2965251,1398519218889,-9.898827,0.009576807,-0.37828386
2965263286000,2965263,1398519218902,-9.884461,0.010773907,-0.37229836
