Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1062752742988,1062753,1398519217759,-1.8681152,5.8725877,5.767207
1062762695988,1062762,1398519217768,-1.8681152,5.8725877,5.767207
1062772703988,1062772,1398519217778,-1.8681152,5.8725877,5.767207
1062782678988,1062782,1398519217788,-1.8681152,5.8725877,5.767207
1062792690988,1062792,1398519217798,-1.8681152,5.8725877,5.767207
1062802753988,1062803,1398519217809,-1.8681152,5.8725877,5.767207
1062812676988,1062812,1398519217818,-1.8681152,5.8725877,5.767207
1062822689988,1062822,1398519217828,-1.8681152,5.8725877,5.767207
1062832674988,1062832,1398519217838,-1.8681152,5.8725877,5.767207
1062842703988,1062842,1398519217848,-1.8681152,5.8725877,5.767207
1062852703988,1062853,1398519217859,-1.8681152,5.8725877,5.767207
1062862676988,1062862,1398519217868,-1.8681152,5.8725877,5.767207
1062872745988,1062873,1398519217878,-1.8681152,5.8725877,5.767207
1062882676988,1062882,1398519217888,-1.8681152,5.8725877,5.767207
1062892695988,1062892,1398519217898,-1.8681152,5.8725877,5.767207
1062902732988,1062903,1398519217909,-1.8681152,5.8725877,5.767207
1062912689988,1062912,1398519217918,-1.8681152,5.8725877,5.767207
1062922742988,1062923,1398519217929,-1.8681152,5.8725877,5.767207
1062932672988,1062932,1398519217938,-1.8681152,5.8725877,5.767207
1062942716988,1062942,1398519217948,-1.8681152,5.8725877,5.767207
1062952675988,1062952,1398519217958,-1.8681152,5.8725877,5.767207
1062962709988,1062962,1398519217968,-1.8681152,5.8725877,5.767207
1062972693988,1062972,1398519217978,-1.8681152,5.8725877,5.767207
1062982675988,1062982,1398519217988,-1.8681152,5.8725877,5.767207
1062992696988,1062992,1398519217998,-1.8681152,5.8725877,5.767207
1063002699988,1063002,1398519218008,-1.8681152,5.8725877,5.767207
1063012685988,1063012,1398519218018,-1.8681152,5.8725877,5.767207
1063022678988,1063029,1398519218035,-1.8681152,5.8725877,5.767207
1063032689988,1063032,1398519218038,-1.8681152,5.8725877,5.767207
1063042681988,1063042,1398519218048,-1.8681152,5.8725877,5.767207
1063052676988,1063052,1398519218058,-1.8681152,5.8725877,5.767207
1063062695988,1063062,1398519218068,-1.8681152,5.8725877,5.767207
1063072675988,1063072,1398519218078,-1.8681152,5.8725877,5.767207
1063082706988,1063082,1398519218088,-1.8681152,5.8725877,5.767207
1063092690988,1063092,1398519218098,-1.8681152,5.8725877,5.767207
1063102674988,1063102,1398519218108,-1.8681152,5.8725877,5.767207
1063112690988,1063112,1398519218118,-1.8681152,5.8725877,5.767207
1063122693988,1063122,1398519218128,-1.8681152,5.8725877,5.767207
1063132691988,1063132,1398519218138,-1.8681152,5.8725877,5.767207
1063142680988,1063142,1398519218148,-1.8681152,5.8725877,5.767207
1063152669988,1063152,1398519218158,-1.8681152,5.8725877,5.767207
1063162684988,1063162,1398519218168,-1.8681152,5.8725877,5.767207
1063172675988,1063172,1398519218178,-1.8681152,5.8725877,5.767207
1063182704988,1063182,1398519218188,-1.8681152,5.8725877,5.767207
1063192676988,1063192,1398519218198,-1.8681152,5.8725877,5.767207
1063202814988,1063203,1398519218209,-1.8681152,5.8725877,5.767207
1063212705988,1063212,1398519218218,-1.8681152,5.8725877,5.767207
1063222678988,1063222,1398519218228,-1.8681152,5.8725877,5.767207
1063232649988,1063232,1398519218238,-1.8681152,5.8725877,5.767207
1063242682988,1063242,1398519218248,-1.8681152,5.8725877,5.767207
1063252691988,1063252,1398519218258,-1.8681152,5.8725877,5.767207
1063262677988,1063262,1398519218268,-1.8681152,5.8725877,5.767207
1063272670988,1063272,1398519218278,-1.8681152,5.8725877,5.767207
1063282689988,1063282,1398519218288,-1.8681152,5.8725877,5.767207
1063292677988,1063292,1398519218298,-1.8681152,5.8725877,5.767207
1063302717988,1063302,1398519218308,-1.8681152,5.8725877,5.767207
1063312675988,1063312,1398519218318,-1.8681152,5.8725877,5.767207
1063322704988,1063322,1398519218328,-1.8681152,5.8725877,5.767207
1063332695988,1063332,1398519218338,-1.8681152,5.8725877,5.767207
1063342676988,1063342,1398519218348,-1.8681152,5.8725877,5.767207
1063352651988,1063352,1398519218358,-1.8681152,5.8725877,5.767207
1063362679988,1063362,1398519218368,-1.8681152,5.8725877,5.767207
1063372691988,1063372,1398519218378,-1.8681152,5.8725877,5.767207
1063382683988,1063382,1398519218388,-1.8681152,5.8725877,5.767207
1063392693988,1063392,1398519218398,-1.8681152,5.8725877,5.767207
1063402688988,1063402,1398519218408,-1.8681152,5.8725877,5.767207
1063412673988,1063412,1398519218418,-1.8681152,5.8725877,5.767207
1063422699988,1063422,1398519218428,-1.8681152,5.8725877,5.767207
1063432672988,1063433,1398519218439,-1.8681152,5.8725877,5.767207
1063442684988,1063442,1398519218448,-1.8681152,5.8725877,5.767207
1063452694988,1063452,1398519218458,-1.8681152,5.8725877,5.767207
1063462676988,1063462,1398519218468,-1.8681152,5.8725877,5.767207
1063472647988,1063472,1398519218478,-1.8681152,5.8725877,5.767207
1063482692988,1063482,1398519218488,-1.8681152,5.8725877,5.767207
1063492691988,1063492,1398519218498,-1.8681152,5.8725877,5.767207
1063502738988,1063502,1398519218508,-1.8681152,5.8725877,5.767207
1063512668988,1063512,1398519218518,-1.8681152,5.8725877,5.767207
1063522687988,1063522,1398519218528,-1.8681152,5.8725877,5.767207
1063532675988,1063532,1398519218538,-1.8681152,5.8725877,5.767207
1063542699988,1063542,1398519218548,-1.8681152,5.8725877,5.767207
1063552676988,1063553,1398519218559,-1.8681152,5.8725877,5.767207
1063562707988,1063562,1398519218568,-1.8681152,5.8725877,5.767207
1063572705988,1063572,1398519218578,-1.8681152,5.8725877,5.767207
1063582681988,1063582,1398519218588,-1.8681152,5.8725877,5.767207
1063592655988,1063592,1398519218598,-1.8681152,5.8725877,5.767207
1063602678988,1063602,1398519218608,-1.8681152,5.8725877,5.767207
1063612688988,1063612,1398519218618,-1.8681152,5.8725877,5.767207
1063622678988,1063622,1398519218628,-1.8681152,5.8725877,5.767207
1063632667988,1063632,1398519218638,-1.8681152,5.8725877,5.767207
1063642685988,1063642,1398519218648,-1.8681152,5.8725877,5.767207
1063652675988,1063652,1398519218658,-1.8681152,5.8725877,5.767207
1063662717988,1063662,1398519218668,-1.8681152,5.8725877,5.767207
1063672674988,1063672,1398519218678,-1.8681152,5.8725877,5.767207
1063682705988,1063682,1398519218688,-1.8681152,5.8725877,5.767207
1063692702988,1063692,1398519218698,-1.8681152,5.8725877,5.767207
1063702677988,1063702,1398519218708,-1.8681152,5.8725877,5.767207
1063712649988,1063712,1398519218718,-1.8681152,5.8725877,5.767207
1063722678988,1063722,1398519218728,-1.8681152,5.8725877,5.767207
1063732687988,1063732,1398519218738,-1.8681152,5.8725877,5.767207
1063742683988,1063749,1398519218755,-1.8681152,5.8725877,5.767207
1063752685988,1063752,1398519218758,-1.8681152,5.8725877,5.767207
1063762687988,1063762,1398519218768,-1.8681152,5.8725877,5.767207
1063772677988,1063772,1398519218778,-1.8681152,5.8725877,5.767207
1063782695988,1063782,1398519218788,-1.8681152,5.8725877,5.767207
1063792681988,1063792,1398519218798,-1.8681152,5.8725877,5.767207
1063802867988,1063803,1398519218809,-1.8681152,5.8725877,5.767207
1063812741988,1063813,1398519218819,-1.8681152,5.8725877,5.767207
