Index,Arrival_Time,Creation_Time,x,y,z
165831,1425047987327,2380020269000,-9.929952,0.0047884034,-0.32022446
165832,1425047987337,2380030272000,-9.936536,-0.011971008,-0.32920274
165833,1425047987347,2380039979000,-9.929353,0.008978256,-0.31244332
165834,1425047987357,2380050140000,-9.929353,0.0005985504,-0.29927522
165835,1425047987367,2380059859000,-9.935339,0.0005985504,-0.2873042
165836,1425047987377,2380070159000,-9.928156,-0.0053869537,-0.29927522
165837,1425047987387,2380079756000,-9.940725,-0.025737667,-0.34596214
165838,1425047987397,2380089801000,-9.933543,-0.017357962,-0.33877954
165839,1425047987407,2380099644000,-9.930551,-0.017956512,-0.30466217
165840,1425047987417,2380109682000,-9.941922,-0.017956512,-0.30585927
165841,1425047987426,2380119537000,-9.940127,-0.01616086,-0.33279404
165842,1425047987437,2380129716000,-9.935937,-0.008978256,-0.3345897
165843,1425047987446,2380139434000,-9.935937,-0.0047884034,-0.33997664
165844,1425047987456,2380149461000,-9.922769,-0.023343466,-0.3429694
165845,1425047987466,2380159334000,-9.935937,-0.025737667,-0.30705637
165846,1425047987476,2380169362000,-9.93893,-0.021547815,-0.34715924
165847,1425047987486,2380179221000,-9.937134,-0.004189853,-0.3465607
165848,1425047987496,2380189386000,-9.929952,-0.004189853,-0.2861071
165849,1425047987506,2380199116000,-9.93893,0.004189853,-0.30585927
165850,1425047987516,2380209151000,-9.925163,-0.006584055,-0.30885202
165851,1425047987526,2380219006000,-9.928755,0.0017956513,-0.3321955
165852,1425047987536,2380229054000,-9.958682,0.0023942017,-0.3393781
165853,1425047987546,2380238908000,-9.941922,0.011971008,-0.30047232
165854,1425047987556,2380249067000,-9.940725,-0.0011971008,-0.30406362
165855,1425047987566,2380258795000,-9.952697,-0.017357962,-0.3669114
165856,1425047987576,2380268838000,-9.919178,-0.010773907,-0.3477578
165857,1425047987586,2380278691000,-9.93474,0.017956512,-0.3453636
165858,1425047987596,2380288730000,-9.932944,0.004189853,-0.3184288
165859,1425047987605,2380298587000,-9.930551,-0.013766659,-0.31663316
165860,1425047987616,2380308759000,-9.935339,-0.012569559,-0.31603462
165861,1425047987625,2380318479000,-9.940127,-0.014963761,-0.32621
165862,1425047987635,2380328532000,-9.934141,-0.0047884034,-0.320823
165863,1425047987645,2380338377000,-9.950901,-0.0077811554,-0.29508537
165864,1425047987655,2380348412000,-9.949105,0.0005985504,-0.32202014
165865,1425047987665,2380358280000,-9.931747,-0.015562311,-0.31423897
165866,1425047987675,2380368455000,-9.946711,-0.0077811554,-0.3321955
165867,1425047987685,2380378174000,-9.939528,-0.019752163,-0.31004912
165868,1425047987695,2380388202000,-9.937134,-0.015562311,-0.31423897
165869,1425047987705,2380398057000,-9.941922,0.01436521,-0.30226797
165870,1425047987715,2380408096000,-9.932944,-0.0023942017,-0.2765303
165871,1425047987725,2380417954000,-9.953295,-0.014963761,-0.3333926
165872,1425047987735,2380428126000,-9.941324,-0.020350715,-0.30885202
165873,1425047987745,2380437851000,-9.944317,-0.010175358,-0.33758244
165874,1425047987755,2380447903000,-9.922769,-0.006584055,-0.33638534
165875,1425047987765,2380457758000,-9.940725,-0.02633622,-0.29149407
165876,1425047987775,2380467790000,-9.93474,-0.02932897,-0.29688102
165877,1425047987784,2380477638000,-9.951499,-0.020949265,-0.29269117
165878,1425047987795,2380487815000,-9.929952,-0.008978256,-0.31783026
165879,1425047987804,2380497535000,-9.947908,-0.0053869537,-0.2765303
165880,1425047987814,2380507571000,-9.934141,0.0077811554,-0.3226187
165881,1425047987824,2380517427000,-9.937733,-0.01316811,-0.31184477
165882,1425047987834,2380527467000,-9.917382,-0.01436521,-0.31064767
165883,1425047987844,2380537326000,-9.942521,0.0005985504,-0.29628247
165884,1425047987854,2380547486000,-9.960478,-0.019153614,-0.30526072
165885,1425047987864,2380557226000,-9.934141,-0.016759412,-0.29568392
165886,1425047987874,2380567259000,-9.914988,-0.010773907,-0.33758244
165887,1425047987884,2380577113000,-9.932345,-0.0035913025,-0.29029694
165888,1425047987894,2380587153000,-9.929353,-0.016759412,-0.30346507
165889,1425047987904,2380597005000,-9.949105,-0.018555064,-0.32202014
165890,1425047987914,2380607177000,-9.938332,-0.007182605,-0.3226187
165891,1425047987924,2380616899000,-9.940725,-0.024540568,-0.31304187
165892,1425047987934,2380626938000,-9.940725,-0.0077811554,-0.3405752
165893,1425047987944,2380636798000,-9.932345,-0.012569559,-0.32680854
165894,1425047987954,2380646836000,-9.931747,-0.011971008,-0.31783026
165895,1425047987964,2380656696000,-9.943718,-0.020949265,-0.2837129
165896,1425047987974,2380667239000,-9.931747,-0.022744916,-0.31483752
165897,1425047987983,2380676599000,-9.922769,-0.0005985504,-0.2896984
165898,1425047987993,2380686635000,-9.928156,-0.008978256,-0.30765492
165899,1425047988003,2380696484000,-9.931747,-0.011372458,-0.30645782
165900,1425047988013,2380706519000,-9.946711,0.004189853,-0.30466217
165901,1425047988023,2380716376000,-9.931149,-0.010175358,-0.32561144
165902,1425047988033,2380726555000,-9.925163,-0.008379706,-0.31244332
165903,1425047988043,2380736269000,-9.939528,-0.019153614,-0.3321955
165904,1425047988053,2380746326000,-9.942521,-0.03172317,-0.3286042
165905,1425047988063,2380756166000,-9.953295,-0.0035913025,-0.30466217
165906,1425047988073,2380766208000,-9.940725,-0.008978256,-0.30346507
165907,1425047988083,2380776061000,-9.943718,-0.0047884034,-0.31364042
165908,1425047988093,2380786240000,-9.955689,0.009576807,-0.32680854
165909,1425047988103,2380796141000,-9.94312,-0.0047884034,-0.3172317
165910,1425047988113,2380806011000,-9.940127,-0.011372458,-0.30825347
165911,1425047988123,2380815852000,-9.943718,-0.013766659,-0.30406362
165912,1425047988133,2380825886000,-9.946113,0.009576807,-0.3286042
165913,1425047988143,2380835754000,-9.917382,-0.025139118,-0.30166942
165914,1425047988153,2380846081000,-9.940127,-0.019752163,-0.33279404
165915,1425047988163,2380855753000,-9.945514,-0.013766659,-0.28311434
165916,1425047988173,2380865758000,-9.937733,-0.021547815,-0.31184477
165917,1425047988182,2380875543000,-9.934141,-0.009576807,-0.26755205
165918,1425047988193,2380885702000,-9.929353,-0.011971008,-0.30765492
165919,1425047988202,2380895433000,-9.928755,-0.011372458,-0.28790274
165920,1425047988213,2380905734000,-9.933543,-0.01436521,-0.31124622
165921,1425047988222,2380915329000,-9.937134,-0.002992752,-0.29149407
165922,1425047988232,2380925375000,-9.961675,-0.019153614,-0.32441434
165923,1425047988242,2380935219000,-9.92636,-0.005985504,-0.29807812
165924,1425047988252,2380945265000,-9.947908,-0.019752163,-0.31423897
165925,1425047988262,2380955185000,-9.925761,-0.0053869537,-0.29628247
165926,1425047988272,2380965291000,-9.929353,-0.010175358,-0.32621
165927,1425047988282,2380975007000,-9.941324,-0.010175358,-0.3172317
165928,1425047988292,2380985233000,-9.920973,0.002992752,-0.33638534
165929,1425047988302,2380994911000,-9.94312,-0.011372458,-0.33159694
165930,1425047988312,2381004953000,-9.920973,-0.010175358,-0.30645782
165931,1425047988322,2381014812000,-9.922171,-0.016759412,-0.320823
165932,1425047988332,2381024985000,-9.923966,-0.013766659,-0.28909984
165933,1425047988342,2381034706000,-9.944916,-0.0047884034,-0.32621
165934,1425047988352,2381044740000,-9.940725,-0.009576807,-0.3274071
165935,1425047988361,2381054604000,-9.930551,-0.0035913025,-0.30765492
165936,1425047988372,2381064632000,-9.933543,-0.0005985504,-0.28909984
165937,1425047988381,2381074488000,-9.929952,-0.019752163,-0.31603462
165938,1425047988392,2381084662000,-9.9473095,0.005985504,-0.30166942
165939,1425047988401,2381094386000,-9.940725,-0.006584055,-0.30705637
165940,1425047988411,2381104415000,-9.937134,0.0077811554,-0.29448682
165941,1425047988421,2381114282000,-9.933543,-0.025737667,-0.26515785
165942,1425047988431,2381124318000,-9.944317,-0.01316811,-0.2753332
165943,1425047988441,2381134167000,-9.946711,-0.007182605,-0.28550854
165944,1425047988451,2381144339000,-9.931149,-0.006584055,-0.2873042
165945,1425047988461,2381154060000,-9.935937,-0.0047884034,-0.2801216
165946,1425047988471,2381164101000,-9.939528,-0.01436521,-0.33159694
165947,1425047988481,2381173966000,-9.9473095,-0.018555064,-0.28909984
165948,1425047988491,2381184006000,-9.920973,-0.0053869537,-0.2837129
