Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1044495627000,1044502,1398519217763,10.0269165,0.05746084,-0.038307227
1044505789000,1044506,1398519217767,10.01734,0.047884032,-0.05746084
1044515972000,1044516,1398519217777,10.04607,0.038307227,-0.009576807
1044526073000,1044526,1398519217787,10.0269165,0.06703765,0.009576807
1044536431000,1044537,1398519217797,10.0269165,0.076614454,0.009576807
1044546530000,1044553,1398519217814,10.036493,0.047884032,-0.02873042
1044556744000,1044557,1398519217818,10.0269165,0.047884032,0.009576807
1044566912000,1044567,1398519217828,10.0269165,0.06703765,-0.038307227
1044576889000,1044577,1398519217838,10.036493,0.076614454,-0.009576807
1044587042000,1044587,1398519217848,10.04607,0.076614454,0.009576807
1044601358000,1044601,1398519217862,10.036493,0.076614454,0.009576807
1044617442000,1044618,1398519217879,10.065224,0.038307227,0.019153614
1044627531000,1044627,1398519217888,10.0748005,0.02873042,-0.02873042
1044637666000,1044638,1398519217899,10.04607,0.019153614,-0.02873042
1044650237000,1044652,1398519217913,10.0269165,0.038307227,-0.02873042
1044658059000,1044658,1398519217919,10.04607,0.038307227,-0.05746084
1044668207000,1044668,1398519217929,10.04607,0.038307227,-0.019153614
1044678357000,1044678,1398519217939,10.036493,0.047884032,-0.019153614
1044688617000,1044689,1398519217950,10.055647,0.047884032,-0.02873042
1044698870000,1044706,1398519217967,10.055647,0.038307227,-0.038307227
1044708901000,1044709,1398519217970,10.01734,0.038307227,-0.02873042
1044719075000,1044723,1398519217984,10.01734,0.02873042,-0.019153614
1044729226000,1044729,1398519217990,10.0269165,0.038307227,-0.009576807
1044739461000,1044740,1398519218001,10.007763,0.038307227,-0.047884032
1044749525000,1044758,1398519218019,9.9790325,0.038307227,-0.02873042
1044759746000,1044760,1398519218021,9.969456,0.05746084,0.019153614
1044769891000,1044776,1398519218037,9.998186,0.047884032,-0.009576807
1044779919000,1044780,1398519218041,10.007763,0.06703765,-0.009576807
1044790088000,1044790,1398519218051,10.007763,0.05746084,-0.047884032
1044800130000,1044800,1398519218061,10.0269165,0.047884032,-0.02873042
1044810280000,1044810,1398519218071,10.0269165,0.05746084,-0.009576807
1044820435000,1044823,1398519218084,10.055647,0.08619126,-0.047884032
1044830502000,1044830,1398519218091,10.055647,0.05746084,-0.047884032
1044840636000,1044841,1398519218101,10.055647,0.05746084,-0.02873042
1044850708000,1044850,1398519218111,10.036493,0.047884032,-0.009576807
1044860847000,1044861,1398519218122,10.04607,0.05746084,-0.02873042
1044874085000,1044874,1398519218135,10.0748005,0.038307227,-0.05746084
1044884264000,1044884,1398519218145,10.084377,0.019153614,-0.05746084
1044894525000,1044895,1398519218156,10.04607,0.047884032,-0.009576807
1044910690000,1044911,1398519218172,10.055647,0.05746084,-0.019153614
1044920911000,1044928,1398519218189,10.036493,0.06703765,-0.06703765
1044931146000,1044931,1398519218192,10.04607,0.047884032,-0.009576807
1044941284000,1044945,1398519218206,10.036493,0.076614454,-0.02873042
1044951376000,1044951,1398519218212,10.01734,0.076614454,-0.019153614
1044961581000,1044962,1398519218223,10.0269165,0.076614454,-0.019153614
1044971964000,1044978,1398519218239,10.04607,0.047884032,-0.019153614
1044981731000,1044982,1398519218243,10.0748005,0.038307227,-0.019153614
1044991887000,1044993,1398519218254,10.055647,0.047884032,-0.038307227
1045001969000,1045002,1398519218263,10.036493,0.076614454,-0.038307227
1045012105000,1045012,1398519218273,10.055647,0.06703765,-0.05746084
1045022176000,1045027,1398519218288,10.036493,0.076614454,-0.02873042
1045032329000,1045032,1398519218293,10.04607,0.076614454,-0.02873042
1045042459000,1045044,1398519218305,10.084377,0.06703765,-0.02873042
1045052552000,1045052,1398519218313,10.04607,0.05746084,-0.02873042
1045062683000,1045063,1398519218324,10.0269165,0.047884032,-0.047884032
1045072742000,1045073,1398519218333,10.065224,0.047884032,-0.038307227
1045083026000,1045083,1398519218344,10.036493,0.047884032,-0.038307227
1045093190000,1045098,1398519218359,10.04607,0.047884032,-0.038307227
1045103352000,1045103,1398519218364,10.04607,0.076614454,-0.047884032
1045113589000,1045114,1398519218375,10.036493,0.05746084,-0.038307227
1045123644000,1045124,1398519218385,10.0269165,0.05746084,-0.019153614
1045133872000,1045134,1398519218395,10.0269165,0.06703765,0.009576807
1045144013000,1045149,1398519218410,10.007763,0.076614454,0.009576807
1045154148000,1045154,1398519218415,10.01734,0.047884032,0.009576807
1045164409000,1045165,1398519218426,10.04607,0.038307227,0.02873042
1045174472000,1045174,1398519218435,10.055647,0.02873042,-0.009576807
1045184547000,1045184,1398519218445,10.036493,0.047884032,-0.02873042
1045197998000,1045198,1398519218459,10.0269165,0.06703765,-0.019153614
1045208102000,1045208,1398519218469,10.0269165,0.06703765,-0.047884032
1045218243000,1045218,1398519218479,10.007763,0.047884032,-0.047884032
1045231943000,1045232,1398519218493,10.0269165,0.076614454,-0.06703765
1045242039000,1045242,1398519218503,10.0269165,0.076614454,-0.06703765
1045252150000,1045252,1398519218513,10.04607,0.047884032,-0.05746084
1045265513000,1045265,1398519218526,10.0269165,0.05746084,-0.05746084
1045275576000,1045275,1398519218536,10.04607,0.047884032,-0.095768064
1045285843000,1045286,1398519218547,10.04607,0.047884032,-0.10534488
1045300739000,1045301,1398519218562,10.0269165,0.05746084,-0.02873042
1045310774000,1045311,1398519218572,10.0269165,0.047884032,-0.05746084
1045321007000,1045321,1398519218582,10.036493,0.05746084,-0.009576807
1045331160000,1045337,1398519218598,10.0269165,0.05746084,-0.019153614
1045341298000,1045341,1398519218602,10.01734,0.047884032,0.009576807
1045351558000,1045352,1398519218613,10.01734,0.038307227,-0.009576807
1045361578000,1045361,1398519218622,10.04607,0.038307227,-0.02873042
1045371806000,1045372,1398519218633,10.055647,0.019153614,-0.019153614
1045381930000,1045387,1398519218648,10.04607,0.019153614,-0.009576807
1045391926000,1045392,1398519218653,10.0269165,0.038307227,-0.009576807
1045402058000,1045402,1398519218663,10.0269165,0.038307227,-0.019153614
1045412144000,1045412,1398519218673,10.065224,0.02873042,-0.038307227
1045422294000,1045422,1398519218683,10.04607,0.047884032,-0.05746084
1045435500000,1045435,1398519218696,10.036493,0.05746084,-0.02873042
1045445583000,1045445,1398519218706,10.01734,0.047884032,-0.038307227
1045455735000,1045456,1398519218717,10.007763,0.038307227,-0.05746084
1045470164000,1045470,1398519218731,10.0269165,0.038307227,-0.08619126
1045486323000,1045490,1398519218751,10.036493,0.05746084,-0.076614454
1045496434000,1045496,1398519218757,10.04607,0.05746084,-0.047884032
1045506645000,1045507,1398519218768,10.036493,0.076614454,-0.019153614
1045516951000,1045524,1398519218785,10.036493,0.076614454,-0.047884032
1045526934000,1045527,1398519218788,10.036493,0.06703765,-0.05746084
1045537084000,1045541,1398519218802,10.01734,0.038307227,-0.047884032
1045547228000,1045547,1398519218808,10.0269165,0.02873042,-0.009576807
1045557414000,1045558,1398519218818,10.055647,0.05746084,-0.019153614
1045567461000,1045575,1398519218836,10.04607,0.05746084,-0.019153614
1045577645000,1045578,1398519218839,10.065224,0.047884032,-0.038307227
1045587695000,1045590,1398519218851,10.04607,0.05746084,-0.05746084
1045597809000,1045598,1398519218859,10.065224,0.047884032,-0.038307227
1045607941000,1045608,1398519218869,10.036493,0.06703765,-0.038307227
1045618013000,1045618,1398519218879,9.998186,0.08619126,-0.05746084
1045628175000,1045628,1398519218889,10.01734,0.076614454,-0.05746084
1045638292000,1045641,1398519218902,10.01734,0.06703765,-0.076614454
1045648410000,1045648,1398519218909,10.007763,0.05746084,-0.06703765
1045658543000,1045658,1398519218919,10.0269165,0.05746084,-0.05746084
1045668614000,1045668,1398519218929,10.04607,0.05746084,-0.047884032
1045678758000,1045679,1398519218940,10.055647,0.038307227,-0.047884032
1045694800000,1045695,1398519218956,10.055647,0.05746084,-0.038307227
