Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2673413976000,2673414,1398519217765,-9.656827,0.3405087,0.23154591
2673454961000,2673455,1398519217806,-9.656827,0.3405087,0.19068487
2673475866000,2673476,1398519217826,-9.656827,0.313268,0.19068487
2673495580000,2673496,1398519217846,-9.656827,0.3405087,0.19068487
2673515233000,2673515,1398519217866,-9.656827,0.38136974,0.14982383
2673553502000,2673554,1398519217904,-9.615966,0.3405087,0.19068487
2673591649000,2673592,1398519217942,-9.656827,0.313268,0.23154591
2673611608000,2673612,1398519217962,-9.656827,0.313268,0.19068487
2673631261000,2673631,1398519217982,-9.656827,0.3405087,0.23154591
2673650823000,2673651,1398519218001,-9.656827,0.38136974,0.19068487
2673670415000,2673671,1398519218021,-9.656827,0.3405087,0.14982383
2673708623000,2673709,1398519218059,-9.656827,0.38136974,0.19068487
2673728185000,2673728,1398519218079,-9.615966,0.38136974,0.19068487
2673749761000,2673750,1398519218100,-9.615966,0.38136974,0.14982383
2673770665000,2673771,1398519218121,-9.656827,0.38136974,0.14982383
2673790471000,2673791,1398519218141,-9.656827,0.3405087,0.14982383
2673810155000,2673810,1398519218161,-9.656827,0.38136974,0.14982383
2673829809000,2673830,1398519218180,-9.656827,0.3405087,0.19068487
2673849431000,2673850,1398519218200,-9.656827,0.3405087,0.23154591
2673868871000,2673869,1398519218219,-9.656827,0.38136974,0.19068487
2673907140000,2673907,1398519218258,-9.656827,0.3405087,0.14982383
2673926671000,2673927,1398519218277,-9.615966,0.38136974,0.14982383
2673964849000,2673965,1398519218315,-9.615966,0.3405087,0.14982383
2673984472000,2673985,1398519218335,-9.615966,0.38136974,0.19068487
2674004125000,2674004,1398519218355,-9.615966,0.38136974,0.23154591
2674023931000,2674024,1398519218375,-9.615966,0.3405087,0.19068487
2674045415000,2674046,1398519218396,-9.656827,0.3405087,0.14982383
2674066320000,2674066,1398519218417,-9.656827,0.3405087,0.19068487
2674086156000,2674086,1398519218437,-9.656827,0.38136974,0.23154591
2674105840000,2674106,1398519218456,-9.656827,0.38136974,0.19068487
2674144262000,2674144,1398519218495,-9.615966,0.38136974,0.14982383
2674163915000,2674164,1398519218514,-9.615966,0.38136974,0.19068487
2674183477000,2674184,1398519218534,-9.656827,0.38136974,0.19068487
2674203100000,2674203,1398519218554,-9.697687,0.38136974,0.19068487
2674223333000,2674223,1398519218574,-9.697687,0.3405087,0.14982383
2674243169000,2674243,1398519218594,-9.656827,0.3405087,0.14982383
2674263067000,2674263,1398519218614,-9.656827,0.3405087,0.19068487
2674326635000,2674327,1398519218677,-9.656827,0.3405087,0.14982383
2674347448000,2674348,1398519218698,-9.656827,0.38136974,0.14982383
2674387059000,2674387,1398519218738,-9.656827,0.3405087,0.19068487
2674407445000,2674408,1398519218758,-9.656827,0.313268,0.19068487
2674427465000,2674428,1398519218778,-9.656827,0.313268,0.14982383
2674447118000,2674447,1398519218798,-9.656827,0.313268,0.19068487
2674466680000,2674467,1398519218817,-9.615966,0.3405087,0.19068487
2674486211000,2674486,1398519218837,-9.575105,0.38136974,0.19068487
2674508153000,2674508,1398519218859,-9.615966,0.38136974,0.23154591
2674528997000,2674529,1398519218880,-9.656827,0.38136974,0.23154591
2674549016000,2674549,1398519218900,-9.656827,0.38136974,0.19068487
2674568639000,2674569,1398519218919,-9.697687,0.38136974,0.14982383
2674588262000,2674588,1398519218939,-9.656827,0.3405087,0.14982383
2674626775000,2674627,1398519218977,-9.656827,0.3405087,0.19068487
2674664922000,2674665,1398519219015,-9.656827,0.3405087,0.14982383
2674703100000,2674703,1398519219054,-9.615966,0.3405087,0.14982383
2674722844000,2674723,1398519219073,-9.615966,0.38136974,0.14982383
2674742528000,2674743,1398519219093,-9.656827,0.38136974,0.14982383
2674762151000,2674762,1398519219113,-9.656827,0.3405087,0.19068487
2674781774000,2674782,1398519219132,-9.656827,0.3405087,0.14982383
2674801641000,2674802,1398519219152,-9.615966,0.38136974,0.14982383
2674823858000,2674824,1398519219174,-9.656827,0.38136974,0.19068487
2674845250000,2674845,1398519219196,-9.656827,0.3405087,0.14982383
2674864904000,2674865,1398519219215,-9.656827,0.3405087,0.19068487
2674884618000,2674885,1398519219235,-9.656827,0.38136974,0.19068487
2674941686000,2674942,1398519219292,-9.615966,0.3405087,0.14982383
2674961614000,2674962,1398519219312,-9.656827,0.38136974,0.14982383
2674981267000,2674981,1398519219332,-9.656827,0.38136974,0.19068487
2675000829000,2675001,1398519219351,-9.656827,0.3405087,0.19068487
2675039098000,2675039,1398519219390,-9.656827,0.38136974,0.19068487
2675077215000,2675077,1398519219428,-9.656827,0.3405087,0.14982383
2675115484000,2675116,1398519219466,-9.656827,0.38136974,0.19068487
2675197210000,2675197,1398519219548,-9.656827,0.3405087,0.23154591
2675273504000,2675274,1398519219624,-9.615966,0.313268,0.19068487
2675293187000,2675293,1398519219644,-9.615966,0.3405087,0.19068487
2675331731000,2675332,1398519219682,-9.656827,0.3405087,0.23154591
2675407476000,2675408,1398519219758,-9.615966,0.38136974,0.23154591
2675427068000,2675427,1398519219778,-9.615966,0.38136974,0.19068487
