Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1607282218000,1607286,1398519217759,-9.500074,0.306454,-0.306454
1607291739000,1607292,1398519217764,-9.653301,0.306454,-0.306454
1607311759000,1607312,1398519217784,-9.653301,0.153227,-0.306454
1607321769000,1607323,1398519217796,-9.653301,0.459681,-0.306454
1607341819000,1607342,1398519217814,-9.500074,0.306454,-0.306454
1607361716000,1607362,1398519217834,-9.653301,0.306454,-0.306454
1607391837000,1607392,1398519217864,-9.806528,0.153227,-0.306454
1607411796000,1607412,1398519217884,-9.653301,0.459681,-0.306454
1607422141000,1607422,1398519217895,-9.653301,0.306454,-0.306454
1607442893000,1607443,1398519217916,-9.806528,0.306454,-0.306454
1607451743000,1607452,1398519217924,-9.653301,0.306454,-0.306454
1607501731000,1607502,1398519217974,-9.500074,0.306454,-0.306454
1607521750000,1607522,1398519217994,-9.653301,0.306454,-0.306454
1607531821000,1607533,1398519218006,-9.653301,0.153227,-0.153227
1607551780000,1607552,1398519218024,-9.653301,0.306454,-0.306454
1607585502000,1607585,1398519218058,-9.653301,0.306454,-0.153227
1607603476000,1607604,1398519218077,-9.653301,0.306454,-0.306454
1607632163000,1607632,1398519218105,-9.653301,0.306454,-0.153227
1607655570000,1607656,1398519218128,-9.653301,0.306454,-0.306454
1607711722000,1607712,1398519218184,-9.653301,0.459681,-0.306454
1607731772000,1607732,1398519218204,-9.806528,0.306454,-0.306454
1607741782000,1607745,1398519218217,-9.653301,0.306454,-0.306454
1607781852000,1607782,1398519218254,-9.653301,0.306454,-0.153227
1607795615000,1607796,1398519218268,-9.653301,0.306454,-0.306454
1607814078000,1607815,1398519218287,-9.653301,0.306454,-0.153227
1607821738000,1607822,1398519218294,-9.653301,0.306454,-0.306454
1607842215000,1607842,1398519218315,-9.500074,0.306454,-0.306454
1607862906000,1607866,1398519218339,-9.653301,0.306454,-0.153227
1607871726000,1607872,1398519218344,-9.653301,0.306454,-0.306454
1607941916000,1607942,1398519218415,-9.500074,0.153227,-0.459681
1607959769000,1607972,1398519218445,-9.653301,0.306454,-0.306454
1608005820000,1608006,1398519218478,-9.653301,0.153227,-0.306454
1608023856000,1608024,1398519218496,-9.653301,0.306454,-0.153227
1608031791000,1608032,1398519218504,-9.653301,0.459681,-0.306454
1608072867000,1608073,1398519218546,-9.653301,0.306454,-0.306454
1608081748000,1608082,1398519218554,-9.653301,0.306454,-0.153227
1608102164000,1608102,1398519218575,-9.653301,0.306454,-0.306454
1608111716000,1608112,1398519218584,-9.653301,0.306454,-0.153227
1608122153000,1608122,1398519218595,-9.500074,0.306454,-0.153227
