Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1823143494506,1823144,1398519217760,9.389075,-0.4975653,-0.53708315
1823150879760,1823151,1398519217767,9.5423565,-0.38260436,-0.53708315
1823159729857,1823160,1398519217776,9.389075,-0.4209247,-0.42212218
1823167847533,1823168,1398519217784,9.235794,-0.65084654,-0.57540345
1823175202269,1823176,1398519217792,9.389075,-0.38260436,-0.4604425
1823184082884,1823184,1398519217801,9.504036,-0.38260436,-0.53708315
1823192200560,1823193,1398519217809,9.504036,-0.4975653,-0.34548157
1823199555296,1823200,1398519217816,9.312435,-0.4209247,-0.49876282
1823208435912,1823209,1398519217825,9.465716,-0.57420594,-0.49876282
1823216553587,1823217,1398519217833,9.427396,-0.4209247,-0.49876282
1823223877806,1823224,1398519217840,9.235794,-0.4975653,-0.53708315
1823232758421,1823233,1398519217849,9.465716,-0.38260436,-0.4604425
1823240876097,1823241,1398519217857,9.350755,-0.30596375,-0.61372375
1823248230833,1823249,1398519217865,9.504036,-0.34428406,-0.53708315
1823257111448,1823258,1398519217874,9.465716,-0.459245,-0.49876282
1823265198607,1823266,1398519217882,9.5423565,-0.53588563,-0.61372375
1823273316282,1823274,1398519217890,9.465716,-0.61252624,-0.53708315
1823281433959,1823282,1398519217898,9.389075,-0.4975653,-0.49876282
1823289582152,1823290,1398519217906,9.427396,-0.459245,-0.53708315
1823297669311,1823298,1398519217914,9.427396,-0.4975653,-0.53708315
1823305786986,1823306,1398519217922,9.504036,-0.4209247,-0.61372375
1823313446898,1823314,1398519217930,9.504036,-0.34428406,-0.53708315
1823322022338,1823322,1398519217938,9.5423565,-0.4209247,-0.61372375
1823330140014,1823331,1398519217947,9.465716,-0.53588563,-0.65204406
1823337494750,1823338,1398519217954,9.389075,-0.4975653,-0.53708315
1823346344847,1823347,1398519217963,9.312435,-0.4209247,-0.49876282
1823354493041,1823355,1398519217971,9.350755,-0.459245,-0.57540345
1823361847777,1823362,1398519217978,9.312435,-0.53588563,-0.49876282
1823370697875,1823371,1398519217987,9.504036,-0.53588563,-0.49876282
1823378815550,1823379,1398519217995,9.504036,-0.4209247,-0.57540345
1823386170287,1823387,1398519218003,9.427396,-0.38260436,-0.38380188
1823395050902,1823395,1398519218012,9.350755,-0.30596375,-0.4604425
1823403168578,1823404,1398519218020,9.427396,-0.459245,-0.42212218
1823410492796,1823411,1398519218027,9.465716,-0.38260436,-0.61372375
1823419373412,1823420,1398519218036,9.504036,-0.26764342,-0.53708315
1823427491087,1823428,1398519218044,9.350755,-0.459245,-0.49876282
1823434845823,1823435,1398519218051,9.427396,-0.4975653,-0.42212218
1823443726438,1823444,1398519218060,9.504036,-0.53588563,-0.42212218
1823451081174,1823453,1398519218069,9.427396,-0.34428406,-0.53708315
1823459198850,1823459,1398519218075,9.312435,-0.4975653,-0.53708315
1823467286008,1823467,1398519218083,9.5423565,-0.26764342,-0.38380188
1823475403684,1823476,1398519218092,9.389075,-0.459245,-0.49876282
1823483521360,1823492,1398519218108,9.504036,-0.34428406,-0.57540345
1823491639035,1823492,1398519218108,9.350755,-0.34428406,-0.42212218
1823499756711,1823502,1398519218118,9.312435,-0.4975653,-0.42212218
1823507874388,1823508,1398519218124,9.389075,-0.30596375,-0.57540345
1823515992064,1823516,1398519218132,9.465716,-0.34428406,-0.53708315
1823524109739,1823524,1398519218140,9.427396,-0.30596375,-0.4604425
1823532227415,1823532,1398519218148,9.580677,-0.459245,-0.57540345
1823540345091,1823540,1398519218157,9.504036,-0.22932312,-0.61372375
1823548462766,1823549,1398519218165,9.312435,-0.38260436,-0.49876282
1823556580442,1823557,1398519218173,9.312435,-0.4975653,-0.57540345
1823565247434,1823565,1398519218181,9.465716,-0.4209247,-0.53708315
1823572785276,1823573,1398519218189,9.389075,-0.459245,-0.57540345
1823581452268,1823582,1398519218198,9.389075,-0.459245,-0.4604425
1823589569944,1823590,1398519218206,9.5423565,-0.4209247,-0.42212218
1823597138303,1823597,1398519218213,9.389075,-0.4209247,-0.57540345
1823605805295,1823606,1398519218222,9.389075,-0.459245,-0.4604425
1823613922971,1823614,1398519218230,9.350755,-0.4209247,-0.57540345
1823622040647,1823622,1398519218238,9.312435,-0.34428406,-0.57540345
1823630127805,1823630,1398519218246,9.350755,-0.26764342,-0.57540345
1823638245481,1823638,1398519218254,9.350755,-0.459245,-0.4604425
1823646363157,1823646,1398519218263,9.389075,-0.4209247,-0.49876282
1823653962034,1823654,1398519218270,9.350755,-0.26764342,-0.42212218
1823662049192,1823662,1398519218278,9.465716,-0.53588563,-0.4604425
1823670746701,1823671,1398519218287,9.312435,-0.30596375,-0.53708315
1823678315061,1823679,1398519218295,9.389075,-0.22932312,-0.42212218
1823686402219,1823687,1398519218303,9.427396,-0.459245,-0.57540345
1823694519895,1823695,1398519218311,9.350755,-0.38260436,-0.53708315
1823703431028,1823704,1398519218320,9.389075,-0.4209247,-0.61372375
1823711548704,1823712,1398519218328,9.235794,-0.38260436,-0.34548157
1823719635862,1823720,1398519218336,9.350755,-0.4209247,-0.4604425
1823727753538,1823728,1398519218344,9.274115,-0.4209247,-0.38380188
1823735321898,1823736,1398519218352,9.427396,-0.38260436,-0.57540345
1823743988890,1823744,1398519218360,9.235794,-0.38260436,-0.42212218
1823752106565,1823753,1398519218369,9.389075,-0.34428406,-0.4604425
1823759491819,1823760,1398519218376,9.389075,-0.4209247,-0.61372375
1823767578978,1823768,1398519218384,9.504036,-0.57420594,-0.49876282
1823776459593,1823777,1398519218393,9.350755,-0.4209247,-0.57540345
1823783783811,1823784,1398519218400,9.389075,-0.459245,-0.38380188
1823792694944,1823793,1398519218409,9.350755,-0.4975653,-0.4604425
1823800812620,1823801,1398519218417,9.427396,-0.459245,-0.49876282
1823808136839,1823808,1398519218425,9.274115,-0.53588563,-0.42212218
1823817017454,1823817,1398519218433,9.389075,-0.38260436,-0.69036436
1823825135130,1823826,1398519218442,9.389075,-0.459245,-0.49876282
1823832489866,1823833,1398519218449,9.389075,-0.4975653,-0.4604425
1823841370481,1823842,1398519218458,9.427396,-0.4209247,-0.4604425
1823849488157,1823850,1398519218466,9.504036,-0.26764342,-0.38380188
1823856842892,1823857,1398519218473,9.312435,-0.26764342,-0.49876282
1823865723508,1823866,1398519218482,9.427396,-0.34428406,-0.65204406
1823873841185,1823874,1398519218490,9.465716,-0.38260436,-0.49876282
1823881745238,1823882,1398519218498,9.389075,-0.53588563,-0.53708315
1823890076536,1823891,1398519218507,9.580677,-0.459245,-0.4604425
1823897950072,1823898,1398519218514,9.350755,-0.26764342,-0.57540345
1823905548948,1823906,1398519218522,9.465716,-0.459245,-0.42212218
1823914185424,1823915,1398519218531,9.389075,-0.30596375,-0.53708315
1823921753782,1823922,1398519218538,9.504036,-0.459245,-0.53708315
1823929901977,1823930,1398519218546,9.465716,-0.4209247,-0.49876282
1823937989135,1823938,1398519218554,9.504036,-0.4975653,-0.53708315
1823947083373,1823947,1398519218564,9.389075,-0.34428406,-0.49876282
1823954987426,1823955,1398519218571,9.350755,-0.68916684,-0.4604425
1823963105101,1823963,1398519218580,9.350755,-0.38260436,-0.34548157
1823971344847,1823972,1398519218588,9.312435,-0.34428406,-0.38380188
1823978577514,1823979,1398519218595,9.235794,-0.4975653,-0.38380188
1823987458129,1823988,1398519218604,9.427396,-0.34428406,-0.4604425
1823995575804,1823996,1398519218612,9.5423565,-0.38260436,-0.4604425
1824002930541,1824003,1398519218619,9.350755,-0.34428406,-0.57540345
1824011597533,1824012,1398519218628,9.389075,-0.4209247,-0.4604425
1824019928832,1824020,1398519218636,9.5423565,-0.4209247,-0.61372375
1824027802367,1824028,1398519218644,9.389075,-0.53588563,-0.53708315
1824035920043,1824036,1398519218652,9.504036,-0.53588563,-0.53708315
1824044251341,1824045,1398519218661,9.465716,-0.38260436,-0.61372375
1824051636595,1824052,1398519218668,9.427396,-0.4209247,-0.53708315
1824060486693,1824061,1398519218677,9.350755,-0.38260436,-0.49876282
1824068390746,1824069,1398519218685,9.389075,-0.30596375,-0.61372375
1824075959105,1824076,1398519218692,9.350755,-0.38260436,-0.61372375
1824084839720,1824085,1398519218701,9.235794,-0.30596375,-0.38380188
1824092957396,1824093,1398519218709,9.389075,-0.53588563,-0.49876282
1824101075071,1824101,1398519218718,9.350755,-0.38260436,-0.61372375
1824109192747,1824110,1398519218726,9.350755,-0.38260436,-0.38380188
1824117310424,1824118,1398519218734,9.465716,-0.459245,-0.49876282
1824125428100,1824126,1398519218742,9.235794,-0.4209247,-0.57540345
1824133545775,1824134,1398519218750,9.427396,-0.4209247,-0.4604425
1824141571898,1824142,1398519218758,9.580677,-0.459245,-0.38380188
1824149536986,1824150,1398519218766,9.5423565,-0.4209247,-0.34548157
1824157105346,1824157,1398519218773,9.504036,-0.4975653,-0.4604425
1824165833373,1824166,1398519218782,9.465716,-0.53588563,-0.38380188
1824173340697,1824174,1398519218790,9.235794,-0.459245,-0.57540345
1824181458373,1824182,1398519218798,9.504036,-0.26764342,-0.4604425
1824189545531,1824190,1398519218806,9.5423565,-0.38260436,-0.57540345
1824198426146,1824199,1398519218815,9.350755,-0.459245,-0.53708315
1824206543822,1824207,1398519218823,9.465716,-0.4975653,-0.49876282
1824214661498,1824215,1398519218831,9.465716,-0.4209247,-0.4604425
1824222016234,1824222,1398519218838,9.580677,-0.38260436,-0.4604425
1824230866332,1824231,1398519218847,9.427396,-0.38260436,-0.42212218
1824238221068,1824239,1398519218855,9.580677,-0.4975653,-0.53708315
1824247101683,1824248,1398519218864,9.312435,-0.4975653,-0.49876282
1824255219359,1824256,1398519218872,9.465716,-0.459245,-0.42212218
1824262574095,1824263,1398519218879,9.389075,-0.34428406,-0.57540345
1824271424193,1824272,1398519218888,9.389075,-0.30596375,-0.49876282
1824279328245,1824280,1398519218896,9.389075,-0.459245,-0.34548157
1824286896604,1824287,1398519218903,9.389075,-0.38260436,-0.34548157
1824295777219,1824296,1398519218912,9.427396,-0.4209247,-0.57540345
1824303894895,1824304,1398519218920,9.389075,-0.57420594,-0.4604425
1824311219114,1824312,1398519218928,9.274115,-0.4209247,-0.53708315
1824320099729,1824321,1398519218937,9.465716,-0.4975653,-0.4604425
1824328247922,1824329,1398519218945,9.504036,-0.38260436,-0.4604425
1824336121457,1824336,1398519218953,9.504036,-0.38260436,-0.57540345
1824344239133,1824345,1398519218961,9.465716,-0.459245,-0.57540345
1824352509397,1824353,1398519218969,9.350755,-0.4975653,-0.53708315
1824360657590,1824361,1398519218977,9.350755,-0.4209247,-0.57540345
1824368103879,1824368,1398519218985,9.350755,-0.459245,-0.38380188
1824377015012,1824377,1398519218993,9.465716,-0.65084654,-0.57540345
1824385010617,1824385,1398519219001,9.389075,-0.4975653,-0.53708315
1824393250363,1824394,1398519219010,9.350755,-0.4975653,-0.30716124
1824400452512,1824401,1398519219017,9.427396,-0.459245,-0.4604425
1824408570188,1824409,1398519219025,9.465716,-0.34428406,-0.42212218
1824417450803,1824418,1398519219034,9.504036,-0.61252624,-0.38380188
1824424805539,1824425,1398519219041,9.504036,-0.53588563,-0.4604425
1824432923215,1824433,1398519219049,9.427396,-0.4209247,-0.53708315
1824441010373,1824441,1398519219057,9.389075,-0.459245,-0.4604425
1824449921506,1824450,1398519219066,9.389075,-0.4209247,-0.4604425
1824457795041,1824458,1398519219074,9.504036,-0.38260436,-0.49876282
1824466126340,1824466,1398519219083,9.465716,-0.53588563,-0.53708315
1824473481076,1824474,1398519219090,9.350755,-0.61252624,-0.4604425
1824482361692,1824483,1398519219099,9.465716,-0.4975653,-0.4604425
1824490235228,1824491,1398519219107,9.350755,-0.4209247,-0.61372375
1824498566526,1824499,1398519219115,9.465716,-0.4209247,-0.38380188
1824506684201,1824507,1398519219123,9.427396,-0.34428406,-0.49876282
1824514801877,1824515,1398519219131,9.427396,-0.53588563,-0.38380188
1824522919553,1824523,1398519219139,9.312435,-0.38260436,-0.4604425
1824531037228,1824531,1398519219147,9.465716,-0.26764342,-0.49876282
1824539154904,1824540,1398519219156,9.465716,-0.4975653,-0.53708315
1824546509640,1824547,1398519219163,9.389075,-0.26764342,-0.4604425
1824555176633,1824556,1398519219172,9.427396,-0.38260436,-0.49876282
1824562744992,1824563,1398519219179,9.389075,-0.53588563,-0.42212218
1824570862668,1824571,1398519219187,9.274115,-0.38260436,-0.34548157
1824578980344,1824579,1398519219195,9.504036,-0.4975653,-0.42212218
1824587128537,1824588,1398519219204,9.5423565,-0.4975653,-0.49876282
1824595185178,1824596,1398519219212,9.504036,-0.53588563,-0.49876282
1824604218381,1824605,1398519219221,9.389075,-0.53588563,-0.30716124
1824612183469,1824613,1398519219229,9.427396,-0.4975653,-0.38380188
1824620301145,1824621,1398519219237,9.465716,-0.34428406,-0.4604425
1824628418820,1824629,1398519219245,9.312435,-0.4975653,-0.57540345
1824636322873,1824637,1398519219253,9.465716,-0.53588563,-0.61372375
1824643891232,1824644,1398519219260,9.197474,-0.57420594,-0.53708315
1824652771848,1824653,1398519219269,9.389075,-0.22932312,-0.38380188
