Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519217425983668,1570268,1398519217760,-9.622696,-0.0046539307,0.047836304
1398519217430988551,1570272,1398519217764,-9.644119,0.013198853,0.0894928
1398519217436054469,1570279,1398519217771,-9.670303,0.02748108,0.071640015
1398519217441089870,1570281,1398519217773,-9.6393585,-0.018936157,0.07044983
1398519217446125270,1570289,1398519217781,-9.591751,-0.022506714,0.0894928
1398519217451130153,1570292,1398519217784,-9.6584015,-0.010604858,0.0644989
1398519217456196071,1570299,1398519217791,-9.595322,-0.015365601,0.10020447
1398519217461200954,1570302,1398519217794,-9.627457,0.01676941,0.0811615
1398519217466266872,1570309,1398519217801,-9.597702,0.01676941,-0.02357483
1398519217471271754,1570312,1398519217804,-9.632217,0.007247925,0.012130737
1398519217476337672,1570319,1398519217811,-9.654831,0.01676941,0.0644989
1398519217481373073,1570321,1398519217813,-9.679825,-0.0129852295,0.07759094
1398519217486408473,1570329,1398519217821,-9.595322,-0.008224487,0.03236389
1398519217491413356,1570332,1398519217824,-9.628647,-0.018936157,0.15733337
1398519217496479274,1570339,1398519217831,-9.642929,0.04890442,0.12757874
1398519217501484157,1570342,1398519217834,-9.676254,0.03224182,0.12043762
1398519217506550075,1570349,1398519217841,-9.644119,0.010818481,0.07640076
1398519217511554957,1570352,1398519217844,-9.6072235,0.01914978,0.0978241
1398519217516620875,1570359,1398519217851,-9.71077,-0.0070343018,0.063308716
1398519217521625758,1570361,1398519217853,-9.622696,-0.010604858,0.08592224
1398519217526691676,1570369,1398519217861,-9.65007,0.057235718,0.044265747
1398519217531696559,1570373,1398519217865,-9.652451,0.03819275,-0.020004272
1398519217536762477,1570379,1398519217871,-9.622696,0.013198853,0.050216675
1398519217541767360,1570383,1398519217875,-9.623886,0.022720337,0.060928345
1398519217546833278,1570389,1398519217881,-9.642929,-0.057022095,0.03593445
1398519217551838161,1570393,1398519217885,-9.633408,0.00843811,0.17637634
1398519217556904079,1570401,1398519217893,-9.621506,0.0036773682,0.16685486
1398519217561908961,1570402,1398519217894,-9.628647,-0.022506714,0.0978241
1398519217566974879,1570410,1398519217902,-9.6262665,-0.03440857,0.0811615
1398519217571979762,1570412,1398519217903,-9.631027,0.028671265,0.047836304
1398519217577045680,1570420,1398519217912,-9.628647,-0.014175415,0.063308716
1398519217582050563,1570422,1398519217914,-9.636978,-0.028457642,0.04664612
1398519217587116481,1570430,1398519217922,-9.65126,-0.0129852295,0.050216675
1398519217592121364,1570432,1398519217924,-9.652451,-0.040359497,0.12757874
1398519217597187282,1570440,1398519217932,-9.654831,0.014389038,0.10020447
1398519217602192164,1570442,1398519217934,-9.64769,-0.043930054,0.084732056
1398519217607258082,1570452,1398519217944,-9.656021,0.00843811,0.09425354
1398519217612262965,1570452,1398519217944,-9.661972,0.034622192,0.10258484
1398519217617328883,1570461,1398519217953,-9.623886,0.009628296,0.06925964
1398519217622333766,1570463,1398519217954,-9.659592,0.01914978,0.08592224
1398519217627399684,1570468,1398519217960,-9.677444,0.007247925,0.114486694
1398519217632435084,1570473,1398519217965,-9.664352,0.015579224,0.08830261
1398519217637470485,1570480,1398519217972,-9.6393585,-0.018936157,0.074020386
1398519217642475368,1570483,1398519217975,-9.610794,-0.04512024,0.14424133
1398519217647541286,1570490,1398519217982,-9.604843,0.03819275,0.15376282
1398519217652546168,1570492,1398519217984,-9.641739,-0.008224487,0.05140686
1398519217657612086,1570502,1398519217994,-9.640549,-0.028457642,0.07640076
1398519217662616969,1570502,1398519217994,-9.652451,-0.033218384,0.039505005
1398519217667682887,1570511,1398519218003,-9.628647,-0.0022735596,0.06568909
1398519217672687770,1570513,1398519218005,-9.627457,-0.024887085,0.10020447
1398519217677753688,1570519,1398519218011,-9.65007,0.017959595,0.031173706
1398519217682789088,1570525,1398519218017,-9.578659,-0.04273987,0.12043762
1398519217687824489,1570529,1398519218021,-9.640549,-0.0034637451,0.0811615
1398519217692859889,1570535,1398519218027,-9.679825,0.0024871826,0.11567688
1398519217697864772,1570537,1398519218029,-9.6072235,0.023910522,0.05378723
1398519217702930690,1570545,1398519218037,-9.611984,0.073898315,0.0894928
1398519217707966090,1570549,1398519218041,-9.636978,-0.005844116,0.10972595
1398519217713001491,1570553,1398519218045,-9.613174,-0.0236969,0.08830261
1398519217718036891,1570561,1398519218053,-9.628647,-0.03440857,0.1632843
1398519217723041774,1570564,1398519218056,-9.666733,-0.017745972,0.08830261
1398519217728107692,1570571,1398519218063,-9.622696,0.01914978,0.047836304
1398519217733112575,1570574,1398519218066,-9.603653,-0.005844116,0.04664612
1398519217738178493,1570581,1398519218073,-9.590561,-0.0034637451,0.058547974
1398519217743183375,1570584,1398519218076,-9.616745,1.0681152E-4,0.05140686
1398519217748249293,1570591,1398519218083,-9.633408,-0.010604858,0.05378723
1398519217753254176,1570593,1398519218085,-9.636978,0.022720337,0.10853577
1398519217758320094,1570601,1398519218093,-9.576279,0.035812378,0.07044983
1398519217763324977,1570604,1398519218096,-9.654831,0.012008667,0.14900208
1398519217768390895,1570611,1398519218103,-9.682205,-0.0034637451,0.093063354
1398519217773395778,1570614,1398519218106,-9.660782,0.015579224,-0.0033416748
1398519217778461696,1570621,1398519218113,-9.663162,-0.0129852295,0.074020386
1398519217783466579,1570624,1398519218116,-9.6393585,0.017959595,0.04069519
1398519217788532497,1570631,1398519218123,-9.653641,-0.0070343018,0.08354187
1398519217793537379,1570633,1398519218125,-9.657211,-0.02607727,0.11091614
1398519217798603297,1570641,1398519218133,-9.688156,-0.022506714,0.07521057
1398519217803608180,1570645,1398519218137,-9.641739,0.009628296,0.11091614
1398519217808674098,1570651,1398519218143,-9.6393585,0.012008667,0.09425354
1398519217813678981,1570655,1398519218147,-9.633408,-0.005844116,0.07640076
1398519217818744899,1570661,1398519218153,-9.573898,0.007247925,-0.0259552
1398519217823749782,1570665,1398519218157,-9.641739,-0.009414673,0.0978241
1398519217828815700,1570672,1398519218164,-9.615555,-0.008224487,0.06687927
1398519217833820582,1570674,1398519218165,-9.667923,-0.001083374,0.0014190674
1398519217838886500,1570682,1398519218173,-9.632217,-0.011795044,0.093063354
