Index,Arrival_Time,Creation_Time,x,y,z
330641,1425047987325,475071779968436,-9.79422,-0.25294495,-0.060913086
330642,1425047987330,475071784942802,-9.751373,-0.26008606,-0.08709717
330643,1425047987335,475071789886649,-9.718048,-0.25532532,-0.039489746
330644,1425047987340,475071794861015,-9.744232,-0.26246643,-0.08947754
330645,1425047987345,475071799804862,-9.718048,-0.25294495,-0.11328125
330646,1425047987349,475071804779227,-9.746613,-0.2648468,-0.14422607
330647,1425047987354,475071809753593,-9.72757,-0.2481842,-0.09423828
330648,1425047987360,475071814727958,-9.715668,-0.22914124,-0.13232422
330649,1425047987365,475071819671806,-9.741852,-0.2577057,-0.08947754
330650,1425047987369,475071824646171,-9.787079,-0.26008606,-0.07519531
330651,1425047987374,475071829620536,-9.706146,-0.26960754,-0.07519531
330652,1425047987380,475071834564384,-9.72757,-0.2577057,-0.053771973
330653,1425047987384,475071839538749,-9.737091,-0.30055237,-0.12994385
330654,1425047987389,475071844482597,-9.7846985,-0.2315216,-0.101379395
330655,1425047987394,475071849456962,-9.744232,-0.2481842,-0.0513916
330656,1425047987399,475071854431327,-9.739471,-0.26008606,-0.11566162
330657,1425047987404,475071859405692,-9.72995,-0.2743683,-0.04901123
330658,1425047987409,475071864349540,-9.772797,-0.3148346,-0.04663086
330659,1425047987414,475071869323905,-9.768036,-0.29579163,-0.10852051
330660,1425047987419,475071874267753,-9.756134,-0.28627014,-0.09661865
330661,1425047987424,475071879242118,-9.713287,-0.26008606,-0.053771973
330662,1425047987428,475071884277518,-9.739471,-0.26960754,-0.13232422
330663,1425047987434,475071889171460,-9.801361,-0.2743683,-0.058532715
330664,1425047987439,475071894145825,-9.758514,-0.28627014,-0.056152344
330665,1425047987444,475071899120190,-9.737091,-0.2886505,-0.07281494
330666,1425047987449,475071904064038,-9.72995,-0.26008606,-0.08947754
330667,1425047987454,475071909038403,-9.756134,-0.28627014,-0.11804199
330668,1425047987459,475071914012769,-9.756134,-0.22200012,-0.1251831
330669,1425047987464,475071918956616,-9.72757,-0.24342346,-0.12042236
330670,1425047987468,475071923930981,-9.770416,-0.23390198,-0.13232422
330671,1425047987474,475071928905347,-9.756134,-0.22200012,-0.08947754
330672,1425047987479,475071933849194,-9.7846985,-0.2743683,-0.12042236
330673,1425047987483,475071938823560,-9.722809,-0.2743683,-0.13946533
330674,1425047987489,475071943797925,-9.770416,-0.25294495,-0.103759766
330675,1425047987494,475071948741772,-9.7656555,-0.25056458,-0.079956055
330676,1425047987499,475071953716138,-9.741852,-0.24104309,-0.056152344
330677,1425047987503,475071958690503,-9.720428,-0.2481842,-0.082336426
330678,1425047987508,475071963664868,-9.746613,-0.29579163,-0.103759766
330679,1425047987513,475071968608716,-9.744232,-0.28627014,-0.13470459
330680,1425047987519,475071973583081,-9.718048,-0.24342346,-0.11566162
330681,1425047987523,475071978557446,-9.746613,-0.3148346,-0.07757568
330682,1425047987528,475071983501294,-9.772797,-0.25532532,-0.0847168
330683,1425047987534,475071988475659,-9.746613,-0.24580383,-0.04425049
330684,1425047987538,475071993450024,-9.770416,-0.2577057,-0.0847168
330685,1425047987544,475071998393872,-9.741852,-0.2577057,-0.079956055
330686,1425047987548,475072003368237,-9.7966,-0.31245422,-0.11328125
330687,1425047987553,475072008342603,-9.751373,-0.26008606,-0.034729004
330688,1425047987558,475072013286450,-9.739471,-0.26722717,-0.09185791
330689,1425047987563,475072018260815,-9.741852,-0.30769348,-0.10614014
330690,1425047987568,475072023235181,-9.73233,-0.22200012,-0.13470459
330691,1425047987573,475072028179028,-9.746613,-0.26722717,-0.09661865
330692,1425047987578,475072033153394,-9.725189,-0.2577057,-0.07519531
330693,1425047987583,475072038127759,-9.748993,-0.2648468,-0.0847168
330694,1425047987588,475072043102124,-9.713287,-0.26008606,-0.09423828
330695,1425047987593,475072048045972,-9.72995,-0.27674866,-0.101379395
330696,1425047987598,475072053020337,-9.787079,-0.2743683,-0.07519531
330697,1425047987603,475072057994702,-9.725189,-0.27912903,-0.07519531
330698,1425047987608,475072062938550,-9.763275,-0.2743683,-0.04663086
330699,1425047987613,475072067912915,-9.725189,-0.25532532,-0.15612793
330700,1425047987618,475072072887280,-9.741852,-0.2743683,-0.0847168
330701,1425047987622,475072077831128,-9.763275,-0.22676086,-0.11804199
330702,1425047987626,475072082805493,-9.694244,-0.26008606,-0.09185791
330703,1425047987633,475072087779858,-9.734711,-0.30055237,-0.08709717
330704,1425047987638,475072092723706,-9.775177,-0.26960754,-0.07043457
330705,1425047987643,475072097698071,-9.746613,-0.2648468,-0.07043457
330706,1425047987647,475072102672436,-9.782318,-0.23628235,-0.08947754
330707,1425047987653,475072107646802,-9.703766,-0.2815094,-0.0847168
330708,1425047987657,475072112590649,-9.748993,-0.27912903,-0.13232422
330709,1425047987662,475072117565015,-9.748993,-0.30055237,-0.09185791
330710,1425047987666,475072122539380,-9.72757,-0.26246643,-0.09185791
330711,1425047987672,475072127483228,-9.715668,-0.26008606,-0.11804199
330712,1425047987677,475072132457593,-9.718048,-0.29579163,-0.10852051
330713,1425047987682,475072137431958,-9.760895,-0.2815094,-0.11090088
330714,1425047987687,475072142375806,-9.739471,-0.2243805,-0.11804199
330715,1425047987692,475072147350171,-9.746613,-0.2577057,-0.1251831
330716,1425047987697,475072152324536,-9.739471,-0.3053131,-0.14422607
330717,1425047987702,475072157268384,-9.72995,-0.25532532,-0.039489746
330718,1425047987705,475072162242749,-9.72995,-0.25056458,-0.07519531
330719,1425047987712,475072167217114,-9.7656555,-0.25056458,-0.0680542
