Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519217594868104,1458998,1398519217756,-9.6521,-0.04034424,0.302536
1398519217599903505,1459003,1398519217761,-9.660431,-0.020111084,0.2454071
1398519217604938905,1459008,1398519217766,-9.635437,0.016784668,0.25730896
1398519217609974305,1459013,1398519217771,-9.672333,-0.0022583008,0.20851135
1398519217615009706,1459018,1398519217776,-9.681854,-0.06295776,0.3203888
1398519217620045106,1459023,1398519217781,-9.65448,0.008453369,0.24897766
1398519217625080507,1459028,1398519217786,-9.698517,0.003692627,0.32633972
1398519217630115907,1459033,1398519217791,-9.648529,0.013214111,0.25730896
1398519217635151307,1459038,1398519217796,-9.6521,0.016784668,0.37275696
1398519217640186708,1459043,1398519217801,-9.686615,0.003692627,0.24897766
1398519217645222108,1459048,1398519217806,-9.642578,-0.043914795,0.23112488
1398519217650257509,1459053,1398519217812,-9.649719,0.029876709,0.2216034
1398519217655292909,1459057,1398519217816,-9.636627,-0.06295776,0.25135803
1398519217660328309,1459061,1398519217820,-9.661621,-0.03677368,0.24659729
1398519217665363710,1459068,1398519217826,-9.686615,-0.037963867,0.270401
1398519217670399110,1459071,1398519217830,-9.646149,-0.02130127,0.3275299
1398519217675434510,1459079,1398519217838,-9.65448,0.015594482,0.28825378
1398519217680439393,1459083,1398519217841,-9.649719,-0.0058288574,0.30134583
1398519217685505311,1459089,1398519217848,-9.690186,-0.028442383,0.17756653
1398519217690510194,1459093,1398519217851,-9.649719,-0.02130127,0.3287201
1398519217695576112,1459099,1398519217858,-9.643768,-0.009399414,0.23945618
1398519217700580995,1459103,1398519217861,-9.668762,0.016784668,0.24778748
1398519217705646913,1459109,1398519217868,-9.683044,-0.041534424,0.25135803
1398519217710651796,1459113,1398519217871,-9.660431,0.0013122559,0.22041321
1398519217715717714,1459122,1398519217880,-9.660431,-0.02130127,0.2870636
1398519217720722596,1459122,1398519217880,-9.661621,-0.052246094,0.32514954
1398519217725788514,1459130,1398519217888,-9.65567,-0.029632568,0.2454071
1398519217730793397,1459132,1398519217890,-9.658051,-0.037963867,0.3203888
1398519217735859315,1459140,1398519217898,-9.662811,-0.0058288574,0.29896545
1398519217740864198,1459142,1398519217900,-9.679474,-0.02130127,0.270401
1398519217745930116,1459150,1398519217908,-9.649719,-0.0058288574,0.23231506
1398519217750934999,1459152,1398519217910,-9.72113,0.0048828125,0.2632599
1398519217756000917,1459160,1398519217918,-9.703278,-0.046295166,0.27516174
1398519217761005800,1459162,1398519217920,-9.704468,-0.009399414,0.31800842
1398519217766071718,1459172,1398519217930,-9.65567,0.0072631836,0.1882782
1398519217771076600,1459172,1398519217930,-9.679474,-0.02130127,0.22636414
1398519217776142518,1459181,1398519217939,-9.642578,0.02154541,0.25968933
1398519217781147401,1459182,1398519217941,-9.681854,-0.024871826,0.27278137
1398519217786213319,1459188,1398519217947,-9.649719,-0.017730713,0.29896545
1398519217791248719,1459193,1398519217952,-9.65686,0.012023926,0.29896545
1398519217796284120,1459200,1398519217959,-9.693756,0.014404297,0.18351746
1398519217801289003,1459202,1398519217961,-9.621155,-0.028442383,0.22398376
1398519217806354921,1459210,1398519217968,-9.667572,-0.024871826,0.23826599
1398519217811359803,1459212,1398519217970,-9.633057,-0.015350342,0.3108673
1398519217816425721,1459222,1398519217980,-9.679474,0.012023926,0.21922302
1398519217821430604,1459222,1398519217980,-9.664001,0.013214111,0.270401
1398519217826496522,1459230,1398519217989,-9.658051,-0.020111084,0.24421692
1398519217831501405,1459232,1398519217991,-9.643768,0.044158936,0.22041321
1398519217836567323,1459241,1398519217999,-9.6521,-0.0082092285,0.24183655
1398519217841572206,1459242,1398519218001,-9.700897,-0.04034424,0.24302673
1398519217846638124,1459250,1398519218009,-9.702087,-0.03439331,0.28111267
1398519217851643007,1459252,1398519218011,-9.660431,0.006072998,0.23231506
1398519217856708925,1459261,1398519218019,-9.71637,-0.0022583008,0.26445007
1398519217861713807,1459262,1398519218021,-9.6770935,-0.03677368,0.26445007
1398519217866779725,1459271,1398519218029,-9.686615,-0.026062012,0.24897766
1398519217871784608,1459274,1398519218032,-9.685425,-0.016540527,0.26921082
1398519217876850526,1459281,1398519218039,-9.693756,-0.009399414,0.19303894
1398519217881855409,1459284,1398519218042,-9.640198,-0.028442383,0.2715912
1398519217886921327,1459291,1398519218049,-9.681854,-0.017730713,0.32395935
1398519217891926210,1459294,1398519218052,-9.687805,-0.03677368,0.30610657
1398519217896992128,1459301,1398519218059,-9.628296,0.0025024414,0.25016785
1398519217901997010,1459303,1398519218061,-9.686615,-0.0010681152,0.22398376
1398519217907062928,1459311,1398519218069,-9.65567,-0.009399414,0.31681824
1398519217912067811,1459314,1398519218073,-9.679474,0.008453369,0.23945618
1398519217917133729,1459321,1398519218079,-9.686615,-0.0010681152,0.18589783
1398519217922138612,1459324,1398519218083,-9.629486,0.014404297,0.29063416
1398519217927204530,1459331,1398519218090,-9.6770935,-0.026062012,0.26087952
1398519217932209413,1459333,1398519218091,-9.627106,-0.05343628,0.23945618
1398519217937275331,1459341,1398519218099,-9.672333,-0.017730713,0.31443787
1398519217942280214,1459345,1398519218103,-9.702087,0.012023926,0.30729675
1398519217947346132,1459351,1398519218109,-9.65329,-0.033203125,0.20137024
1398519217952351014,1459354,1398519218113,-9.664001,-0.06414795,0.2287445
1398519217957416932,1459361,1398519218119,-9.648529,0.02154541,0.24659729
1398519217962421815,1459364,1398519218123,-9.693756,-0.020111084,0.32633972
1398519217967487733,1459371,1398519218130,-9.690186,0.035827637,0.22279358
