Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1215621573000,1215621,1398519217755,-9.5385,0.0,-0.2681506
1215631583000,1215631,1398519217765,-9.5385,0.0,-0.22984335
1215641562000,1215641,1398519217775,-9.576807,0.038307227,-0.22984335
1215651572000,1215651,1398519217785,-9.615114,0.038307227,-0.26815057
1215661582000,1215661,1398519217795,-9.615114,0.038307227,-0.26815057
1215671561000,1215671,1398519217805,-9.615114,0.038307227,-0.30645782
1215681571000,1215681,1398519217815,-9.615114,0.0,-0.30645782
1215691581000,1215691,1398519217825,-9.576807,0.0,-0.2681506
1215701560000,1215701,1398519217835,-9.615114,0.0,-0.22984335
1215711570000,1215711,1398519217845,-9.576807,0.0,-0.22984335
1215721580000,1215721,1398519217855,-9.576807,0.0,-0.19153613
1215731559000,1215731,1398519217865,-9.615114,0.038307227,-0.22984336
1215741569000,1215741,1398519217875,-9.615114,0.076614454,-0.26815057
1215751578000,1215751,1398519217885,-9.653421,0.076614454,-0.26815057
1215761558000,1215761,1398519217895,-9.615114,0.11492168,-0.30645782
1215771567000,1215771,1398519217905,-9.576807,0.076614454,-0.2681506
1215781577000,1215781,1398519217915,-9.5385,0.038307227,-0.2681506
1215791556000,1215791,1398519217925,-9.500193,0.076614454,-0.2681506
1215801566000,1215801,1398519217935,-9.5385,0.038307227,-0.2681506
1215811576000,1215811,1398519217945,-9.5385,0.076614454,-0.30645782
1215821097000,1215821,1398519217955,-9.576807,0.076614454,-0.30645782
1215831473000,1215831,1398519217965,-9.576807,0.038307227,-0.30645782
1215841514000,1215841,1398519217975,-9.5385,0.038307227,-0.30645782
1215851523000,1215851,1398519217985,-9.576807,0.0,-0.2681506
1215861106000,1215861,1398519217995,-9.576807,0.0,-0.22984335
1215871573000,1215871,1398519218005,-9.576807,0.0,-0.22984335
1215881583000,1215881,1398519218015,-9.576807,0.0,-0.19153613
1215891562000,1215891,1398519218025,-9.576807,0.0,-0.22984336
1215901572000,1215901,1398519218035,-9.576807,0.0,-0.26815057
1215911582000,1215911,1398519218045,-9.615114,0.0,-0.22984336
1215921561000,1215921,1398519218055,-9.615114,0.0,-0.22984336
1215931571000,1215931,1398519218065,-9.576807,0.038307227,-0.19153613
1215941581000,1215941,1398519218075,-9.5385,0.076614454,-0.15322891
1215951560000,1215951,1398519218085,-9.500193,0.076614454,-0.15322891
1215961570000,1215961,1398519218095,-9.5385,0.076614454,-0.19153613
1215971580000,1215971,1398519218105,-9.576807,0.076614454,-0.22984336
1215981559000,1215981,1398519218115,-9.576807,0.038307227,-0.26815057
1215991569000,1215991,1398519218125,-9.615114,0.038307227,-0.30645782
1216001700000,1216001,1398519218135,-9.615114,0.038307227,-0.30645782
1216011558000,1216011,1398519218145,-9.615114,0.0,-0.30645782
1216021598000,1216021,1398519218155,-9.615114,0.0,-0.30645782
1216031638000,1216031,1398519218165,-9.576807,0.0,-0.30645782
1216041556000,1216041,1398519218175,-9.5385,0.0,-0.30645782
1216051566000,1216051,1398519218185,-9.5385,0.0,-0.2681506
1216061576000,1216061,1398519218195,-9.576807,0.0,-0.2681506
1216071586000,1216071,1398519218205,-9.615114,0.0,-0.2681506
1216081565000,1216081,1398519218215,-9.615114,0.038307227,-0.2681506
1216091575000,1216091,1398519218225,-9.615114,0.038307227,-0.2681506
1216101584000,1216101,1398519218235,-9.615114,0.038307227,-0.22984335
1216111564000,1216111,1398519218245,-9.576807,0.038307227,-0.22984335
1216121573000,1216121,1398519218255,-9.615114,0.0,-0.22984335
1216131583000,1216131,1398519218265,-9.576807,0.038307227,-0.26815057
1216141562000,1216141,1398519218275,-9.5385,0.038307227,-0.26815057
1216151572000,1216151,1398519218285,-9.5385,0.038307227,-0.22984336
1216161582000,1216161,1398519218295,-9.5385,0.076614454,-0.22984336
1216171561000,1216171,1398519218305,-9.5385,0.038307227,-0.22984336
1216181571000,1216181,1398519218315,-9.5385,0.038307227,-0.26815057
1216191581000,1216191,1398519218325,-9.576807,0.038307227,-0.26815057
1216201560000,1216201,1398519218335,-9.576807,0.0,-0.22984336
1216211570000,1216211,1398519218345,-9.615114,0.0,-0.19153613
1216221580000,1216221,1398519218355,-9.615114,0.0,-0.15322891
1216231559000,1216231,1398519218365,-9.576807,0.0,-0.15322891
1216241569000,1216241,1398519218375,-9.5385,0.0,-0.15322891
1216251578000,1216251,1398519218385,-9.500193,0.0,-0.15322891
1216261558000,1216261,1398519218395,-9.5385,0.0,-0.19153613
1216271476000,1216271,1398519218405,-9.576807,0.0,-0.19153613
1216281577000,1216281,1398519218415,-9.615114,0.0,-0.22984335
1216291556000,1216291,1398519218425,-9.615114,0.038307227,-0.26815057
1216301566000,1216301,1398519218435,-9.576807,0.038307227,-0.26815057
1216311576000,1216311,1398519218445,-9.5385,0.038307227,-0.30645782
1216321586000,1216321,1398519218455,-9.5385,0.038307227,-0.30645782
1216331565000,1216331,1398519218465,-9.5385,0.0,-0.2681506
1216341575000,1216341,1398519218475,-9.5385,0.0,-0.2681506
1216351584000,1216351,1398519218485,-9.5385,0.0,-0.2681506
1216361564000,1216361,1398519218495,-9.5385,0.0,-0.22984335
1216371573000,1216371,1398519218505,-9.5385,0.0,-0.26815057
1216381583000,1216381,1398519218515,-9.5385,0.038307227,-0.26815057
1216391562000,1216391,1398519218525,-9.576807,0.038307227,-0.26815057
1216401572000,1216401,1398519218535,-9.5385,0.038307227,-0.30645782
1216411582000,1216411,1398519218545,-9.5385,0.038307227,-0.30645782
1216421561000,1216421,1398519218555,-9.5385,0.0,-0.26815057
1216431571000,1216431,1398519218565,-9.5385,0.0,-0.26815057
1216441581000,1216441,1398519218575,-9.576807,0.0,-0.26815057
1216451560000,1216451,1398519218585,-9.576807,0.0,-0.22984335
1216461570000,1216461,1398519218595,-9.576807,0.0,-0.22984335
1216471580000,1216471,1398519218605,-9.5385,0.0,-0.22984335
1216481559000,1216481,1398519218615,-9.500193,0.0,-0.22984335
1216491569000,1216491,1398519218625,-9.500193,0.038307227,-0.30645782
1216501578000,1216501,1398519218635,-9.500193,0.038307227,-0.34476504
1216511558000,1216511,1398519218645,-9.500193,0.038307227,-0.34476504
1216521567000,1216521,1398519218655,-9.500193,0.038307227,-0.34476504
1216531577000,1216531,1398519218665,-9.500193,0.038307227,-0.2681506
1216541556000,1216541,1398519218675,-9.5385,0.038307227,-0.2681506
1216551566000,1216551,1398519218685,-9.5385,0.038307227,-0.22984335
1216561576000,1216561,1398519218695,-9.576807,0.076614454,-0.19153613
1216571586000,1216571,1398519218705,-9.615114,0.038307227,-0.22984336
1216581565000,1216581,1398519218715,-9.576807,0.038307227,-0.19153613
1216591575000,1216591,1398519218725,-9.576807,0.038307227,-0.22984336
1216601584000,1216601,1398519218735,-9.5385,0.0,-0.26815057
1216611564000,1216611,1398519218745,-9.500193,0.0,-0.22984335
1216621573000,1216621,1398519218755,-9.5385,0.0,-0.22984335
1216631583000,1216631,1398519218765,-9.576807,0.0,-0.22984335
1216641562000,1216641,1398519218775,-9.615114,0.0,-0.22984335
1216651572000,1216651,1398519218785,-9.615114,0.038307227,-0.22984335
1216661582000,1216661,1398519218795,-9.615114,0.038307227,-0.22984335
1216671561000,1216671,1398519218805,-9.576807,0.076614454,-0.22984335
1216681571000,1216681,1398519218815,-9.5385,0.11492168,-0.22984335
1216691581000,1216691,1398519218825,-9.5385,0.076614454,-0.22984335
1216701560000,1216701,1398519218835,-9.5385,0.076614454,-0.22984335
1216711570000,1216711,1398519218845,-9.5385,0.038307227,-0.22984335
1216721580000,1216721,1398519218855,-9.5385,0.038307227,-0.22984335
1216731559000,1216731,1398519218865,-9.5385,0.076614454,-0.26815057
1216741569000,1216741,1398519218875,-9.500193,0.076614454,-0.30645782
1216751578000,1216751,1398519218885,-9.5385,0.076614454,-0.30645782
1216761558000,1216761,1398519218895,-9.5385,0.038307227,-0.26815057
1216771567000,1216771,1398519218905,-9.576807,0.0,-0.26815057
1216781547000,1216781,1398519218915,-9.615114,0.0,-0.26815057
1216791556000,1216791,1398519218925,-9.576807,0.0,-0.26815057
1216801566000,1216801,1398519218935,-9.615114,0.0,-0.26815057
1216811576000,1216811,1398519218945,-9.615114,0.0,-0.26815057
1216821586000,1216821,1398519218955,-9.615114,0.038307227,-0.26815057
1216831565000,1216831,1398519218965,-9.615114,0.038307227,-0.22984336
1216841575000,1216841,1398519218975,-9.576807,0.038307227,-0.22984336
1216851584000,1216851,1398519218985,-9.5385,0.076614454,-0.22984336
1216861564000,1216861,1398519218995,-9.5385,0.038307227,-0.22984336
1216871573000,1216871,1398519219005,-9.5385,0.038307227,-0.26815057
1216881583000,1216881,1398519219015,-9.5385,0.038307227,-0.30645782
1216891562000,1216891,1398519219025,-9.576807,0.0,-0.30645782
1216901572000,1216901,1398519219035,-9.5385,0.0,-0.30645782
1216911582000,1216911,1398519219045,-9.5385,0.038307227,-0.30645782
1216921561000,1216921,1398519219055,-9.5385,0.038307227,-0.26815057
