Index,Arrival_Time,Creation_Time,x,y,z
0,1398519198097,1398519198097,-9.566099,-2.229110,-0.047798,
10,1398519198107,1398519198107,-9.571460,-2.240232,-0.032604,
20,1398519198117,1398519198117,-9.569757,-2.247697,-0.056388,
30,1398519198127,1398519198127,-9.567844,-2.236557,-0.034495,
40,1398519198137,1398519198137,-9.567563,-2.232671,-0.034924,
50,1398519198147,1398519198147,-9.552897,-2.252856,-0.049543,
60,1398519198157,1398519198157,-9.565763,-2.247439,-0.053152,
70,1398519198167,1398519198167,-9.567674,-2.240134,-0.056861,
80,1398519198177,1398519198177,-9.567674,-2.236445,-0.053225,
90,1398519198187,1398519198187,-9.567728,-2.229110,-0.053283,
100,1398519198197,1398519198197,-9.560223,-2.236303,-0.034953,
110,1398519198207,1398519198207,-9.565845,-2.236436,-0.053239,
120,1398519198217,1398519198217,-9.574862,-2.232697,-0.033034,
130,1398519198227,1398519198227,-9.560306,-2.238211,-0.047769,
140,1398519198237,1398519198237,-9.567645,-2.229046,-0.042285,
150,1398519198247,1398519198247,-9.567522,-2.243706,-0.040336,
160,1398519198257,1398519198257,-9.565858,-2.229069,-0.047798,
170,1398519198267,1398519198267,-9.556731,-2.232724,-0.053340,
180,1398519198277,1398519198277,-9.567645,-2.229046,-0.042285,
190,1398519198287,1398519198287,-9.565735,-2.243729,-0.045849,
200,1398519198297,1398519198297,-9.563879,-2.236321,-0.034924,
210,1398519198307,1398519198307,-9.574739,-2.247356,-0.031085,
220,1398519198317,1398519198317,-9.574821,-2.230820,-0.025717,
230,1398519198327,1398519198327,-9.578518,-2.234559,-0.034824,
240,1398519198337,1398519198337,-9.575013,-2.225436,-0.045922,
250,1398519198347,1398519198347,-9.569543,-2.232797,-0.055072,
260,1398519198357,1398519198357,-9.560319,-2.236377,-0.047783,
270,1398519198367,1398519198367,-9.567508,-2.236318,-0.031230,
280,1398519198377,1398519198377,-9.574835,-2.236364,-0.033005,
290,1398519198387,1398519198387,-9.571178,-2.234502,-0.031215,
300,1398519198397,1398519198397,-9.567549,-2.234505,-0.034910,
310,1398519198407,1398519198407,-9.574972,-2.232782,-0.047697,
320,1398519198417,1398519198417,-9.571343,-2.236474,-0.055029,
330,1398519198427,1398519198427,-9.552924,-2.239967,-0.040480,
340,1398519198437,1398519198437,-9.564016,-2.229049,-0.045980,
350,1398519198447,1398519198447,-9.571220,-2.243756,-0.045806,
360,1398519198457,1398519198457,-9.558257,-2.250943,-0.031186,
370,1398519198467,1398519198467,-9.560236,-2.232625,-0.033149,
380,1398519198477,1398519198477,-9.571301,-2.232753,-0.045893,
390,1398519198487,1398519198487,-9.567686,-2.221700,-0.040510,
400,1398519198497,1398519198497,-9.571164,-2.238180,-0.033019,
410,1398519198507,1398519198507,-9.571137,-2.251070,-0.042082,
420,1398519198517,1398519198517,-9.571301,-2.229064,-0.042256,
430,1398519198527,1398519198527,-9.556608,-2.247384,-0.051391,
440,1398519198537,1398519198537,-9.571329,-2.232774,-0.049559,
450,1398519198547,1398519198547,-9.576828,-2.236501,-0.054986,
460,1398519198557,1398519198557,-9.567549,-2.236350,-0.036728,
470,1398519198567,1398519198567,-9.560251,-2.251080,-0.053166,
480,1398519198577,1398519198577,-9.567563,-2.240049,-0.042198,
490,1398519198587,1398519198587,-9.569729,-2.251364,-0.056359,
500,1398519198597,1398519198597,-9.558703,-2.236512,-0.034567,
510,1398519198607,1398519198607,-9.557041,-2.247698,-0.067486,
520,1398519198617,1398519198617,-9.569755,-2.229252,-0.038204,
530,1398519198627,1398519198627,-9.575198,-2.231092,-0.034481,
540,1398519198637,1398519198637,-9.560533,-2.251277,-0.049100,
550,1398519198647,1398519198647,-9.564271,-2.243981,-0.052795,
560,1398519198657,1398519198657,-9.571597,-2.234805,-0.045478,
570,1398519198667,1398519198667,-9.556987,-2.251344,-0.063792,
580,1398519198677,1398519198677,-9.573522,-2.225667,-0.049202,
590,1398519198687,1398519198687,-9.556986,-2.247655,-0.060155,
600,1398519198697,1398519198697,-9.566099,-2.240301,-0.049143,
610,1398519198707,1398519198707,-9.565989,-2.240216,-0.034480,
620,1398519198717,1398519198717,-9.549645,-2.243909,-0.052910,
630,1398519198727,1398519198727,-9.549604,-2.243877,-0.047411,
640,1398519198737,1398519198737,-9.556875,-2.232815,-0.030944,
650,1398519198747,1398519198747,-9.553233,-2.249407,-0.049172,
660,1398519198757,1398519198757,-9.575226,-2.232958,-0.039965,
670,1398519198767,1398519198767,-9.564340,-2.234812,-0.052867,
680,1398519198777,1398519198777,-9.571473,-2.234710,-0.028982,
690,1398519198787,1398519198787,-9.571555,-2.225551,-0.030887,
700,1398519198797,1398519198797,-9.567885,-2.231056,-0.034538,
710,1398519198807,1398519198807,-9.575363,-2.229375,-0.054657,
720,1398519198817,1398519198817,-9.575254,-2.240356,-0.050904,
730,1398519198827,1398519198827,-9.556931,-2.254990,-0.060097,
740,1398519198837,1398519198837,-9.567804,-2.253125,-0.045362,
750,1398519198847,1398519198847,-9.575185,-2.236614,-0.038103,
760,1398519198857,1398519198857,-9.567830,-2.231013,-0.027207,
770,1398519198867,1398519198867,-9.553220,-2.254930,-0.052794,
780,1398519198877,1398519198877,-9.560642,-2.236607,-0.049216,
790,1398519198887,1398519198887,-9.566278,-2.236750,-0.069334,
800,1398519198897,1398519198897,-9.558662,-2.243858,-0.036342,
810,1398519198907,1398519198907,-9.551391,-2.236477,-0.034624,
820,1398519198917,1398519198917,-9.560600,-2.231041,-0.038262,
