Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1498362387000,1498363,1398519803519,-0.08172209,-9.915613,0.5720546
1498402265000,1498402,1398519803559,-0.08172209,-9.915613,0.53119355
1498474796000,1498475,1398519803631,-0.040861044,-9.915613,0.53119355
1498552418000,1498553,1398519803709,-0.08172209,-9.915613,0.53119355
1498592326000,1498593,1398519803749,-0.040861044,-9.915613,0.53119355
1498632387000,1498633,1398519803789,-0.08172209,-9.888372,0.5720546
1498703820000,1498704,1398519803860,-0.08172209,-9.915613,0.53119355
1498744521000,1498745,1398519803901,-0.040861044,-9.888372,0.5720546
1498782296000,1498782,1398519803939,-0.08172209,-9.915613,0.50395286
1498822296000,1498822,1398519803979,-0.040861044,-9.915613,0.50395286
1498852662000,1498855,1398519804011,-0.08172209,-9.915613,0.50395286
1498893912000,1498894,1398519804050,-0.10896278,-9.915613,0.5720546
1498934521000,1498935,1398519804091,-0.08172209,-9.888372,0.5720546
1498972326000,1498972,1398519804129,-0.08172209,-9.956474,0.5720546
1499012448000,1499013,1398519804169,-0.08172209,-9.915613,0.53119355
1499042814000,1499045,1398519804201,-0.08172209,-9.915613,0.5720546
1499123393000,1499124,1398519804280,-0.08172209,-9.915613,0.53119355
1499163149000,1499163,1398519804320,-0.08172209,-9.915613,0.5720546
1499202326000,1499203,1398519804359,-0.08172209,-9.915613,0.53119355
1499242296000,1499242,1398519804399,-0.040861044,-9.888372,0.53119355
1499282296000,1499282,1398519804439,-0.040861044,-9.915613,0.5720546
1499314857000,1499315,1398519804471,-0.10896278,-9.915613,0.53119355
1499353973000,1499354,1398519804510,-0.08172209,-9.888372,0.50395286
1499394735000,1499395,1398519804551,-0.08172209,-9.888372,0.5720546
1499432326000,1499433,1398519804589,-0.08172209,-9.915613,0.53119355
1499502692000,1499505,1398519804661,-0.08172209,-9.915613,0.5720546
1499543973000,1499544,1398519804700,-0.040861044,-9.888372,0.50395286
1499583851000,1499584,1398519804740,-0.08172209,-9.888372,0.5720546
1499624216000,1499624,1398519804781,-0.08172209,-9.915613,0.50395286
1499663851000,1499664,1398519804820,-0.040861044,-9.956474,0.53119355
1499703729000,1499704,1398519804860,-0.08172209,-9.915613,0.53119355
1499743607000,1499744,1398519804900,-0.08172209,-9.888372,0.5720546
1499783454000,1499784,1398519804940,-0.08172209,-9.888372,0.53119355
1499823271000,1499823,1398519804980,-0.040861044,-9.956474,0.53119355
1499862357000,1499863,1398519805019,-0.08172209,-9.915613,0.5720546
