Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3549871087000,3549871,1398519803516,0.1592144,-9.864111,-0.4201824
3549881127000,3549881,1398519803526,0.16998832,-9.868899,-0.39983168
3549891015000,3549891,1398519803536,0.1592144,-9.85214,-0.41180268
3549901085000,3549901,1398519803546,0.14724341,-9.842564,-0.4165911
3549911004000,3549911,1398519803556,0.15801731,-9.847352,-0.40940848
3549921013000,3549921,1398519803566,0.15442601,-9.85214,-0.39743748
3549931023000,3549931,1398519803576,0.16998832,-9.853337,-0.4309563
3549941063000,3549941,1398519803586,0.16998832,-9.853337,-0.4309563
3549951073000,3549951,1398519803596,0.1436521,-9.860519,-0.40940848
3549960991000,3549961,1398519803606,0.1448492,-9.861717,-0.4189853
3549971154000,3549971,1398519803616,0.15322891,-9.846154,-0.45130703
3549981072000,3549981,1398519803626,0.15682021,-9.85214,-0.40940848
3549991021000,3549992,1398519803636,0.15682021,-9.856929,-0.41180268
3550001336000,3550002,1398519803646,0.1604115,-9.85214,-0.4285621
3550011101000,3550011,1398519803656,0.15203181,-9.848549,-0.4225766
3550021020000,3550021,1398519803666,0.17118542,-9.847352,-0.40102878
3550031060000,3550031,1398519803676,0.17956513,-9.872491,-0.4225766
3550041070000,3550041,1398519803686,0.16400282,-9.854534,-0.4417302
3550051018000,3550051,1398519803696,0.12808979,-9.868899,-0.40940848
3550061059000,3550061,1398519803706,0.14724341,-9.864111,-0.4165911
3550071099000,3550072,1398519803716,0.16400282,-9.85214,-0.40342298
3550081109000,3550083,1398519803728,0.16400282,-9.85214,-0.40342298
3550096703000,3550100,1398519803744,0.18315643,-9.842564,-0.40821138
3550101098000,3550101,1398519803746,0.18315643,-9.842564,-0.40821138
3550110985000,3550117,1398519803761,0.18076223,-9.853337,-0.4345476
3550121026000,3550121,1398519803766,0.16280572,-9.850943,-0.4165911
3550131035000,3550133,1398519803778,0.16879122,-9.838972,-0.4177882
3550141045000,3550141,1398519803786,0.15562311,-9.8437605,-0.39743748
3550151024000,3550151,1398519803796,0.15682021,-9.844957,-0.39384618
3550161370000,3550162,1398519803806,0.15562311,-9.85214,-0.4345476
3550171166000,3550171,1398519803816,0.15562311,-9.85214,-0.4177882
3550181389000,3550182,1398519803826,0.1604115,-9.862914,-0.39504328
3550191063000,3550191,1398519803836,0.1604115,-9.864111,-0.40821138
3550201104000,3550201,1398519803846,0.14724341,-9.856929,-0.40821138
3550211175000,3550211,1398519803856,0.1592144,-9.85214,-0.4189853
3550221093000,3550221,1398519803866,0.1592144,-9.85214,-0.4189853
3550231225000,3550231,1398519803876,0.16639702,-9.858126,-0.39025488
3550241051000,3550241,1398519803886,0.18315643,-9.859323,-0.39025488
3550251061000,3550251,1398519803896,0.15801731,-9.874885,-0.4297592
3550261071000,3550261,1398519803906,0.17238252,-9.871294,-0.415394
3550271081000,3550271,1398519803916,0.16639702,-9.840169,-0.4141969
3550281060000,3550281,1398519803926,0.16280572,-9.861717,-0.4141969
3550296685000,3550297,1398519803941,0.1376666,-9.841366,-0.4333505
3550301049000,3550301,1398519803946,0.15562311,-9.861717,-0.4297592
3550310998000,3550311,1398519803956,0.14963761,-9.853337,-0.4177882
3550321038000,3550321,1398519803966,0.17118542,-9.853337,-0.4201824
3550330987000,3550331,1398519803976,0.15562311,-9.847352,-0.40821138
3550341027000,3550341,1398519803986,0.1592144,-9.878476,-0.4261679
3550351006000,3550351,1398519803996,0.15562311,-9.859323,-0.4213795
3550361016000,3550361,1398519804006,0.15562311,-9.859323,-0.4213795
3550371087000,3550371,1398519804016,0.1388637,-9.866506,-0.40821138
3550381096000,3550381,1398519804026,0.1436521,-9.866506,-0.40462008
3550391137000,3550391,1398519804036,0.15203181,-9.862914,-0.4141969
3550401024000,3550403,1398519804048,0.1604115,-9.853337,-0.40940848
3550411004000,3550411,1398519804056,0.17836803,-9.8677025,-0.4249708
3550421074000,3550421,1398519804066,0.16639702,-9.874885,-0.4381389
3550431145000,3550431,1398519804076,0.15801731,-9.85214,-0.44771573
3550441124000,3550441,1398519804086,0.1604115,-9.856929,-0.4165911
3550451226000,3550451,1398519804096,0.15083471,-9.844957,-0.40462008
3550461052000,3550461,1398519804106,0.15083471,-9.856929,-0.4225766
3550471154000,3550471,1398519804116,0.16879122,-9.856929,-0.427365
3550481011000,3550481,1398519804126,0.17477672,-9.856929,-0.4357447
3550491021000,3550491,1398519804136,0.15801731,-9.853337,-0.4201824
3550501458000,3550502,1398519804146,0.15801731,-9.853337,-0.4201824
3550511071000,3550511,1398519804156,0.15203181,-9.849746,-0.4309563
3550521142000,3550521,1398519804166,0.15442601,-9.859323,-0.4225766
3550531090000,3550531,1398519804176,0.1412579,-9.862914,-0.4201824
3550541222000,3550542,1398519804186,0.1436521,-9.861717,-0.41060558
3550551018000,3550551,1398519804196,0.1400608,-9.866506,-0.4189853
3550561028000,3550561,1398519804206,0.15442601,-9.85214,-0.4261679
3550571190000,3550571,1398519804216,0.15801731,-9.853337,-0.415394
3550581017000,3550581,1398519804226,0.1592144,-9.85214,-0.40222588
3550591057000,3550591,1398519804236,0.15203181,-9.842564,-0.4201824
3550601037000,3550601,1398519804246,0.14604631,-9.8437605,-0.4165911
3550611016000,3550611,1398519804256,0.1604115,-9.864111,-0.4201824
3550621117000,3550621,1398519804266,0.1604115,-9.832987,-0.4237737
3550631005000,3550631,1398519804276,0.17118542,-9.874885,-0.4357447
3550641076000,3550641,1398519804286,0.17118542,-9.874885,-0.4357447
3550651085000,3550651,1398519804296,0.15682021,-9.854534,-0.4405331
3550661156000,3550661,1398519804306,0.15562311,-9.855731,-0.41299978
3550671105000,3550671,1398519804316,0.15322891,-9.842564,-0.4225766
3550681023000,3550681,1398519804326,0.15442601,-9.850943,-0.4213795
3550691063000,3550691,1398519804336,0.15083471,-9.873688,-0.4405331
3550701043000,3550701,1398519804346,0.15442601,-9.859323,-0.4249708
3550711022000,3550711,1398519804356,0.16998832,-9.860519,-0.41180268
3550721062000,3550721,1398519804366,0.17238252,-9.838972,-0.40462008
3550730980000,3550731,1398519804375,0.14963761,-9.835381,-0.3854665
3550741082000,3550741,1398519804386,0.16280572,-9.858126,-0.4201824
3550751031000,3550751,1398519804396,0.18555063,-9.842564,-0.4381389
3550761010000,3550761,1398519804406,0.17597382,-9.872491,-0.4285621
3550770989000,3550771,1398519804416,0.17836803,-9.854534,-0.4261679
3550781090000,3550781,1398519804426,0.17836803,-9.854534,-0.4261679
3550791070000,3550791,1398519804436,0.15322891,-9.849746,-0.4165911
3550801049000,3550801,1398519804446,0.16160862,-9.840169,-0.3890578
3550811120000,3550811,1398519804456,0.1400608,-9.849746,-0.41299978
3550821068000,3550821,1398519804466,0.17118542,-9.849746,-0.44771573
3550831017000,3550831,1398519804476,0.14844051,-9.848549,-0.4405331
3550841088000,3550841,1398519804486,0.17477672,-9.871294,-0.39384618
3550851037000,3550851,1398519804496,0.17717093,-9.864111,-0.40581718
3550861138000,3550862,1398519804506,0.18435353,-9.858126,-0.4165911
3550871056000,3550871,1398519804516,0.16879122,-9.847352,-0.40462008
3550881035000,3550881,1398519804526,0.1604115,-9.827001,-0.41060558
3550891076000,3550891,1398519804536,0.15442601,-9.856929,-0.4237737
3550901055000,3550901,1398519804546,0.16280572,-9.838972,-0.4249708
3550911095000,3550911,1398519804556,0.15203181,-9.862914,-0.4381389
3550921135000,3550921,1398519804566,0.15203181,-9.862914,-0.4381389
3550931023000,3550931,1398519804576,0.17357962,-9.880871,-0.427365
3550941338000,3550942,1398519804586,0.16759412,-9.865308,-0.4165911
3550951073000,3550951,1398519804596,0.15801731,-9.842564,-0.39145198
3550961266000,3550961,1398519804606,0.1604115,-9.840169,-0.427365
3550971032000,3550971,1398519804616,0.16400282,-9.853337,-0.4297592
3550981041000,3550981,1398519804626,0.16639702,-9.855731,-0.40821138
3550990990000,3550991,1398519804636,0.15562311,-9.856929,-0.4333505
3551002007000,3551002,1398519804647,0.1592144,-9.8677025,-0.40222588
3551011040000,3551011,1398519804656,0.1592144,-9.877279,-0.427365
3551021142000,3551022,1398519804666,0.17238252,-9.860519,-0.41180268
3551031304000,3551031,1398519804676,0.16998832,-9.862914,-0.415394
3551041070000,3551041,1398519804686,0.15562311,-9.873688,-0.41299978
3551051140000,3551051,1398519804696,0.16400282,-9.849746,-0.4321534
3551061059000,3551061,1398519804706,0.16400282,-9.849746,-0.4321534
3551071007000,3551071,1398519804716,0.17477672,-9.844957,-0.4201824
3551081048000,3551081,1398519804726,0.16879122,-9.849746,-0.39025488
3551091027000,3551091,1398519804736,0.15682021,-9.848549,-0.40701428
3551101098000,3551101,1398519804746,0.16879122,-9.846154,-0.4333505
3551111107000,3551111,1398519804756,0.14963761,-9.846154,-0.4261679
3551121117000,3551121,1398519804766,0.1604115,-9.848549,-0.39863458
3551131005000,3551131,1398519804775,0.15562311,-9.846154,-0.415394
3551141106000,3551141,1398519804786,0.16759412,-9.844957,-0.39743748
3551151024000,3551151,1398519804796,0.17597382,-9.861717,-0.4213795
3551161095000,3551161,1398519804806,0.15322891,-9.864111,-0.4333505
3551171074000,3551171,1398519804816,0.15562311,-9.860519,-0.40821138
3551181084000,3551181,1398519804826,0.16160862,-9.864111,-0.41060558
3551191002000,3551191,1398519804835,0.14963761,-9.862914,-0.4189853
3551201043000,3551201,1398519804846,0.14963761,-9.862914,-0.4189853
3551211022000,3551211,1398519804856,0.14963761,-9.873688,-0.4297592
3551221093000,3551221,1398519804866,0.14844051,-9.846154,-0.4333505
3551231072000,3551231,1398519804876,0.16519992,-9.849746,-0.40940848
3551241082000,3551241,1398519804886,0.16400282,-9.848549,-0.4225766
3551251061000,3551251,1398519804896,0.15801731,-9.858126,-0.427365
3551261071000,3551261,1398519804906,0.16998832,-9.858126,-0.427365
3551271081000,3551278,1398519804923,0.14963761,-9.847352,-0.4285621
3551281243000,3551284,1398519804928,0.1604115,-9.865308,-0.39863458
3551290978000,3551291,1398519804935,0.15203181,-9.865308,-0.415394
3551301171000,3551301,1398519804946,0.1592144,-9.854534,-0.4261679
3551311059000,3551311,1398519804956,0.15442601,-9.859323,-0.40342298
3551321038000,3551321,1398519804966,0.15801731,-9.861717,-0.427365
3551331078000,3551331,1398519804976,0.15801731,-9.861717,-0.427365
3551341027000,3551341,1398519804986,0.1592144,-9.865308,-0.40581718
3551351159000,3551351,1398519804996,0.15083471,-9.873688,-0.4189853
3551361107000,3551361,1398519805006,0.1448492,-9.866506,-0.4321534
