Index,Arrival_Time,Creation_Time,x,y,z
132774,1425047658497,2051190348000,-0.11192893,-9.730036,0.7793127
132775,1425047658507,2051200228000,-0.09756372,-9.734824,0.7667431
132776,1425047658517,2051210238000,-0.10654198,-9.737218,0.7769185
132777,1425047658527,2051220228000,-0.10654198,-9.734225,0.7673417
132778,1425047658537,2051230270000,-0.08798691,-9.749189,0.78649527
132779,1425047658547,2051239988000,-0.093972415,-9.731233,0.7882909
132780,1425047658557,2051250176000,-0.10594343,-9.728839,0.7637503
132781,1425047658567,2051259885000,-0.10115502,-9.743204,0.7835025
132782,1425047658577,2051269928000,-0.10175357,-9.743204,0.777517
132783,1425047658587,2051279787000,-0.09935937,-9.731832,0.7637503
132784,1425047658597,2051289953000,-0.093972415,-9.738416,0.7918822
132785,1425047658607,2051299673000,-0.08259996,-9.722853,0.7799112
132786,1425047658617,2051309709000,-0.109534726,-9.736021,0.78050977
132787,1425047658626,2051319577000,-0.107739076,-9.746795,0.777517
132788,1425047658636,2051329608000,-0.10115502,-9.7324295,0.7739257
132789,1425047658646,2051339459000,-0.10414778,-9.726444,0.75956047
132790,1425047658657,2051349637000,-0.08439561,-9.725846,0.8122329
132791,1425047658666,2051359357000,-0.11851298,-9.728839,0.7565677
132792,1425047658676,2051369393000,-0.090979666,-9.731832,0.7942764
132793,1425047658686,2051379252000,-0.10354923,-9.721656,0.75716627
132794,1425047658696,2051389286000,-0.093972415,-9.727043,0.79487497
132795,1425047658706,2051399152000,-0.09636662,-9.727043,0.74878657
132796,1425047658717,2051409683000,-0.11671733,-9.746795,0.76195467
132797,1425047658726,2051419043000,-0.092176765,-9.73662,0.801459
132798,1425047658736,2051429084000,-0.10295067,-9.737817,0.777517
132799,1425047658746,2051438933000,-0.10534488,-9.737218,0.7691373
132800,1425047658756,2051448983000,-0.08619126,-9.727641,0.74758947
132801,1425047658766,2051458843000,-0.08140286,-9.740809,0.8038532
132802,1425047658776,2051469018000,-0.09876082,-9.737817,0.7966706
132803,1425047658786,2051478728000,-0.095169514,-9.72824,0.75836337
132804,1425047658796,2051488772000,-0.095768064,-9.727043,0.7763199
132805,1425047658806,2051498625000,-0.08379706,-9.731233,0.7769185
132806,1425047658816,2051508667000,-0.095768064,-9.722255,0.76554596
132807,1425047658825,2051518523000,-0.09636662,-9.73662,0.777517
132808,1425047658836,2051528690000,-0.092775315,-9.7479925,0.79008657
132809,1425047658845,2051538416000,-0.10055647,-9.733627,0.7930793
132810,1425047658855,2051548459000,-0.10055647,-9.727043,0.78170687
132811,1425047658865,2051558307000,-0.109534726,-9.734824,0.8343793
132812,1425047658875,2051568379000,-0.10115502,-9.739613,0.78888947
132813,1425047658885,2051578210000,-0.10534488,-9.731832,0.7769185
132814,1425047658895,2051588384000,-0.07062895,-9.753978,0.7673417
132815,1425047658905,2051598093000,-0.08140286,-9.74859,0.8002619
132816,1425047658915,2051608132000,-0.08798691,-9.73662,0.79128367
132817,1425047658925,2051617994000,-0.10354923,-9.746795,0.76075757
132818,1425047658935,2051628025000,-0.09636662,-9.739613,0.7685388
132819,1425047658945,2051637885000,-0.10354923,-9.730036,0.75118077
132820,1425047658955,2051648062000,-0.08439561,-9.725846,0.7739257
132821,1425047658965,2051657780000,-0.092176765,-9.740809,0.7739257
132822,1425047658975,2051667822000,-0.09636662,-9.753379,0.7565677
132823,1425047658985,2051677672000,-0.095768064,-9.734824,0.770933
132824,1425047658995,2051687725000,-0.10414778,-9.731832,0.7793127
132825,1425047659005,2051697574000,-0.088585466,-9.741408,0.7553706
132826,1425047659015,2051707747000,-0.09935937,-9.7324295,0.78769237
132827,1425047659024,2051717464000,-0.09935937,-9.72824,0.7661445
132828,1425047659034,2051727504000,-0.107739076,-9.727641,0.74758947
132829,1425047659044,2051737358000,-0.094570965,-9.7479925,0.7835025
132830,1425047659054,2051747406000,-0.109534726,-9.73662,0.7751228
132831,1425047659064,2051757259000,-0.107739076,-9.729437,0.7954735
132832,1425047659074,2051767422000,-0.09756372,-9.742006,0.760159
132833,1425047659084,2051777146000,-0.110731825,-9.733627,0.81761986
132834,1425047659094,2051787188000,-0.09995792,-9.7240505,0.7835025
132835,1425047659104,2051797044000,-0.09816227,-9.742006,0.74758947
132836,1425047659114,2051807074000,-0.11971009,-9.738416,0.79607207
132837,1425047659124,2051817108000,-0.094570965,-9.718064,0.76434886
132838,1425047659134,2051827146000,-0.092176765,-9.737817,0.80804306
132839,1425047659144,2051836834000,-0.107140526,-9.731832,0.80564886
132840,1425047659154,2051846880000,-0.092176765,-9.718064,0.7679402
132841,1425047659164,2051856733000,-0.110133275,-9.738416,0.8098387
132842,1425047659174,2051866776000,-0.093373865,-9.733627,0.7613561
132843,1425047659184,2051876630000,-0.088585466,-9.742006,0.789488
132844,1425047659194,2051886793000,-0.10175357,-9.721058,0.7428011
132845,1425047659203,2051896518000,-0.109534726,-9.746197,0.79966336
132846,1425047659214,2051906558000,-0.11372458,-9.731233,0.74639237
132847,1425047659223,2051916420000,-0.107739076,-9.726444,0.7529764
