Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1574211384000,1574211,1398519803527,0.20111294,-9.9790325,-0.24899697
1574221520000,1574221,1398519803537,0.17238252,-9.9790325,-0.2873042
1574231655000,1574231,1398519803548,0.22026655,-9.969456,-0.2777274
1574241753000,1574241,1398519803558,0.20111294,-9.969456,-0.2681506
1574251876000,1574252,1398519803568,0.17238252,-9.969456,-0.24899697
1574262000000,1574262,1398519803578,0.19153613,-9.959879,-0.23942018
1574272119000,1574272,1398519803588,0.19153613,-9.959879,-0.2777274
1574282245000,1574282,1398519803598,0.17238252,-9.969456,-0.2873042
1574292366000,1574292,1398519803608,0.1436521,-9.969456,-0.2681506
1574302490000,1574302,1398519803618,0.18195933,-9.9790325,-0.29688102
1574312596000,1574312,1398519803629,0.19153613,-9.988609,-0.2681506
1574322742000,1574323,1398519803639,0.21068975,-9.9790325,-0.29688102
1574332855000,1574333,1398519803649,0.20111294,-9.950302,-0.2873042
1574342976000,1574343,1398519803659,0.21068975,-9.959879,-0.25857377
1574353098000,1574353,1398519803669,0.17238252,-9.940725,-0.2873042
1574363215000,1574363,1398519803679,0.17238252,-9.988609,-0.30645782
1574373334000,1574373,1398519803689,0.17238252,-9.988609,-0.32561144
1574383458000,1574383,1398519803699,0.19153613,-9.959879,-0.37349546
1574393581000,1574393,1398519803710,0.22984336,-9.998186,-0.33518824
1574403701000,1574403,1398519803720,0.20111294,-9.9790325,-0.29688102
1574413819000,1574414,1398519803730,0.17238252,-9.9790325,-0.24899697
1574423944000,1574424,1398519803740,0.1436521,-9.988609,-0.25857377
1574434064000,1574434,1398519803750,0.20111294,-9.959879,-0.2873042
1574444186000,1574444,1398519803760,0.19153613,-9.969456,-0.2777274
1574454307000,1574454,1398519803770,0.18195933,-9.988609,-0.2777274
1574464426000,1574464,1398519803780,0.16280572,-9.988609,-0.2777274
1574474690000,1574475,1398519803791,0.17238252,-9.988609,-0.31603462
1574485152000,1574485,1398519803801,0.17238252,-9.988609,-0.29688102
1574495287000,1574495,1398519803812,0.16280572,-9.969456,-0.31603462
1574505509000,1574506,1398519803822,0.19153613,-9.959879,-0.30645782
1574515670000,1574516,1398519803832,0.17238252,-9.988609,-0.30645782
1574525874000,1574526,1398519803842,0.18195933,-9.969456,-0.31603462
1574536077000,1574536,1398519803852,0.15322891,-10.007763,-0.32561144
1574546415000,1574546,1398519803863,0.15322891,-9.9790325,-0.31603462
1574556618000,1574557,1398519803873,0.15322891,-9.969456,-0.31603462
1574566814000,1574567,1398519803883,0.16280572,-9.940725,-0.2777274
1574577001000,1574577,1398519803893,0.18195933,-9.950302,-0.2873042
1574587195000,1574587,1398519803903,0.19153613,-9.950302,-0.30645782
1574597389000,1574597,1398519803914,0.15322891,-9.940725,-0.2681506
1574610404000,1574611,1398519803927,0.17238252,-9.988609,-0.2873042
1574623265000,1574624,1398519803940,0.15322891,-10.0269165,-0.32561144
1574636133000,1574637,1398519803953,0.20111294,-9.988609,-0.2777274
1574648988000,1574649,1398519803966,0.21068975,-9.959879,-0.29688102
