Creation_Time,Sensor_Time,Arrival_Time,x,y,z
3259173070000,3259173,1398519803524,-0.27240697,-9.656827,0.19068487
3259215001000,3259215,1398519803566,-0.27240697,-9.697687,0.19068487
3259236089000,3259236,1398519803587,-0.29964766,-9.656827,0.19068487
3259275548000,3259276,1398519803626,-0.29964766,-9.697687,0.14982383
3259295324000,3259295,1398519803646,-0.29964766,-9.697687,0.19068487
3259315038000,3259315,1398519803666,-0.29964766,-9.697687,0.14982383
3259353887000,3259354,1398519803704,-0.3405087,-9.656827,0.14982383
3259373571000,3259374,1398519803724,-0.29964766,-9.656827,0.14982383
3259393285000,3259393,1398519803744,-0.27240697,-9.656827,0.19068487
3259413030000,3259413,1398519803764,-0.29964766,-9.656827,0.19068487
3259432683000,3259433,1398519803783,-0.29964766,-9.697687,0.14982383
3259452367000,3259452,1398519803803,-0.29964766,-9.656827,0.19068487
3259490697000,3259491,1398519803841,-0.29964766,-9.656827,0.14982383
3259510381000,3259510,1398519803861,-0.27240697,-9.656827,0.14982383
3259529943000,3259530,1398519803881,-0.29964766,-9.656827,0.14982383
3259552343000,3259552,1398519803903,-0.29964766,-9.697687,0.14982383
3259573339000,3259573,1398519803924,-0.27240697,-9.697687,0.14982383
3259594396000,3259595,1398519803945,-0.29964766,-9.656827,0.14982383
3259633123000,3259633,1398519803984,-0.27240697,-9.697687,0.14982383
3259653081000,3259653,1398519804004,-0.29964766,-9.697687,0.19068487
3259673040000,3259673,1398519804024,-0.29964766,-9.656827,0.19068487
3259693029000,3259693,1398519804044,-0.29964766,-9.656827,0.10896278
3259732366000,3259733,1398519804083,-0.29964766,-9.697687,0.10896278
3259808660000,3259809,1398519804159,-0.27240697,-9.724928,0.10896278
3259828252000,3259828,1398519804179,-0.23154591,-9.724928,0.10896278
3259848302000,3259848,1398519804199,-0.29964766,-9.697687,0.14982383
3259868200000,3259868,1398519804219,-0.3405087,-9.697687,0.14982383
3259890813000,3259891,1398519804241,-0.29964766,-9.656827,0.14982383
3259932073000,3259932,1398519804283,-0.29964766,-9.697687,0.19068487
3259951818000,3259952,1398519804302,-0.29964766,-9.697687,0.14982383
3259990270000,3259990,1398519804341,-0.29964766,-9.656827,0.19068487
3260009984000,3260010,1398519804361,-0.29964766,-9.697687,0.19068487
3260029790000,3260030,1398519804380,-0.27240697,-9.697687,0.10896278
3260049474000,3260050,1398519804400,-0.29964766,-9.697687,0.10896278
3260069036000,3260069,1398519804420,-0.29964766,-9.656827,0.14982383
3260088323000,3260088,1398519804439,-0.27240697,-9.697687,0.14982383
3260108159000,3260108,1398519804459,-0.23154591,-9.697687,0.14982383
3260129461000,3260130,1398519804480,-0.27240697,-9.656827,0.14982383
3260150365000,3260150,1398519804501,-0.29964766,-9.697687,0.14982383
3260170293000,3260170,1398519804521,-0.27240697,-9.697687,0.10896278
3260190160000,3260190,1398519804541,-0.27240697,-9.656827,0.14982383
3260228643000,3260229,1398519804579,-0.29964766,-9.697687,0.19068487
3260266912000,3260267,1398519804617,-0.29964766,-9.656827,0.19068487
3260305059000,3260305,1398519804656,-0.27240697,-9.656827,0.14982383
3260324743000,3260325,1398519804675,-0.29964766,-9.697687,0.10896278
3260344426000,3260345,1398519804695,-0.27240697,-9.724928,0.14982383
3260364110000,3260364,1398519804715,-0.27240697,-9.656827,0.23154591
3260383886000,3260384,1398519804734,-0.29964766,-9.697687,0.23154591
3260405248000,3260405,1398519804756,-0.27240697,-9.656827,0.14982383
3260426000000,3260426,1398519804777,-0.27240697,-9.656827,0.10896278
3260445928000,3260446,1398519804797,-0.29964766,-9.656827,0.10896278
3260484411000,3260485,1398519804835,-0.29964766,-9.697687,0.14982383
3260523046000,3260523,1398519804874,-0.27240697,-9.656827,0.14982383
3260542669000,3260543,1398519804893,-0.27240697,-9.697687,0.14982383
3260581609000,3260582,1398519804932,-0.29964766,-9.656827,0.14982383
3260601629000,3260602,1398519804952,-0.27240697,-9.656827,0.14982383
3260621648000,3260622,1398519804972,-0.29964766,-9.697687,0.10896278
3260641607000,3260642,1398519804992,-0.3405087,-9.697687,0.10896278
3260664769000,3260665,1398519805015,-0.29964766,-9.697687,0.10896278
3260704015000,3260704,1398519805055,-0.3405087,-9.656827,0.14982383
3260723729000,3260724,1398519805074,-0.29964766,-9.656827,0.14982383
3260762059000,3260762,1398519805113,-0.29964766,-9.697687,0.10896278
3260781713000,3260782,1398519805132,-0.29964766,-9.656827,0.10896278
3260802068000,3260802,1398519805153,-0.29964766,-9.615966,0.14982383
3260822667000,3260823,1398519805173,-0.29964766,-9.656827,0.19068487
3260842901000,3260843,1398519805193,-0.29964766,-9.697687,0.19068487
3260886449000,3260887,1398519805237,-0.29964766,-9.656827,0.14982383
3260907476000,3260908,1398519805258,-0.29964766,-9.615966,0.14982383
3260927373000,3260927,1398519805278,-0.29964766,-9.656827,0.14982383
3260965551000,3260966,1398519805316,-0.27240697,-9.615966,0.14982383
3260985173000,3260985,1398519805336,-0.29964766,-9.656827,0.19068487
3261023504000,3261024,1398519805374,-0.29964766,-9.697687,0.19068487
3261043096000,3261043,1398519805394,-0.27240697,-9.697687,0.19068487
3261063085000,3261063,1398519805414,-0.29964766,-9.697687,0.10896278
3261085302000,3261085,1398519805436,-0.29964766,-9.656827,0.14982383
3261126287000,3261126,1398519805477,-0.29964766,-9.656827,0.19068487
