Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1981752402000,1981753,1398519803529,-0.10896278,-9.615966,0.42223078
1981793906000,1981794,1398519803570,-0.08172209,-9.615966,0.42223078
1981832358000,1981833,1398519803609,-0.08172209,-9.656827,0.50395286
1981865012000,1981873,1398519803649,-0.10896278,-9.656827,0.46309182
1981902182000,1981902,1398519803678,-0.10896278,-9.615966,0.46309182
1981933005000,1981933,1398519803709,-0.08172209,-9.615966,0.46309182
1981974905000,1981975,1398519803751,-0.10896278,-9.615966,0.50395286
1982012534000,1982013,1398519803789,-0.08172209,-9.615966,0.42223078
1982052664000,1982053,1398519803829,-0.10896278,-9.615966,0.42223078
1982092581000,1982093,1398519803869,-0.08172209,-9.615966,0.46309182
1982135916000,1982136,1398519803912,-0.10896278,-9.615966,0.42223078
1982202322000,1982203,1398519803979,-0.10896278,-9.615966,0.50395286
1982242941000,1982244,1398519804020,-0.10896278,-9.656827,0.50395286
1982282217000,1982282,1398519804058,-0.10896278,-9.615966,0.42223078
1982315024000,1982315,1398519804091,-0.10896278,-9.656827,0.46309182
1982354483000,1982355,1398519804131,-0.08172209,-9.656827,0.42223078
1982392233000,1982396,1398519804172,-0.08172209,-9.615966,0.42223078
1982464224000,1982465,1398519804241,-0.08172209,-9.656827,0.38136974
1982502463000,1982503,1398519804279,-0.08172209,-9.615966,0.42223078
1982542380000,1982543,1398519804319,-0.10896278,-9.615966,0.46309182
1982572653000,1982573,1398519804349,-0.08172209,-9.697687,0.42223078
1982612631000,1982613,1398519804389,-0.08172209,-9.656827,0.46309182
1982652518000,1982653,1398519804429,-0.08172209,-9.615966,0.46309182
1982692770000,1982693,1398519804469,-0.10896278,-9.656827,0.46309182
1982735068000,1982735,1398519804511,-0.08172209,-9.615966,0.42223078
1982772665000,1982773,1398519804549,-0.08172209,-9.615966,0.50395286
1982812338000,1982813,1398519804589,-0.08172209,-9.615966,0.46309182
1982912436000,1982913,1398519804689,-0.10896278,-9.615966,0.46309182
1982952231000,1982952,1398519804728,-0.08172209,-9.697687,0.46309182
1982982748000,1982983,1398519804759,-0.08172209,-9.615966,0.46309182
1983022299000,1983023,1398519804799,-0.08172209,-9.615966,0.50395286
1983062277000,1983063,1398519804839,-0.08172209,-9.656827,0.46309182
1983092429000,1983093,1398519804869,-0.08172209,-9.615966,0.46309182
1983122397000,1983123,1398519804899,-0.08172209,-9.615966,0.50395286
1983162466000,1983163,1398519804939,-0.08172209,-9.656827,0.50395286
1983203391000,1983204,1398519804980,-0.040861044,-9.656827,0.46309182
1983242209000,1983243,1398519805019,-0.08172209,-9.656827,0.46309182
1983272940000,1983273,1398519805049,-0.08172209,-9.575105,0.38136974
1983312399000,1983313,1398519805089,-0.08172209,-9.656827,0.42223078
1983352255000,1983353,1398519805129,-0.040861044,-9.615966,0.46309182
1983382376000,1983383,1398519805159,-0.08172209,-9.615966,0.46309182
1983422263000,1983422,1398519805198,-0.10896278,-9.656827,0.42223078
1983462302000,1983462,1398519805238,-0.08172209,-9.656827,0.42223078
1983502371000,1983503,1398519805279,-0.10896278,-9.615966,0.46309182
1983535513000,1983536,1398519805312,-0.08172209,-9.615966,0.46309182
1983572409000,1983574,1398519805350,-0.08172209,-9.615966,0.50395286
1983602255000,1983603,1398519805379,-0.040861044,-9.656827,0.53119355
1983642569000,1983643,1398519805419,-0.040861044,-9.615966,0.46309182
1983682517000,1983683,1398519805459,-0.08172209,-9.615966,0.50395286
1983724204000,1983724,1398519805500,-0.08172209,-9.656827,0.42223078
1983762198000,1983763,1398519805539,-0.08172209,-9.615966,0.46309182
1983792746000,1983793,1398519805569,-0.08172209,-9.656827,0.42223078
1983834647000,1983835,1398519805611,-0.040861044,-9.615966,0.42223078
1983872397000,1983873,1398519805649,-0.08172209,-9.656827,0.42223078
1983912436000,1983913,1398519805689,-0.08172209,-9.656827,0.46309182
1983952353000,1983953,1398519805729,-0.040861044,-9.615966,0.46309182
1983982840000,1983983,1398519805759,-0.040861044,-9.656827,0.46309182
1984023001000,1984023,1398519805799,-0.040861044,-9.615966,0.46309182
1984062460000,1984063,1398519805839,-0.10896278,-9.615966,0.46309182
1984103781000,1984104,1398519805880,-0.08172209,-9.615966,0.46309182
1984172720000,1984173,1398519805949,-0.08172209,-9.615966,0.42223078
1984214011000,1984214,1398519805990,-0.040861044,-9.656827,0.46309182
1984252615000,1984253,1398519806029,-0.040861044,-9.615966,0.42223078
1984295523000,1984296,1398519806072,-0.08172209,-9.615966,0.42223078
1984332877000,1984333,1398519806109,-0.040861044,-9.615966,0.38136974
1984372305000,1984373,1398519806149,-0.08172209,-9.615966,0.46309182
1984422202000,1984423,1398519806199,-0.040861044,-9.615966,0.42223078
1984452445000,1984453,1398519806229,-0.08172209,-9.615966,0.50395286
1984512259000,1984512,1398519806288,-0.08172209,-9.615966,0.46309182
1984595023000,1984595,1398519806371,-0.08172209,-9.615966,0.38136974
1984632437000,1984633,1398519806409,-0.10896278,-9.656827,0.46309182
1984672385000,1984673,1398519806449,-0.08172209,-9.656827,0.46309182
1984712210000,1984712,1398519806488,-0.08172209,-9.656827,0.42223078
1984743582000,1984744,1398519806520,-0.040861044,-9.656827,0.46309182
1984782279000,1984782,1398519806558,-0.08172209,-9.656827,0.46309182
1984823630000,1984824,1398519806600,-0.08172209,-9.656827,0.42223078
1984862723000,1984863,1398519806639,-0.10896278,-9.656827,0.46309182
1984902213000,1984902,1398519806678,-0.08172209,-9.615966,0.46309182
1984985037000,1984985,1398519806761,-0.08172209,-9.615966,0.50395286
1985022330000,1985023,1398519806799,-0.08172209,-9.615966,0.46309182
1985052634000,1985053,1398519806829,-0.040861044,-9.615966,0.46309182
1985092917000,1985093,1398519806869,-0.08172209,-9.615966,0.46309182
1985162283000,1985163,1398519806939,-0.040861044,-9.615966,0.46309182
1985194266000,1985195,1398519806971,-0.08172209,-9.615966,0.42223078
1985292838000,1985307,1398519807083,-0.08172209,-9.656827,0.42223078
1985362143000,1985362,1398519807138,-0.08172209,-9.615966,0.42223078
1985392172000,1985392,1398519807168,-0.08172209,-9.656827,0.42223078
1985432333000,1985433,1398519807209,-0.08172209,-9.656827,0.46309182
1985462485000,1985464,1398519807240,-0.040861044,-9.656827,0.42223078
1985502432000,1985503,1398519807279,-0.040861044,-9.656827,0.46309182
1985612387000,1985613,1398519807389,-0.040861044,-9.656827,0.42223078
1985658133000,1985658,1398519807434,-0.08172209,-9.656827,0.50395286
1985692374000,1985693,1398519807469,-0.08172209,-9.656827,0.46309182
1985722250000,1985723,1398519807499,-0.040861044,-9.615966,0.42223078
1985752280000,1985752,1398519807528,-0.040861044,-9.656827,0.42223078
1985792471000,1985793,1398519807569,-0.08172209,-9.615966,0.50395286
1985832358000,1985833,1398519807609,-0.08172209,-9.656827,0.46309182
1985872336000,1985874,1398519807650,-0.08172209,-9.615966,0.46309182
1985902335000,1985903,1398519807679,-0.08172209,-9.656827,0.50395286
1985942404000,1985943,1398519807719,-0.08172209,-9.656827,0.46309182
1985982382000,1985983,1398519807759,-0.040861044,-9.656827,0.46309182
1986012320000,1986013,1398519807789,-0.08172209,-9.575105,0.46309182
1986042441000,1986043,1398519807819,-0.08172209,-9.615966,0.50395286
1986082327000,1986083,1398519807859,-0.10896278,-9.615966,0.50395286
1986112204000,1986112,1398519807888,-0.08172209,-9.656827,0.50395286
1986142783000,1986143,1398519807919,-0.08172209,-9.656827,0.46309182
1986182303000,1986183,1398519807959,-0.040861044,-9.656827,0.46309182
1986212637000,1986213,1398519807989,-0.08172209,-9.656827,0.46309182
1986253867000,1986254,1398519808030,-0.040861044,-9.615966,0.46309182
1986292532000,1986293,1398519808069,-0.08172209,-9.656827,0.42223078
1986322440000,1986323,1398519808099,-0.08172209,-9.656827,0.46309182
1986364157000,1986364,1398519808140,-0.08172209,-9.615966,0.42223078
1986409476000,1986410,1398519808186,-0.08172209,-9.656827,0.46309182
1986442282000,1986443,1398519808219,-0.08172209,-9.615966,0.46309182
1986482169000,1986482,1398519808258,-0.08172209,-9.615966,0.3405087
1986512167000,1986520,1398519808296,-0.08172209,-9.615966,0.42223078
1986542990000,1986543,1398519808319,-0.08172209,-9.615966,0.38136974
1986582144000,1986582,1398519808358,-0.08172209,-9.615966,0.46309182
1986612662000,1986613,1398519808389,-0.040861044,-9.615966,0.46309182
